,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore
2020-12-01 00:00:00+01:00,41.65,25.176000000000002,34.92,395.016,15.580000000000002,,25.82216,20.9
2020-12-01 01:00:00+01:00,42.14,24.456,34.464,382.44,15.580000000000002,,26.74438,21.549
2020-12-01 02:00:00+01:00,42.14,22.656,33.768,378.576,15.580000000000002,,26.74438,21.372999999999998
2020-12-01 03:00:00+01:00,40.67,22.464000000000002,33.432,379.584,15.580000000000002,,26.74438,22.142999999999997
2020-12-01 04:00:00+01:00,41.16,22.968,32.688,385.08,15.580000000000002,,26.74438,19.997999999999998
2020-12-01 05:00:00+01:00,41.16,26.64,32.160000000000004,406.32,15.580000000000002,,25.82216,18.887
2020-12-01 06:00:00+01:00,41.65,27.696,31.368000000000002,436.896,15.580000000000002,,25.82216,15.235
2020-12-01 07:00:00+01:00,41.65,25.104,30.96,471.86400000000003,15.580000000000002,,24.89994,13.364999999999998
2020-12-01 08:00:00+01:00,42.14,25.584,30.504,491.16,15.580000000000002,,25.82216,11.011
2020-12-01 09:00:00+01:00,41.65,26.112000000000002,29.976,492.576,15.580000000000002,,25.82216,7.930999999999999
2020-12-01 10:00:00+01:00,42.63,26.184,30.096,490.896,15.580000000000002,,24.89994,7.084
2020-12-01 11:00:00+01:00,45.08,26.712,30.456,497.736,15.580000000000002,,25.82216,6.973999999999999
2020-12-01 12:00:00+01:00,43.61,26.952,30.432000000000002,494.952,15.580000000000002,,23.97772,5.8629999999999995
2020-12-01 13:00:00+01:00,42.63,27.624000000000002,30.240000000000002,500.808,15.580000000000002,,25.82216,4.829
2020-12-01 14:00:00+01:00,40.67,28.128,30.216,504.144,15.580000000000002,,25.82216,4.521
2020-12-01 15:00:00+01:00,41.16,31.752,30.216,499.344,15.580000000000002,,25.82216,4.818
2020-12-01 16:00:00+01:00,41.16,33.432,30.072,513.264,15.580000000000002,,25.82216,5.6209999999999996
2020-12-01 17:00:00+01:00,42.14,34.392,29.904,528.936,15.580000000000002,,25.82216,5.5329999999999995
2020-12-01 18:00:00+01:00,43.61,34.248,29.76,531.792,15.580000000000002,,25.82216,6.401999999999999
2020-12-01 19:00:00+01:00,44.1,33.552,29.664,522.192,15.580000000000002,,25.82216,9.206999999999999
2020-12-01 20:00:00+01:00,45.08,31.512,29.544,507.288,15.580000000000002,,25.82216,13.09
2020-12-01 21:00:00+01:00,45.08,30.240000000000002,29.376,493.224,15.580000000000002,,25.82216,14.475999999999999
2020-12-01 22:00:00+01:00,45.08,28.248,29.376,474.36,15.580000000000002,,25.82216,14.255999999999998
2020-12-01 23:00:00+01:00,45.08,27.288,29.232,447.408,15.580000000000002,,25.82216,15.213
2020-12-02 00:00:00+01:00,45.08,20.688,29.712,428.76,15.580000000000002,,25.82216,17.006
2020-12-02 01:00:00+01:00,44.1,20.712,29.712,400.968,15.580000000000002,,24.89994,17.148999999999997
2020-12-02 02:00:00+01:00,44.589999999999996,18.144000000000002,29.592000000000002,388.008,15.580000000000002,,25.82216,15.498999999999999
2020-12-02 03:00:00+01:00,45.08,18.048000000000002,29.664,369.216,15.580000000000002,,25.82216,16.599
2020-12-02 04:00:00+01:00,45.08,18.240000000000002,29.688000000000002,369.096,15.580000000000002,,25.82216,17.765
2020-12-02 05:00:00+01:00,45.08,21.456,29.544,388.032,15.580000000000002,,25.82216,18.205
2020-12-02 06:00:00+01:00,45.57,25.248,29.424,425.544,15.580000000000002,,24.89994,18.776999999999997
2020-12-02 07:00:00+01:00,46.06,28.632,28.2,467.64,15.580000000000002,,21.21106,19.811
2020-12-02 08:00:00+01:00,46.06,32.472,27.264,472.152,15.580000000000002,,21.21106,20.383
2020-12-02 09:00:00+01:00,46.06,31.512,27.096,473.76,15.580000000000002,,25.82216,20.119
2020-12-02 10:00:00+01:00,46.06,31.032,27.096,470.688,15.580000000000002,,25.82216,20.691
2020-12-02 11:00:00+01:00,45.57,30.6,27.264,465.672,15.580000000000002,,25.82216,19.788999999999998
2020-12-02 12:00:00+01:00,46.06,30.768,27.216,469.872,15.580000000000002,,25.82216,20.647
2020-12-02 13:00:00+01:00,45.08,30.528000000000002,27.216,471.93600000000004,15.580000000000002,,24.89994,21.317999999999998
2020-12-02 14:00:00+01:00,45.08,30.672,27.288,475.512,15.580000000000002,,25.82216,22.814
2020-12-02 15:00:00+01:00,44.589999999999996,31.272000000000002,27.216,481.2,15.580000000000002,,25.82216,24.002
2020-12-02 16:00:00+01:00,44.1,31.128,28.2,478.92,15.580000000000002,,25.82216,24.717
2020-12-02 17:00:00+01:00,44.1,31.056,28.416,465.91200000000003,15.580000000000002,,25.82216,25.531
2020-12-02 18:00:00+01:00,44.1,32.568,28.272000000000002,455.952,15.580000000000002,,25.82216,25.497999999999998
2020-12-02 19:00:00+01:00,43.61,31.368000000000002,28.32,438.048,15.580000000000002,,25.82216,25.223
2020-12-02 20:00:00+01:00,42.63,30.336000000000002,28.272000000000002,424.824,15.580000000000002,,24.89994,25.343999999999998
2020-12-02 21:00:00+01:00,42.63,30.288,28.632,413.232,15.580000000000002,,25.82216,25.069
2020-12-02 22:00:00+01:00,42.63,27.888,28.8,383.28000000000003,15.580000000000002,,25.82216,26.037
2020-12-02 23:00:00+01:00,40.67,19.224,28.944,337.8,15.580000000000002,,23.97772,25.322
2020-12-03 00:00:00+01:00,38.22,14.208,28.560000000000002,297.432,16.400000000000002,,21.21106,23.858999999999998
2020-12-03 01:00:00+01:00,37.73,13.944,28.128,281.04,16.400000000000002,,24.89994,23.363999999999997
2020-12-03 02:00:00+01:00,37.73,13.872,27.696,273.528,15.580000000000002,,26.74438,22.66
2020-12-03 03:00:00+01:00,37.73,13.992,27.768,270.192,15.580000000000002,,23.97772,20.68
2020-12-03 04:00:00+01:00,37.73,14.544,27.888,282.744,16.400000000000002,,23.055500000000002,19.503
2020-12-03 05:00:00+01:00,37.73,17.376,28.128,315.288,16.400000000000002,,25.82216,18.843
2020-12-03 06:00:00+01:00,37.73,24.264,28.176000000000002,371.88,16.400000000000002,,25.82216,18.502
2020-12-03 07:00:00+01:00,38.22,29.184,27.936,436.752,15.580000000000002,,25.82216,18.622999999999998
2020-12-03 08:00:00+01:00,41.65,33.072,27.552,449.856,15.580000000000002,,25.82216,18.622999999999998
2020-12-03 09:00:00+01:00,41.65,33.504,27.408,459.91200000000003,0.0,,22.13328,18.436
2020-12-03 10:00:00+01:00,40.67,33.216,18.816,453.672,0.0,,19.36662,17.05
2020-12-03 11:00:00+01:00,41.16,33.528,11.904,441.624,0.0,,15.67774,15.642
2020-12-03 12:00:00+01:00,41.16,32.784,12.264000000000001,438.79200000000003,0.0,,15.67774,15.938999999999998
2020-12-03 13:00:00+01:00,40.18,33.144,12.120000000000001,439.344,0.0,,16.59996,16.477999999999998
2020-12-03 14:00:00+01:00,40.18,33.24,23.28,456.6,0.0,,22.13328,19.326999999999998
2020-12-03 15:00:00+01:00,43.61,33.168,27.240000000000002,469.656,0.0,,23.97772,20.383
2020-12-03 16:00:00+01:00,43.12,33.216,27.288,472.128,0.0,,24.89994,20.262
2020-12-03 17:00:00+01:00,43.61,32.928,27.240000000000002,462.672,0.0,,23.97772,22.176
2020-12-03 18:00:00+01:00,44.589999999999996,32.232,27.264,457.872,0.0,,25.82216,22.605
2020-12-03 19:00:00+01:00,43.61,31.872,27.192,450.648,0.0,,24.89994,24.596
2020-12-03 20:00:00+01:00,43.61,32.112,27.312,438.36,0.0,,25.82216,25.41
2020-12-03 21:00:00+01:00,44.1,31.68,27.264,417.624,0.0,,24.89994,25.508999999999997
2020-12-03 22:00:00+01:00,43.12,22.152,27.528000000000002,392.16,0.0,,25.82216,25.685
2020-12-03 23:00:00+01:00,43.12,18.792,27.36,354.984,0.0,,24.89994,25.267
2020-12-04 00:00:00+01:00,41.65,13.368,26.712,326.928,0.0,,24.89994,25.575
2020-12-04 01:00:00+01:00,43.12,9.984,26.688,313.896,0.0,,26.74438,25.179
2020-12-04 02:00:00+01:00,44.589999999999996,8.904,26.424,306.336,0.0,,26.74438,25.046999999999997
2020-12-04 03:00:00+01:00,44.589999999999996,9.0,26.568,309.576,0.0,,24.89994,24.122999999999998
2020-12-04 04:00:00+01:00,44.589999999999996,9.912,26.52,309.336,0.0,,26.74438,24.232999999999997
2020-12-04 05:00:00+01:00,44.589999999999996,15.192,26.424,341.184,0.0,,25.82216,23.584
2020-12-04 06:00:00+01:00,43.61,18.0,26.400000000000002,391.824,0.0,,25.82216,23.616999999999997
2020-12-04 07:00:00+01:00,45.57,27.432000000000002,26.424,451.512,0.0,,26.74438,22.935
2020-12-04 08:00:00+01:00,44.589999999999996,29.664,26.328,476.32800000000003,0.0,,26.74438,21.956
2020-12-04 09:00:00+01:00,44.1,30.072,26.208000000000002,483.696,0.0,,24.89994,21.923
2020-12-04 10:00:00+01:00,45.08,29.856,26.16,483.744,0.0,,25.82216,21.427999999999997
2020-12-04 11:00:00+01:00,45.57,30.504,26.208000000000002,479.64,0.0,,24.89994,21.482999999999997
2020-12-04 12:00:00+01:00,40.18,31.92,26.04,483.6,0.0,,25.82216,21.218999999999998
2020-12-04 13:00:00+01:00,39.2,32.064,25.92,488.184,0.0,,24.89994,21.317999999999998
2020-12-04 14:00:00+01:00,39.69,34.944,25.872,500.904,0.0,,26.74438,20.79
2020-12-04 15:00:00+01:00,39.69,34.032000000000004,25.872,497.47200000000004,0.0,,24.89994,20.965999999999998
2020-12-04 16:00:00+01:00,40.67,33.456,25.944,493.032,0.0,,25.82216,20.944
2020-12-04 17:00:00+01:00,39.69,33.672000000000004,25.896,490.128,0.0,,24.89994,20.459999999999997
2020-12-04 18:00:00+01:00,40.18,30.888,25.8,489.98400000000004,0.0,,24.89994,20.657999999999998
2020-12-04 19:00:00+01:00,40.67,32.904,25.776,491.30400000000003,0.0,,23.055500000000002,20.284
2020-12-04 20:00:00+01:00,41.16,32.28,25.704,479.688,0.0,,23.97772,18.919999999999998
2020-12-04 21:00:00+01:00,42.14,34.128,25.512,460.8,0.0,,23.97772,17.391
2020-12-04 22:00:00+01:00,42.14,28.848,25.560000000000002,451.008,0.0,,23.97772,18.512999999999998
2020-12-04 23:00:00+01:00,41.65,23.616,25.536,421.2,0.0,,24.89994,17.544999999999998
2020-12-05 00:00:00+01:00,41.16,19.344,25.176000000000002,412.08,0.0,,25.82216,16.378999999999998
2020-12-05 01:00:00+01:00,40.67,19.608,25.104,406.512,0.0,,25.82216,15.433
2020-12-05 02:00:00+01:00,40.67,20.112000000000002,25.2,392.496,0.0,,26.74438,14.344
2020-12-05 03:00:00+01:00,40.18,20.208000000000002,25.2,388.344,0.0,,26.74438,13.617999999999999
2020-12-05 04:00:00+01:00,40.18,20.304000000000002,25.056,390.408,0.0,,26.74438,12.825999999999999
2020-12-05 05:00:00+01:00,41.16,20.256,25.152,402.624,0.0,,26.74438,11.253
2020-12-05 06:00:00+01:00,40.18,23.28,25.224,409.8,0.0,,26.74438,10.604
2020-12-05 07:00:00+01:00,40.18,24.936,25.656,428.208,0.0,,26.74438,9.933
2020-12-05 08:00:00+01:00,40.18,29.112000000000002,26.04,456.744,0.0,,25.82216,9.251
2020-12-05 09:00:00+01:00,42.14,31.992,26.16,478.512,0.0,,28.588820000000002,8.921
2020-12-05 10:00:00+01:00,42.14,32.4,26.448,489.192,0.0,,28.588820000000002,9.174
2020-12-05 11:00:00+01:00,41.65,32.688,26.496000000000002,494.904,0.0,,28.588820000000002,9.35
2020-12-05 12:00:00+01:00,41.65,33.504,26.712,498.696,0.0,,28.588820000000002,9.625
2020-12-05 13:00:00+01:00,40.67,35.448,26.904,496.872,0.0,,28.588820000000002,9.526
2020-12-05 14:00:00+01:00,49.0,35.28,26.928,495.072,0.0,,28.588820000000002,9.174
2020-12-05 15:00:00+01:00,41.16,34.608000000000004,26.952,491.64,0.0,,27.666600000000003,9.878
2020-12-05 16:00:00+01:00,40.67,34.728,26.904,499.92,0.0,,26.74438,9.107999999999999
2020-12-05 17:00:00+01:00,41.16,33.72,26.952,494.47200000000004,0.0,,26.74438,9.801
2020-12-05 18:00:00+01:00,41.16,33.936,26.976,486.744,0.0,,26.74438,10.383999999999999
2020-12-05 19:00:00+01:00,41.65,33.84,26.952,472.32,0.0,,25.82216,10.956
2020-12-05 20:00:00+01:00,42.63,31.704,26.952,453.192,0.0,,24.89994,11.231
2020-12-05 21:00:00+01:00,41.16,29.568,26.856,439.104,0.0,,26.74438,12.088999999999999
2020-12-05 22:00:00+01:00,41.65,23.424,26.832,425.064,0.0,,24.89994,13.001999999999999
2020-12-05 23:00:00+01:00,43.12,17.976,26.76,405.672,0.0,,23.97772,14.200999999999999
2020-12-06 00:00:00+01:00,42.14,18.0,26.136,398.40000000000003,0.0,,24.89994,13.706
2020-12-06 01:00:00+01:00,41.65,16.584,26.088,385.656,0.0,,26.74438,12.859
