date,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-02-01 00:00:00+01:00,4603,13789,5259,3346,399,24,462,1430,85,8168,522,193,0,508,2140,10712
2021-02-01 00:15:00+01:00,4629,13838,5406,3357,398,24,217,1420,135,8175,522,193,0,514,2216,10812
2021-02-01 00:30:00+01:00,4603,13741,5419,3393,402,24,147,1420,53,8164,522,193,0,501,2263,10693
2021-02-01 00:45:00+01:00,4621,13481,5332,3393,400,24,143,1423,47,8172,523,193,0,487,2331,10692
2021-02-01 01:00:00+01:00,4571,13232,5306,3399,401,24,168,1424,64,8161,523,193,0,502,2363,10883
2021-02-01 01:15:00+01:00,4535,13195,5336,3401,400,24,314,1420,42,8172,523,193,0,514,2316,11039
2021-02-01 01:30:00+01:00,4596,13112,5345,3413,399,24,123,1429,25,8166,523,193,0,504,2235,11207
2021-02-01 01:45:00+01:00,4582,13046,5342,3394,399,24,193,1427,25,8160,523,193,0,511,2241,11356
2021-02-01 02:00:00+01:00,4602,13109,5308,3301,398,24,180,1431,29,8176,523,194,0,501,2161,11502
2021-02-01 02:15:00+01:00,4588,13093,5298,3292,398,24,115,1426,24,8169,522,193,0,488,2187,11786
2021-02-01 02:30:00+01:00,4589,12949,5323,3306,398,24,99,1426,25,8161,522,193,0,493,2231,11805
2021-02-01 02:45:00+01:00,4571,12789,5330,3296,398,24,90,1425,22,8164,523,193,0,463,2262,11885
2021-02-01 03:00:00+01:00,4588,12730,5311,3496,398,24,90,1428,26,8157,523,193,0,503,2321,12064
2021-02-01 03:15:00+01:00,4569,12778,5321,3575,398,24,81,1419,24,8171,523,193,0,509,2389,12043
2021-02-01 03:30:00+01:00,4563,12734,5300,3595,398,24,131,1414,27,8172,523,193,0,505,2453,12202
2021-02-01 03:45:00+01:00,4550,12765,5336,3632,398,24,135,1412,22,8170,522,193,0,494,2447,12315
2021-02-01 04:00:00+01:00,4565,12835,5460,3848,398,24,141,1412,28,8173,522,193,0,470,2560,12537
2021-02-01 04:15:00+01:00,4572,12931,5519,4235,398,24,130,1409,23,8174,522,193,0,481,2699,12589
2021-02-01 04:30:00+01:00,4579,12906,5538,4592,398,24,70,1411,25,8153,522,193,0,474,2891,12732
2021-02-01 04:45:00+01:00,4565,13055,5541,4897,398,24,50,1411,26,8169,522,193,0,464,3047,12708
2021-02-01 05:00:00+01:00,4542,13529,5799,4974,398,24,200,1412,28,8163,520,193,0,488,3289,12679
2021-02-01 05:15:00+01:00,4535,13487,5989,5341,398,24,698,1408,26,8164,520,193,0,492,3307,12678
2021-02-01 05:30:00+01:00,4530,13896,6085,5935,398,24,652,1407,47,8166,520,193,0,499,3347,12782
2021-02-01 05:45:00+01:00,4543,14145,6249,6482,398,24,321,1407,107,8166,520,193,0,502,3400,12932
2021-02-01 06:00:00+01:00,4532,14166,6776,7065,398,24,431,1406,66,8162,518,193,0,468,3445,13101
2021-02-01 06:15:00+01:00,4516,14356,7333,7650,398,24,1825,1395,97,8174,518,194,0,457,3534,13102
2021-02-01 06:30:00+01:00,4501,14436,7733,8260,400,24,2175,1396,106,8174,518,194,0,455,3580,13115
2021-02-01 06:45:00+01:00,4515,14686,8611,8777,402,24,2166,1403,66,8166,518,193,0,470,3618,13149
2021-02-01 07:00:00+01:00,4526,14640,9410,9167,404,24,2146,1410,44,8127,518,193,0,471,3631,13295
2021-02-01 07:15:00+01:00,4526,14799,10217,9474,404,24,2777,1414,38,8156,518,193,0,477,3670,13252
2021-02-01 07:30:00+01:00,4526,14818,10644,9619,404,24,2714,1412,85,8152,518,193,13,450,3639,13272
2021-02-01 07:45:00+01:00,4538,14886,10755,9791,404,24,2707,1415,130,8156,507,193,55,479,3609,13239
2021-02-01 08:00:00+01:00,4557,14853,10527,9998,404,24,1702,1413,137,8142,501,193,143,491,3606,13099
2021-02-01 08:15:00+01:00,4597,15002,10552,10111,404,24,1880,1414,121,8160,501,193,276,496,3631,12777
2021-02-01 08:30:00+01:00,4601,15042,10625,10316,402,24,1715,1415,116,8159,501,193,555,488,3598,12660
2021-02-01 08:45:00+01:00,4591,14935,10723,10563,405,24,1839,1415,116,8160,501,193,915,487,3518,12298
2021-02-01 09:00:00+01:00,4559,14793,10940,10420,404,24,2040,1413,115,8157,501,193,1300,486,3451,11917
2021-02-01 09:15:00+01:00,4574,14715,11048,10452,404,24,2456,1417,43,8158,500,193,1706,491,3376,11615
2021-02-01 09:30:00+01:00,4537,14699,11159,10462,402,24,2685,1412,38,8156,500,193,2146,485,3311,11205
2021-02-01 09:45:00+01:00,4557,14706,11269,10551,404,24,2667,1411,57,8158,500,193,2610,491,3271,10837
2021-02-01 10:00:00+01:00,4527,14685,11256,10554,402,24,2220,1406,48,8160,500,193,3085,478,3216,9924
2021-02-01 10:15:00+01:00,4533,14641,11257,10566,401,24,2015,1409,41,8159,500,193,3587,468,3196,9379
2021-02-01 10:30:00+01:00,4535,14363,11261,10570,401,24,2475,1417,50,8160,499,192,4046,478,3196,9101
2021-02-01 10:45:00+01:00,4539,14357,11285,10575,401,24,2688,1411,41,8156,499,192,4403,498,3036,8702
2021-02-01 11:00:00+01:00,4494,14357,11284,10678,401,24,1993,1407,36,8156,505,192,4854,504,2904,8526
2021-02-01 11:15:00+01:00,4455,14363,11352,10657,401,24,2145,1390,33,8161,498,192,5157,502,2754,7991
2021-02-01 11:30:00+01:00,4464,14392,11363,10660,401,24,2009,1365,46,8162,498,192,5395,511,2621,7580
2021-02-01 11:45:00+01:00,4490,14429,11474,10703,399,24,2177,1370,49,8163,498,192,5546,510,2448,7272
2021-02-01 12:00:00+01:00,4510,14518,11660,10730,398,24,1370,1374,58,8165,504,192,5660,512,2343,7100
2021-02-01 12:15:00+01:00,4519,14487,11704,10777,398,24,1278,1376,44,8161,497,192,5583,513,2223,6825
2021-02-01 12:30:00+01:00,4548,14499,11702,10778,398,24,1596,1382,46,8161,497,192,5551,521,2134,6609
2021-02-01 12:45:00+01:00,4551,14414,11716,10792,398,24,1545,1380,40,8160,497,192,5361,523,2076,6394
2021-02-01 13:00:00+01:00,4573,14413,11745,10847,398,24,1679,1382,49,8170,496,191,5114,515,1955,6379
2021-02-01 13:15:00+01:00,4586,14412,11758,10848,398,24,1967,1382,57,8167,496,191,4910,511,1802,6239
2021-02-01 13:30:00+01:00,4592,14419,11743,10842,398,24,1881,1386,45,8163,496,191,4622,501,1676,6001
2021-02-01 13:45:00+01:00,4592,14331,11759,10850,397,24,1720,1385,43,8160,496,191,4369,501,1535,5784
2021-02-01 14:00:00+01:00,4590,14379,11813,10825,396,24,1005,1386,35,8167,496,191,3972,507,1508,5752
2021-02-01 14:15:00+01:00,4561,14387,11789,10832,396,24,1029,1383,37,8169,496,191,3644,504,1390,5731
2021-02-01 14:30:00+01:00,4549,14454,11812,10851,396,24,998,1384,36,8166,496,191,3308,489,1328,5626
2021-02-01 14:45:00+01:00,4569,14390,11775,10868,396,24,1486,1385,36,8160,496,191,2912,478,1351,5629
2021-02-01 15:00:00+01:00,4571,14356,11797,10847,396,24,1711,1385,25,8155,496,191,2522,492,1378,5633
2021-02-01 15:15:00+01:00,4582,14396,11781,10832,396,24,1616,1385,24,8156,496,191,2062,508,1383,5591
2021-02-01 15:30:00+01:00,4610,14401,11788,10772,398,24,1916,1391,58,8159,496,191,1652,514,1410,5527
2021-02-01 15:45:00+01:00,4586,14355,11757,10763,398,24,1989,1392,69,8158,496,191,1230,509,1353,5513
2021-02-01 16:00:00+01:00,4612,14427,11651,10734,398,24,2703,1397,69,8143,496,191,857,496,1343,5447
2021-02-01 16:15:00+01:00,4585,14464,11691,10724,399,24,2905,1398,57,8143,496,191,525,486,1349,5527
2021-02-01 16:30:00+01:00,4587,14425,11788,10733,401,24,3017,1401,92,8142,497,192,265,499,1333,5548
2021-02-01 16:45:00+01:00,4585,14392,11749,10791,402,24,3276,1403,157,8139,497,192,97,505,1348,5597
2021-02-01 17:00:00+01:00,4573,14359,11680,10844,463,24,2652,1402,173,8114,497,192,19,507,1261,5678
2021-02-01 17:15:00+01:00,4586,14444,11681,10795,466,24,3722,1400,202,8130,497,192,1,523,1163,5634
2021-02-01 17:30:00+01:00,4573,14431,11765,10840,466,24,4171,1396,213,8134,497,192,0,525,1180,5550
2021-02-01 17:45:00+01:00,4591,14439,11800,10808,467,24,4920,1397,147,8135,497,192,0,519,1198,5447
2021-02-01 18:00:00+01:00,4608,14337,11808,10810,468,24,5207,1399,155,8138,497,192,0,511,1139,5382
2021-02-01 18:15:00+01:00,4585,14389,11836,10779,468,24,5246,1394,127,8140,497,192,0,499,1148,5181
2021-02-01 18:30:00+01:00,4578,14361,11814,10804,468,24,5159,1394,127,8138,497,192,0,500,1122,5229
2021-02-01 18:45:00+01:00,4584,14340,11739,10833,467,24,5005,1395,127,8140,497,192,0,495,1126,5123
2021-02-01 19:00:00+01:00,4595,14057,11729,10795,466,24,4476,1397,47,8139,497,192,0,472,1160,5038
2021-02-01 19:15:00+01:00,4591,13823,11751,10764,421,24,4492,1395,39,8140,497,192,0,481,1096,4879
2021-02-01 19:30:00+01:00,4597,13698,11703,10786,401,24,4318,1397,39,8155,497,192,0,503,1036,4711
2021-02-01 19:45:00+01:00,4575,13697,11543,10778,401,24,3697,1396,36,8145,497,192,0,500,1033,4587
2021-02-01 20:00:00+01:00,4572,13822,11103,10760,401,24,3380,1397,90,8145,497,192,0,499,999,4505
2021-02-01 20:15:00+01:00,4571,13910,11100,10777,401,24,2978,1397,67,8143,497,192,0,501,963,4579
2021-02-01 20:30:00+01:00,4566,13982,11111,10778,401,24,2367,1399,46,8135,497,192,0,503,888,4693
2021-02-01 20:45:00+01:00,4580,14103,11021,10642,401,24,1925,1404,39,8129,497,192,0,506,842,4681
2021-02-01 21:00:00+01:00,4574,14266,10850,10580,401,24,1081,1407,74,8123,497,192,0,501,745,4752
2021-02-01 21:15:00+01:00,4602,14305,10691,10547,401,24,661,1409,51,8150,498,192,0,484,662,4729
2021-02-01 21:30:00+01:00,4598,14287,10614,10408,401,24,337,1408,47,8147,497,192,0,480,688,4707
2021-02-01 21:45:00+01:00,4593,14202,10604,10167,401,24,274,1413,39,8138,497,192,0,510,675,4670
2021-02-01 22:00:00+01:00,4604,14279,10568,10027,401,24,399,1415,50,8141,498,192,0,510,640,4662
2021-02-01 22:15:00+01:00,4598,14285,10244,9852,401,24,352,1414,46,8147,497,192,0,511,554,4947
