,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2021-03-01 00:00:00+01:00,15.0,5702.0,1586.0,0.0,484.0,2161.0,0.0,342.0,551.0,356.0
2021-03-01 00:15:00+01:00,15.0,5769.0,1544.0,0.0,484.0,2063.0,0.0,347.0,517.0,346.0
2021-03-01 00:30:00+01:00,16.0,5779.0,1501.0,0.0,486.0,1984.0,0.0,345.0,438.0,344.0
2021-03-01 00:45:00+01:00,16.0,5780.0,1425.0,0.0,486.0,1938.0,0.0,346.0,366.0,343.0
2021-03-01 01:00:00+01:00,16.0,5713.0,1313.0,0.0,486.0,1829.0,0.0,347.0,333.0,351.0
2021-03-01 01:15:00+01:00,16.0,5648.0,1261.0,0.0,486.0,1793.0,0.0,347.0,298.0,362.0
2021-03-01 01:30:00+01:00,15.0,5639.0,1251.0,0.0,486.0,1788.0,0.0,343.0,284.0,352.0
2021-03-01 01:45:00+01:00,16.0,5608.0,1312.0,0.0,486.0,1751.0,0.0,340.0,298.0,345.0
2021-03-01 02:00:00+01:00,17.0,5706.0,1410.0,0.0,486.0,1832.0,0.0,344.0,311.0,340.0
2021-03-01 02:15:00+01:00,16.0,5763.0,1393.0,0.0,486.0,1821.0,0.0,345.0,297.0,364.0
2021-03-01 02:30:00+01:00,17.0,5784.0,1389.0,0.0,486.0,1800.0,0.0,340.0,294.0,376.0
2021-03-01 02:45:00+01:00,16.0,5797.0,1423.0,0.0,486.0,1787.0,0.0,329.0,305.0,359.0
2021-03-01 03:00:00+01:00,17.0,5865.0,1550.0,0.0,486.0,1791.0,0.0,336.0,307.0,325.0
2021-03-01 03:15:00+01:00,17.0,5880.0,1584.0,0.0,486.0,1768.0,0.0,340.0,301.0,297.0
2021-03-01 03:30:00+01:00,17.0,5856.0,1601.0,0.0,486.0,1769.0,0.0,343.0,278.0,265.0
2021-03-01 03:45:00+01:00,17.0,5842.0,1601.0,0.0,486.0,1774.0,0.0,337.0,263.0,263.0
2021-03-01 04:00:00+01:00,17.0,6060.0,1719.0,0.0,486.0,1834.0,0.0,337.0,241.0,258.0
2021-03-01 04:15:00+01:00,16.0,6184.0,1781.0,0.0,486.0,1822.0,0.0,341.0,217.0,265.0
2021-03-01 04:30:00+01:00,17.0,6216.0,1799.0,0.0,486.0,1840.0,0.0,342.0,216.0,271.0
2021-03-01 04:45:00+01:00,16.0,6220.0,1831.0,0.0,486.0,1873.0,0.0,339.0,230.0,282.0
2021-03-01 05:00:00+01:00,16.0,6785.0,1994.0,0.0,486.0,2009.0,0.0,340.0,249.0,278.0
2021-03-01 05:15:00+01:00,16.0,6883.0,2238.0,0.0,486.0,2031.0,0.0,341.0,258.0,275.0
2021-03-01 05:30:00+01:00,15.0,6952.0,2234.0,0.0,486.0,2048.0,0.0,343.0,260.0,269.0
2021-03-01 05:45:00+01:00,15.0,7078.0,2238.0,0.0,486.0,2162.0,0.0,346.0,250.0,270.0
2021-03-01 06:00:00+01:00,15.0,7636.0,2298.0,0.0,485.0,2442.0,0.0,346.0,244.0,271.0
2021-03-01 06:15:00+01:00,15.0,7978.0,2356.0,0.0,486.0,2540.0,0.0,352.0,266.0,274.0
