date,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-02-01 00:00:00+01:00,264.6725,2826.7450000000003,644.2275,685.9300000000001,73.11675,0.22799999999999998,2.7720000000000002,8.58,0.51,24.504,107.01,,0.0,117.12194000000001,6.42,29.458
2021-02-01 00:15:00+01:00,266.1675,2836.7900000000004,662.235,688.1850000000001,72.9335,0.22799999999999998,1.302,8.52,0.81,24.525000000000002,107.01,,0.0,118.50527000000001,6.648000000000001,29.732999999999997
2021-02-01 00:30:00+01:00,264.6725,2816.905,663.8275,695.565,73.6665,0.22799999999999998,0.882,8.52,0.318,24.492,107.01,,0.0,115.508055,6.789,29.405749999999998
2021-02-01 00:45:00+01:00,265.70750000000004,2763.605,653.17,695.565,73.3,0.22799999999999998,0.858,8.538,0.28200000000000003,24.516000000000002,107.215,,0.0,112.280285,6.993,29.403
2021-02-01 01:00:00+01:00,262.83250000000004,2712.5600000000004,649.985,696.7950000000001,73.48325,0.22799999999999998,1.008,8.544,0.384,24.483,107.215,,0.0,115.73861000000001,7.089,29.92825
2021-02-01 01:15:00+01:00,260.7625,2704.9750000000004,653.66,697.205,73.3,0.22799999999999998,1.8840000000000001,8.52,0.252,24.516000000000002,107.215,,0.0,118.50527000000001,6.948,30.357249999999997
2021-02-01 01:30:00+01:00,264.27000000000004,2687.96,654.7624999999999,699.6650000000001,73.11675,0.22799999999999998,0.738,8.574,0.15,24.498,107.215,,0.0,116.19972,6.705,30.819249999999997
2021-02-01 01:45:00+01:00,263.46500000000003,2674.4300000000003,654.395,695.7700000000001,73.11675,0.22799999999999998,1.158,8.562,0.15,24.48,107.215,,0.0,117.81360500000001,6.723,31.229
2021-02-01 02:00:00+01:00,264.615,2687.3450000000003,650.23,676.705,72.9335,0.22799999999999998,1.08,8.586,0.17400000000000002,24.528000000000002,107.215,,0.0,115.508055,6.4830000000000005,31.630499999999998
2021-02-01 02:15:00+01:00,263.81,2684.065,649.005,674.86,72.9335,0.22799999999999998,0.6900000000000001,8.556000000000001,0.14400000000000002,24.507,107.01,,0.0,112.51084,6.561,32.4115
2021-02-01 02:30:00+01:00,263.8675,2654.545,652.0675,677.73,72.9335,0.22799999999999998,0.594,8.556000000000001,0.15,24.483,107.01,,0.0,113.66361500000001,6.6930000000000005,32.46375
2021-02-01 02:45:00+01:00,262.83250000000004,2621.7450000000003,652.925,675.6800000000001,72.9335,0.22799999999999998,0.54,8.55,0.132,24.492,107.215,,0.0,106.746965,6.7860000000000005,32.683749999999996
2021-02-01 03:00:00+01:00,263.81,2609.65,650.5975,716.6800000000001,72.9335,0.22799999999999998,0.54,8.568,0.156,24.471,107.215,,0.0,115.969165,6.963,33.175999999999995
2021-02-01 03:15:00+01:00,262.71750000000003,2619.4900000000002,651.8225,732.875,72.9335,0.22799999999999998,0.486,8.514,0.14400000000000002,24.513,107.215,,0.0,117.352495,7.167,33.118249999999996
2021-02-01 03:30:00+01:00,262.3725,2610.4700000000003,649.25,736.975,72.9335,0.22799999999999998,0.786,8.484,0.162,24.516000000000002,107.215,,0.0,116.43027500000001,7.359,33.555499999999995
2021-02-01 03:45:00+01:00,261.625,2616.8250000000003,653.66,744.5600000000001,72.9335,0.22799999999999998,0.81,8.472,0.132,24.51,107.01,,0.0,113.89417,7.341,33.86625
2021-02-01 04:00:00+01:00,262.4875,2631.175,668.85,788.84,72.9335,0.22799999999999998,0.846,8.472,0.168,24.519000000000002,107.01,,0.0,108.36085,7.68,34.476749999999996
2021-02-01 04:15:00+01:00,262.89,2650.855,676.0775,868.1750000000001,72.9335,0.22799999999999998,0.78,8.454,0.138,24.522000000000002,107.01,,0.0,110.896955,8.097,34.619749999999996
2021-02-01 04:30:00+01:00,263.2925,2645.73,678.405,941.3600000000001,72.9335,0.22799999999999998,0.42,8.466,0.15,24.459,107.01,,0.0,109.28307000000001,8.673,35.013
2021-02-01 04:45:00+01:00,262.4875,2676.275,678.7725,1003.8850000000001,72.9335,0.22799999999999998,0.3,8.466,0.156,24.507,107.01,,0.0,106.97752,9.141,34.946999999999996
2021-02-01 05:00:00+01:00,261.165,2773.445,710.3774999999999,1019.6700000000001,72.9335,0.22799999999999998,1.2,8.472,0.168,24.489,106.60000000000001,,0.0,112.51084,9.867,34.86725
2021-02-01 05:15:00+01:00,260.7625,2764.835,733.6525,1094.905,72.9335,0.22799999999999998,4.188,8.448,0.156,24.492,106.60000000000001,,0.0,113.43306000000001,9.921,34.8645
2021-02-01 05:30:00+01:00,260.475,2848.6800000000003,745.4125,1216.6750000000002,72.9335,0.22799999999999998,3.912,8.442,0.28200000000000003,24.498,106.60000000000001,,0.0,115.04694500000001,10.041,35.1505
