,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2021-04-01 00:00:00+02:00,22.080000000000002,276.34000000000003,443.94,0.0,0.0,0.0,0.36,0.456,23.196,54.120000000000005,,0.0,12.91108,0.8909999999999999
2021-04-01 00:15:00+02:00,22.77,287.82000000000005,425.32,0.0,0.0,0.0,0.36,0.456,23.208000000000002,60.68000000000001,,0.0,12.91108,0.9129999999999999
2021-04-01 00:30:00+02:00,23.23,301.76000000000005,412.09,0.0,0.0,0.0,0.36,0.456,23.208000000000002,60.68000000000001,,0.0,13.833300000000001,0.9019999999999999
2021-04-01 00:45:00+02:00,23.69,298.48,412.09,0.0,0.0,0.0,0.36,0.456,23.208000000000002,60.68000000000001,,0.0,12.91108,0.9129999999999999
2021-04-01 01:00:00+02:00,24.150000000000002,289.46000000000004,404.74,0.0,0.0,0.0,0.36,0.456,23.22,60.68000000000001,,0.0,12.91108,0.9129999999999999
2021-04-01 01:15:00+02:00,23.92,279.62,380.24,0.0,0.0,0.0,0.36,0.456,23.22,60.68000000000001,,0.0,12.91108,0.9129999999999999
2021-04-01 01:30:00+02:00,23.92,281.26000000000005,365.05,0.0,0.0,0.0,0.36,0.456,23.208000000000002,60.68000000000001,,0.0,11.98886,0.979
2021-04-01 01:45:00+02:00,24.380000000000003,277.16,360.64,0.0,0.0,0.0,0.36,0.456,23.208000000000002,60.68000000000001,,0.0,11.98886,1.067
2021-04-01 02:00:00+02:00,23.92,270.6,341.53,0.0,0.0,0.0,0.36,0.456,23.208000000000002,60.68000000000001,,0.0,11.98886,1.089
2021-04-01 02:15:00+02:00,24.150000000000002,273.06,328.3,0.0,0.0,0.0,0.36,0.456,23.208000000000002,59.86000000000001,,0.0,11.98886,1.045
2021-04-01 02:30:00+02:00,23.69,272.24,330.26,0.0,0.0,0.0,0.36,0.456,23.196,59.86000000000001,,0.0,11.98886,1.012
2021-04-01 02:45:00+02:00,23.23,257.48,283.21999999999997,0.0,0.0,0.0,0.36,0.456,23.208000000000002,59.86000000000001,,0.0,11.98886,0.9349999999999999
2021-04-01 03:00:00+02:00,23.69,246.00000000000003,305.27,0.0,0.0,0.0,0.36,0.456,23.208000000000002,59.86000000000001,,0.0,11.98886,0.9129999999999999
2021-04-01 03:15:00+02:00,22.77,250.10000000000002,318.99,0.0,0.0,0.0,0.36,0.456,23.208000000000002,60.68000000000001,,0.0,11.98886,0.9129999999999999
2021-04-01 03:30:00+02:00,20.470000000000002,250.92000000000002,318.5,0.0,0.0,0.0,0.36,0.456,23.196,60.68000000000001,,0.0,11.98886,0.9349999999999999
2021-04-01 03:45:00+02:00,20.240000000000002,249.28000000000003,317.52,0.0,0.0,0.0,0.36,0.456,23.208000000000002,60.68000000000001,,0.0,12.91108,0.847
2021-04-01 04:00:00+02:00,20.240000000000002,249.28000000000003,307.71999999999997,0.0,0.0,0.0,0.36,0.456,23.208000000000002,60.68000000000001,,0.0,12.91108,0.7919999999999999
2021-04-01 04:15:00+02:00,20.240000000000002,241.9,326.34,0.0,0.0,0.0,0.36,0.456,23.208000000000002,59.86000000000001,,0.0,11.98886,0.8029999999999999
2021-04-01 04:30:00+02:00,19.78,258.3,351.33,0.0,0.0,0.0,0.36,0.456,23.208000000000002,59.86000000000001,,0.0,12.91108,0.814
2021-04-01 04:45:00+02:00,20.01,266.5,361.62,0.0,0.0,0.0,0.36,0.456,23.208000000000002,59.86000000000001,,0.0,12.91108,0.748
