,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2021-06-01 00:00:00+02:00,195.0,1171.0,0.0,7.0,0.0,5432.0,498.0,0.0,139.0,497.0,598.0
2021-06-01 01:00:00+02:00,195.0,1134.0,0.0,17.0,0.0,5434.0,519.0,0.0,142.0,554.0,566.0
2021-06-01 02:00:00+02:00,195.0,1091.0,0.0,42.0,0.0,5437.0,485.0,0.0,143.0,469.0,560.0
2021-06-01 03:00:00+02:00,196.0,1150.0,0.0,42.0,0.0,5442.0,464.0,0.0,143.0,372.0,511.0
2021-06-01 04:00:00+02:00,196.0,1139.0,0.0,1.0,0.0,5446.0,454.0,0.0,143.0,260.0,490.0
2021-06-01 05:00:00+02:00,196.0,1290.0,0.0,1.0,0.0,5448.0,474.0,8.0,139.0,174.0,554.0
2021-06-01 06:00:00+02:00,195.0,1264.0,0.0,1.0,0.0,5447.0,551.0,167.0,143.0,70.0,609.0
2021-06-01 07:00:00+02:00,194.0,1310.0,0.0,1.0,1.0,5451.0,618.0,644.0,142.0,34.0,505.0
2021-06-01 08:00:00+02:00,196.0,1319.0,0.0,1.0,4.0,5453.0,665.0,1437.0,142.0,4.0,274.0
2021-06-01 09:00:00+02:00,195.0,1316.0,0.0,1.0,3.0,5448.0,640.0,2256.0,140.0,10.0,288.0
2021-06-01 10:00:00+02:00,195.0,1266.0,0.0,1.0,3.0,5442.0,628.0,2937.0,139.0,48.0,278.0
2021-06-01 11:00:00+02:00,195.0,1180.0,0.0,1.0,3.0,5432.0,592.0,3418.0,139.0,102.0,234.0
2021-06-01 12:00:00+02:00,194.0,1145.0,0.0,1.0,3.0,5428.0,622.0,3696.0,139.0,135.0,327.0
2021-06-01 13:00:00+02:00,195.0,1092.0,0.0,1.0,3.0,5422.0,642.0,3781.0,136.0,183.0,379.0
2021-06-01 14:00:00+02:00,195.0,1140.0,0.0,1.0,3.0,5414.0,638.0,3683.0,137.0,334.0,402.0
2021-06-01 15:00:00+02:00,194.0,1107.0,0.0,1.0,3.0,5406.0,635.0,3436.0,136.0,314.0,362.0
2021-06-01 16:00:00+02:00,193.0,1137.0,0.0,12.0,3.0,5401.0,624.0,2974.0,136.0,380.0,325.0
2021-06-01 17:00:00+02:00,193.0,1361.0,0.0,52.0,3.0,5397.0,661.0,2356.0,136.0,318.0,291.0
2021-06-01 18:00:00+02:00,193.0,1650.0,0.0,6.0,2.0,5395.0,622.0,1579.0,137.0,305.0,304.0
2021-06-01 19:00:00+02:00,193.0,2114.0,0.0,15.0,3.0,5396.0,563.0,782.0,137.0,238.0,315.0
2021-06-01 20:00:00+02:00,192.0,2272.0,0.0,23.0,3.0,5400.0,569.0,237.0,139.0,255.0,286.0
2021-06-01 21:00:00+02:00,192.0,2355.0,0.0,53.0,3.0,5407.0,582.0,29.0,140.0,461.0,371.0
2021-06-01 22:00:00+02:00,191.0,2384.0,0.0,17.0,0.0,5414.0,565.0,0.0,141.0,649.0,528.0
2021-06-01 23:00:00+02:00,191.0,2298.0,0.0,1.0,0.0,5417.0,545.0,0.0,142.0,662.0,622.0
2021-06-02 00:00:00+02:00,191.0,1731.0,0.0,1.0,0.0,5401.0,429.0,0.0,144.0,703.0,666.0
2021-06-02 01:00:00+02:00,191.0,1337.0,0.0,1.0,0.0,5400.0,396.0,0.0,143.0,617.0,704.0
2021-06-02 02:00:00+02:00,191.0,1353.0,0.0,1.0,0.0,5404.0,382.0,0.0,145.0,508.0,617.0
2021-06-02 03:00:00+02:00,191.0,1390.0,0.0,2.0,0.0,5413.0,432.0,0.0,143.0,372.0,524.0
2021-06-02 04:00:00+02:00,191.0,1395.0,0.0,83.0,0.0,5421.0,496.0,0.0,141.0,270.0,460.0
2021-06-02 05:00:00+02:00,191.0,1393.0,0.0,6.0,0.0,5428.0,517.0,6.0,137.0,283.0,422.0
2021-06-02 06:00:00+02:00,190.0,1256.0,0.0,34.0,0.0,5433.0,582.0,166.0,136.0,253.0,372.0
2021-06-02 07:00:00+02:00,190.0,1276.0,0.0,1.0,0.0,5432.0,623.0,650.0,133.0,209.0,277.0
2021-06-02 08:00:00+02:00,191.0,1305.0,0.0,1.0,0.0,5431.0,568.0,1420.0,133.0,130.0,101.0
2021-06-02 09:00:00+02:00,191.0,1296.0,0.0,39.0,2.0,5428.0,633.0,2179.0,129.0,89.0,38.0
2021-06-02 10:00:00+02:00,191.0,1212.0,0.0,42.0,3.0,5420.0,630.0,2805.0,106.0,68.0,27.0
2021-06-02 11:00:00+02:00,191.0,1161.0,0.0,42.0,3.0,5407.0,586.0,3260.0,110.0,67.0,37.0
2021-06-02 12:00:00+02:00,187.0,1136.0,0.0,46.0,4.0,5402.0,520.0,3493.0,124.0,116.0,62.0
2021-06-02 13:00:00+02:00,141.0,1191.0,0.0,14.0,4.0,5392.0,497.0,3560.0,123.0,91.0,71.0
2021-06-02 14:00:00+02:00,140.0,1184.0,0.0,1.0,4.0,5382.0,599.0,3414.0,123.0,133.0,63.0
2021-06-02 15:00:00+02:00,175.0,1144.0,0.0,1.0,3.0,5366.0,553.0,3119.0,125.0,160.0,93.0
2021-06-02 16:00:00+02:00,189.0,1175.0,0.0,1.0,3.0,5358.0,487.0,2600.0,130.0,159.0,144.0
2021-06-02 17:00:00+02:00,189.0,1445.0,0.0,1.0,3.0,5355.0,505.0,1907.0,132.0,151.0,75.0
2021-06-02 18:00:00+02:00,189.0,1666.0,0.0,1.0,3.0,5341.0,496.0,1130.0,135.0,171.0,85.0
2021-06-02 19:00:00+02:00,189.0,1743.0,0.0,1.0,3.0,5300.0,510.0,522.0,136.0,176.0,199.0
2021-06-02 20:00:00+02:00,189.0,1666.0,0.0,5.0,3.0,5356.0,471.0,194.0,138.0,202.0,611.0
2021-06-02 21:00:00+02:00,189.0,1699.0,0.0,18.0,0.0,5362.0,423.0,29.0,139.0,174.0,289.0
2021-06-02 22:00:00+02:00,189.0,1731.0,0.0,1.0,0.0,5377.0,444.0,0.0,139.0,154.0,96.0
2021-06-02 23:00:00+02:00,189.0,1747.0,0.0,1.0,0.0,5398.0,423.0,0.0,138.0,647.0,148.0
2021-06-03 00:00:00+02:00,189.0,1296.0,0.0,39.0,0.0,5415.0,369.0,0.0,142.0,697.0,215.0
2021-06-03 01:00:00+02:00,189.0,978.0,0.0,20.0,0.0,5411.0,353.0,0.0,142.0,705.0,384.0
2021-06-03 02:00:00+02:00,134.0,921.0,0.0,1.0,0.0,5408.0,355.0,0.0,142.0,462.0,314.0
2021-06-03 03:00:00+02:00,94.0,737.0,0.0,24.0,0.0,5407.0,358.0,0.0,142.0,332.0,267.0
2021-06-03 04:00:00+02:00,93.0,807.0,0.0,114.0,0.0,5396.0,346.0,0.0,143.0,364.0,201.0
2021-06-03 05:00:00+02:00,138.0,957.0,0.0,23.0,0.0,5399.0,364.0,5.0,141.0,246.0,195.0
2021-06-03 06:00:00+02:00,190.0,1006.0,0.0,1.0,0.0,5403.0,482.0,135.0,140.0,300.0,169.0
2021-06-03 07:00:00+02:00,192.0,1089.0,0.0,13.0,0.0,5405.0,601.0,340.0,140.0,460.0,125.0
2021-06-03 08:00:00+02:00,192.0,1043.0,0.0,8.0,0.0,5410.0,663.0,609.0,139.0,537.0,80.0
2021-06-03 09:00:00+02:00,192.0,930.0,0.0,1.0,3.0,5411.0,622.0,1036.0,134.0,681.0,44.0
2021-06-03 10:00:00+02:00,192.0,891.0,0.0,1.0,3.0,5398.0,577.0,1477.0,133.0,729.0,39.0
2021-06-03 11:00:00+02:00,192.0,917.0,0.0,1.0,4.0,5386.0,565.0,1765.0,131.0,725.0,44.0
2021-06-03 12:00:00+02:00,174.0,847.0,0.0,28.0,4.0,5407.0,547.0,2054.0,135.0,489.0,80.0
2021-06-03 13:00:00+02:00,108.0,835.0,0.0,83.0,3.0,5411.0,471.0,2284.0,134.0,269.0,96.0
2021-06-03 14:00:00+02:00,99.0,719.0,0.0,83.0,3.0,5413.0,441.0,2561.0,131.0,382.0,75.0
2021-06-03 15:00:00+02:00,99.0,853.0,0.0,29.0,3.0,5403.0,412.0,2605.0,134.0,812.0,66.0
