,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2021-06-01 01:00:00+03:00,18.0,1108.0,192.0,60.0,0.0,315.0,10.0,1927.0,0.0,3.0,129.0
2021-06-01 02:00:00+03:00,17.0,1112.0,194.0,59.0,0.0,314.0,8.0,1926.0,0.0,3.0,141.0
2021-06-01 03:00:00+03:00,16.0,1113.0,194.0,60.0,0.0,314.0,8.0,1925.0,0.0,3.0,153.0
2021-06-01 04:00:00+03:00,17.0,1086.0,193.0,60.0,0.0,314.0,8.0,1928.0,0.0,3.0,184.0
2021-06-01 05:00:00+03:00,17.0,1088.0,191.0,59.0,0.0,317.0,7.0,1928.0,0.0,3.0,247.0
2021-06-01 06:00:00+03:00,18.0,1049.0,189.0,59.0,0.0,320.0,123.0,1930.0,7.0,3.0,232.0
2021-06-01 07:00:00+03:00,13.0,1085.0,191.0,59.0,0.0,326.0,493.0,1929.0,35.0,3.0,196.0
2021-06-01 08:00:00+03:00,13.0,1137.0,192.0,59.0,0.0,329.0,565.0,1928.0,93.0,3.0,202.0
2021-06-01 09:00:00+03:00,15.0,1106.0,192.0,59.0,0.0,327.0,548.0,1931.0,164.0,3.0,205.0
2021-06-01 10:00:00+03:00,16.0,1088.0,191.0,59.0,0.0,328.0,464.0,1929.0,202.0,3.0,198.0
2021-06-01 11:00:00+03:00,15.0,1071.0,190.0,61.0,0.0,328.0,188.0,1927.0,229.0,3.0,206.0
2021-06-01 12:00:00+03:00,15.0,1085.0,190.0,60.0,0.0,319.0,68.0,1930.0,221.0,3.0,209.0
2021-06-01 13:00:00+03:00,14.0,1131.0,192.0,59.0,0.0,314.0,34.0,1930.0,216.0,3.0,165.0
2021-06-01 14:00:00+03:00,14.0,1137.0,193.0,59.0,0.0,272.0,39.0,1928.0,221.0,3.0,157.0
2021-06-01 15:00:00+03:00,13.0,1112.0,192.0,59.0,0.0,274.0,29.0,1927.0,170.0,3.0,220.0
2021-06-01 16:00:00+03:00,9.0,1105.0,191.0,59.0,0.0,281.0,182.0,1926.0,119.0,3.0,300.0
2021-06-01 17:00:00+03:00,7.0,1095.0,189.0,59.0,0.0,282.0,282.0,1926.0,105.0,3.0,372.0
2021-06-01 18:00:00+03:00,6.0,1096.0,188.0,59.0,0.0,323.0,484.0,1928.0,54.0,3.0,444.0
2021-06-01 19:00:00+03:00,7.0,1100.0,188.0,57.0,157.0,335.0,533.0,1928.0,18.0,3.0,463.0
2021-06-01 20:00:00+03:00,6.0,1084.0,189.0,57.0,165.0,337.0,619.0,1928.0,3.0,3.0,472.0
