,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Water Reservoir,Solar,Wind Onshore
2021-06-01 01:00:00+03:00,535.0,1408.0,0.0,0.0,46.0,0.0,1008.0
2021-06-01 02:00:00+03:00,414.0,1307.0,0.0,0.0,74.0,0.0,1049.0
2021-06-01 03:00:00+03:00,368.0,1164.0,0.0,0.0,73.0,0.0,1104.0
2021-06-01 04:00:00+03:00,367.0,1072.0,0.0,0.0,70.0,0.0,1157.0
2021-06-01 05:00:00+03:00,368.0,1271.0,0.0,0.0,92.0,0.0,1006.0
2021-06-01 06:00:00+03:00,368.0,1413.0,0.0,0.0,117.0,66.0,932.0
2021-06-01 07:00:00+03:00,372.0,2096.0,0.0,0.0,268.0,368.0,696.0
2021-06-01 08:00:00+03:00,386.0,2270.0,0.0,84.0,700.0,884.0,569.0
2021-06-01 09:00:00+03:00,378.0,2115.0,0.0,161.0,898.0,1401.0,429.0
2021-06-01 10:00:00+03:00,397.0,2051.0,0.0,48.0,847.0,1773.0,377.0
2021-06-01 11:00:00+03:00,367.0,1819.0,0.0,29.0,546.0,1988.0,427.0
2021-06-01 12:00:00+03:00,368.0,1716.0,0.0,8.0,382.0,2079.0,481.0
2021-06-01 13:00:00+03:00,373.0,1839.0,0.0,0.0,295.0,2066.0,561.0
2021-06-01 14:00:00+03:00,369.0,1718.0,0.0,0.0,273.0,1986.0,686.0
2021-06-01 15:00:00+03:00,373.0,1617.0,0.0,0.0,208.0,1782.0,883.0
2021-06-01 16:00:00+03:00,370.0,1393.0,0.0,0.0,211.0,1482.0,1190.0
2021-06-01 17:00:00+03:00,369.0,1352.0,0.0,0.0,261.0,1118.0,1306.0
2021-06-01 18:00:00+03:00,369.0,1661.0,0.0,99.0,420.0,684.0,1288.0
2021-06-01 19:00:00+03:00,370.0,1997.0,0.0,93.0,720.0,254.0,1245.0
2021-06-01 20:00:00+03:00,370.0,2022.0,0.0,272.0,925.0,28.0,1333.0
2021-06-01 21:00:00+03:00,383.0,2028.0,0.0,304.0,1081.0,0.0,1318.0
2021-06-01 22:00:00+03:00,370.0,1929.0,0.0,299.0,816.0,0.0,1068.0
2021-06-01 23:00:00+03:00,369.0,1790.0,0.0,290.0,481.0,0.0,1026.0
2021-06-02 00:00:00+03:00,368.0,1983.0,0.0,21.0,98.0,0.0,851.0
2021-06-02 01:00:00+03:00,368.0,1629.0,0.0,0.0,93.0,0.0,682.0
2021-06-02 02:00:00+03:00,374.0,1465.0,0.0,0.0,93.0,0.0,731.0
2021-06-02 03:00:00+03:00,368.0,1440.0,0.0,0.0,96.0,0.0,732.0
2021-06-02 04:00:00+03:00,367.0,1548.0,0.0,0.0,95.0,0.0,662.0
2021-06-02 05:00:00+03:00,368.0,1596.0,0.0,0.0,103.0,0.0,664.0
2021-06-02 06:00:00+03:00,378.0,1676.0,0.0,0.0,110.0,69.0,676.0
2021-06-02 07:00:00+03:00,368.0,1990.0,0.0,0.0,186.0,378.0,553.0
2021-06-02 08:00:00+03:00,380.0,1979.0,0.0,87.0,659.0,898.0,470.0
2021-06-02 09:00:00+03:00,375.0,1928.0,0.0,88.0,662.0,1409.0,461.0
2021-06-02 10:00:00+03:00,443.0,1650.0,0.0,86.0,629.0,1766.0,402.0
2021-06-02 11:00:00+03:00,461.0,1439.0,0.0,1.0,449.0,1966.0,305.0
2021-06-02 12:00:00+03:00,464.0,1446.0,0.0,0.0,223.0,2045.0,269.0
2021-06-02 13:00:00+03:00,472.0,1513.0,0.0,0.0,186.0,2112.0,221.0
2021-06-02 14:00:00+03:00,468.0,1516.0,0.0,0.0,241.0,2033.0,226.0
2021-06-02 15:00:00+03:00,381.0,1471.0,0.0,0.0,255.0,1836.0,308.0
2021-06-02 16:00:00+03:00,376.0,1548.0,0.0,0.0,168.0,1543.0,359.0
2021-06-02 17:00:00+03:00,407.0,1704.0,0.0,0.0,192.0,1175.0,315.0
2021-06-02 18:00:00+03:00,393.0,2154.0,0.0,0.0,323.0,721.0,272.0
2021-06-02 19:00:00+03:00,384.0,2732.0,0.0,93.0,650.0,267.0,246.0
2021-06-02 20:00:00+03:00,378.0,2973.0,0.0,306.0,952.0,31.0,173.0
2021-06-02 21:00:00+03:00,396.0,3083.0,0.0,320.0,1001.0,0.0,167.0
2021-06-02 22:00:00+03:00,385.0,2761.0,0.0,314.0,873.0,0.0,167.0
2021-06-02 23:00:00+03:00,367.0,2432.0,0.0,289.0,609.0,0.0,150.0
2021-06-03 00:00:00+03:00,388.0,2497.0,0.0,1.0,93.0,0.0,111.0
2021-06-03 01:00:00+03:00,373.0,2301.0,0.0,0.0,41.0,0.0,78.0
2021-06-03 02:00:00+03:00,386.0,2168.0,0.0,0.0,41.0,0.0,67.0
2021-06-03 03:00:00+03:00,366.0,2103.0,0.0,0.0,41.0,0.0,65.0
2021-06-03 04:00:00+03:00,367.0,2058.0,0.0,0.0,67.0,0.0,76.0
2021-06-03 05:00:00+03:00,367.0,2095.0,0.0,0.0,67.0,0.0,100.0
2021-06-03 06:00:00+03:00,381.0,2221.0,0.0,0.0,101.0,69.0,90.0
2021-06-03 07:00:00+03:00,397.0,2365.0,0.0,0.0,244.0,381.0,92.0
2021-06-03 08:00:00+03:00,416.0,2176.0,0.0,0.0,615.0,912.0,93.0
2021-06-03 09:00:00+03:00,371.0,1906.0,0.0,0.0,693.0,1446.0,123.0
2021-06-03 10:00:00+03:00,409.0,1697.0,0.0,58.0,641.0,1844.0,142.0
2021-06-03 11:00:00+03:00,436.0,1543.0,0.0,89.0,599.0,2082.0,128.0
2021-06-03 12:00:00+03:00,397.0,1357.0,0.0,39.0,582.0,2177.0,154.0
2021-06-03 13:00:00+03:00,393.0,1221.0,0.0,156.0,559.0,2213.0,176.0
2021-06-03 14:00:00+03:00,422.0,1338.0,0.0,2.0,539.0,2145.0,179.0
2021-06-03 15:00:00+03:00,399.0,1532.0,0.0,0.0,319.0,1958.0,216.0
2021-06-03 16:00:00+03:00,394.0,1805.0,0.0,0.0,140.0,1655.0,237.0
2021-06-03 17:00:00+03:00,470.0,2000.0,0.0,0.0,166.0,1257.0,249.0
2021-06-03 18:00:00+03:00,485.0,2261.0,0.0,0.0,460.0,768.0,230.0
2021-06-03 19:00:00+03:00,509.0,2823.0,0.0,9.0,782.0,284.0,228.0
