,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Onshore
2021-07-01 00:00:00+02:00,8.51,0.0,0.0,0.0,0.0,1.086,25.344,3.738,4.510000000000001,,0.0,23.055500000000002,4.388999999999999
2021-07-01 00:15:00+02:00,8.51,0.0,0.0,0.0,0.0,1.428,25.182000000000002,3.402,4.510000000000001,,0.0,23.055500000000002,4.146999999999999
2021-07-01 00:30:00+02:00,8.51,0.0,0.0,0.0,0.0,1.452,25.032,3.7680000000000002,4.510000000000001,,0.0,23.055500000000002,4.311999999999999
2021-07-01 00:45:00+02:00,8.51,0.0,0.0,0.0,0.0,1.296,24.948,3.636,4.510000000000001,,0.0,23.055500000000002,4.378
2021-07-01 01:00:00+02:00,8.51,0.0,0.0,0.0,0.0,0.744,25.080000000000002,4.476,4.510000000000001,,0.0,23.055500000000002,4.234999999999999
2021-07-01 01:15:00+02:00,8.51,0.0,0.0,0.0,0.0,0.888,24.900000000000002,3.624,4.510000000000001,,0.0,23.055500000000002,3.8169999999999997
2021-07-01 01:30:00+02:00,8.51,0.0,0.0,0.0,0.0,1.1460000000000001,24.948,3.882,4.510000000000001,,0.0,23.055500000000002,3.256
2021-07-01 01:45:00+02:00,8.51,0.0,0.0,0.0,0.0,0.972,24.984,3.96,4.510000000000001,,0.0,23.055500000000002,3.025
2021-07-01 02:00:00+02:00,8.51,0.0,0.0,0.0,0.0,0.03,25.632,4.392,4.510000000000001,,0.0,23.055500000000002,3.1239999999999997
2021-07-01 02:15:00+02:00,8.51,0.0,0.0,0.0,0.0,0.0,25.650000000000002,4.164,4.510000000000001,,0.0,23.055500000000002,3.3219999999999996
2021-07-01 02:30:00+02:00,8.51,0.0,0.0,0.0,0.0,0.0,25.86,3.678,4.510000000000001,,0.0,23.055500000000002,3.2009999999999996
2021-07-01 02:45:00+02:00,8.51,0.0,0.0,0.0,0.0,0.0,26.232,3.444,4.510000000000001,,0.0,23.055500000000002,3.1239999999999997
2021-07-01 03:00:00+02:00,8.51,0.0,0.0,0.0,0.0,0.0,25.878,3.414,4.510000000000001,,0.0,23.055500000000002,3.1679999999999997
2021-07-01 03:15:00+02:00,8.51,0.0,0.0,0.0,0.0,0.0,26.226,3.246,4.510000000000001,,0.0,23.055500000000002,3.267
2021-07-01 03:30:00+02:00,8.51,0.0,0.0,0.0,0.0,0.0,26.076,2.97,4.510000000000001,,0.0,23.055500000000002,3.2449999999999997
2021-07-01 03:45:00+02:00,8.51,0.0,0.0,0.0,0.0,0.0,26.22,2.7600000000000002,4.510000000000001,,0.0,23.055500000000002,3.1679999999999997
2021-07-01 04:00:00+02:00,8.51,0.0,0.0,0.0,0.0,0.0,26.28,2.736,4.510000000000001,,0.0,23.055500000000002,3.2009999999999996
2021-07-01 04:15:00+02:00,8.51,0.0,0.0,0.0,0.0,0.0,26.184,2.688,4.510000000000001,,0.0,23.055500000000002,3.1679999999999997
2021-07-01 04:30:00+02:00,8.51,0.0,0.0,0.0,0.0,0.0,26.472,2.748,4.510000000000001,,0.0,23.055500000000002,3.0029999999999997
2021-07-01 04:45:00+02:00,8.51,0.0,0.0,0.0,0.0,0.0,26.76,2.94,4.510000000000001,,0.0,23.055500000000002,2.629
2021-07-01 05:00:00+02:00,8.51,0.0,0.0,0.0,0.0,0.0,26.04,2.574,4.510000000000001,,0.041,23.055500000000002,2.3209999999999997
2021-07-01 05:15:00+02:00,8.51,0.0,0.0,0.0,0.0,0.192,25.692,2.706,4.510000000000001,,0.164,23.055500000000002,2.343
2021-07-01 05:30:00+02:00,8.51,0.0,0.0,0.0,0.0,0.636,25.884,2.82,4.510000000000001,,0.164,23.055500000000002,2.431
2021-07-01 05:45:00+02:00,8.51,0.0,0.0,0.0,0.0,0.9480000000000001,26.154,3.306,4.510000000000001,,0.20500000000000002,23.055500000000002,2.4859999999999998
2021-07-01 06:00:00+02:00,8.51,0.0,0.0,0.0,0.0,1.56,25.464000000000002,4.23,4.510000000000001,,0.246,23.055500000000002,2.695
2021-07-01 06:15:00+02:00,8.51,0.0,0.0,0.0,0.0,2.286,25.428,4.656,4.510000000000001,,0.246,23.055500000000002,2.794
2021-07-01 06:30:00+02:00,8.51,0.0,0.0,0.0,0.0,2.466,25.62,4.854,4.510000000000001,,0.328,23.055500000000002,2.827
2021-07-01 06:45:00+02:00,8.51,0.0,0.0,0.0,0.0,2.484,25.764,4.92,4.510000000000001,,0.41000000000000003,23.055500000000002,2.9699999999999998
2021-07-01 07:00:00+02:00,8.51,0.0,0.0,0.0,0.0,4.17,25.602,5.376,4.510000000000001,,0.533,23.055500000000002,3.058
2021-07-01 07:15:00+02:00,8.51,0.0,0.0,0.0,0.0,4.836,25.5,5.94,4.510000000000001,,0.656,23.055500000000002,3.025
2021-07-01 07:30:00+02:00,8.51,0.0,0.0,0.0,0.0,5.046,25.572,5.886,4.510000000000001,,0.8200000000000001,23.055500000000002,2.816
2021-07-01 07:45:00+02:00,8.51,0.0,0.0,0.0,0.0,6.024,25.572,6.186,4.510000000000001,,0.984,23.055500000000002,2.915
2021-07-01 08:00:00+02:00,8.51,0.0,0.0,0.0,0.0,7.2780000000000005,25.2,6.408,4.510000000000001,,1.189,23.055500000000002,3.3659999999999997
2021-07-01 08:15:00+02:00,8.51,0.0,0.0,0.0,0.0,6.096,25.29,6.66,4.510000000000001,,1.3940000000000001,23.055500000000002,4.378
2021-07-01 08:30:00+02:00,8.51,0.0,0.0,0.0,0.0,5.28,25.152,5.7780000000000005,4.510000000000001,,1.599,23.055500000000002,5.412
2021-07-01 08:45:00+02:00,8.51,0.0,0.0,0.0,0.0,4.962,25.182000000000002,4.5600000000000005,4.510000000000001,,1.7630000000000001,23.055500000000002,5.4559999999999995
2021-07-01 09:00:00+02:00,8.51,0.0,0.0,0.0,0.0,5.322,25.248,5.634,4.510000000000001,,1.968,23.055500000000002,5.598999999999999
2021-07-01 09:15:00+02:00,8.51,0.0,0.0,0.0,0.0,4.806,25.35,4.7940000000000005,4.510000000000001,,2.173,23.055500000000002,5.665
2021-07-01 09:30:00+02:00,8.51,0.0,0.0,0.0,0.0,4.53,24.978,5.388,4.510000000000001,,2.337,23.055500000000002,5.654
2021-07-01 09:45:00+02:00,8.51,0.0,0.0,0.0,0.0,5.016,24.864,4.752,4.510000000000001,,2.46,23.055500000000002,5.973
2021-07-01 10:00:00+02:00,8.51,0.0,0.0,0.0,0.0,7.554,24.240000000000002,6.192,4.510000000000001,,2.624,23.055500000000002,6.05
2021-07-01 10:15:00+02:00,8.51,0.0,0.0,0.0,0.0,7.422000000000001,24.228,6.582,4.510000000000001,,2.7880000000000003,23.055500000000002,6.093999999999999
2021-07-01 10:30:00+02:00,8.51,0.0,0.0,0.0,0.0,7.74,24.234,6.348,4.510000000000001,,2.952,23.055500000000002,5.984
2021-07-01 10:45:00+02:00,8.51,1.1025,0.0,0.0,0.0,8.016,24.192,6.288,4.510000000000001,,3.075,23.055500000000002,5.896
2021-07-01 11:00:00+02:00,8.51,1.7149999999999999,0.0,0.0,0.0,9.006,23.916,6.144,4.510000000000001,,3.198,23.055500000000002,5.83
2021-07-01 11:15:00+02:00,8.51,1.8375,0.0,0.0,0.0,9.048,23.862000000000002,6.408,4.510000000000001,,3.2800000000000002,23.055500000000002,5.874
2021-07-01 11:30:00+02:00,8.51,1.8375,0.0,0.0,0.0,9.084,23.61,6.468,4.510000000000001,,3.362,23.055500000000002,5.8629999999999995
2021-07-01 11:45:00+02:00,8.51,1.8375,0.0,0.0,0.0,8.46,23.736,6.354,4.510000000000001,,3.362,23.055500000000002,5.874
2021-07-01 12:00:00+02:00,8.51,1.8375,0.0,0.0,0.0,11.148,23.400000000000002,6.72,4.510000000000001,,3.362,23.055500000000002,5.951
2021-07-01 12:15:00+02:00,8.51,1.8375,0.0,0.0,0.0,10.722,23.37,6.51,4.510000000000001,,3.403,23.055500000000002,6.072
2021-07-01 12:30:00+02:00,8.51,1.8375,0.0,0.0,0.0,10.602,23.184,6.5040000000000004,4.510000000000001,,3.444,23.055500000000002,6.061
2021-07-01 12:45:00+02:00,8.51,1.8375,0.0,0.0,0.0,10.74,23.172,6.066,4.510000000000001,,3.444,23.055500000000002,5.9399999999999995
2021-07-01 13:00:00+02:00,8.51,1.7149999999999999,0.0,0.0,0.0,11.484,23.04,7.0440000000000005,4.510000000000001,,3.4850000000000003,23.055500000000002,5.6209999999999996
2021-07-01 13:15:00+02:00,8.51,1.7149999999999999,0.0,0.0,0.0,11.352,23.118000000000002,6.942,4.510000000000001,,3.4850000000000003,23.055500000000002,5.433999999999999
2021-07-01 13:30:00+02:00,8.51,1.5925,0.0,0.0,0.0,11.076,23.214000000000002,7.038,4.510000000000001,,3.4850000000000003,23.055500000000002,5.269
2021-07-01 13:45:00+02:00,8.51,1.1025,0.0,0.0,0.0,10.914,23.532,6.204,4.510000000000001,,3.444,23.055500000000002,5.1259999999999994
2021-07-01 14:00:00+02:00,8.51,0.245,0.0,0.0,0.0,5.634,24.216,6.588,4.510000000000001,,3.444,23.055500000000002,4.906
2021-07-01 14:15:00+02:00,8.51,0.0,0.0,0.0,0.0,6.132000000000001,24.144000000000002,6.426,4.510000000000001,,3.444,23.055500000000002,4.718999999999999
2021-07-01 14:30:00+02:00,8.51,0.0,0.0,0.0,0.0,5.8020000000000005,24.048000000000002,6.204,4.510000000000001,,3.403,23.055500000000002,4.5649999999999995
2021-07-01 14:45:00+02:00,8.51,0.0,0.0,0.0,0.0,5.838,24.114,6.024,4.510000000000001,,3.321,23.055500000000002,4.378
