,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore
2021-07-01 00:00:00+02:00,48.51,15.048,28.776,263.64,0.0,,33.19992,8.008
2021-07-01 01:00:00+02:00,47.53,14.952,28.464000000000002,265.344,0.0,,30.43326,7.776999999999999
2021-07-01 02:00:00+02:00,48.019999999999996,15.216000000000001,28.392,267.72,0.0,,33.19992,7.204999999999999
2021-07-01 03:00:00+02:00,46.55,14.976,28.2,263.712,0.0,,29.51104,6.633
2021-07-01 04:00:00+02:00,46.06,15.072000000000001,28.128,264.84000000000003,0.0,,29.51104,6.93
2021-07-01 05:00:00+02:00,46.06,17.472,27.984,272.544,0.0,,29.51104,5.951
2021-07-01 06:00:00+02:00,46.06,20.328,27.984,283.824,0.0,,28.588820000000002,5.643
2021-07-01 07:00:00+02:00,47.04,20.424,27.936,300.76800000000003,0.0,,30.43326,4.707999999999999
2021-07-01 08:00:00+02:00,47.04,24.888,28.056,308.592,0.0,,29.51104,3.674
2021-07-01 09:00:00+02:00,47.53,29.28,28.056,312.288,0.0,,31.35548,3.5309999999999997
2021-07-01 10:00:00+02:00,48.019999999999996,32.52,28.2,325.032,0.0,,32.2777,3.96
2021-07-01 11:00:00+02:00,48.019999999999996,32.616,27.576,329.088,0.0,,27.666600000000003,3.905
2021-07-01 12:00:00+02:00,47.04,30.96,27.36,328.344,0.0,,29.51104,4.653
2021-07-01 13:00:00+02:00,46.06,31.872,27.456,324.216,0.0,,30.43326,4.785
2021-07-01 14:00:00+02:00,46.06,32.952,27.36,326.808,0.0,,26.74438,4.686
2021-07-01 15:00:00+02:00,45.08,31.752,27.168,329.712,0.0,,25.82216,4.598
2021-07-01 16:00:00+02:00,44.1,32.304,27.024,325.368,0.0,,27.666600000000003,4.455
2021-07-01 17:00:00+02:00,44.589999999999996,31.416,27.312,322.248,0.0,,27.666600000000003,4.3229999999999995
2021-07-01 18:00:00+02:00,44.589999999999996,31.104,27.288,320.592,0.0,,30.43326,4.5649999999999995
2021-07-01 19:00:00+02:00,47.04,30.816,27.432000000000002,322.464,0.0,,32.2777,4.311999999999999
2021-07-01 20:00:00+02:00,47.04,30.792,27.216,321.81600000000003,0.0,,28.588820000000002,4.279
2021-07-01 21:00:00+02:00,46.55,30.024,27.312,319.392,0.0,,29.51104,5.037999999999999
2021-07-01 22:00:00+02:00,47.04,22.248,27.216,310.224,0.0,,27.666600000000003,4.630999999999999
2021-07-01 23:00:00+02:00,47.53,19.44,27.216,297.624,0.0,,30.43326,5.016
2021-07-02 00:00:00+02:00,48.019999999999996,21.192,26.736,284.592,0.0,,31.35548,5.423
2021-07-02 01:00:00+02:00,47.04,20.256,26.736,281.30400000000003,0.0,,28.588820000000002,6.193
2021-07-02 02:00:00+02:00,45.57,19.872,26.544,277.368,0.0,,32.2777,5.786
2021-07-02 03:00:00+02:00,47.53,18.72,26.472,273.216,0.0,,29.51104,5.851999999999999
2021-07-02 04:00:00+02:00,46.55,18.528,26.496000000000002,267.696,0.0,,32.2777,5.742
2021-07-02 05:00:00+02:00,46.06,19.32,26.496000000000002,271.416,0.0,,29.51104,5.742
2021-07-02 06:00:00+02:00,47.04,21.36,26.232,283.632,0.0,,30.43326,6.875
2021-07-02 07:00:00+02:00,46.06,22.104,26.400000000000002,310.128,0.0,,28.588820000000002,6.787
2021-07-02 08:00:00+02:00,46.06,23.112000000000002,26.664,338.736,0.0,,22.13328,5.917999999999999
2021-07-02 09:00:00+02:00,48.019999999999996,24.288,26.424,347.664,0.0,,23.055500000000002,5.840999999999999
