,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2021-07-01 00:00:00+02:00,0.8625,675.3425,153.955,0.0,0.0,462.68500000000006,0.0,86.45812500000001,0.876,0.87725
2021-07-01 00:15:00+02:00,0.8625,634.305,154.365,0.0,0.0,471.295,0.0,88.07201,0.912,0.825
2021-07-01 00:30:00+02:00,0.805,588.735,159.08,0.0,0.0,472.93500000000006,0.0,85.997015,0.936,0.71775
2021-07-01 00:45:00+02:00,0.805,560.1925,165.64000000000001,0.0,0.0,449.15500000000003,0.0,85.997015,0.9480000000000001,0.7535
2021-07-01 01:00:00+02:00,0.805,528.3425,175.685,0.0,0.0,411.02500000000003,0.0,87.14979000000001,0.975,0.78925
2021-07-01 01:15:00+02:00,0.8625,507.885,184.705,0.0,0.0,379.865,0.0,87.14979000000001,1.035,0.7617499999999999
2021-07-01 01:30:00+02:00,0.8625,508.2525,184.09,0.0,0.0,384.99,0.0,88.763675,1.098,0.6765
2021-07-01 01:45:00+02:00,0.8625,496.37,183.27,0.0,0.0,375.76500000000004,0.0,88.99423,1.044,0.66825
2021-07-01 02:00:00+02:00,0.92,496.37,188.60000000000002,0.0,0.0,353.42,0.0,89.91645,1.053,0.7122499999999999
2021-07-01 02:15:00+02:00,0.8625,491.46999999999997,179.78500000000003,0.0,0.0,363.67,0.0,90.608115,1.23,0.7865
2021-07-01 02:30:00+02:00,0.8625,480.3225,162.36,0.0,0.0,373.92,0.0,91.76089,1.173,0.8937499999999999
2021-07-01 02:45:00+02:00,0.8625,452.8825,147.805,0.0,0.0,370.845,0.0,89.224785,1.083,0.93775
2021-07-01 03:00:00+02:00,0.8625,460.355,145.345,0.0,0.0,378.02000000000004,0.0,90.14700500000001,1.119,0.9349999999999999
2021-07-01 03:15:00+02:00,0.8625,457.17,149.44500000000002,0.0,0.0,386.01500000000004,0.0,89.91645,1.11,0.9954999999999999
2021-07-01 03:30:00+02:00,0.92,439.775,152.72500000000002,0.0,0.0,380.27500000000003,0.0,88.53312,1.173,1.06425
2021-07-01 03:45:00+02:00,0.8625,437.57,154.98000000000002,0.0,0.0,374.74,0.0,90.14700500000001,1.236,1.0725
2021-07-01 04:00:00+02:00,0.8625,433.895,157.03,0.0,0.0,386.425,0.0,88.99423,1.2630000000000001,0.99
2021-07-01 04:15:00+02:00,0.8625,439.8975,158.055,0.0,0.0,389.91,0.0,89.91645,1.3860000000000001,1.03125
2021-07-01 04:30:00+02:00,0.8625,434.875,161.54000000000002,0.0,0.0,380.685,0.0,90.14700500000001,1.302,1.13025
2021-07-01 04:45:00+02:00,0.92,440.02,169.94500000000002,0.0,0.0,372.07500000000005,0.0,88.763675,1.389,1.1769999999999998
2021-07-01 05:00:00+02:00,0.8625,458.5175,177.735,0.0,0.0,388.475,0.0,89.224785,1.3980000000000001,1.155
2021-07-01 05:15:00+02:00,0.8625,462.07,186.96,0.0,0.0,367.975,0.0,89.224785,1.314,1.16325
2021-07-01 05:30:00+02:00,0.8625,478.97499999999997,182.45000000000002,0.0,0.0,376.38000000000005,0.0,87.84145500000001,1.188,1.19625
