,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-07-01 00:00:00+02:00,91.77000000000001,0.0,0.0,3381.49,462.48,120.945,0.0,0.0,0.0,1.296,22.008,96.552,0.0,83.83200000000001,49.2,,27.593,298.79928,0.0,42.812
2021-07-01 01:00:00+02:00,92.0,0.0,0.0,3258.0099999999998,470.68000000000006,120.212,0.0,0.0,0.0,4.68,20.928,75.24,0.0,83.85600000000001,48.38,,27.675,297.87706000000003,0.0,40.083999999999996
2021-07-01 02:00:00+02:00,92.46000000000001,0.0,0.0,3333.96,471.50000000000006,121.678,0.0,0.0,0.0,4.68,20.400000000000002,57.168,0.0,83.868,48.38,,27.470000000000002,292.34374,0.0,36.882999999999996
2021-07-01 03:00:00+02:00,91.77000000000001,0.0,0.0,3317.79,458.38000000000005,120.945,0.0,0.0,0.0,4.656,20.112000000000002,54.72,0.0,83.904,49.2,,27.429000000000002,295.1104,0.0,32.846
2021-07-01 04:00:00+02:00,90.85000000000001,0.0,0.0,3388.84,454.28000000000003,115.081,0.0,0.0,0.0,0.40800000000000003,20.184,50.352000000000004,0.0,83.916,48.38,,27.429000000000002,299.7215,0.0,28.764999999999997
2021-07-01 05:00:00+02:00,89.93,0.0,0.0,3580.43,467.40000000000003,116.547,0.0,0.0,0.0,0.0,20.28,57.144,0.0,83.94,49.2,,26.158,299.7215,0.0,24.101
2021-07-01 06:00:00+02:00,91.54,0.0,0.0,4178.23,477.24,115.814,0.0,0.0,0.0,0.0,20.664,78.264,0.0,83.916,48.38,,17.179000000000002,287.73264,0.0,20.767999999999997
2021-07-01 07:00:00+02:00,89.7,0.0,0.0,4568.76,457.56000000000006,118.01299999999999,0.0,0.0,0.0,0.0,21.888,104.736,0.0,83.94,48.38,,29.602,288.65486,0.0,18.788
2021-07-01 08:00:00+02:00,88.32000000000001,0.0,0.0,4860.8,451.00000000000006,123.14399999999999,0.0,0.0,0.0,0.0,23.352,127.608,0.0,83.964,47.56,,120.991,299.7215,0.0,14.289
2021-07-01 09:00:00+02:00,88.32000000000001,0.0,0.0,5010.25,501.84000000000003,126.809,0.0,0.0,0.0,0.0,23.52,113.376,0.0,83.616,46.74,,267.156,296.95484,0.0,10.12
2021-07-01 10:00:00+02:00,88.78,0.0,0.0,4747.61,513.32,140.003,0.0,0.0,0.0,0.0,23.688,100.416,0.0,83.316,45.92,,364.449,290.4993,0.0,7.864999999999999
2021-07-01 11:00:00+02:00,88.55,0.0,0.0,4504.08,556.7800000000001,132.673,0.0,0.0,0.0,0.0,23.736,103.992,0.0,83.208,44.28,,416.84700000000004,285.88820000000004,0.0,7.765999999999999
2021-07-01 12:00:00+02:00,85.79,0.0,0.0,4331.6,568.26,134.87199999999999,0.0,0.0,0.0,0.14400000000000002,23.016000000000002,87.936,0.0,83.208,45.1,,443.62,280.35488000000004,0.0,10.966999999999999
