,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore
2021-07-01 00:00:00+02:00,38.64,4035.2200000000003,34.3,688.4499999999999,6653.4800000000005,145.134,0.0,3.0,0.0,0.0,18.953
2021-07-01 01:00:00+02:00,38.870000000000005,3751.5000000000005,33.81,655.62,6082.76,145.867,0.0,3.096,0.0,0.0,18.468999999999998
2021-07-01 02:00:00+02:00,38.870000000000005,3695.7400000000002,33.81,656.11,6020.4400000000005,145.867,0.0,3.12,0.0,0.0,18.766
2021-07-01 03:00:00+02:00,38.18,3565.36,33.32,655.62,5982.72,146.6,0.0,3.12,0.0,0.0,20.185
2021-07-01 04:00:00+02:00,39.56,3493.2000000000003,32.83,658.0699999999999,6008.96,145.867,0.0,3.12,0.0,0.164,19.381999999999998
2021-07-01 05:00:00+02:00,52.67,3405.46,32.339999999999996,686.98,6159.84,145.867,0.0,3.096,0.0,4.715,18.183
2021-07-01 06:00:00+02:00,56.81,4106.56,32.339999999999996,808.01,7545.64,145.867,0.672,3.144,0.0,15.088000000000001,16.532999999999998
2021-07-01 07:00:00+02:00,57.27,4250.06,32.83,799.1899999999999,8130.3,146.6,0.096,3.384,0.0,32.964,14.872
2021-07-01 08:00:00+02:00,57.04,4273.84,33.81,759.5,8541.94,145.867,0.432,3.624,0.0,48.831,15.026
2021-07-01 09:00:00+02:00,56.81,4193.4800000000005,34.3,744.31,8437.800000000001,146.6,0.07200000000000001,3.504,0.0,64.247,18.205
2021-07-01 10:00:00+02:00,56.35,4185.280000000001,33.81,702.17,8309.060000000001,137.071,0.0,3.528,0.0,73.595,20.195999999999998
2021-07-01 11:00:00+02:00,56.35,4144.280000000001,33.32,695.8,8383.68,135.605,0.0,3.552,0.0,80.23700000000001,22.066
2021-07-01 12:00:00+02:00,57.04,4188.56,32.339999999999996,695.31,8453.380000000001,134.87199999999999,0.0,3.504,0.0,89.544,23.32
2021-07-01 13:00:00+02:00,57.04,4264.820000000001,30.87,773.71,8121.280000000001,134.139,0.0,3.504,0.0,95.44800000000001,22.209
2021-07-01 14:00:00+02:00,56.35,4196.76,30.38,805.0699999999999,8092.580000000001,134.87199999999999,0.0,3.48,0.0,80.77000000000001,22.506
