,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore
2021-06-30 23:00:00+01:00,90.62,1221.08,0.0,0.0,22.608,8.112,30.340000000000003,0.0,0.216,10.78
2021-07-01 00:00:00+01:00,91.77000000000001,1173.06,0.0,0.0,22.44,4.5120000000000005,30.340000000000003,0.0,0.192,10.087
2021-07-01 01:00:00+01:00,87.4,1092.21,0.0,0.0,16.584,3.456,30.340000000000003,0.0,0.20400000000000001,10.328999999999999
2021-07-01 02:00:00+01:00,91.54,1145.62,0.0,0.0,15.36,2.064,30.340000000000003,0.0,0.168,8.975999999999999
2021-07-01 03:00:00+01:00,92.46000000000001,1131.9,0.0,0.0,15.816,2.064,30.340000000000003,0.0,0.096,7.007
2021-07-01 04:00:00+01:00,92.69,1168.65,0.0,0.0,15.48,2.112,31.160000000000004,0.0,0.036000000000000004,5.709
2021-07-01 05:00:00+01:00,92.69,1185.31,0.0,0.28800000000000003,16.896,5.28,30.340000000000003,0.0,0.012,5.5
2021-07-01 06:00:00+01:00,92.46000000000001,1155.42,0.0,9.384,20.88,19.176000000000002,30.340000000000003,0.492,0.0,6.611
2021-07-01 07:00:00+01:00,92.0,1223.53,0.0,21.504,27.384,23.304000000000002,30.340000000000003,4.305000000000001,0.0,4.465999999999999
2021-07-01 08:00:00+01:00,86.71000000000001,1247.05,0.0,13.200000000000001,28.824,17.64,29.520000000000003,11.89,0.0,2.6069999999999998
2021-07-01 09:00:00+01:00,83.72,1240.19,0.0,10.488,23.832,16.008,29.520000000000003,20.541,0.0,1.397
2021-07-01 10:00:00+01:00,80.96000000000001,1231.86,0.0,7.08,19.152,9.288,29.520000000000003,26.773,0.0,0.7809999999999999
2021-07-01 11:00:00+01:00,79.81,1224.02,0.0,6.144,21.408,7.656000000000001,29.520000000000003,30.545,0.0,0.6599999999999999
2021-07-01 12:00:00+01:00,79.58,1176.49,0.0,0.0,18.048000000000002,1.8960000000000001,29.520000000000003,32.349000000000004,0.0,0.638
2021-07-01 13:00:00+01:00,79.35000000000001,1049.58,0.0,0.0,16.224,1.848,29.520000000000003,32.841,0.0,1.353
2021-07-01 14:00:00+01:00,81.65,1092.21,0.0,0.0,16.032,3.144,29.520000000000003,32.472,0.012,2.4859999999999998
2021-07-01 15:00:00+01:00,84.64,1061.34,0.0,0.0,14.568,7.752,30.340000000000003,30.873,0.024,3.6849999999999996
2021-07-01 16:00:00+01:00,79.58,1210.3,0.0,0.432,20.952,13.632,30.340000000000003,27.347,0.024,5.148
2021-07-01 17:00:00+01:00,81.65,1202.46,0.0,9.288,32.616,14.784,29.520000000000003,21.976000000000003,0.024,6.303
2021-07-01 18:00:00+01:00,86.25,1165.22,0.0,15.096,38.088,16.464,30.340000000000003,14.432,0.036000000000000004,6.2589999999999995
2021-07-01 19:00:00+01:00,87.63000000000001,1235.78,0.0,16.464,39.36,21.456,27.880000000000003,5.945,0.036000000000000004,6.566999999999999
2021-07-01 20:00:00+01:00,90.39,1224.51,0.0,25.272000000000002,37.368,20.496,29.520000000000003,0.984,0.084,6.8309999999999995
2021-07-01 21:00:00+01:00,90.85000000000001,1227.45,0.0,20.352,36.12,21.984,30.340000000000003,0.0,0.096,8.151
2021-07-01 22:00:00+01:00,91.31,1210.79,0.0,0.264,30.336000000000002,13.992,28.700000000000003,0.0,0.06,8.679
2021-07-01 23:00:00+01:00,91.31,1204.42,0.0,0.0,23.808,11.904,29.520000000000003,0.0,0.036000000000000004,8.03
2021-07-02 00:00:00+01:00,86.25,1066.24,0.0,0.0,20.928,6.12,31.160000000000004,0.0,0.024,6.478999999999999
