,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Run-of-river and poundage,Nuclear,Other,Other renewable,Waste,Wind Onshore
2021-08-01 01:00:00+03:00,34.5,35.28,0.0,0.18325,12.095,3.33,8.25,7.585000000000001,,8.29998,0.484
2021-08-01 02:00:00+03:00,34.3275,34.9125,0.0,0.18325,12.095,3.33,8.25,7.995000000000001,,8.530535,0.5307499999999999
2021-08-01 03:00:00+03:00,34.5,35.035,0.0,0.18325,12.095,3.0660000000000003,8.253,7.995000000000001,,8.29998,0.63525
2021-08-01 04:00:00+03:00,34.557500000000005,34.6675,0.0,0.18325,12.095,3.0420000000000003,8.256,7.995000000000001,,8.530535,0.8332499999999999
2021-08-01 05:00:00+03:00,34.5,34.545,0.0,0.18325,12.095,2.916,8.262,7.995000000000001,,8.29998,1.2045
2021-08-01 06:00:00+03:00,34.5,34.9125,0.0,0.18325,12.095,3.072,8.265,7.995000000000001,,8.29998,1.3584999999999998
2021-08-01 07:00:00+03:00,34.385,35.525,0.0,0.18325,12.095,3.18,8.268,7.380000000000001,,8.530535,1.2622499999999999
2021-08-01 08:00:00+03:00,34.3275,35.402499999999996,0.0,0.18325,12.095,3.612,8.265,7.380000000000001,,8.530535,0.9652499999999999
2021-08-01 09:00:00+03:00,34.2125,35.035,0.0,0.18325,12.095,3.696,8.265,6.765000000000001,,8.530535,0.73425
2021-08-01 10:00:00+03:00,34.155,34.055,0.0,0.18325,11.685,4.17,8.265,6.355,,8.530535,0.7699999999999999
2021-08-01 11:00:00+03:00,34.4425,34.79,0.0,0.18325,12.505,4.422,8.256,5.125,,8.530535,0.693
2021-08-01 12:00:00+03:00,34.557500000000005,34.79,0.0,0.18325,11.89,4.6080000000000005,8.256,4.715000000000001,,8.530535,0.6792499999999999
2021-08-01 13:00:00+03:00,34.6725,34.9125,0.0,0.18325,11.48,4.224,8.25,4.715000000000001,,8.530535,0.638
2021-08-01 14:00:00+03:00,34.3275,35.28,0.0,0.18325,11.48,4.38,8.25,4.715000000000001,,8.530535,0.5884999999999999
2021-08-01 15:00:00+03:00,34.27,34.6675,0.0,0.18325,11.48,3.996,8.247,4.715000000000001,,8.530535,0.7204999999999999
2021-08-01 16:00:00+03:00,34.4425,34.9125,0.0,0.18325,12.095,3.468,8.244,4.715000000000001,,8.530535,0.6545
2021-08-01 17:00:00+03:00,34.5,34.545,0.0,0.18325,12.095,3.516,8.244,4.715000000000001,,8.530535,0.60225
2021-08-01 18:00:00+03:00,34.7875,33.1975,0.0,0.18325,12.3,4.89,8.241,4.715000000000001,,8.530535,0.63525
2021-08-01 19:00:00+03:00,34.9025,28.2975,0.0,0.18325,12.3,5.886,8.235,4.715000000000001,,8.530535,0.5582499999999999
2021-08-01 20:00:00+03:00,34.557500000000005,34.055,0.0,0.18325,12.3,6.438,8.232,6.15,,8.530535,0.55275
2021-08-01 21:00:00+03:00,34.6725,33.1975,0.0,0.18325,12.3,5.82,8.235,6.5600000000000005,,8.530535,0.704
2021-08-01 22:00:00+03:00,34.6725,34.79,0.0,0.18325,12.3,6.126,8.235,6.970000000000001,,8.530535,0.8965
2021-08-01 23:00:00+03:00,34.6725,35.525,0.0,0.18325,12.505,5.088,8.235,7.380000000000001,,8.530535,1.02575
2021-08-02 00:00:00+03:00,33.925000000000004,34.79,0.0,0.18325,12.095,3.846,8.238,7.380000000000001,,8.29998,1.155
2021-08-02 01:00:00+03:00,33.292500000000004,31.36,0.0,0.18325,11.685,3.282,8.244,7.380000000000001,,8.530535,1.21275
2021-08-02 02:00:00+03:00,33.35,29.0325,0.0,0.18325,11.685,3.36,8.25,7.380000000000001,,8.530535,1.07525
2021-08-02 03:00:00+03:00,33.35,32.707499999999996,0.0,0.18325,11.685,3.222,8.25,7.995000000000001,,8.530535,1.00375
2021-08-02 04:00:00+03:00,33.120000000000005,36.015,0.0,0.18325,11.89,3.06,8.256,7.995000000000001,,8.530535,0.99
2021-08-02 05:00:00+03:00,33.120000000000005,36.015,0.0,0.18325,11.89,3.036,8.25,7.995000000000001,,8.530535,1.2017499999999999
2021-08-02 06:00:00+03:00,33.292500000000004,35.035,0.0,0.18325,11.89,4.734,8.247,7.995000000000001,,8.530535,1.144
2021-08-02 07:00:00+03:00,33.292500000000004,33.81,0.0,0.18325,12.505,6.534,8.244,7.995000000000001,,8.29998,1.023
2021-08-02 08:00:00+03:00,33.1775,32.339999999999996,0.0,0.18325,13.530000000000001,7.764,8.244,7.380000000000001,,8.069425,0.9514999999999999
2021-08-02 09:00:00+03:00,33.35,32.339999999999996,0.0,0.18325,13.735000000000001,8.778,8.247,7.175000000000001,,8.069425,1.034
2021-08-02 10:00:00+03:00,33.9825,32.095,0.0,0.18325,13.735000000000001,8.856,8.259,6.355,,8.530535,1.08625
2021-08-02 11:00:00+03:00,34.3275,32.4625,0.0,0.18325,13.735000000000001,9.192,8.256,5.945,,8.530535,1.1384999999999998
2021-08-02 12:00:00+03:00,35.0175,32.339999999999996,0.0,0.18325,13.940000000000001,9.498,8.25,5.33,,8.530535,1.1824999999999999
2021-08-02 13:00:00+03:00,33.925000000000004,34.3,0.0,0.18325,16.605,9.564,8.253,5.33,,8.530535,1.2485
2021-08-02 14:00:00+03:00,33.5225,32.4625,0.0,0.18325,21.115000000000002,9.42,8.253,5.125,,7.1472050000000005,1.2209999999999999
2021-08-02 15:00:00+03:00,33.752500000000005,32.83,0.0,0.18325,23.985000000000003,9.522,8.247,4.715000000000001,,7.1472050000000005,1.111
2021-08-02 16:00:00+03:00,34.557500000000005,33.6875,0.0,0.18325,24.19,7.95,8.247,4.715000000000001,,7.608315,1.07525
2021-08-02 17:00:00+03:00,35.075,33.4425,0.0,0.18325,24.805000000000003,7.194,8.247,4.715000000000001,,8.29998,1.1715
2021-08-02 18:00:00+03:00,35.305,33.6875,0.0,0.18325,24.6,6.954,8.247,5.125,,8.530535,1.3612499999999998
2021-08-02 19:00:00+03:00,35.1325,34.6675,0.0,0.18325,24.805000000000003,8.706,8.244,6.15,,8.530535,1.551
2021-08-02 20:00:00+03:00,34.7875,33.075,0.0,0.18325,24.19,8.394,8.253,6.15,,8.29998,1.6885
2021-08-02 21:00:00+03:00,34.6725,32.4625,0.0,0.18325,22.55,5.208,8.253,6.765000000000001,,8.530535,1.892
2021-08-02 22:00:00+03:00,34.3275,32.9525,0.0,0.18325,22.14,5.2860000000000005,8.253,7.175000000000001,,8.530535,2.1367499999999997
2021-08-02 23:00:00+03:00,34.27,33.075,0.0,0.18325,21.935000000000002,4.764,8.244,7.380000000000001,,8.069425,2.2137499999999997
2021-08-03 00:00:00+03:00,34.385,34.055,0.0,0.18325,21.32,4.5,8.241,7.380000000000001,,8.530535,2.4915
2021-08-03 01:00:00+03:00,34.385,35.1575,0.0,0.18325,21.32,4.0200000000000005,8.244,7.585000000000001,,8.530535,2.6592499999999997
2021-08-03 02:00:00+03:00,34.097500000000004,34.9125,0.0,0.18325,21.32,3.906,8.25,7.995000000000001,,8.530535,2.7885
