,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-01 00:00:00+02:00,64.4,615.4399999999999,0.0,2.7600000000000002,0.6,69.348,386.22,0.0,220.41058,5.088,3.9819999999999998
2021-08-01 01:00:00+02:00,64.4,648.27,0.0,4.08,0.624,69.372,376.38000000000005,0.0,218.56614000000002,3.3120000000000003,4.169
2021-08-01 02:00:00+02:00,64.17,634.55,0.0,3.456,0.624,69.384,380.48,0.0,213.95504,3.084,3.718
2021-08-01 03:00:00+02:00,64.63000000000001,584.5699999999999,0.0,0.888,0.624,69.396,328.0,0.0,217.64392,2.664,3.8829999999999996
2021-08-01 04:00:00+02:00,63.02,564.48,0.0,0.6,0.624,69.336,311.6,0.0,219.48836,1.8960000000000001,3.6519999999999997
2021-08-01 05:00:00+02:00,64.4,588.49,0.0,9.84,0.6960000000000001,69.336,331.28000000000003,0.0,218.56614000000002,1.788,3.4539999999999997
2021-08-01 06:00:00+02:00,63.940000000000005,641.41,0.0,13.224,0.6960000000000001,69.324,396.88000000000005,0.656,217.64392,1.104,2.695
2021-08-01 07:00:00+02:00,63.71,638.47,0.0,12.984,0.6960000000000001,69.312,460.02000000000004,6.191,217.64392,1.512,1.9689999999999999
2021-08-01 08:00:00+02:00,63.480000000000004,723.73,0.0,3.456,0.6960000000000001,69.36,537.1,16.482,219.48836,0.888,1.7269999999999999
2021-08-01 09:00:00+02:00,64.86,746.76,0.0,0.048,0.6960000000000001,69.36,561.7,31.447000000000003,220.41058,0.864,1.5619999999999998
2021-08-01 10:00:00+02:00,64.86,670.81,0.0,0.0,0.672,69.336,543.6600000000001,46.658,220.41058,1.848,2.09
2021-08-01 11:00:00+02:00,63.940000000000005,651.6999999999999,0.0,1.6320000000000001,0.672,69.3,504.3,57.564,218.56614000000002,1.32,2.585
2021-08-01 12:00:00+02:00,64.4,664.93,0.0,0.07200000000000001,0.672,69.384,523.98,57.195,219.48836,1.272,3.069
2021-08-01 13:00:00+02:00,64.4,723.73,0.0,12.072000000000001,0.672,69.396,547.76,64.165,218.56614000000002,1.536,3.1239999999999997
2021-08-01 14:00:00+02:00,64.4,720.3,0.0,12.144,0.672,69.384,550.22,57.81,219.48836,0.9480000000000001,4.411
2021-08-01 15:00:00+02:00,64.63000000000001,683.55,0.0,16.224,0.648,69.372,521.5200000000001,60.926,221.33280000000002,1.692,3.377
2021-08-01 16:00:00+02:00,64.63000000000001,696.29,0.0,15.912,0.648,69.396,511.68000000000006,51.701,218.56614000000002,1.6440000000000001,2.057
2021-08-01 17:00:00+02:00,64.4,698.74,0.0,6.768,0.648,69.372,510.86,39.811,218.56614000000002,0.252,1.892
2021-08-01 18:00:00+02:00,64.4,713.4399999999999,0.0,1.608,0.672,69.228,561.7,25.994,216.7217,0.456,1.232
2021-08-01 19:00:00+02:00,63.940000000000005,715.89,0.0,12.264000000000001,0.6,69.36,516.6,16.441,218.56614000000002,0.852,0.8029999999999999
2021-08-01 20:00:00+02:00,63.71,738.43,0.0,12.6,0.6,69.456,483.8,5.043,219.48836,0.6960000000000001,0.473
