,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore
2021-08-31 23:00:00+01:00,395.0,2749.0,151.0,88.0,347.0,145.0,33.0,0.0,0.0,484.0
2021-09-01 00:00:00+01:00,401.0,2180.0,150.0,0.0,97.0,48.0,35.0,0.0,0.0,509.0
2021-09-01 01:00:00+01:00,401.0,2023.0,150.0,0.0,18.0,42.0,35.0,0.0,0.0,486.0
2021-09-01 02:00:00+01:00,390.0,2007.0,150.0,0.0,16.0,35.0,35.0,0.0,0.0,403.0
2021-09-01 03:00:00+01:00,378.0,1929.0,150.0,0.0,17.0,35.0,35.0,0.0,1.0,467.0
2021-09-01 04:00:00+01:00,369.0,2195.0,110.0,0.0,16.0,35.0,34.0,0.0,0.0,752.0
2021-09-01 05:00:00+01:00,373.0,2640.0,100.0,64.0,161.0,35.0,29.0,0.0,0.0,928.0
2021-09-01 06:00:00+01:00,391.0,3062.0,223.0,67.0,661.0,245.0,35.0,0.0,0.0,963.0
2021-09-01 07:00:00+01:00,379.0,3205.0,221.0,211.0,725.0,106.0,34.0,23.0,0.0,1236.0
2021-09-01 08:00:00+01:00,380.0,3246.0,221.0,250.0,749.0,123.0,34.0,115.0,0.0,1295.0
2021-09-01 09:00:00+01:00,394.0,3238.0,221.0,122.0,878.0,265.0,34.0,216.0,0.0,1197.0
2021-09-01 10:00:00+01:00,402.0,3082.0,221.0,65.0,640.0,235.0,35.0,276.0,0.0,1135.0
2021-09-01 11:00:00+01:00,404.0,3226.0,221.0,66.0,661.0,55.0,34.0,390.0,0.0,822.0
2021-09-01 12:00:00+01:00,400.0,3164.0,221.0,66.0,116.0,46.0,34.0,458.0,0.0,436.0
2021-09-01 13:00:00+01:00,399.0,3092.0,220.0,66.0,154.0,96.0,34.0,541.0,0.0,431.0
2021-09-01 14:00:00+01:00,401.0,3115.0,182.0,66.0,112.0,62.0,34.0,611.0,0.0,403.0
2021-09-01 15:00:00+01:00,391.0,3072.0,182.0,66.0,93.0,43.0,35.0,560.0,1.0,367.0
2021-09-01 16:00:00+01:00,388.0,3147.0,181.0,85.0,168.0,49.0,35.0,481.0,0.0,357.0
2021-09-01 17:00:00+01:00,387.0,3151.0,181.0,540.0,664.0,337.0,34.0,376.0,2.0,451.0
2021-09-01 18:00:00+01:00,391.0,3185.0,220.0,385.0,714.0,311.0,35.0,174.0,2.0,699.0
2021-09-01 19:00:00+01:00,389.0,3215.0,220.0,459.0,999.0,352.0,35.0,31.0,2.0,626.0
2021-09-01 20:00:00+01:00,394.0,3212.0,221.0,1246.0,1124.0,212.0,35.0,0.0,1.0,398.0
2021-09-01 21:00:00+01:00,393.0,3208.0,220.0,383.0,1031.0,276.0,35.0,0.0,0.0,288.0
2021-09-01 22:00:00+01:00,396.0,3224.0,174.0,116.0,994.0,110.0,34.0,0.0,1.0,210.0
2021-09-01 23:00:00+01:00,401.0,3210.0,151.0,572.0,656.0,198.0,34.0,0.0,0.0,155.0
2021-09-02 00:00:00+01:00,401.0,2860.0,150.0,494.0,520.0,236.0,34.0,0.0,0.0,118.0
2021-09-02 01:00:00+01:00,404.0,2738.0,150.0,66.0,83.0,184.0,35.0,0.0,0.0,78.0
2021-09-02 02:00:00+01:00,404.0,2616.0,150.0,66.0,17.0,129.0,35.0,0.0,0.0,81.0
2021-09-02 03:00:00+01:00,402.0,2617.0,151.0,66.0,19.0,181.0,35.0,0.0,0.0,96.0
2021-09-02 04:00:00+01:00,401.0,2717.0,180.0,66.0,152.0,296.0,35.0,0.0,0.0,117.0
2021-09-02 05:00:00+01:00,401.0,3039.0,221.0,76.0,371.0,486.0,35.0,0.0,0.0,113.0
2021-09-02 06:00:00+01:00,402.0,2993.0,221.0,605.0,712.0,625.0,34.0,0.0,0.0,118.0
2021-09-02 07:00:00+01:00,393.0,3235.0,221.0,789.0,735.0,672.0,34.0,25.0,0.0,92.0
2021-09-02 08:00:00+01:00,390.0,3266.0,221.0,795.0,731.0,639.0,35.0,182.0,0.0,73.0
2021-09-02 09:00:00+01:00,383.0,3171.0,221.0,259.0,624.0,659.0,34.0,392.0,0.0,42.0
2021-09-02 10:00:00+01:00,378.0,3129.0,220.0,82.0,381.0,232.0,33.0,611.0,0.0,29.0
2021-09-02 11:00:00+01:00,379.0,3111.0,220.0,66.0,322.0,170.0,34.0,741.0,0.0,35.0
2021-09-02 12:00:00+01:00,378.0,3102.0,220.0,66.0,103.0,150.0,34.0,761.0,0.0,84.0
2021-09-02 13:00:00+01:00,374.0,3016.0,219.0,85.0,133.0,155.0,34.0,753.0,0.0,217.0
2021-09-02 14:00:00+01:00,377.0,2983.0,179.0,66.0,51.0,87.0,34.0,757.0,0.0,364.0
2021-09-02 15:00:00+01:00,375.0,2888.0,179.0,66.0,23.0,48.0,34.0,705.0,0.0,549.0
