,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore
2021-09-30 23:00:00+01:00,92.23,1395.03,120.54,21.048000000000002,14.424,11.304,27.880000000000003,0.0,0.3,6.457
2021-10-01 00:00:00+01:00,91.31,1338.68,106.60000000000001,20.664,8.88,17.304000000000002,29.520000000000003,0.0,0.24,5.39
2021-10-01 01:00:00+01:00,91.77000000000001,1329.37,115.62,20.352,6.48,18.48,29.520000000000003,0.0,0.228,5.521999999999999
2021-10-01 02:00:00+01:00,91.54,1333.29,82.0,17.088,4.248,10.104000000000001,28.700000000000003,0.0,0.18,6.314
2021-10-01 03:00:00+01:00,91.54,1323.0,81.18,8.784,2.4,6.744,27.880000000000003,0.0,0.168,6.742999999999999
2021-10-01 04:00:00+01:00,93.15,1318.1,82.0,5.208,2.352,7.488,28.700000000000003,0.0,0.096,6.5009999999999994
2021-10-01 05:00:00+01:00,93.61,1315.16,145.14000000000001,24.768,16.584,14.952,28.700000000000003,0.0,0.108,7.941999999999999
2021-10-01 06:00:00+01:00,93.15,1332.31,164.82000000000002,11.592,18.144000000000002,12.96,27.880000000000003,0.0,0.07200000000000001,8.525
2021-10-01 07:00:00+01:00,93.15,1390.1299999999999,164.82000000000002,17.592,21.288,14.52,27.880000000000003,0.369,0.024,8.293999999999999
2021-10-01 08:00:00+01:00,92.0,1385.23,164.82000000000002,21.504,20.664,11.784,27.880000000000003,7.175000000000001,0.0,7.491
2021-10-01 09:00:00+01:00,91.31,1381.8,162.36,14.472,12.096,11.688,27.880000000000003,16.441,0.0,5.632
2021-10-01 10:00:00+01:00,91.31,1333.29,115.62,11.88,3.72,11.688,28.700000000000003,21.566000000000003,0.0,5.082
2021-10-01 11:00:00+01:00,88.55,1344.07,82.0,9.120000000000001,2.184,12.912,28.700000000000003,27.839000000000002,0.0,4.015
2021-10-01 12:00:00+01:00,90.85000000000001,1344.07,106.60000000000001,7.344,1.104,6.5040000000000004,28.700000000000003,31.939,0.0,4.29
2021-10-01 13:00:00+01:00,92.23,1229.41,90.2,1.56,1.1280000000000001,4.32,29.520000000000003,33.989000000000004,0.0,5.247
2021-10-01 14:00:00+01:00,92.92,1170.12,87.74000000000001,1.536,0.984,1.296,28.700000000000003,33.087,0.0,6.358
2021-10-01 15:00:00+01:00,92.46000000000001,1129.94,87.74000000000001,1.44,1.08,0.84,29.520000000000003,30.176000000000002,0.0,7.832
2021-10-01 16:00:00+01:00,91.54,1364.6499999999999,118.08000000000001,1.536,1.224,1.224,29.520000000000003,24.231,0.0,8.58
2021-10-01 17:00:00+01:00,91.31,1486.66,191.06,1.584,1.68,2.664,29.520000000000003,14.596,0.0,7.887
2021-10-01 18:00:00+01:00,92.23,1570.94,174.66000000000003,13.152000000000001,19.728,16.272000000000002,29.520000000000003,3.608,0.0,7.699999999999999
2021-10-01 19:00:00+01:00,93.38000000000001,1552.32,197.62,18.912,30.792,19.248,29.520000000000003,0.041,0.0,8.645999999999999
2021-10-01 20:00:00+01:00,92.69,1542.03,197.62,18.696,28.464000000000002,19.032,29.520000000000003,0.0,0.0,10.439
2021-10-01 21:00:00+01:00,91.77000000000001,1555.75,178.76000000000002,5.28,20.472,11.328,29.520000000000003,0.0,0.0,10.383999999999999
2021-10-01 22:00:00+01:00,91.77000000000001,1486.17,164.0,4.368,8.616,4.344,29.520000000000003,0.0,0.0,9.273
2021-10-01 23:00:00+01:00,92.23,1283.8,80.36,17.616,6.36,15.0,29.520000000000003,0.0,0.0,7.138999999999999
2021-10-02 00:00:00+01:00,92.23,1109.85,0.0,21.240000000000002,5.64,17.04,29.520000000000003,0.0,0.0,6.941
2021-10-02 01:00:00+01:00,92.92,1110.83,0.0,15.216000000000001,5.904,11.184000000000001,28.700000000000003,0.0,0.0,6.754
2021-10-02 02:00:00+01:00,92.69,1095.6399999999999,0.0,5.976,6.768,11.064,28.700000000000003,0.0,0.024,6.468
2021-10-02 03:00:00+01:00,92.0,1149.05,0.0,6.288,4.5600000000000005,10.392,27.060000000000002,0.0,0.048,6.5889999999999995
2021-10-02 04:00:00+01:00,92.0,1119.65,0.0,2.952,0.216,7.224,27.060000000000002,0.0,0.048,6.369
2021-10-02 05:00:00+01:00,92.69,1118.67,0.0,2.856,5.496,3.168,27.060000000000002,0.0,0.07200000000000001,7.491
2021-10-02 06:00:00+01:00,91.54,1073.1,0.0,1.536,7.2,2.136,25.42,0.0,0.12,8.613
2021-10-02 07:00:00+01:00,91.31,1090.74,0.0,2.544,7.968,1.728,26.240000000000002,0.246,0.132,10.439
2021-10-02 08:00:00+01:00,90.16000000000001,1079.47,0.0,1.536,8.184000000000001,0.84,27.060000000000002,2.501,0.20400000000000001,10.901
2021-10-02 09:00:00+01:00,90.62,851.13,0.0,1.536,3.8160000000000003,0.024,27.060000000000002,5.33,0.20400000000000001,10.054
2021-10-02 10:00:00+01:00,89.93,573.79,0.0,1.536,3.504,0.096,27.060000000000002,9.594000000000001,0.276,10.923
2021-10-02 11:00:00+01:00,89.7,404.74,0.0,0.024,5.304,1.824,27.060000000000002,15.375,0.3,10.934
2021-10-02 12:00:00+01:00,89.93,239.60999999999999,0.0,0.0,5.688,0.888,27.060000000000002,21.73,0.28800000000000003,12.155
2021-10-02 13:00:00+01:00,89.7,182.77,0.0,0.0,5.304,0.024,26.240000000000002,25.256,0.3,14.277999999999999
2021-10-02 14:00:00+01:00,89.24000000000001,147.98,0.0,0.0,5.208,0.0,26.240000000000002,27.429000000000002,0.3,18.293
2021-10-02 15:00:00+01:00,88.55,147.0,0.0,0.0,6.408,0.0,25.42,25.256,0.228,22.176
2021-10-02 16:00:00+01:00,86.94,147.98,0.0,0.0,6.456,0.024,22.14,18.737000000000002,0.3,24.673
2021-10-02 17:00:00+01:00,87.4,148.47,0.0,0.0,7.6080000000000005,0.024,22.14,11.808,0.3,25.904999999999998
2021-10-02 18:00:00+01:00,87.4,151.41,0.0,0.312,7.152,0.384,21.32,3.198,0.3,27.357
2021-10-02 19:00:00+01:00,87.4,154.84,0.0,9.888,5.04,5.16,21.32,0.041,0.3,29.160999999999998
2021-10-02 20:00:00+01:00,86.94,169.04999999999998,0.0,10.848,3.528,3.936,20.5,0.0,0.3,32.285
2021-10-02 21:00:00+01:00,87.4,170.03,0.0,2.52,2.376,2.328,21.32,0.0,0.3,34.550999999999995
2021-10-02 22:00:00+01:00,87.4,143.57,0.0,1.224,3.72,1.608,21.32,0.0,0.3,37.785
2021-10-02 23:00:00+01:00,86.71000000000001,141.12,0.0,0.0,2.856,2.136,21.32,0.0,0.3,41.074
2021-10-03 00:00:00+01:00,88.09,137.2,0.0,0.0,3.456,2.664,20.5,0.0,0.12,42.471
2021-10-03 01:00:00+01:00,88.09,137.2,0.0,0.0,7.848,1.704,21.32,0.0,0.108,43.494
2021-10-03 02:00:00+01:00,89.24000000000001,137.2,0.0,0.0,2.88,1.56,20.5,0.0,0.28800000000000003,43.857
2021-10-03 03:00:00+01:00,87.17,136.71,0.0,0.0,3.12,1.6560000000000001,20.5,0.0,0.228,42.547999999999995
2021-10-03 04:00:00+01:00,85.33,136.71,0.0,0.0,3.696,1.8960000000000001,19.68,0.0,0.132,39.094
2021-10-03 05:00:00+01:00,86.71000000000001,136.22,0.0,0.0,3.648,1.824,20.5,0.0,0.276,35.650999999999996
2021-10-03 06:00:00+01:00,89.01,136.71,0.0,0.0,3.624,2.232,20.5,0.0,0.216,40.413999999999994
2021-10-03 07:00:00+01:00,88.32000000000001,138.18,0.0,0.0,4.32,2.2560000000000002,19.68,0.041,0.192,39.281
2021-10-03 08:00:00+01:00,88.32000000000001,139.16,0.0,0.0,8.952,3.744,18.860000000000003,1.845,0.024,34.672
2021-10-03 09:00:00+01:00,88.55,123.97,0.0,0.0,16.32,3.528,18.860000000000003,7.7490000000000006,0.0,28.049999999999997
2021-10-03 10:00:00+01:00,88.32000000000001,122.5,0.0,0.0,12.72,2.7840000000000003,20.5,16.974,0.0,27.401
2021-10-03 11:00:00+01:00,87.17,123.48,0.0,0.0,9.84,1.608,20.5,25.707,0.0,28.688
2021-10-03 12:00:00+01:00,89.24000000000001,123.48,0.0,0.0,9.768,1.6560000000000001,21.32,28.003,0.0,28.479
2021-10-03 13:00:00+01:00,89.24000000000001,123.97,0.0,0.0,5.5200000000000005,1.56,20.5,31.57,0.0,27.115
2021-10-03 14:00:00+01:00,89.01,123.48,0.0,0.0,5.5200000000000005,1.488,21.32,32.226,0.0,27.258
2021-10-03 15:00:00+01:00,88.55,126.91,0.0,0.0,4.44,1.584,21.32,30.299000000000003,0.0,29.843
2021-10-03 16:00:00+01:00,88.32000000000001,142.59,0.0,0.0,5.328,1.752,22.14,25.953,0.0,30.854999999999997
2021-10-03 17:00:00+01:00,89.47,143.57,0.0,0.0,6.024,1.944,22.14,14.596,0.012,27.665
2021-10-03 18:00:00+01:00,89.7,142.1,0.0,0.0,6.024,1.992,21.32,3.4850000000000003,0.0,23.671999999999997
2021-10-03 19:00:00+01:00,90.16000000000001,140.14,0.0,6.312,14.544,1.968,21.32,0.0,0.0,19.426
2021-10-03 20:00:00+01:00,90.62,140.63,0.0,11.688,14.232000000000001,2.16,22.14,0.0,0.0,14.915999999999999
2021-10-03 21:00:00+01:00,90.39,141.12,0.0,4.464,10.104000000000001,1.872,22.14,0.0,0.0,12.815
2021-10-03 22:00:00+01:00,91.08,141.60999999999999,0.0,2.544,2.208,2.52,22.14,0.0,0.0,11.385
2021-10-03 23:00:00+01:00,92.0,142.59,0.0,0.096,0.36,7.2,22.14,0.0,0.0,12.683
2021-10-04 00:00:00+01:00,91.77000000000001,141.60999999999999,0.0,1.44,1.176,6.672,21.32,0.0,0.0,16.125999999999998
2021-10-04 01:00:00+01:00,89.93,141.60999999999999,0.0,0.0,0.312,7.392,20.5,0.0,0.0,16.676
2021-10-04 02:00:00+01:00,91.08,143.57,0.0,0.0,0.36,6.648000000000001,22.14,0.0,0.0,16.686999999999998
2021-10-04 03:00:00+01:00,90.85000000000001,143.57,0.0,0.0,0.384,6.912,21.32,0.0,0.012,16.576999999999998
2021-10-04 04:00:00+01:00,90.16000000000001,248.43,0.0,0.0,0.336,6.984,20.5,0.0,0.024,15.861999999999998
2021-10-04 05:00:00+01:00,90.16000000000001,458.15,0.0,0.216,2.112,5.952,20.5,0.0,0.0,16.764
2021-10-04 06:00:00+01:00,89.7,759.5,0.0,20.28,8.784,10.152000000000001,20.5,0.0,0.024,13.518999999999998
2021-10-04 07:00:00+01:00,89.24000000000001,823.1999999999999,0.0,35.376,12.24,16.32,20.5,0.123,0.012,12.133
2021-10-04 08:00:00+01:00,90.62,818.3,0.0,26.592000000000002,10.896,9.84,21.32,6.601,0.036000000000000004,11.517
2021-10-04 09:00:00+01:00,90.85000000000001,674.73,0.0,2.7840000000000003,4.848,1.1280000000000001,21.32,19.188000000000002,0.048,8.777999999999999
2021-10-04 10:00:00+01:00,90.39,709.03,0.0,0.0,4.8,0.84,23.78,28.044,0.07200000000000001,6.3469999999999995
