,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore
2021-10-01 00:00:00+02:00,54.28,3188.1600000000003,28.91,882.0,7093.000000000001,155.396,0.0,4.08,0.0,0.0,11.484
2021-10-01 01:00:00+02:00,53.59,2875.7400000000002,28.419999999999998,868.77,6765.820000000001,155.396,0.0,3.96,0.0,0.0,10.142
2021-10-01 02:00:00+02:00,53.82,2970.0400000000004,28.91,874.16,6708.42,155.396,0.0,3.96,0.0,0.0,10.417
2021-10-01 03:00:00+02:00,54.28,3099.6000000000004,30.87,860.93,6689.56,155.396,0.0,3.912,0.0,0.0,11.197999999999999
2021-10-01 04:00:00+02:00,55.43,3231.6200000000003,30.87,856.52,6711.700000000001,155.396,0.0,3.936,0.0,0.0,12.815
2021-10-01 05:00:00+02:00,56.120000000000005,3321.82,30.38,861.42,7151.22,155.396,0.0,3.936,0.0,0.0,14.443
2021-10-01 06:00:00+02:00,56.35,3620.3,30.38,886.41,8645.26,155.396,0.0,3.936,0.0,0.328,16.401
2021-10-01 07:00:00+02:00,56.580000000000005,3684.26,26.46,840.35,8952.76,155.396,0.096,4.032,0.0,5.822,18.502
2021-10-01 08:00:00+02:00,57.04,3770.36,27.439999999999998,870.73,8794.5,156.129,2.904,4.368,0.912,26.322000000000003,16.753
2021-10-01 09:00:00+02:00,56.580000000000005,3738.38,27.439999999999998,897.1899999999999,8902.74,156.129,2.712,5.016,1.032,51.168,12.1
2021-10-01 10:00:00+02:00,56.81,3636.7000000000003,27.439999999999998,863.87,8342.68,155.396,0.0,4.992,1.032,68.921,11.142999999999999
2021-10-01 11:00:00+02:00,57.04,3545.6800000000003,26.46,839.37,8127.02,156.129,0.0,4.5120000000000005,0.12,85.485,15.84
2021-10-01 12:00:00+02:00,57.5,3471.88,25.48,848.1899999999999,7361.14,156.129,0.0,4.272,0.0,93.02900000000001,19.822
2021-10-01 13:00:00+02:00,56.81,3438.26,32.339999999999996,881.02,7061.84,156.129,0.0,4.224,0.0,87.20700000000001,20.921999999999997
2021-10-01 14:00:00+02:00,56.580000000000005,3520.26,33.32,924.63,7270.120000000001,156.129,0.0,4.224,0.0,81.18,20.657999999999998
2021-10-01 15:00:00+02:00,56.580000000000005,3686.7200000000003,32.339999999999996,941.29,7687.500000000001,156.129,0.0,4.248,0.0,64.616,19.514
2021-10-01 16:00:00+02:00,56.580000000000005,3794.9600000000005,31.849999999999998,882.98,8107.340000000001,156.129,0.0,4.248,0.912,46.904,17.578
2021-10-01 17:00:00+02:00,57.27,4023.7400000000002,30.87,851.13,8732.18,156.129,2.568,4.152,1.032,23.37,16.269
2021-10-01 18:00:00+02:00,57.27,3967.9800000000005,30.87,796.25,9038.86,156.129,8.496,5.112,1.032,4.428,20.811999999999998
2021-10-01 19:00:00+02:00,56.580000000000005,3901.5600000000004,31.849999999999998,755.58,8644.44,156.129,17.688,5.5680000000000005,1.032,0.0,31.723999999999997
2021-10-01 20:00:00+02:00,56.580000000000005,3730.1800000000003,31.36,776.65,8095.040000000001,156.862,14.736,5.64,1.032,0.0,38.445
2021-10-01 21:00:00+02:00,56.580000000000005,3545.6800000000003,31.36,850.15,7743.26,156.862,1.776,5.448,0.12,0.0,39.214999999999996
2021-10-01 22:00:00+02:00,53.13,3422.6800000000003,31.36,833.0,7025.76,156.862,0.0,4.872,0.0,0.0,36.751
2021-10-01 23:00:00+02:00,56.35,3145.5200000000004,31.849999999999998,803.6,6635.4400000000005,156.862,0.0,4.104,0.0,0.0,34.891999999999996
2021-10-02 00:00:00+02:00,54.050000000000004,3149.6200000000003,32.339999999999996,772.24,6158.200000000001,156.862,0.0,3.912,0.0,0.0,33.275
2021-10-02 01:00:00+02:00,52.900000000000006,2873.28,32.339999999999996,758.03,6064.72,156.862,0.0,3.912,0.0,0.0,30.854999999999997
2021-10-02 02:00:00+02:00,53.36,2690.42,32.339999999999996,753.62,6051.6,156.862,0.0,3.96,0.0,0.0,29.171999999999997
2021-10-02 03:00:00+02:00,53.82,2665.0,31.849999999999998,748.23,5949.92,156.862,0.0,3.96,0.0,0.0,28.523
2021-10-02 04:00:00+02:00,53.36,2941.34,30.87,749.21,5981.900000000001,156.862,0.0,3.96,0.0,0.0,27.180999999999997
2021-10-02 05:00:00+02:00,53.59,3003.6600000000003,31.36,751.17,5998.3,156.862,0.0,3.936,0.0,0.0,26.509999999999998
2021-10-02 06:00:00+02:00,54.97,3001.2000000000003,31.849999999999998,769.3,6023.72,156.862,0.0,4.008,0.0,0.123,26.125
2021-10-02 07:00:00+02:00,53.82,3205.38,32.339999999999996,788.9,6663.320000000001,157.595,0.0,4.008,0.0,4.92,24.761
2021-10-02 08:00:00+02:00,54.510000000000005,3276.7200000000003,31.849999999999998,792.33,7388.200000000001,156.862,0.432,4.08,0.0,19.598000000000003,20.701999999999998
2021-10-02 09:00:00+02:00,54.510000000000005,3271.8,32.339999999999996,808.01,7681.76,156.862,0.48,4.488,0.912,40.426,16.587999999999997
2021-10-02 10:00:00+02:00,55.660000000000004,3254.5800000000004,33.32,807.52,7445.6,156.862,0.048,4.5600000000000005,1.032,65.19,15.29
2021-10-02 11:00:00+02:00,55.660000000000004,3204.5600000000004,33.32,804.58,6961.8,156.862,0.0,4.224,1.032,79.212,15.927999999999999
2021-10-02 12:00:00+02:00,55.660000000000004,3148.8,33.81,783.51,6332.040000000001,156.862,0.0,4.056,1.032,92.004,17.413
2021-10-02 13:00:00+02:00,55.43,2912.6400000000003,34.3,758.03,5728.52,156.862,0.0,4.032,0.12,94.054,17.346999999999998
2021-10-02 14:00:00+02:00,55.660000000000004,2619.9,34.79,760.48,5680.96,156.862,0.0,4.032,0.0,85.321,17.017
2021-10-02 15:00:00+02:00,55.2,2656.8,35.28,761.46,5748.200000000001,156.862,1.68,3.984,0.0,66.092,15.421999999999999
2021-10-02 16:00:00+02:00,55.43,3207.84,35.28,775.18,6107.360000000001,156.862,4.5600000000000005,3.984,0.0,45.879000000000005,13.673
2021-10-02 17:00:00+02:00,49.22,3465.32,35.769999999999996,813.89,6640.360000000001,156.862,9.528,4.104,0.912,19.803,13.266
2021-10-02 18:00:00+02:00,39.33,3412.0200000000004,35.769999999999996,815.36,6976.56,156.862,18.504,4.464,1.032,2.501,19.613
2021-10-02 19:00:00+02:00,40.25,3445.6400000000003,35.28,803.11,6527.200000000001,156.862,22.248,4.944,1.032,0.0,29.941999999999997
2021-10-02 20:00:00+02:00,54.050000000000004,3208.6600000000003,34.79,784.98,5663.740000000001,156.862,18.432000000000002,5.232,1.032,0.0,36.817
2021-10-02 21:00:00+02:00,55.660000000000004,2907.7200000000003,35.28,769.3,5316.88,156.862,8.040000000000001,5.04,1.032,0.0,38.159
