,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore
2021-10-01 00:00:00+02:00,,42.63,3.72,23.712,197.352,0.0,,20.28884,26.157999999999998
2021-10-01 01:00:00+02:00,,42.14,2.496,23.616,176.328,0.0,,19.36662,28.27
2021-10-01 02:00:00+02:00,,42.14,2.424,23.568,157.728,0.0,,16.59996,28.171
2021-10-01 03:00:00+02:00,,42.63,2.688,23.592,156.528,0.0,,15.67774,28.159999999999997
2021-10-01 04:00:00+02:00,,42.14,2.7600000000000002,23.808,159.72,0.0,,15.67774,26.697
2021-10-01 05:00:00+02:00,,42.14,4.104,24.024,180.48,0.0,,15.67774,24.628999999999998
2021-10-01 06:00:00+02:00,,42.14,7.248,24.408,238.32,0.0,,17.522180000000002,22.682
2021-10-01 07:00:00+02:00,,42.14,13.416,25.032,268.92,0.0,,16.59996,21.362
2021-10-01 08:00:00+02:00,,42.14,14.76,25.344,278.37600000000003,0.0,,16.59996,21.570999999999998
2021-10-01 09:00:00+02:00,,42.14,15.144,25.608,278.112,0.0,,16.59996,21.967
2021-10-01 10:00:00+02:00,,42.14,8.376,25.704,268.152,0.0,,15.67774,23.264999999999997
2021-10-01 11:00:00+02:00,,42.14,5.976,25.944,243.792,0.0,,14.75552,24.607
2021-10-01 12:00:00+02:00,,42.14,7.008,26.16,220.08,0.0,,15.67774,26.982999999999997
2021-10-01 13:00:00+02:00,,42.14,6.6240000000000006,26.808,208.344,0.0,,12.91108,29.061999999999998
2021-10-01 14:00:00+02:00,,42.14,5.016,26.448,223.68,0.0,,11.98886,29.557
2021-10-01 15:00:00+02:00,,42.14,4.992,26.448,221.136,0.0,,10.14442,29.139
2021-10-01 16:00:00+02:00,,42.14,4.824,26.496000000000002,244.92000000000002,0.0,,11.06664,29.127999999999997
2021-10-01 17:00:00+02:00,,42.14,8.352,26.592000000000002,254.568,0.0,,11.98886,28.534
2021-10-01 18:00:00+02:00,,42.14,12.120000000000001,26.976,253.032,0.0,,12.91108,29.677999999999997
2021-10-01 19:00:00+02:00,,42.14,12.24,27.312,248.448,0.0,,12.91108,30.073999999999998
2021-10-01 20:00:00+02:00,,42.14,10.944,27.624000000000002,231.38400000000001,0.0,,15.67774,29.930999999999997
2021-10-01 21:00:00+02:00,,42.14,9.120000000000001,27.72,222.12,0.0,,13.833300000000001,28.544999999999998
2021-10-01 22:00:00+02:00,,42.14,11.184000000000001,28.032,208.104,0.0,,13.833300000000001,25.113
