,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Waste,Wind Onshore
2021-10-01 00:00:00+02:00,166.06,235.2,5543.86,1894.2,307.127,24.244,0.0,47.136,6.24,1264.44,0.0,16.59996,24.474999999999998
2021-10-01 01:00:00+02:00,167.21,235.69,4613.35,2259.92,358.437,24.282,,46.32,3.528,1178.3400000000001,0.0,14.75552,24.529999999999998
2021-10-01 02:00:00+02:00,167.21,235.69,4351.69,2342.7400000000002,335.714,24.282,0.0,44.472,3.624,1166.0400000000002,0.0,13.833300000000001,25.090999999999998
2021-10-01 03:00:00+02:00,164.22,236.18,4166.96,2346.84,352.573,24.32,0.0,43.728,4.416,1242.3000000000002,0.0,15.67774,23.814999999999998
2021-10-01 04:00:00+02:00,146.74,235.2,4397.75,2300.1000000000004,359.17,24.32,0.0,44.376,4.056,1275.1000000000001,0.0,15.67774,22.384999999999998
2021-10-01 05:00:00+02:00,148.81,236.18,5131.28,2277.1400000000003,362.102,24.396,0.0,47.472,6.36,1333.3200000000002,0.0,16.59996,19.887999999999998
2021-10-01 06:00:00+02:00,157.55,236.18,6376.86,2267.3,392.155,24.396,2.952,61.032000000000004,9.816,1525.2,0.0,18.4444,18.194
2021-10-01 07:00:00+02:00,161.46,240.1,7895.37,2189.4,388.49,24.434,23.664,81.144,19.152,1635.9,13.899000000000001,19.36662,17.137999999999998
2021-10-01 08:00:00+02:00,161.92000000000002,240.1,8318.24,2171.36,364.301,24.434,32.016,101.44800000000001,21.552,1583.42,99.876,19.36662,13.629
2021-10-01 09:00:00+02:00,155.25,239.60999999999999,8004.15,2168.0800000000004,330.58299999999997,24.358,13.08,98.11200000000001,18.984,1494.8600000000001,201.966,19.36662,13.706
2021-10-01 10:00:00+02:00,153.18,239.12,7572.46,2048.36,367.233,23.902,7.032,81.432,16.968,1458.7800000000002,279.90700000000004,20.28884,12.386
2021-10-01 11:00:00+02:00,157.78,239.60999999999999,7727.3,1640.0000000000002,314.457,23.902,4.872,66.0,13.848,1500.6000000000001,322.38300000000004,20.28884,10.274
2021-10-01 12:00:00+02:00,161.69,241.07999999999998,7648.41,1662.96,310.05899999999997,24.168,0.648,58.752,11.88,1472.72,333.002,22.13328,9.724
2021-10-01 13:00:00+02:00,162.15,242.06,7561.19,1445.66,277.807,24.13,0.624,55.944,11.832,1476.0,334.027,20.28884,10.186
2021-10-01 14:00:00+02:00,163.07,242.06,7984.55,1521.92,341.578,24.016,2.16,56.808,12.216000000000001,1502.24,322.096,22.13328,10.571
2021-10-01 15:00:00+02:00,163.3,242.06,7847.349999999999,1724.46,276.341,24.016,3.552,58.272,12.768,1557.18,285.36,19.36662,11.253
2021-10-01 16:00:00+02:00,163.76000000000002,243.53,8279.53,1697.4,300.53,23.977999999999998,,61.872,14.256,1619.5000000000002,214.67600000000002,18.4444,13.86
2021-10-01 17:00:00+02:00,162.38,243.53,8585.78,1661.3200000000002,358.437,23.977999999999998,13.08,75.144,19.776,1685.1000000000001,100.20400000000001,18.4444,13.321
2021-10-01 18:00:00+02:00,161.23000000000002,243.53,9083.619999999999,1669.5200000000002,412.679,23.902,29.352,107.928,24.288,1725.2800000000002,10.414,18.4444,11.825
2021-10-01 19:00:00+02:00,158.47,243.53,9571.17,1398.92,408.281,23.977999999999998,50.184,118.464,26.16,1731.0200000000002,0.0,17.522180000000002,9.536999999999999
2021-10-01 20:00:00+02:00,155.71,243.53,9242.869999999999,1411.22,411.94599999999997,24.016,30.240000000000002,120.384,27.408,1708.0600000000002,0.0,18.4444,7.326
2021-10-01 21:00:00+02:00,154.33,244.01999999999998,8739.64,1467.8000000000002,407.548,24.054,10.464,78.384,18.984,1662.96,0.0,20.28884,6.0169999999999995
2021-10-01 22:00:00+02:00,154.33,244.01999999999998,7664.09,1414.5,370.165,24.092,8.232,66.408,16.536,1569.48,0.0,21.21106,5.1259999999999994
2021-10-01 23:00:00+02:00,154.79000000000002,244.51,7032.48,1570.3000000000002,377.495,24.168,3.8160000000000003,58.992000000000004,15.120000000000001,1477.64,0.0,20.28884,5.137
2021-10-02 00:00:00+02:00,157.32,241.57,5738.39,1376.7800000000002,322.52,24.32,4.992,60.168,15.24,1245.5800000000002,0.0,21.21106,4.949999999999999
