,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-10-01 00:00:00+02:00,107.64,0.0,0.0,5049.94,782.2800000000001,124.61,0.0,0.0,0.0,11.424,47.88,0.0,83.124,47.56,,4.1000000000000005,299.7215,0.0,12.947
2021-10-01 01:00:00+02:00,109.25,0.0,0.0,4886.7699999999995,667.48,123.14399999999999,0.0,0.0,0.0,11.304,37.488,0.0,83.08800000000001,49.2,,1.7630000000000001,306.17704000000003,0.0,11.318999999999999
2021-10-01 02:00:00+02:00,108.56,0.0,0.0,4630.5,582.2,123.877,0.0,0.0,0.0,11.136000000000001,28.008,0.0,83.07600000000001,45.92,,0.6970000000000001,302.48816,0.0,10.978
2021-10-01 03:00:00+02:00,106.95,0.0,0.0,4802.0,471.50000000000006,117.28,0.0,0.0,0.0,11.424,22.968,0.0,83.08800000000001,46.74,,0.6970000000000001,303.41038000000003,0.0,11.33
2021-10-01 04:00:00+02:00,107.41000000000001,0.0,0.0,4875.01,453.46000000000004,115.081,0.0,0.0,0.0,11.76,26.424,0.0,83.10000000000001,47.56,,0.6970000000000001,303.41038000000003,0.0,11.450999999999999
2021-10-01 05:00:00+02:00,107.41000000000001,0.0,0.0,5067.58,440.34000000000003,116.547,0.0,0.0,0.0,11.712,27.0,0.0,83.136,47.56,,0.6970000000000001,300.64372000000003,0.0,13.915
2021-10-01 06:00:00+02:00,107.41000000000001,0.0,0.0,4914.7,440.34000000000003,116.547,0.0,0.0,0.0,11.832,23.76,0.0,83.124,46.74,,0.6970000000000001,305.25482,0.0,17.237
2021-10-01 07:00:00+02:00,107.87,0.0,0.0,5469.87,441.16,118.01299999999999,0.0,0.0,0.0,12.144,68.16,0.0,83.196,47.56,,2.214,300.64372000000003,0.0,19.183999999999997
2021-10-01 08:00:00+02:00,103.27000000000001,0.0,0.0,5469.38,440.34000000000003,120.945,0.0,0.0,0.0,12.264000000000001,78.792,0.0,83.268,50.02,,13.858,293.26596,0.0,21.593
2021-10-01 09:00:00+02:00,106.95,0.0,0.0,5296.41,441.16,126.076,0.0,0.0,0.0,12.264000000000001,68.04,0.0,83.268,51.660000000000004,,100.491,290.4993,0.0,21.912
