,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore
2021-10-01 00:00:00+02:00,,87.0,155.0,988.0,8223.0,0.0,59.0,22.0,2378.0
2021-10-01 01:00:00+02:00,,86.0,104.0,984.0,7347.0,0.0,59.0,21.0,2570.0
2021-10-01 02:00:00+02:00,,86.0,101.0,982.0,6572.0,0.0,58.0,18.0,2561.0
2021-10-01 03:00:00+02:00,,87.0,112.0,983.0,6522.0,0.0,59.0,17.0,2560.0
2021-10-01 04:00:00+02:00,,86.0,115.0,992.0,6655.0,0.0,60.0,17.0,2427.0
2021-10-01 05:00:00+02:00,,86.0,171.0,1001.0,7520.0,0.0,60.0,17.0,2239.0
2021-10-01 06:00:00+02:00,,86.0,302.0,1017.0,9930.0,0.0,62.0,19.0,2062.0
2021-10-01 07:00:00+02:00,,86.0,559.0,1043.0,11205.0,0.0,60.0,18.0,1942.0
2021-10-01 08:00:00+02:00,,86.0,615.0,1056.0,11599.0,0.0,59.0,18.0,1961.0
2021-10-01 09:00:00+02:00,,86.0,631.0,1067.0,11588.0,0.0,58.0,18.0,1997.0
2021-10-01 10:00:00+02:00,,86.0,349.0,1071.0,11173.0,0.0,60.0,17.0,2115.0
2021-10-01 11:00:00+02:00,,86.0,249.0,1081.0,10158.0,0.0,61.0,16.0,2237.0
2021-10-01 12:00:00+02:00,,86.0,292.0,1090.0,9170.0,0.0,54.0,17.0,2453.0
2021-10-01 13:00:00+02:00,,86.0,276.0,1117.0,8681.0,0.0,55.0,14.0,2642.0
2021-10-01 14:00:00+02:00,,86.0,209.0,1102.0,9320.0,0.0,57.0,13.0,2687.0
2021-10-01 15:00:00+02:00,,86.0,208.0,1102.0,9214.0,0.0,52.0,11.0,2649.0
2021-10-01 16:00:00+02:00,,86.0,201.0,1104.0,10205.0,0.0,54.0,12.0,2648.0
2021-10-01 17:00:00+02:00,,86.0,348.0,1108.0,10607.0,0.0,59.0,13.0,2594.0
2021-10-01 18:00:00+02:00,,86.0,505.0,1124.0,10543.0,0.0,59.0,14.0,2698.0
2021-10-01 19:00:00+02:00,,86.0,510.0,1138.0,10352.0,0.0,58.0,14.0,2734.0
2021-10-01 20:00:00+02:00,,86.0,456.0,1151.0,9641.0,0.0,58.0,17.0,2721.0
2021-10-01 21:00:00+02:00,,86.0,380.0,1155.0,9255.0,0.0,57.0,15.0,2595.0
2021-10-01 22:00:00+02:00,,86.0,466.0,1168.0,8671.0,0.0,57.0,15.0,2283.0
2021-10-01 23:00:00+02:00,,86.0,499.0,1168.0,8294.0,0.0,58.0,18.0,2209.0
2021-10-02 00:00:00+02:00,,86.0,380.0,1183.0,8813.0,0.0,59.0,18.0,2131.0
