,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
2021-10-01 00:00:00+02:00,135.48,65.7,554.32,49.599
2021-10-01 01:00:00+02:00,124.536,65.748,546.12,51.974999999999994
2021-10-01 02:00:00+02:00,121.392,65.772,540.38,52.645999999999994
2021-10-01 03:00:00+02:00,107.904,65.772,544.48,55.032999999999994
2021-10-01 04:00:00+02:00,110.592,65.796,557.6,56.848
2021-10-01 05:00:00+02:00,125.11200000000001,65.82000000000001,574.82,58.76199999999999
2021-10-01 06:00:00+02:00,140.04,65.84400000000001,608.44,61.446
2021-10-01 07:00:00+02:00,160.272,65.83200000000001,652.72,65.615
2021-10-01 08:00:00+02:00,161.448,65.84400000000001,692.08,68.48599999999999
2021-10-01 09:00:00+02:00,155.304,65.856,717.5,70.862
2021-10-01 10:00:00+02:00,156.816,65.868,715.86,73.447
2021-10-01 11:00:00+02:00,152.328,65.856,737.1800000000001,75.262
2021-10-01 12:00:00+02:00,148.704,65.304,732.2600000000001,75.449
2021-10-01 13:00:00+02:00,145.344,65.004,738.0,76.175
2021-10-01 14:00:00+02:00,138.792,63.012,717.5,77.30799999999999
2021-10-01 15:00:00+02:00,137.4,62.424,703.5600000000001,79.48599999999999
2021-10-01 16:00:00+02:00,136.8,62.376000000000005,692.08,80.729
2021-10-01 17:00:00+02:00,135.792,62.364000000000004,673.22,82.467
2021-10-01 18:00:00+02:00,126.936,61.824,665.84,84.051
2021-10-01 19:00:00+02:00,123.912,59.244,667.48,85.591
2021-10-01 20:00:00+02:00,117.648,57.864000000000004,637.96,85.184
2021-10-01 21:00:00+02:00,112.512,55.968,572.36,86.097
2021-10-01 22:00:00+02:00,104.664,54.06,501.02000000000004,85.976
2021-10-01 23:00:00+02:00,101.496,53.988,483.8,85.283
2021-10-02 00:00:00+02:00,91.272,53.964,460.02000000000004,86.207
2021-10-02 01:00:00+02:00,84.96000000000001,54.084,461.66,83.68799999999999
