,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-12-01 00:00:00+01:00,504.0,0.0,0.0,13281.0,1134.0,183.0,0.0,0.0,0.0,749.0,2709.0,0.0,3878.0,64.0,98.0,16.0,263.0,0.0,4239.0
2021-12-01 01:00:00+01:00,505.0,0.0,0.0,12168.0,1135.0,183.0,0.0,0.0,0.0,746.0,1757.0,0.0,3878.0,64.0,96.0,11.0,257.0,0.0,4890.0
2021-12-01 02:00:00+01:00,504.0,0.0,0.0,11445.0,1135.0,183.0,0.0,0.0,0.0,743.0,1091.0,0.0,3878.0,64.0,98.0,10.0,260.0,0.0,5597.0
2021-12-01 03:00:00+01:00,502.0,0.0,0.0,10765.0,1136.0,183.0,0.0,0.0,0.0,731.0,790.0,0.0,3877.0,62.0,96.0,11.0,265.0,0.0,6222.0
2021-12-01 04:00:00+01:00,504.0,0.0,0.0,10509.0,1135.0,183.0,0.0,0.0,0.0,697.0,670.0,0.0,3890.0,64.0,96.0,12.0,263.0,0.0,6840.0
2021-12-01 05:00:00+01:00,499.0,0.0,0.0,10224.0,1136.0,183.0,0.0,0.0,0.0,681.0,721.0,0.0,3900.0,64.0,92.0,11.0,263.0,0.0,7828.0
2021-12-01 06:00:00+01:00,504.0,0.0,0.0,11544.0,1135.0,182.0,0.0,0.0,0.0,681.0,1059.0,0.0,3899.0,64.0,94.0,11.0,260.0,0.0,8951.0
2021-12-01 07:00:00+01:00,498.0,0.0,0.0,13354.0,1135.0,184.0,0.0,0.0,0.0,722.0,2334.0,0.0,3898.0,61.0,91.0,11.0,267.0,0.0,9786.0
2021-12-01 08:00:00+01:00,496.0,0.0,0.0,13976.0,1134.0,189.0,0.0,0.0,0.0,752.0,2757.0,0.0,3897.0,58.0,100.0,347.0,260.0,0.0,9767.0
2021-12-01 09:00:00+01:00,497.0,0.0,0.0,14044.0,1135.0,191.0,0.0,0.0,0.0,746.0,2903.0,0.0,3882.0,58.0,99.0,2724.0,262.0,0.0,9305.0
2021-12-01 10:00:00+01:00,454.0,0.0,0.0,13699.0,1136.0,191.0,0.0,0.0,0.0,718.0,1943.0,0.0,3881.0,64.0,102.0,5181.0,258.0,0.0,9052.0
2021-12-01 11:00:00+01:00,465.0,0.0,0.0,12301.0,1136.0,190.0,0.0,0.0,0.0,724.0,1568.0,0.0,3882.0,62.0,102.0,6278.0,249.0,0.0,9436.0
2021-12-01 12:00:00+01:00,486.0,0.0,0.0,12067.0,1136.0,189.0,0.0,0.0,0.0,740.0,1245.0,0.0,3870.0,68.0,104.0,6660.0,260.0,0.0,10129.0
2021-12-01 13:00:00+01:00,498.0,0.0,0.0,11904.0,1136.0,194.0,0.0,0.0,0.0,753.0,949.0,0.0,3883.0,71.0,103.0,6645.0,254.0,0.0,10803.0
2021-12-01 14:00:00+01:00,509.0,0.0,0.0,11372.0,1136.0,198.0,0.0,0.0,0.0,756.0,958.0,0.0,3884.0,61.0,102.0,6054.0,221.0,0.0,11464.0
