,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore
2021-12-01 01:00:00+02:00,55.0,0.0,0.0,40.0,14.0,0.0,18.0,177.0
2021-12-01 02:00:00+02:00,56.0,0.0,0.0,25.0,15.0,0.0,18.0,152.0
2021-12-01 03:00:00+02:00,55.0,0.0,0.0,41.0,15.0,0.0,19.0,166.0
2021-12-01 04:00:00+02:00,55.0,0.0,0.0,40.0,15.0,0.0,19.0,140.0
2021-12-01 05:00:00+02:00,55.0,0.0,0.0,44.0,15.0,0.0,18.0,136.0
2021-12-01 06:00:00+02:00,55.0,0.0,0.0,25.0,15.0,0.0,18.0,152.0
2021-12-01 07:00:00+02:00,56.0,0.0,0.0,34.0,15.0,2.0,18.0,161.0
2021-12-01 08:00:00+02:00,56.0,0.0,183.0,68.0,16.0,18.0,18.0,162.0
2021-12-01 09:00:00+02:00,54.0,0.0,184.0,96.0,16.0,36.0,17.0,132.0
2021-12-01 10:00:00+02:00,54.0,0.0,212.0,98.0,16.0,42.0,17.0,91.0
2021-12-01 11:00:00+02:00,54.0,0.0,198.0,68.0,17.0,39.0,17.0,58.0
2021-12-01 12:00:00+02:00,54.0,0.0,191.0,68.0,17.0,31.0,17.0,59.0
2021-12-01 13:00:00+02:00,54.0,0.0,381.0,68.0,17.0,16.0,17.0,50.0
2021-12-01 14:00:00+02:00,54.0,0.0,400.0,26.0,17.0,3.0,17.0,46.0
2021-12-01 15:00:00+02:00,54.0,0.0,605.0,50.0,16.0,0.0,17.0,77.0
2021-12-01 16:00:00+02:00,55.0,0.0,577.0,47.0,16.0,0.0,17.0,104.0
2021-12-01 17:00:00+02:00,56.0,0.0,293.0,25.0,16.0,0.0,17.0,188.0
2021-12-01 18:00:00+02:00,56.0,0.0,321.0,25.0,16.0,0.0,17.0,248.0
2021-12-01 19:00:00+02:00,56.0,0.0,171.0,25.0,15.0,0.0,17.0,269.0
2021-12-01 20:00:00+02:00,56.0,0.0,181.0,25.0,15.0,0.0,17.0,291.0
2021-12-01 21:00:00+02:00,56.0,0.0,0.0,25.0,15.0,0.0,17.0,356.0
2021-12-01 22:00:00+02:00,56.0,0.0,0.0,25.0,15.0,0.0,18.0,409.0
2021-12-01 23:00:00+02:00,55.0,0.0,0.0,25.0,15.0,0.0,18.0,414.0
2021-12-02 00:00:00+02:00,55.0,0.0,0.0,25.0,14.0,0.0,18.0,409.0
2021-12-02 01:00:00+02:00,55.0,0.0,0.0,40.0,14.0,0.0,18.0,372.0
2021-12-02 02:00:00+02:00,55.0,0.0,0.0,41.0,14.0,0.0,18.0,349.0
2021-12-02 03:00:00+02:00,55.0,0.0,0.0,29.0,14.0,0.0,18.0,334.0
2021-12-02 04:00:00+02:00,55.0,0.0,0.0,32.0,14.0,0.0,18.0,333.0
2021-12-02 05:00:00+02:00,55.0,0.0,0.0,25.0,14.0,0.0,18.0,346.0
2021-12-02 06:00:00+02:00,55.0,6.0,0.0,41.0,14.0,0.0,18.0,365.0
2021-12-02 07:00:00+02:00,55.0,64.0,100.0,40.0,15.0,0.0,18.0,373.0
2021-12-02 08:00:00+02:00,55.0,223.0,106.0,40.0,15.0,2.0,17.0,362.0
