,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2021-12-01 01:00:00+02:00,67.0,1163.0,1239.0,0.0,567.0,337.0,1418.0,0.0,2133.0
2021-12-01 01:15:00+02:00,68.0,1171.0,1154.0,0.0,588.0,387.0,1418.0,0.0,2084.0
2021-12-01 01:30:00+02:00,68.0,1199.0,1104.0,0.0,589.0,393.0,1418.0,0.0,2096.0
2021-12-01 01:45:00+02:00,68.0,1209.0,1101.0,0.0,557.0,342.0,1418.0,0.0,2188.0
2021-12-01 02:00:00+02:00,67.0,1180.0,1140.0,0.0,535.0,308.0,1419.0,0.0,2272.0
2021-12-01 02:15:00+02:00,67.0,1151.0,1125.0,0.0,517.0,279.0,1419.0,0.0,2298.0
2021-12-01 02:30:00+02:00,68.0,1160.0,1132.0,0.0,523.0,287.0,1419.0,0.0,2247.0
2021-12-01 02:45:00+02:00,67.0,1146.0,1123.0,0.0,512.0,273.0,1419.0,0.0,2293.0
2021-12-01 03:00:00+02:00,68.0,1155.0,1159.0,0.0,547.0,329.0,1419.0,0.0,2287.0
2021-12-01 03:15:00+02:00,69.0,1150.0,1152.0,0.0,542.0,318.0,1419.0,0.0,2338.0
2021-12-01 03:30:00+02:00,68.0,1126.0,1134.0,0.0,525.0,290.0,1419.0,0.0,2405.0
2021-12-01 03:45:00+02:00,68.0,1136.0,1145.0,0.0,533.0,306.0,1420.0,0.0,2358.0
2021-12-01 04:00:00+02:00,68.0,1142.0,1146.0,0.0,537.0,316.0,1419.0,0.0,2434.0
2021-12-01 04:15:00+02:00,69.0,1132.0,1141.0,0.0,531.0,308.0,1419.0,0.0,2493.0
2021-12-01 04:30:00+02:00,69.0,1126.0,1134.0,0.0,523.0,295.0,1419.0,0.0,2497.0
2021-12-01 04:45:00+02:00,68.0,1150.0,1154.0,0.0,542.0,325.0,1420.0,0.0,2512.0
2021-12-01 05:00:00+02:00,68.0,1198.0,1123.0,0.0,514.0,296.0,1419.0,0.0,2525.0
2021-12-01 05:15:00+02:00,67.0,1233.0,1143.0,0.0,533.0,332.0,1420.0,0.0,2538.0
2021-12-01 05:30:00+02:00,68.0,1255.0,1158.0,0.0,548.0,357.0,1419.0,0.0,2481.0
2021-12-01 05:45:00+02:00,69.0,1275.0,1175.0,0.0,571.0,383.0,1419.0,0.0,2468.0
2021-12-01 06:00:00+02:00,69.0,1268.0,1205.0,0.0,631.0,255.0,1419.0,0.0,2441.0
2021-12-01 06:15:00+02:00,69.0,1288.0,1233.0,0.0,651.0,258.0,1420.0,0.0,2406.0
2021-12-01 06:30:00+02:00,69.0,1305.0,1264.0,0.0,668.0,279.0,1419.0,0.0,2429.0
2021-12-01 06:45:00+02:00,68.0,1340.0,1293.0,0.0,704.0,338.0,1419.0,0.0,2383.0
2021-12-01 07:00:00+02:00,70.0,1312.0,1344.0,0.0,875.0,550.0,1419.0,0.0,2365.0
2021-12-01 07:15:00+02:00,71.0,1279.0,1361.0,0.0,940.0,570.0,1419.0,0.0,2453.0
2021-12-01 07:30:00+02:00,71.0,1290.0,1361.0,0.0,963.0,598.0,1418.0,0.0,2478.0
2021-12-01 07:45:00+02:00,71.0,1316.0,1376.0,0.0,986.0,666.0,1418.0,2.0,2499.0
2021-12-01 08:00:00+02:00,72.0,1303.0,1652.0,0.0,931.0,651.0,1418.0,10.0,2512.0
2021-12-01 08:15:00+02:00,71.0,1315.0,1767.0,0.0,963.0,707.0,1418.0,24.0,2500.0
2021-12-01 08:30:00+02:00,71.0,1327.0,1773.0,0.0,1026.0,780.0,1418.0,40.0,2508.0
2021-12-01 08:45:00+02:00,71.0,1316.0,1782.0,0.0,1020.0,827.0,1418.0,60.0,2464.0
2021-12-01 09:00:00+02:00,70.0,1287.0,1772.0,0.0,995.0,755.0,1418.0,93.0,2399.0
2021-12-01 09:15:00+02:00,69.0,1295.0,1781.0,0.0,1010.0,758.0,1417.0,130.0,2375.0
2021-12-01 09:30:00+02:00,70.0,1315.0,1789.0,0.0,1034.0,792.0,1417.0,134.0,2313.0
2021-12-01 09:45:00+02:00,70.0,1335.0,1797.0,0.0,1050.0,879.0,1417.0,183.0,2248.0
2021-12-01 10:00:00+02:00,70.0,1319.0,1789.0,0.0,1007.0,765.0,1417.0,255.0,2190.0
2021-12-01 10:15:00+02:00,70.0,1341.0,1800.0,0.0,1033.0,830.0,1417.0,308.0,2093.0
2021-12-01 10:30:00+02:00,70.0,1305.0,1780.0,0.0,1104.0,751.0,1418.0,338.0,2076.0
2021-12-01 10:45:00+02:00,70.0,1280.0,1768.0,0.0,1204.0,700.0,1418.0,391.0,2063.0
2021-12-01 11:00:00+02:00,70.0,1235.0,1744.0,0.0,1169.0,601.0,1417.0,416.0,2071.0
2021-12-01 11:15:00+02:00,69.0,1222.0,1741.0,0.0,1167.0,578.0,1417.0,429.0,2087.0
2021-12-01 11:30:00+02:00,70.0,1232.0,1750.0,0.0,1107.0,634.0,1417.0,423.0,2063.0
2021-12-01 11:45:00+02:00,71.0,1271.0,1764.0,0.0,1074.0,706.0,1417.0,436.0,1926.0
2021-12-01 12:00:00+02:00,70.0,1245.0,1728.0,0.0,1044.0,694.0,1417.0,441.0,1858.0
2021-12-01 12:15:00+02:00,69.0,1260.0,1728.0,0.0,1051.0,719.0,1417.0,435.0,1740.0
2021-12-01 12:30:00+02:00,70.0,1288.0,1743.0,0.0,1078.0,797.0,1416.0,438.0,1562.0
2021-12-01 12:45:00+02:00,70.0,1318.0,1759.0,0.0,1101.0,851.0,1416.0,420.0,1412.0
2021-12-01 13:00:00+02:00,69.0,1303.0,1782.0,0.0,1124.0,753.0,1416.0,420.0,1292.0
2021-12-01 13:15:00+02:00,68.0,1328.0,1786.0,0.0,1118.0,781.0,1416.0,420.0,1262.0
2021-12-01 13:30:00+02:00,67.0,1293.0,1773.0,0.0,1079.0,822.0,1417.0,407.0,1255.0
2021-12-01 13:45:00+02:00,68.0,1283.0,1773.0,0.0,1075.0,813.0,1417.0,378.0,1250.0
2021-12-01 14:00:00+02:00,68.0,1230.0,1748.0,0.0,1033.0,698.0,1416.0,368.0,1295.0
2021-12-01 14:15:00+02:00,67.0,1226.0,1749.0,0.0,962.0,714.0,1416.0,313.0,1290.0
2021-12-01 14:30:00+02:00,68.0,1269.0,1770.0,0.0,943.0,816.0,1417.0,265.0,1204.0
2021-12-01 14:45:00+02:00,69.0,1304.0,1778.0,0.0,968.0,878.0,1416.0,216.0,1096.0
2021-12-01 15:00:00+02:00,70.0,1263.0,1757.0,0.0,820.0,873.0,1417.0,142.0,1032.0
2021-12-01 15:15:00+02:00,70.0,1283.0,1773.0,0.0,841.0,931.0,1417.0,112.0,1017.0
2021-12-01 15:30:00+02:00,68.0,1299.0,1781.0,0.0,856.0,968.0,1417.0,95.0,956.0
2021-12-01 15:45:00+02:00,70.0,1318.0,1787.0,0.0,863.0,990.0,1416.0,60.0,909.0
2021-12-01 16:00:00+02:00,70.0,1265.0,1765.0,0.0,796.0,897.0,1417.0,30.0,816.0
2021-12-01 16:15:00+02:00,71.0,1277.0,1775.0,0.0,814.0,951.0,1418.0,10.0,737.0
2021-12-01 16:30:00+02:00,71.0,1323.0,1793.0,0.0,836.0,1001.0,1418.0,3.0,712.0
2021-12-01 16:45:00+02:00,70.0,1345.0,1796.0,0.0,851.0,1042.0,1418.0,1.0,677.0
2021-12-01 17:00:00+02:00,71.0,1362.0,1792.0,0.0,812.0,970.0,1418.0,0.0,659.0
2021-12-01 17:15:00+02:00,70.0,1370.0,1795.0,0.0,811.0,973.0,1418.0,0.0,667.0
2021-12-01 17:30:00+02:00,70.0,1369.0,1795.0,0.0,808.0,965.0,1418.0,0.0,699.0
2021-12-01 17:45:00+02:00,70.0,1362.0,1793.0,0.0,815.0,959.0,1418.0,0.0,762.0
2021-12-01 18:00:00+02:00,70.0,1284.0,1757.0,0.0,851.0,859.0,1417.0,0.0,881.0
2021-12-01 18:15:00+02:00,72.0,1250.0,1761.0,0.0,853.0,696.0,1417.0,0.0,992.0
