,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other
2021-12-01 00:00:00+01:00,27.0,2524.0,1.0,219.0,569.0,310.0,116.0
2021-12-01 01:00:00+01:00,27.0,2513.0,1.0,15.0,421.0,198.0,117.0
2021-12-01 02:00:00+01:00,27.0,2561.0,1.0,0.0,419.0,109.0,115.0
2021-12-01 03:00:00+01:00,27.0,2555.0,1.0,0.0,324.0,112.0,117.0
2021-12-01 04:00:00+01:00,27.0,2517.0,1.0,0.0,406.0,112.0,119.0
2021-12-01 05:00:00+01:00,27.0,2592.0,1.0,0.0,342.0,200.0,120.0
2021-12-01 06:00:00+01:00,27.0,2537.0,1.0,0.0,713.0,308.0,121.0
2021-12-01 07:00:00+01:00,27.0,2540.0,1.0,0.0,1114.0,313.0,122.0
2021-12-01 08:00:00+01:00,27.0,2564.0,1.0,84.0,1252.0,313.0,120.0
2021-12-01 09:00:00+01:00,27.0,2602.0,1.0,206.0,1215.0,313.0,124.0
2021-12-01 10:00:00+01:00,27.0,2534.0,1.0,206.0,1195.0,312.0,122.0
2021-12-01 11:00:00+01:00,27.0,2553.0,1.0,208.0,1143.0,311.0,124.0
2021-12-01 12:00:00+01:00,27.0,2641.0,1.0,206.0,896.0,310.0,122.0
2021-12-01 13:00:00+01:00,27.0,2690.0,1.0,31.0,943.0,310.0,125.0
2021-12-01 14:00:00+01:00,27.0,2767.0,1.0,0.0,807.0,311.0,126.0
2021-12-01 15:00:00+01:00,27.0,2916.0,1.0,0.0,721.0,249.0,123.0
2021-12-01 16:00:00+01:00,27.0,2975.0,1.0,0.0,1017.0,222.0,119.0
2021-12-01 17:00:00+01:00,27.0,2931.0,1.0,0.0,1173.0,217.0,118.0
2021-12-01 18:00:00+01:00,27.0,2843.0,1.0,0.0,1025.0,218.0,120.0
2021-12-01 19:00:00+01:00,27.0,2816.0,1.0,0.0,1095.0,218.0,119.0
2021-12-01 20:00:00+01:00,27.0,2763.0,1.0,0.0,1094.0,218.0,123.0
2021-12-01 21:00:00+01:00,27.0,2769.0,1.0,0.0,885.0,218.0,124.0
2021-12-01 22:00:00+01:00,27.0,2924.0,1.0,0.0,644.0,209.0,122.0
2021-12-01 23:00:00+01:00,27.0,2926.0,1.0,0.0,750.0,10.0,125.0
2021-12-02 00:00:00+01:00,27.0,2838.0,1.0,0.0,375.0,0.0,123.0
2021-12-02 01:00:00+01:00,27.0,2891.0,1.0,0.0,369.0,0.0,121.0
