,Fossil Gas,Hydro Water Reservoir,Marine,Nuclear,Other,Solar,Wind Onshore
2021-12-01 00:00:00+01:00,,9891.0,,6968.0,1766.0,,2456.0
2021-12-01 01:00:00+01:00,,9487.0,,6967.0,1759.0,,2353.0
2021-12-01 02:00:00+01:00,,9500.0,,6968.0,1745.0,,2221.0
2021-12-01 03:00:00+01:00,,9249.0,,6970.0,1710.0,,2114.0
2021-12-01 04:00:00+01:00,,9136.0,,6970.0,1663.0,,2017.0
2021-12-01 05:00:00+01:00,,9250.0,,6968.0,1660.0,,1921.0
2021-12-01 06:00:00+01:00,,10625.0,,6968.0,1766.0,,1987.0
2021-12-01 07:00:00+01:00,,11512.0,,6969.0,1862.0,,2021.0
2021-12-01 08:00:00+01:00,,11629.0,,6969.0,1913.0,,2193.0
2021-12-01 09:00:00+01:00,,11631.0,,6969.0,1961.0,,2359.0
2021-12-01 10:00:00+01:00,,11640.0,,6971.0,2031.0,,2466.0
2021-12-01 11:00:00+01:00,,11601.0,,6971.0,2037.0,,2626.0
2021-12-01 12:00:00+01:00,,11595.0,,6971.0,2015.0,,2729.0
2021-12-01 13:00:00+01:00,,11496.0,,6971.0,2000.0,,2826.0
2021-12-01 14:00:00+01:00,,11513.0,,6967.0,1972.0,,2972.0
2021-12-01 15:00:00+01:00,,11541.0,,6965.0,1975.0,,3136.0
2021-12-01 16:00:00+01:00,,11771.0,,6964.0,1988.0,,3297.0
2021-12-01 17:00:00+01:00,,11730.0,,6964.0,1953.0,,3410.0
2021-12-01 18:00:00+01:00,,11651.0,,6960.0,1903.0,,3438.0
2021-12-01 19:00:00+01:00,,11307.0,,6964.0,1897.0,,3432.0
2021-12-01 20:00:00+01:00,,10047.0,,6964.0,1876.0,,3450.0
2021-12-01 21:00:00+01:00,,9343.0,,6964.0,1827.0,,3532.0
2021-12-01 22:00:00+01:00,,8768.0,,6965.0,1798.0,,3653.0
2021-12-01 23:00:00+01:00,,8620.0,,6968.0,1780.0,,3635.0
2021-12-02 00:00:00+01:00,,8366.0,,6966.0,1683.0,,4028.0
2021-12-02 01:00:00+01:00,,8095.0,,6966.0,1653.0,,4153.0
2021-12-02 02:00:00+01:00,,8220.0,,6969.0,1619.0,,4227.0
2021-12-02 03:00:00+01:00,,8693.0,,6970.0,1590.0,,4334.0
2021-12-02 04:00:00+01:00,,8868.0,,6972.0,1683.0,,4474.0
2021-12-02 05:00:00+01:00,,9206.0,,6973.0,1724.0,,4598.0
2021-12-02 06:00:00+01:00,,11147.0,,6973.0,1765.0,,4658.0
2021-12-02 07:00:00+01:00,,11814.0,,6974.0,1807.0,,4547.0
2021-12-02 08:00:00+01:00,,11895.0,,6974.0,1913.0,,4315.0
2021-12-02 09:00:00+01:00,,11961.0,,6974.0,1974.0,,4142.0
2021-12-02 10:00:00+01:00,,11980.0,,6969.0,2019.0,,3818.0
2021-12-02 11:00:00+01:00,,12129.0,,6970.0,2109.0,,3382.0
2021-12-02 12:00:00+01:00,,12127.0,,6966.0,2110.0,,2949.0
2021-12-02 13:00:00+01:00,,12059.0,,6965.0,2079.0,,2774.0
2021-12-02 14:00:00+01:00,,12133.0,,6962.0,2097.0,,2678.0
2021-12-02 15:00:00+01:00,,12098.0,,6959.0,2086.0,,2628.0
2021-12-02 16:00:00+01:00,,12260.0,,6959.0,2080.0,,2529.0
2021-12-02 17:00:00+01:00,,12315.0,,6958.0,2075.0,,2432.0
2021-12-02 18:00:00+01:00,,12102.0,,6958.0,2040.0,,2304.0
2021-12-02 19:00:00+01:00,,11912.0,,6962.0,2022.0,,2214.0
2021-12-02 20:00:00+01:00,,11811.0,,6971.0,2012.0,,2127.0
2021-12-02 21:00:00+01:00,,11596.0,,6972.0,2016.0,,2130.0
2021-12-02 22:00:00+01:00,,11225.0,,6971.0,2006.0,,2069.0
2021-12-02 23:00:00+01:00,,11107.0,,6971.0,1964.0,,2041.0
2021-12-03 00:00:00+01:00,,10695.0,,6967.0,1868.0,,2043.0
2021-12-03 01:00:00+01:00,,10462.0,,6973.0,1786.0,,1989.0
2021-12-03 02:00:00+01:00,,10471.0,,6970.0,1781.0,,1860.0
2021-12-03 03:00:00+01:00,,10404.0,,6971.0,1763.0,,1710.0
2021-12-03 04:00:00+01:00,,10407.0,,6969.0,1781.0,,1621.0
2021-12-03 05:00:00+01:00,,10561.0,,6968.0,1856.0,,1555.0
2021-12-03 06:00:00+01:00,,11114.0,,6970.0,1962.0,,1531.0
2021-12-03 07:00:00+01:00,,11940.0,,6970.0,1999.0,,1432.0
2021-12-03 08:00:00+01:00,,12028.0,,6971.0,2013.0,,1337.0
2021-12-03 09:00:00+01:00,,11931.0,,6974.0,2028.0,,1231.0
2021-12-03 10:00:00+01:00,,11956.0,,6977.0,2040.0,,1163.0
2021-12-03 11:00:00+01:00,,12062.0,,6975.0,2003.0,,1135.0
2021-12-03 12:00:00+01:00,,12012.0,,6975.0,1994.0,,1134.0
2021-12-03 13:00:00+01:00,,11895.0,,6976.0,1983.0,,1176.0
2021-12-03 14:00:00+01:00,,11944.0,,6975.0,1979.0,,1330.0
2021-12-03 15:00:00+01:00,,11672.0,,6974.0,1976.0,,1593.0
2021-12-03 16:00:00+01:00,,11538.0,,6974.0,2004.0,,1740.0
2021-12-03 17:00:00+01:00,,11322.0,,6971.0,2001.0,,1935.0
2021-12-03 18:00:00+01:00,,11253.0,,6971.0,2006.0,,2126.0
2021-12-03 19:00:00+01:00,,10928.0,,6974.0,2006.0,,2262.0
2021-12-03 20:00:00+01:00,,10349.0,,6973.0,1993.0,,2417.0
2021-12-03 21:00:00+01:00,,10246.0,,6971.0,1962.0,,2553.0
2021-12-03 22:00:00+01:00,,10181.0,,6970.0,1947.0,,2647.0
2021-12-03 23:00:00+01:00,,9893.0,,6970.0,1867.0,,2714.0
2021-12-04 00:00:00+01:00,,9960.0,,6971.0,1717.0,,2853.0
2021-12-04 01:00:00+01:00,,9678.0,,6972.0,1695.0,,3020.0
2021-12-04 02:00:00+01:00,,9583.0,,6971.0,1687.0,,3073.0
2021-12-04 03:00:00+01:00,,9449.0,,6972.0,1681.0,,3110.0
2021-12-04 04:00:00+01:00,,9343.0,,6971.0,1687.0,,3143.0
2021-12-04 05:00:00+01:00,,9732.0,,6971.0,1691.0,,3132.0
2021-12-04 06:00:00+01:00,,10152.0,,6973.0,1701.0,,3214.0
2021-12-04 07:00:00+01:00,,10176.0,,6973.0,1727.0,,3191.0
2021-12-04 08:00:00+01:00,,10432.0,,6974.0,1761.0,,3152.0
2021-12-04 09:00:00+01:00,,10527.0,,6973.0,1869.0,,3126.0
2021-12-04 10:00:00+01:00,,10951.0,,6974.0,1956.0,,3005.0
2021-12-04 11:00:00+01:00,,10916.0,,6976.0,2008.0,,2918.0
2021-12-04 12:00:00+01:00,,10866.0,,6977.0,2035.0,,2864.0
2021-12-04 13:00:00+01:00,,10924.0,,6976.0,2027.0,,2941.0
2021-12-04 14:00:00+01:00,,10764.0,,6975.0,2039.0,,3087.0
2021-12-04 15:00:00+01:00,,10933.0,,6978.0,2016.0,,3252.0
2021-12-04 16:00:00+01:00,,10903.0,,6979.0,2015.0,,3495.0
2021-12-04 17:00:00+01:00,,10915.0,,6979.0,2016.0,,3683.0
2021-12-04 18:00:00+01:00,,10880.0,,6978.0,1995.0,,3872.0
2021-12-04 19:00:00+01:00,,10795.0,,6982.0,1987.0,,3942.0
2021-12-04 20:00:00+01:00,,10632.0,,6980.0,1898.0,,3969.0
