,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Wind Onshore
2021-12-01 00:00:00+01:00,110.0,181.0,482.0,58.0,47.0,,146.0,5.0,1989.0,166.0,52.0,1.0,3.0
2021-12-01 01:00:00+01:00,109.0,180.0,455.0,55.0,46.0,,144.0,2.0,1987.0,161.0,53.0,1.0,3.0
2021-12-01 02:00:00+01:00,105.0,180.0,449.0,55.0,45.0,,147.0,2.0,1985.0,161.0,53.0,1.0,3.0
2021-12-01 03:00:00+01:00,105.0,181.0,449.0,55.0,45.0,,143.0,2.0,1984.0,161.0,52.0,1.0,3.0
2021-12-01 04:00:00+01:00,103.0,182.0,454.0,55.0,45.0,,138.0,2.0,1983.0,159.0,52.0,1.0,2.0
2021-12-01 05:00:00+01:00,101.0,183.0,487.0,55.0,44.0,,194.0,2.0,1985.0,163.0,51.0,1.0,2.0
2021-12-01 06:00:00+01:00,101.0,183.0,507.0,57.0,44.0,,217.0,4.0,1986.0,167.0,51.0,1.0,0.0
2021-12-01 07:00:00+01:00,102.0,183.0,622.0,56.0,46.0,102.0,286.0,17.0,1984.0,166.0,50.0,3.0,0.0
2021-12-01 08:00:00+01:00,104.0,183.0,606.0,69.0,48.0,165.0,293.0,13.0,1985.0,157.0,51.0,20.0,1.0
2021-12-01 09:00:00+01:00,105.0,180.0,619.0,54.0,49.0,8.0,288.0,30.0,1987.0,157.0,51.0,55.0,1.0
2021-12-01 10:00:00+01:00,107.0,179.0,602.0,79.0,48.0,0.0,265.0,30.0,1987.0,155.0,50.0,68.0,1.0
2021-12-01 11:00:00+01:00,106.0,181.0,626.0,57.0,48.0,0.0,269.0,27.0,1982.0,157.0,52.0,69.0,1.0
2021-12-01 12:00:00+01:00,105.0,180.0,628.0,53.0,47.0,0.0,276.0,42.0,1980.0,164.0,51.0,41.0,1.0
2021-12-01 13:00:00+01:00,104.0,182.0,627.0,57.0,47.0,105.0,296.0,1.0,1978.0,165.0,51.0,21.0,0.0
2021-12-01 14:00:00+01:00,103.0,181.0,631.0,55.0,47.0,106.0,284.0,8.0,1976.0,164.0,50.0,8.0,1.0
2021-12-01 15:00:00+01:00,104.0,180.0,634.0,55.0,47.0,101.0,294.0,60.0,1979.0,165.0,51.0,2.0,2.0
2021-12-01 16:00:00+01:00,103.0,181.0,618.0,56.0,46.0,385.0,327.0,56.0,1978.0,166.0,51.0,1.0,2.0
2021-12-01 17:00:00+01:00,101.0,181.0,627.0,56.0,46.0,390.0,328.0,54.0,1976.0,167.0,52.0,1.0,1.0
2021-12-01 18:00:00+01:00,101.0,183.0,631.0,55.0,46.0,292.0,279.0,22.0,1975.0,163.0,52.0,1.0,1.0
2021-12-01 19:00:00+01:00,100.0,184.0,631.0,55.0,47.0,106.0,275.0,16.0,1976.0,159.0,52.0,1.0,1.0
2021-12-01 20:00:00+01:00,102.0,184.0,591.0,55.0,47.0,28.0,240.0,0.0,1974.0,158.0,52.0,1.0,1.0
2021-12-01 21:00:00+01:00,105.0,180.0,465.0,55.0,46.0,,179.0,2.0,1976.0,158.0,52.0,1.0,0.0
2021-12-01 22:00:00+01:00,107.0,178.0,468.0,55.0,44.0,,179.0,2.0,1979.0,153.0,52.0,1.0,0.0
2021-12-01 23:00:00+01:00,109.0,180.0,459.0,55.0,44.0,,178.0,2.0,1977.0,162.0,53.0,1.0,0.0
2021-12-02 00:00:00+01:00,109.0,183.0,458.0,55.0,44.0,,201.0,2.0,1976.0,161.0,52.0,1.0,1.0
2021-12-02 01:00:00+01:00,110.0,182.0,446.0,55.0,44.0,,198.0,2.0,1976.0,161.0,52.0,1.0,1.0
2021-12-02 02:00:00+01:00,110.0,182.0,442.0,55.0,43.0,,202.0,2.0,1977.0,164.0,51.0,1.0,1.0
2021-12-02 03:00:00+01:00,110.0,181.0,439.0,55.0,42.0,,215.0,2.0,1978.0,162.0,51.0,1.0,1.0
2021-12-02 04:00:00+01:00,110.0,183.0,449.0,55.0,42.0,,210.0,2.0,1958.0,165.0,50.0,1.0,1.0
2021-12-02 05:00:00+01:00,111.0,183.0,488.0,56.0,43.0,,213.0,3.0,1869.0,170.0,51.0,1.0,1.0
2021-12-02 06:00:00+01:00,110.0,184.0,508.0,57.0,44.0,5.0,252.0,0.0,1856.0,173.0,51.0,1.0,1.0
2021-12-02 07:00:00+01:00,111.0,182.0,609.0,60.0,44.0,90.0,314.0,18.0,1854.0,170.0,50.0,2.0,1.0
2021-12-02 08:00:00+01:00,110.0,184.0,598.0,61.0,47.0,180.0,416.0,20.0,1853.0,170.0,50.0,12.0,1.0
2021-12-02 09:00:00+01:00,111.0,184.0,619.0,60.0,48.0,11.0,379.0,17.0,1853.0,165.0,50.0,26.0,1.0
2021-12-02 10:00:00+01:00,112.0,182.0,607.0,60.0,49.0,0.0,319.0,15.0,1852.0,163.0,50.0,30.0,0.0
2021-12-02 11:00:00+01:00,110.0,182.0,626.0,60.0,49.0,0.0,323.0,0.0,1853.0,163.0,50.0,30.0,0.0
2021-12-02 12:00:00+01:00,113.0,183.0,624.0,60.0,49.0,0.0,315.0,0.0,1853.0,161.0,50.0,27.0,0.0
2021-12-02 13:00:00+01:00,111.0,182.0,624.0,61.0,49.0,0.0,318.0,0.0,1852.0,166.0,50.0,19.0,0.0
2021-12-02 14:00:00+01:00,109.0,181.0,624.0,61.0,48.0,0.0,309.0,0.0,1853.0,166.0,50.0,8.0,0.0
2021-12-02 15:00:00+01:00,109.0,182.0,633.0,62.0,46.0,15.0,351.0,49.0,1853.0,168.0,50.0,2.0,0.0
2021-12-02 16:00:00+01:00,109.0,182.0,619.0,62.0,45.0,417.0,420.0,66.0,1854.0,167.0,50.0,1.0,0.0
2021-12-02 17:00:00+01:00,110.0,181.0,631.0,61.0,45.0,420.0,469.0,98.0,1860.0,170.0,51.0,1.0,0.0
2021-12-02 18:00:00+01:00,108.0,182.0,629.0,61.0,45.0,390.0,418.0,74.0,1943.0,168.0,52.0,1.0,0.0
2021-12-02 19:00:00+01:00,109.0,183.0,629.0,60.0,45.0,286.0,377.0,21.0,1977.0,171.0,52.0,1.0,0.0
2021-12-02 20:00:00+01:00,110.0,182.0,603.0,60.0,46.0,44.0,297.0,3.0,1977.0,170.0,52.0,1.0,0.0
2021-12-02 21:00:00+01:00,110.0,183.0,627.0,63.0,45.0,0.0,258.0,11.0,1978.0,171.0,52.0,1.0,0.0
2021-12-02 22:00:00+01:00,109.0,180.0,511.0,57.0,43.0,,247.0,15.0,1979.0,168.0,51.0,1.0,0.0
2021-12-02 23:00:00+01:00,110.0,179.0,468.0,56.0,42.0,,217.0,14.0,1980.0,166.0,52.0,1.0,0.0
2021-12-03 00:00:00+01:00,112.0,179.0,465.0,50.0,41.0,,215.0,4.0,1980.0,167.0,52.0,1.0,0.0
2021-12-03 01:00:00+01:00,112.0,179.0,445.0,50.0,45.0,,206.0,2.0,1982.0,165.0,52.0,1.0,1.0
2021-12-03 02:00:00+01:00,111.0,179.0,443.0,50.0,46.0,,207.0,2.0,1982.0,167.0,51.0,1.0,1.0
2021-12-03 03:00:00+01:00,107.0,178.0,443.0,50.0,46.0,,227.0,2.0,1983.0,171.0,51.0,1.0,1.0
2021-12-03 04:00:00+01:00,107.0,181.0,455.0,50.0,48.0,,257.0,2.0,1981.0,174.0,56.0,1.0,1.0
2021-12-03 05:00:00+01:00,106.0,181.0,497.0,50.0,52.0,,260.0,2.0,1982.0,175.0,58.0,1.0,2.0
2021-12-03 06:00:00+01:00,107.0,182.0,518.0,57.0,53.0,,360.0,0.0,1985.0,175.0,58.0,1.0,1.0
2021-12-03 07:00:00+01:00,107.0,183.0,634.0,60.0,50.0,195.0,432.0,25.0,1986.0,175.0,58.0,2.0,1.0
2021-12-03 08:00:00+01:00,107.0,184.0,615.0,60.0,50.0,373.0,474.0,58.0,1987.0,174.0,57.0,17.0,1.0
2021-12-03 09:00:00+01:00,108.0,183.0,631.0,60.0,49.0,186.0,449.0,58.0,1988.0,174.0,56.0,70.0,1.0
2021-12-03 10:00:00+01:00,108.0,182.0,611.0,60.0,48.0,5.0,404.0,82.0,1988.0,171.0,56.0,146.0,1.0
2021-12-03 11:00:00+01:00,107.0,182.0,630.0,60.0,47.0,0.0,388.0,32.0,1989.0,170.0,56.0,159.0,0.0
2021-12-03 12:00:00+01:00,108.0,183.0,620.0,60.0,47.0,0.0,362.0,15.0,1989.0,169.0,56.0,184.0,0.0
2021-12-03 13:00:00+01:00,107.0,183.0,609.0,46.0,47.0,,362.0,0.0,1987.0,170.0,57.0,159.0,0.0
2021-12-03 14:00:00+01:00,108.0,182.0,626.0,59.0,46.0,,327.0,0.0,1988.0,169.0,57.0,81.0,0.0
2021-12-03 15:00:00+01:00,110.0,183.0,635.0,60.0,47.0,,315.0,16.0,1989.0,170.0,58.0,13.0,0.0
2021-12-03 16:00:00+01:00,110.0,184.0,638.0,60.0,47.0,193.0,395.0,30.0,1990.0,173.0,57.0,1.0,1.0
2021-12-03 17:00:00+01:00,106.0,184.0,644.0,60.0,48.0,381.0,405.0,32.0,1990.0,175.0,56.0,1.0,1.0
2021-12-03 18:00:00+01:00,105.0,183.0,641.0,60.0,48.0,184.0,376.0,31.0,1990.0,173.0,56.0,1.0,1.0
2021-12-03 19:00:00+01:00,106.0,184.0,641.0,60.0,49.0,5.0,366.0,73.0,1990.0,173.0,57.0,1.0,0.0
2021-12-03 20:00:00+01:00,109.0,183.0,576.0,60.0,49.0,0.0,333.0,4.0,1992.0,174.0,57.0,1.0,0.0
2021-12-03 21:00:00+01:00,108.0,183.0,476.0,58.0,49.0,0.0,230.0,17.0,1992.0,176.0,57.0,1.0,0.0
2021-12-03 22:00:00+01:00,110.0,155.0,243.0,51.0,48.0,,223.0,3.0,1993.0,173.0,57.0,1.0,0.0
2021-12-03 23:00:00+01:00,109.0,106.0,237.0,53.0,49.0,,247.0,14.0,1993.0,178.0,58.0,1.0,0.0
2021-12-04 00:00:00+01:00,108.0,107.0,231.0,53.0,49.0,,243.0,25.0,1993.0,183.0,58.0,1.0,0.0
2021-12-04 01:00:00+01:00,110.0,107.0,228.0,52.0,49.0,,225.0,25.0,1994.0,183.0,58.0,1.0,1.0
2021-12-04 02:00:00+01:00,109.0,106.0,223.0,51.0,48.0,,230.0,24.0,1995.0,181.0,57.0,1.0,1.0
2021-12-04 03:00:00+01:00,108.0,107.0,234.0,53.0,49.0,,230.0,26.0,1995.0,185.0,56.0,1.0,1.0
2021-12-04 04:00:00+01:00,108.0,110.0,249.0,54.0,49.0,,234.0,27.0,1994.0,188.0,56.0,1.0,0.0
2021-12-04 05:00:00+01:00,107.0,110.0,346.0,54.0,51.0,,226.0,8.0,1994.0,188.0,56.0,1.0,0.0
2021-12-04 06:00:00+01:00,106.0,109.0,500.0,62.0,51.0,0.0,294.0,7.0,1995.0,189.0,56.0,1.0,0.0
2021-12-04 07:00:00+01:00,107.0,109.0,583.0,63.0,51.0,0.0,321.0,0.0,1993.0,188.0,56.0,5.0,0.0
2021-12-04 08:00:00+01:00,106.0,109.0,603.0,61.0,51.0,8.0,335.0,0.0,1993.0,184.0,56.0,42.0,0.0
2021-12-04 09:00:00+01:00,106.0,108.0,637.0,60.0,50.0,196.0,329.0,19.0,1995.0,176.0,56.0,79.0,0.0
2021-12-04 10:00:00+01:00,109.0,108.0,611.0,54.0,49.0,195.0,367.0,20.0,1993.0,174.0,55.0,112.0,0.0
2021-12-04 11:00:00+01:00,109.0,108.0,640.0,61.0,49.0,104.0,367.0,44.0,1993.0,176.0,55.0,145.0,0.0
2021-12-04 12:00:00+01:00,110.0,107.0,616.0,60.0,48.0,0.0,356.0,36.0,1993.0,175.0,56.0,134.0,0.0
2021-12-04 13:00:00+01:00,112.0,106.0,622.0,60.0,49.0,0.0,354.0,24.0,1992.0,177.0,56.0,98.0,0.0
2021-12-04 14:00:00+01:00,110.0,106.0,624.0,61.0,49.0,0.0,365.0,25.0,1992.0,180.0,57.0,48.0,0.0
2021-12-04 15:00:00+01:00,109.0,107.0,635.0,62.0,50.0,11.0,367.0,25.0,1992.0,182.0,57.0,8.0,0.0
2021-12-04 16:00:00+01:00,108.0,107.0,657.0,62.0,51.0,119.0,442.0,28.0,1992.0,185.0,56.0,1.0,0.0
2021-12-04 17:00:00+01:00,108.0,107.0,641.0,60.0,47.0,304.0,438.0,54.0,1991.0,180.0,56.0,1.0,0.0
2021-12-04 18:00:00+01:00,108.0,107.0,642.0,60.0,50.0,213.0,386.0,54.0,1992.0,179.0,56.0,1.0,0.0
2021-12-04 19:00:00+01:00,110.0,108.0,641.0,60.0,50.0,107.0,311.0,24.0,1992.0,179.0,57.0,1.0,0.0
2021-12-04 20:00:00+01:00,109.0,108.0,623.0,60.0,50.0,1.0,304.0,8.0,1991.0,181.0,56.0,1.0,0.0
2021-12-04 21:00:00+01:00,107.0,106.0,617.0,59.0,50.0,0.0,269.0,4.0,1992.0,183.0,57.0,1.0,0.0
2021-12-04 22:00:00+01:00,108.0,102.0,574.0,53.0,47.0,,204.0,4.0,1993.0,180.0,57.0,1.0,0.0
2021-12-04 23:00:00+01:00,108.0,102.0,477.0,50.0,46.0,,196.0,3.0,1993.0,177.0,57.0,1.0,0.0
2021-12-05 00:00:00+01:00,108.0,102.0,474.0,51.0,47.0,,180.0,3.0,1992.0,177.0,57.0,1.0,0.0
2021-12-05 01:00:00+01:00,109.0,103.0,466.0,52.0,49.0,,180.0,3.0,1992.0,177.0,56.0,1.0,0.0
2021-12-05 02:00:00+01:00,108.0,104.0,474.0,57.0,51.0,,188.0,5.0,1993.0,182.0,55.0,1.0,0.0
2021-12-05 03:00:00+01:00,109.0,104.0,462.0,52.0,50.0,,186.0,3.0,1994.0,179.0,56.0,1.0,0.0
2021-12-05 04:00:00+01:00,110.0,107.0,476.0,58.0,51.0,,184.0,5.0,1992.0,186.0,55.0,1.0,0.0
2021-12-05 05:00:00+01:00,109.0,108.0,481.0,58.0,51.0,,186.0,5.0,1993.0,186.0,56.0,1.0,0.0
2021-12-05 06:00:00+01:00,108.0,107.0,485.0,60.0,51.0,,189.0,5.0,1994.0,181.0,56.0,1.0,0.0
2021-12-05 07:00:00+01:00,111.0,106.0,469.0,61.0,50.0,0.0,286.0,12.0,1994.0,174.0,55.0,1.0,0.0
2021-12-05 08:00:00+01:00,110.0,106.0,517.0,61.0,50.0,0.0,304.0,0.0,1995.0,174.0,55.0,2.0,0.0
2021-12-05 09:00:00+01:00,109.0,108.0,504.0,62.0,52.0,0.0,337.0,0.0,1993.0,181.0,54.0,4.0,0.0
2021-12-05 10:00:00+01:00,110.0,107.0,509.0,62.0,51.0,0.0,330.0,0.0,1993.0,176.0,55.0,11.0,0.0
2021-12-05 11:00:00+01:00,111.0,106.0,622.0,59.0,50.0,0.0,326.0,0.0,1995.0,173.0,56.0,15.0,0.0
2021-12-05 12:00:00+01:00,110.0,106.0,613.0,52.0,50.0,0.0,342.0,0.0,1993.0,173.0,56.0,16.0,0.0
2021-12-05 13:00:00+01:00,110.0,105.0,632.0,62.0,50.0,0.0,337.0,0.0,1993.0,173.0,56.0,16.0,0.0
2021-12-05 14:00:00+01:00,111.0,104.0,625.0,61.0,50.0,0.0,331.0,0.0,1993.0,171.0,57.0,10.0,0.0
2021-12-05 15:00:00+01:00,112.0,104.0,632.0,61.0,50.0,0.0,346.0,0.0,1991.0,170.0,57.0,2.0,0.0
