,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2021-04-01 00:00:00+02:00,233.0,1996.0,0.0,58.0,0.0,5507.0,529.0,0.0,121.0,4.0,7.0
2021-04-01 01:00:00+02:00,234.0,1900.0,0.0,54.0,0.0,5504.0,508.0,0.0,124.0,4.0,5.0
2021-04-01 02:00:00+02:00,233.0,1778.0,0.0,3.0,0.0,5506.0,513.0,0.0,126.0,4.0,7.0
2021-04-01 03:00:00+02:00,233.0,1864.0,0.0,537.0,0.0,5504.0,518.0,0.0,124.0,6.0,7.0
2021-04-01 04:00:00+02:00,234.0,1931.0,0.0,667.0,0.0,5500.0,537.0,0.0,125.0,25.0,10.0
2021-04-01 05:00:00+02:00,233.0,1869.0,0.0,358.0,0.0,5503.0,573.0,0.0,125.0,100.0,12.0
2021-04-01 06:00:00+02:00,234.0,1912.0,0.0,10.0,0.0,5507.0,628.0,0.0,119.0,305.0,21.0
2021-04-01 07:00:00+02:00,232.0,1923.0,0.0,559.0,0.0,5510.0,669.0,38.0,122.0,650.0,44.0
2021-04-01 08:00:00+02:00,232.0,1946.0,0.0,728.0,0.0,5515.0,679.0,375.0,122.0,851.0,73.0
2021-04-01 09:00:00+02:00,233.0,1908.0,0.0,269.0,0.0,5514.0,688.0,993.0,122.0,1119.0,109.0
2021-04-01 10:00:00+02:00,233.0,1894.0,0.0,95.0,0.0,5500.0,662.0,1735.0,119.0,1480.0,131.0
2021-04-01 11:00:00+02:00,235.0,1791.0,0.0,122.0,0.0,5499.0,647.0,2357.0,113.0,1422.0,139.0
2021-04-01 12:00:00+02:00,237.0,1615.0,0.0,155.0,0.0,5497.0,656.0,2683.0,110.0,1544.0,189.0
2021-04-01 13:00:00+02:00,236.0,1354.0,0.0,908.0,0.0,5492.0,638.0,2787.0,114.0,1938.0,228.0
2021-04-01 14:00:00+02:00,236.0,1232.0,6.0,1060.0,0.0,5489.0,596.0,2814.0,116.0,2031.0,327.0
2021-04-01 15:00:00+02:00,213.0,1294.0,3.0,1089.0,0.0,5482.0,504.0,2689.0,119.0,2042.0,435.0
2021-04-01 16:00:00+02:00,178.0,1401.0,0.0,705.0,0.0,5481.0,516.0,2200.0,119.0,2062.0,558.0
2021-04-01 17:00:00+02:00,233.0,1520.0,0.0,34.0,0.0,5484.0,580.0,1511.0,117.0,1820.0,750.0
2021-04-01 18:00:00+02:00,235.0,1770.0,0.0,275.0,0.0,5489.0,676.0,748.0,120.0,1605.0,809.0
2021-04-01 19:00:00+02:00,233.0,1999.0,0.0,881.0,0.0,5502.0,629.0,178.0,118.0,1598.0,731.0
2021-04-01 20:00:00+02:00,232.0,2008.0,0.0,692.0,0.0,5506.0,618.0,3.0,119.0,1556.0,646.0
2021-04-01 21:00:00+02:00,233.0,2020.0,0.0,536.0,0.0,5512.0,632.0,0.0,118.0,1621.0,777.0
2021-04-01 22:00:00+02:00,233.0,1866.0,0.0,7.0,0.0,5514.0,561.0,0.0,116.0,1733.0,711.0
2021-04-01 23:00:00+02:00,230.0,1832.0,0.0,1.0,0.0,5516.0,521.0,0.0,119.0,1516.0,719.0
2021-04-02 00:00:00+02:00,231.0,1661.0,0.0,1.0,0.0,5521.0,522.0,0.0,120.0,1162.0,596.0
2021-04-02 01:00:00+02:00,231.0,1322.0,0.0,1.0,0.0,5528.0,522.0,0.0,120.0,1101.0,501.0
