,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2021-04-01 00:00:00+02:00,225.0,216.0,617.0,2971.0,0.0,0.0
2021-04-01 01:00:00+02:00,182.0,211.0,500.0,2978.0,0.0,0.0
2021-04-01 02:00:00+02:00,111.0,210.0,486.0,2977.0,0.0,0.0
2021-04-01 03:00:00+02:00,118.0,213.0,463.0,2982.0,0.0,0.0
2021-04-01 04:00:00+02:00,50.0,204.0,547.0,2984.0,0.0,0.0
2021-04-01 05:00:00+02:00,116.0,198.0,660.0,2988.0,0.0,0.0
2021-04-01 06:00:00+02:00,1310.0,222.0,1302.0,2987.0,0.0,0.0
2021-04-01 07:00:00+02:00,2222.0,237.0,2333.0,2990.0,13.0,0.0
2021-04-01 08:00:00+02:00,1988.0,234.0,2427.0,2988.0,149.0,0.0
2021-04-01 09:00:00+02:00,866.0,226.0,1266.0,2986.0,492.0,0.0
2021-04-01 10:00:00+02:00,314.0,199.0,827.0,2978.0,891.0,0.0
2021-04-01 11:00:00+02:00,153.0,200.0,652.0,2965.0,1227.0,0.0
2021-04-01 12:00:00+02:00,123.0,205.0,411.0,2956.0,1435.0,0.0
2021-04-01 13:00:00+02:00,24.0,216.0,491.0,2946.0,1519.0,0.0
2021-04-01 14:00:00+02:00,106.0,209.0,419.0,2938.0,1476.0,0.0
2021-04-01 15:00:00+02:00,56.0,217.0,434.0,2933.0,1357.0,0.0
2021-04-01 16:00:00+02:00,54.0,224.0,535.0,2932.0,1117.0,0.0
2021-04-01 17:00:00+02:00,106.0,231.0,506.0,2933.0,776.0,0.0
2021-04-01 18:00:00+02:00,380.0,229.0,642.0,2932.0,351.0,0.0
2021-04-01 19:00:00+02:00,801.0,226.0,1299.0,2931.0,81.0,0.0
2021-04-01 20:00:00+02:00,1131.0,225.0,1453.0,2943.0,2.0,0.0
2021-04-01 21:00:00+02:00,362.0,204.0,698.0,2949.0,0.0,0.0
2021-04-01 22:00:00+02:00,225.0,215.0,557.0,2955.0,0.0,0.0
2021-04-01 23:00:00+02:00,161.0,213.0,451.0,2961.0,0.0,0.0
2021-04-02 00:00:00+02:00,171.0,221.0,455.0,2963.0,0.0,0.0
2021-04-02 01:00:00+02:00,140.0,222.0,361.0,2968.0,0.0,0.0
2021-04-02 02:00:00+02:00,42.0,233.0,418.0,2971.0,0.0,0.0
2021-04-02 03:00:00+02:00,24.0,234.0,337.0,2975.0,0.0,0.0
2021-04-02 04:00:00+02:00,16.0,218.0,340.0,2976.0,0.0,0.0
