,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-04-01 00:00:00+02:00,4734.0,10190.0,8960.0,3893.0,386.0,23.0,751.0,1506.0,72.0,6681.0,355.0,144.0,0.0,844.0,277.0,1765.0
2021-04-01 00:15:00+02:00,4498.0,10147.0,8840.0,3554.0,386.0,23.0,630.0,1471.0,73.0,6679.0,355.0,144.0,0.0,854.0,415.0,1618.0
2021-04-01 00:30:00+02:00,4533.0,10069.0,8808.0,3403.0,386.0,23.0,576.0,1475.0,83.0,6678.0,353.0,143.0,0.0,844.0,456.0,1572.0
2021-04-01 00:45:00+02:00,4698.0,9956.0,8492.0,3070.0,386.0,23.0,539.0,1495.0,42.0,6680.0,355.0,144.0,0.0,855.0,572.0,1620.0
2021-04-01 01:00:00+02:00,4792.0,9969.0,8487.0,3130.0,386.0,23.0,1038.0,1509.0,185.0,6686.0,358.0,145.0,0.0,858.0,794.0,1656.0
2021-04-01 01:15:00+02:00,4799.0,9795.0,8642.0,3080.0,386.0,23.0,840.0,1513.0,157.0,6690.0,359.0,146.0,0.0,857.0,960.0,1734.0
2021-04-01 01:30:00+02:00,4799.0,9725.0,8638.0,2987.0,386.0,23.0,422.0,1511.0,73.0,6684.0,359.0,146.0,0.0,863.0,1292.0,1913.0
2021-04-01 01:45:00+02:00,4805.0,9669.0,8300.0,2876.0,386.0,23.0,135.0,1515.0,29.0,6687.0,359.0,146.0,0.0,858.0,1502.0,1967.0
2021-04-01 02:00:00+02:00,4816.0,9622.0,8059.0,2777.0,386.0,23.0,568.0,1519.0,183.0,6684.0,359.0,146.0,0.0,859.0,1826.0,2108.0
2021-04-01 02:15:00+02:00,4821.0,9595.0,7963.0,2769.0,386.0,23.0,312.0,1517.0,90.0,6681.0,359.0,146.0,0.0,851.0,2114.0,2295.0
2021-04-01 02:30:00+02:00,4810.0,9535.0,7848.0,2776.0,386.0,23.0,165.0,1512.0,27.0,6682.0,359.0,146.0,0.0,847.0,2590.0,2489.0
