,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2021-04-01 00:00:00+02:00,644.0,334.0,728.0,42.0,0.0,171.0,449.0,502.0
2021-04-01 01:00:00+02:00,422.0,306.0,550.0,42.0,0.0,172.0,697.0,788.0
2021-04-01 02:00:00+02:00,347.0,258.0,508.0,36.0,0.0,163.0,784.0,932.0
2021-04-01 03:00:00+02:00,327.0,249.0,474.0,34.0,0.0,163.0,722.0,930.0
2021-04-01 04:00:00+02:00,460.0,246.0,470.0,33.0,0.0,167.0,768.0,978.0
2021-04-01 05:00:00+02:00,450.0,268.0,474.0,37.0,0.0,173.0,938.0,1100.0
2021-04-01 06:00:00+02:00,447.0,315.0,414.0,42.0,1.0,183.0,1037.0,1387.0
2021-04-01 07:00:00+02:00,442.0,309.0,481.0,41.0,15.0,175.0,1007.0,1256.0
2021-04-01 08:00:00+02:00,620.0,343.0,562.0,57.0,102.0,180.0,1063.0,1267.0
2021-04-01 09:00:00+02:00,430.0,317.0,504.0,60.0,251.0,180.0,1136.0,1543.0
2021-04-01 10:00:00+02:00,479.0,277.0,471.0,57.0,417.0,177.0,1123.0,1368.0
2021-04-01 11:00:00+02:00,418.0,267.0,502.0,57.0,531.0,173.0,1099.0,1472.0
2021-04-01 12:00:00+02:00,418.0,289.0,543.0,63.0,586.0,167.0,1063.0,1414.0
2021-04-01 13:00:00+02:00,556.0,267.0,522.0,57.0,544.0,162.0,853.0,1171.0
2021-04-01 14:00:00+02:00,414.0,281.0,544.0,54.0,581.0,162.0,631.0,867.0
2021-04-01 15:00:00+02:00,504.0,289.0,568.0,53.0,633.0,162.0,570.0,684.0
2021-04-01 16:00:00+02:00,628.0,273.0,437.0,48.0,560.0,162.0,648.0,472.0
2021-04-01 17:00:00+02:00,611.0,304.0,390.0,41.0,396.0,169.0,714.0,406.0
2021-04-01 18:00:00+02:00,644.0,289.0,458.0,40.0,191.0,168.0,728.0,505.0
2021-04-01 19:00:00+02:00,631.0,301.0,437.0,39.0,35.0,170.0,436.0,390.0
2021-04-01 20:00:00+02:00,645.0,316.0,502.0,43.0,1.0,172.0,284.0,433.0
2021-04-01 21:00:00+02:00,814.0,403.0,449.0,37.0,1.0,181.0,287.0,645.0
2021-04-01 22:00:00+02:00,763.0,430.0,417.0,42.0,1.0,183.0,443.0,738.0
2021-04-01 23:00:00+02:00,633.0,384.0,413.0,41.0,1.0,182.0,608.0,859.0
2021-04-02 00:00:00+02:00,575.0,302.0,481.0,44.0,1.0,173.0,705.0,909.0
2021-04-02 01:00:00+02:00,611.0,284.0,520.0,44.0,1.0,165.0,701.0,967.0
2021-04-02 02:00:00+02:00,549.0,290.0,526.0,45.0,1.0,167.0,894.0,1077.0
2021-04-02 03:00:00+02:00,629.0,298.0,493.0,46.0,1.0,167.0,930.0,1345.0
2021-04-02 04:00:00+02:00,637.0,307.0,566.0,47.0,1.0,173.0,964.0,1455.0
2021-04-02 05:00:00+02:00,541.0,307.0,545.0,47.0,1.0,181.0,957.0,1508.0
2021-04-02 06:00:00+02:00,645.0,305.0,481.0,44.0,1.0,180.0,1040.0,1601.0
2021-04-02 07:00:00+02:00,745.0,339.0,522.0,46.0,37.0,179.0,1142.0,1476.0
2021-04-02 08:00:00+02:00,891.0,331.0,564.0,62.0,182.0,182.0,1207.0,1660.0
2021-04-02 09:00:00+02:00,634.0,259.0,521.0,56.0,361.0,182.0,1243.0,1938.0
2021-04-02 10:00:00+02:00,612.0,221.0,564.0,51.0,490.0,174.0,1286.0,2051.0
2021-04-02 11:00:00+02:00,475.0,193.0,428.0,48.0,618.0,168.0,1351.0,2014.0
2021-04-02 12:00:00+02:00,461.0,188.0,436.0,44.0,742.0,154.0,1308.0,1874.0
2021-04-02 13:00:00+02:00,370.0,185.0,473.0,37.0,767.0,152.0,1005.0,1881.0
2021-04-02 14:00:00+02:00,289.0,171.0,485.0,30.0,703.0,153.0,417.0,2076.0
2021-04-02 15:00:00+02:00,407.0,231.0,421.0,42.0,718.0,158.0,471.0,1976.0
2021-04-02 16:00:00+02:00,384.0,212.0,504.0,50.0,655.0,160.0,331.0,1624.0
2021-04-02 17:00:00+02:00,411.0,246.0,647.0,60.0,467.0,166.0,1017.0,1453.0
2021-04-02 18:00:00+02:00,640.0,304.0,729.0,60.0,222.0,182.0,1095.0,1127.0
2021-04-02 19:00:00+02:00,659.0,335.0,725.0,60.0,38.0,181.0,1016.0,834.0
2021-04-02 20:00:00+02:00,567.0,288.0,598.0,64.0,1.0,178.0,929.0,758.0
2021-04-02 21:00:00+02:00,496.0,273.0,569.0,62.0,1.0,177.0,1005.0,856.0
2021-04-02 22:00:00+02:00,592.0,335.0,752.0,65.0,1.0,178.0,910.0,884.0
