,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-04-01 00:00:00+02:00,511.0,0.0,0.0,5577.0,410.0,111.0,0.0,0.0,0.0,907.0,957.0,1483.0,0.0,6080.0,10.0,103.0,42.0,287.0,0.0,12464.0
2021-04-01 01:00:00+02:00,507.0,0.0,0.0,5779.0,361.0,107.0,0.0,0.0,0.0,1471.0,962.0,1221.0,0.0,6080.0,10.0,98.0,33.0,287.0,0.0,12170.0
2021-04-01 02:00:00+02:00,518.0,0.0,0.0,5574.0,304.0,104.0,0.0,0.0,0.0,1623.0,947.0,891.0,0.0,6082.0,10.0,98.0,31.0,281.0,0.0,11909.0
2021-04-01 03:00:00+02:00,502.0,0.0,0.0,5363.0,274.0,104.0,0.0,0.0,0.0,1718.0,949.0,1001.0,0.0,6083.0,11.0,101.0,31.0,286.0,0.0,11805.0
2021-04-01 04:00:00+02:00,510.0,0.0,0.0,5815.0,259.0,104.0,0.0,0.0,0.0,1441.0,943.0,880.0,0.0,6083.0,11.0,102.0,24.0,289.0,0.0,11391.0
2021-04-01 05:00:00+02:00,508.0,0.0,0.0,5645.0,259.0,100.0,0.0,0.0,0.0,1055.0,929.0,994.0,0.0,6090.0,13.0,103.0,23.0,298.0,0.0,10851.0
2021-04-01 06:00:00+02:00,510.0,0.0,0.0,5411.0,259.0,103.0,0.0,0.0,0.0,674.0,922.0,1596.0,0.0,6094.0,16.0,106.0,22.0,303.0,0.0,10018.0
2021-04-01 07:00:00+02:00,519.0,0.0,0.0,5553.0,265.0,108.0,0.0,0.0,0.0,166.0,955.0,2205.0,0.0,6096.0,16.0,106.0,24.0,314.0,0.0,9373.0
2021-04-01 08:00:00+02:00,528.0,0.0,0.0,5435.0,310.0,109.0,0.0,0.0,0.0,0.0,1030.0,2254.0,0.0,6094.0,15.0,103.0,328.0,315.0,0.0,8919.0
2021-04-01 09:00:00+02:00,527.0,0.0,0.0,5839.0,363.0,109.0,0.0,0.0,0.0,0.0,1074.0,2906.0,0.0,6094.0,16.0,100.0,1903.0,327.0,0.0,8523.0
2021-04-01 10:00:00+02:00,520.0,0.0,0.0,5706.0,408.0,110.0,0.0,0.0,0.0,37.0,1080.0,2397.0,0.0,6085.0,15.0,100.0,3855.0,326.0,0.0,7254.0
2021-04-01 11:00:00+02:00,503.0,0.0,0.0,5436.0,461.0,110.0,0.0,0.0,0.0,195.0,1030.0,1843.0,0.0,6091.0,14.0,105.0,5275.0,320.0,0.0,6557.0
2021-04-01 12:00:00+02:00,482.0,0.0,0.0,5478.0,511.0,109.0,0.0,0.0,0.0,267.0,1009.0,1288.0,0.0,6088.0,14.0,106.0,6414.0,326.0,0.0,6911.0
2021-04-01 13:00:00+02:00,505.0,0.0,0.0,5238.0,512.0,108.0,0.0,0.0,0.0,1211.0,994.0,849.0,0.0,6078.0,14.0,111.0,7601.0,315.0,0.0,6636.0
2021-04-01 14:00:00+02:00,505.0,0.0,0.0,5771.0,507.0,108.0,0.0,0.0,0.0,1822.0,1003.0,1277.0,0.0,6080.0,14.0,110.0,7345.0,312.0,0.0,5913.0
2021-04-01 15:00:00+02:00,496.0,0.0,0.0,4833.0,506.0,108.0,0.0,0.0,0.0,1291.0,990.0,979.0,0.0,6071.0,14.0,109.0,7130.0,312.0,0.0,5670.0
2021-04-01 16:00:00+02:00,498.0,0.0,0.0,4592.0,464.0,108.0,0.0,0.0,0.0,1428.0,985.0,897.0,0.0,6067.0,15.0,106.0,6857.0,313.0,0.0,5786.0
2021-04-01 17:00:00+02:00,514.0,0.0,0.0,4880.0,455.0,108.0,0.0,0.0,0.0,1360.0,1002.0,1437.0,0.0,6070.0,14.0,108.0,6059.0,315.0,0.0,5214.0
2021-04-01 18:00:00+02:00,522.0,0.0,0.0,5465.0,388.0,110.0,0.0,0.0,0.0,829.0,1041.0,2665.0,0.0,6068.0,14.0,108.0,4140.0,315.0,0.0,4803.0
2021-04-01 19:00:00+02:00,517.0,0.0,0.0,5351.0,352.0,111.0,0.0,0.0,0.0,474.0,1106.0,4502.0,0.0,6066.0,13.0,108.0,1769.0,320.0,0.0,4378.0
2021-04-01 20:00:00+02:00,496.0,0.0,0.0,5413.0,352.0,111.0,0.0,0.0,0.0,17.0,1126.0,5447.0,0.0,6071.0,13.0,103.0,308.0,322.0,0.0,4495.0
2021-04-01 21:00:00+02:00,498.0,0.0,0.0,5176.0,350.0,111.0,0.0,0.0,0.0,0.0,1149.0,6460.0,0.0,6074.0,14.0,101.0,110.0,327.0,0.0,4518.0
