,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2021-04-01 00:00:00+02:00,318.0,5367.0,28.0,145.0,1086.0,4865.0,1721.0,39572.0,0.0,166.0,1888.0
2021-04-01 01:00:00+02:00,319.0,4572.0,28.0,134.0,186.0,4703.0,1847.0,39348.0,0.0,168.0,2042.0
2021-04-01 02:00:00+02:00,318.0,2951.0,27.0,135.0,580.0,4556.0,1399.0,39157.0,0.0,166.0,2158.0
2021-04-01 03:00:00+02:00,317.0,2769.0,27.0,137.0,874.0,4494.0,1168.0,39367.0,0.0,168.0,2118.0
2021-04-01 04:00:00+02:00,318.0,2623.0,27.0,138.0,1136.0,4513.0,872.0,39499.0,0.0,155.0,2054.0
2021-04-01 05:00:00+02:00,318.0,2724.0,27.0,137.0,346.0,4553.0,881.0,39328.0,0.0,136.0,1927.0
2021-04-01 06:00:00+02:00,317.0,3177.0,27.0,137.0,1093.0,4924.0,1373.0,39621.0,0.0,126.0,1779.0
2021-04-01 07:00:00+02:00,319.0,3346.0,27.0,138.0,1834.0,5560.0,2663.0,39666.0,198.0,128.0,1812.0
2021-04-01 08:00:00+02:00,319.0,3302.0,28.0,138.0,1917.0,5544.0,3028.0,39750.0,852.0,128.0,1774.0
2021-04-01 09:00:00+02:00,319.0,3212.0,26.0,137.0,1297.0,5445.0,2153.0,39743.0,2577.0,124.0,1608.0
2021-04-01 10:00:00+02:00,318.0,2874.0,24.0,137.0,616.0,5058.0,1410.0,40099.0,4525.0,122.0,1318.0
2021-04-01 11:00:00+02:00,312.0,2554.0,25.0,137.0,179.0,4696.0,1126.0,40124.0,5949.0,122.0,1153.0
2021-04-01 12:00:00+02:00,311.0,2198.0,25.0,138.0,198.0,4513.0,1173.0,39819.0,6895.0,124.0,1233.0
2021-04-01 13:00:00+02:00,313.0,1881.0,25.0,138.0,459.0,4422.0,1328.0,39928.0,7219.0,127.0,1516.0
2021-04-01 14:00:00+02:00,316.0,1558.0,25.0,138.0,539.0,4285.0,1475.0,39715.0,7129.0,127.0,1916.0
2021-04-01 15:00:00+02:00,317.0,1499.0,24.0,138.0,469.0,4342.0,1236.0,38783.0,6641.0,130.0,2354.0
2021-04-01 16:00:00+02:00,317.0,1429.0,23.0,138.0,496.0,4516.0,1191.0,38635.0,5669.0,126.0,2916.0
2021-04-01 17:00:00+02:00,314.0,1443.0,22.0,138.0,294.0,4777.0,957.0,38872.0,4126.0,130.0,3750.0
2021-04-01 18:00:00+02:00,316.0,2230.0,21.0,138.0,523.0,5324.0,1239.0,39337.0,2194.0,137.0,4355.0
2021-04-01 19:00:00+02:00,316.0,2505.0,20.0,138.0,854.0,5589.0,1254.0,40203.0,615.0,148.0,4815.0
2021-04-01 20:00:00+02:00,317.0,2371.0,20.0,135.0,963.0,5599.0,1487.0,40526.0,161.0,147.0,5686.0
2021-04-01 21:00:00+02:00,318.0,2310.0,21.0,136.0,562.0,5575.0,1335.0,40667.0,0.0,146.0,6858.0
2021-04-01 22:00:00+02:00,317.0,2415.0,22.0,138.0,922.0,5302.0,877.0,40712.0,0.0,147.0,7273.0
2021-04-01 23:00:00+02:00,315.0,2641.0,22.0,138.0,829.0,4965.0,882.0,40758.0,0.0,146.0,7095.0
2021-04-02 00:00:00+02:00,314.0,1383.0,23.0,138.0,171.0,4744.0,805.0,40724.0,0.0,147.0,7028.0
2021-04-02 01:00:00+02:00,315.0,1025.0,24.0,138.0,588.0,4471.0,644.0,40749.0,0.0,147.0,6829.0
2021-04-02 02:00:00+02:00,316.0,1031.0,24.0,138.0,1029.0,4457.0,563.0,40466.0,0.0,148.0,6600.0
2021-04-02 03:00:00+02:00,316.0,937.0,24.0,138.0,2189.0,4299.0,459.0,40765.0,0.0,149.0,6284.0
2021-04-02 04:00:00+02:00,317.0,908.0,24.0,138.0,2393.0,4189.0,454.0,40784.0,0.0,148.0,6151.0
2021-04-02 05:00:00+02:00,317.0,959.0,24.0,138.0,1950.0,4442.0,462.0,40512.0,0.0,147.0,6200.0
2021-04-02 06:00:00+02:00,316.0,1099.0,25.0,138.0,266.0,4781.0,539.0,40787.0,0.0,134.0,5998.0
