,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
2021-03-31 23:00:00+01:00,1627.0,8964.0,0.0,0.0,0.0,734.0,4906.0,149.0,0.0,1839.0,4292.0
2021-03-31 23:30:00+01:00,1471.0,7049.0,0.0,0.0,0.0,732.0,4901.0,149.0,0.0,2124.0,4209.0
2021-04-01 00:00:00+01:00,1300.0,6209.0,0.0,0.0,0.0,723.0,4898.0,153.0,0.0,2265.0,4180.0
2021-04-01 00:30:00+01:00,1138.0,5794.0,0.0,0.0,0.0,723.0,4884.0,150.0,0.0,2490.0,3708.0
2021-04-01 01:00:00+01:00,1174.0,5857.0,0.0,0.0,0.0,721.0,4895.0,162.0,0.0,3708.0,3563.0
2021-04-01 01:30:00+01:00,1168.0,5119.0,0.0,0.0,0.0,720.0,4894.0,148.0,0.0,3931.0,3677.0
2021-04-01 02:00:00+01:00,1456.0,5043.0,0.0,0.0,0.0,704.0,4894.0,149.0,0.0,3854.0,3674.0
2021-04-01 02:30:00+01:00,1488.0,5070.0,0.0,0.0,0.0,700.0,4888.0,152.0,0.0,3761.0,3583.0
2021-04-01 03:00:00+01:00,1488.0,4977.0,0.0,0.0,0.0,699.0,4889.0,158.0,0.0,3795.0,3452.0
2021-04-01 03:30:00+01:00,1494.0,4834.0,0.0,0.0,0.0,700.0,4907.0,148.0,0.0,3962.0,3388.0
2021-04-01 04:00:00+01:00,1494.0,4867.0,0.0,0.0,0.0,702.0,4910.0,149.0,0.0,4656.0,3054.0
2021-04-01 04:30:00+01:00,1484.0,4413.0,0.0,0.0,0.0,701.0,4904.0,148.0,0.0,4772.0,2765.0
2021-04-01 05:00:00+01:00,1492.0,4840.0,0.0,0.0,0.0,728.0,4898.0,149.0,0.0,4915.0,2876.0
2021-04-01 05:30:00+01:00,1377.0,5940.0,0.0,0.0,0.0,728.0,4912.0,154.0,0.0,4975.0,2662.0
2021-04-01 06:00:00+01:00,1411.0,6734.0,0.0,0.0,0.0,772.0,4908.0,151.0,0.0,4711.0,2692.0
2021-04-01 06:30:00+01:00,1511.0,7786.0,0.0,0.0,19.0,791.0,4902.0,157.0,2.0,4685.0,2829.0
2021-04-01 07:00:00+01:00,1498.0,9928.0,0.0,0.0,0.0,809.0,4902.0,154.0,68.0,4635.0,2945.0
2021-04-01 07:30:00+01:00,1647.0,11926.0,0.0,0.0,120.0,808.0,4894.0,155.0,273.0,4945.0,3128.0
2021-04-01 08:00:00+01:00,1698.0,12035.0,0.0,0.0,205.0,795.0,4895.0,235.0,609.0,5081.0,3105.0
2021-04-01 08:30:00+01:00,1669.0,12186.0,0.0,0.0,678.0,793.0,4902.0,235.0,1030.0,5023.0,3043.0
2021-04-01 09:00:00+01:00,1634.0,11837.0,0.0,0.0,700.0,758.0,4893.0,237.0,1510.0,4865.0,3121.0
2021-04-01 09:30:00+01:00,1501.0,12372.0,0.0,0.0,569.0,758.0,4889.0,167.0,2020.0,4687.0,2989.0
2021-04-01 10:00:00+01:00,1178.0,12428.0,0.0,0.0,120.0,751.0,4890.0,318.0,2610.0,4583.0,3236.0
2021-04-01 10:30:00+01:00,1195.0,12352.0,0.0,0.0,0.0,747.0,4890.0,296.0,3120.0,4596.0,3208.0
2021-04-01 11:00:00+01:00,1190.0,12065.0,0.0,0.0,6.0,747.0,4891.0,263.0,3580.0,4491.0,3176.0
2021-04-01 11:30:00+01:00,1187.0,12045.0,0.0,0.0,0.0,726.0,4895.0,250.0,4060.0,4401.0,3063.0
2021-04-01 12:00:00+01:00,1190.0,11913.0,0.0,0.0,161.0,698.0,4901.0,338.0,4390.0,4307.0,3029.0
2021-04-01 12:30:00+01:00,1180.0,11814.0,0.0,0.0,151.0,675.0,4904.0,330.0,4650.0,4365.0,2928.0
2021-04-01 13:00:00+01:00,1184.0,11823.0,0.0,0.0,0.0,675.0,4901.0,283.0,4740.0,4347.0,2741.0
2021-04-01 13:30:00+01:00,1187.0,11640.0,0.0,0.0,0.0,676.0,4909.0,283.0,4780.0,5462.0,3327.0
2021-04-01 14:00:00+01:00,1187.0,11727.0,0.0,0.0,0.0,676.0,4901.0,226.0,4700.0,4128.0,2423.0
2021-04-01 14:30:00+01:00,1187.0,11702.0,0.0,0.0,0.0,821.0,4904.0,218.0,4460.0,3905.0,2338.0
2021-04-01 15:00:00+01:00,1192.0,11699.0,0.0,0.0,0.0,849.0,4904.0,188.0,4170.0,3835.0,2266.0
2021-04-01 15:30:00+01:00,1186.0,12264.0,0.0,0.0,0.0,852.0,4903.0,175.0,3830.0,3709.0,2220.0
2021-04-01 16:00:00+01:00,1183.0,12906.0,0.0,0.0,0.0,895.0,4896.0,183.0,3420.0,5533.0,3153.0
2021-04-01 16:30:00+01:00,1182.0,13747.0,0.0,0.0,0.0,900.0,4903.0,188.0,2870.0,3637.0,2135.0
2021-04-01 17:00:00+01:00,1181.0,14086.0,0.0,0.0,508.0,945.0,4894.0,212.0,2210.0,3647.0,2111.0
2021-04-01 17:30:00+01:00,1183.0,14610.0,0.0,0.0,712.0,948.0,4890.0,212.0,1520.0,3700.0,2116.0
2021-04-01 18:00:00+01:00,1185.0,14934.0,0.0,0.0,1099.0,965.0,4888.0,213.0,922.0,3932.0,2109.0
2021-04-01 18:30:00+01:00,1183.0,14901.0,0.0,0.0,1048.0,970.0,4895.0,277.0,422.0,4122.0,2142.0
2021-04-01 19:00:00+01:00,1183.0,14833.0,0.0,0.0,1048.0,961.0,4886.0,316.0,102.0,4385.0,1965.0
2021-04-01 19:30:00+01:00,1183.0,14543.0,0.0,0.0,1048.0,955.0,4896.0,428.0,3.0,4528.0,1946.0
2021-04-01 20:00:00+01:00,1180.0,15093.0,0.0,0.0,1074.0,913.0,4894.0,389.0,0.0,5483.0,2840.0
2021-04-01 20:30:00+01:00,1180.0,15264.0,0.0,0.0,661.0,914.0,4890.0,374.0,0.0,4295.0,1836.0
2021-04-01 21:00:00+01:00,1183.0,14784.0,0.0,0.0,298.0,748.0,4900.0,187.0,0.0,4347.0,1796.0
2021-04-01 21:30:00+01:00,1173.0,13900.0,0.0,0.0,0.0,745.0,4906.0,162.0,0.0,4382.0,1808.0
2021-04-01 22:00:00+01:00,1177.0,12296.0,0.0,0.0,72.0,739.0,4903.0,166.0,0.0,4185.0,1764.0
2021-04-01 22:30:00+01:00,1254.0,11099.0,0.0,0.0,31.0,711.0,4901.0,164.0,0.0,3984.0,1742.0
2021-04-01 23:00:00+01:00,1395.0,10194.0,0.0,0.0,159.0,693.0,4905.0,165.0,0.0,3614.0,1636.0
2021-04-01 23:30:00+01:00,1474.0,9244.0,0.0,0.0,0.0,692.0,4891.0,162.0,0.0,3513.0,1573.0
2021-04-02 00:00:00+01:00,1476.0,8681.0,0.0,0.0,0.0,679.0,4905.0,161.0,0.0,3374.0,1488.0
2021-04-02 00:30:00+01:00,1477.0,8205.0,0.0,0.0,0.0,675.0,4900.0,161.0,0.0,3343.0,1510.0
2021-04-02 01:00:00+01:00,1482.0,8063.0,0.0,0.0,0.0,666.0,4894.0,163.0,0.0,3196.0,1452.0
2021-04-02 01:30:00+01:00,1476.0,8201.0,0.0,0.0,0.0,650.0,4904.0,161.0,0.0,3200.0,1445.0
2021-04-02 02:00:00+01:00,1475.0,8467.0,0.0,0.0,0.0,652.0,4901.0,160.0,1.0,3116.0,1458.0
2021-04-02 02:30:00+01:00,1475.0,8175.0,0.0,0.0,0.0,637.0,4900.0,160.0,0.0,3124.0,1438.0
2021-04-02 03:00:00+01:00,1476.0,7982.0,0.0,0.0,0.0,637.0,4891.0,161.0,0.0,3227.0,1442.0
2021-04-02 03:30:00+01:00,1475.0,7823.0,0.0,0.0,0.0,637.0,4897.0,160.0,0.0,3143.0,1469.0
2021-04-02 04:00:00+01:00,1494.0,7644.0,0.0,0.0,0.0,637.0,4897.0,164.0,0.0,3118.0,1508.0
2021-04-02 04:30:00+01:00,1480.0,7553.0,0.0,0.0,0.0,629.0,4904.0,160.0,0.0,3134.0,1506.0
