,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Waste,Wind Onshore
2021-04-01 00:00:00+02:00,764.0,253.0,11387.0,835.0,81.0,638.0,197.0,3056.0,262.0,2134.0,0.0,36.0,498.0
2021-04-01 01:00:00+02:00,772.0,254.0,10713.0,830.0,86.0,638.0,12.0,2955.0,215.0,2011.0,0.0,35.0,404.0
2021-04-01 02:00:00+02:00,773.0,252.0,10502.0,832.0,93.0,638.0,0.0,2838.0,207.0,1971.0,0.0,35.0,479.0
2021-04-01 03:00:00+02:00,772.0,252.0,10042.0,830.0,93.0,638.0,0.0,2875.0,217.0,1965.0,0.0,36.0,565.0
2021-04-01 04:00:00+02:00,770.0,250.0,10173.0,830.0,93.0,638.0,0.0,2965.0,264.0,1961.0,0.0,37.0,644.0
2021-04-01 05:00:00+02:00,765.0,252.0,10487.0,833.0,81.0,638.0,0.0,3107.0,313.0,2058.0,0.0,37.0,657.0
2021-04-01 06:00:00+02:00,767.0,251.0,12670.0,868.0,92.0,637.0,562.0,4059.0,486.0,2423.0,32.0,36.0,706.0
2021-04-01 07:00:00+02:00,717.0,252.0,13581.0,970.0,82.0,637.0,1405.0,4650.0,714.0,2719.0,842.0,35.0,643.0
2021-04-01 08:00:00+02:00,698.0,252.0,13511.0,1087.0,104.0,637.0,1951.0,4895.0,1066.0,2808.0,3648.0,37.0,585.0
2021-04-01 09:00:00+02:00,703.0,251.0,13482.0,1035.0,101.0,636.0,549.0,4687.0,781.0,2855.0,6576.0,36.0,523.0
2021-04-01 10:00:00+02:00,707.0,251.0,12456.0,925.0,44.0,637.0,50.0,3736.0,623.0,2869.0,8518.0,36.0,611.0
2021-04-01 11:00:00+02:00,708.0,248.0,11308.0,915.0,43.0,635.0,49.0,3402.0,456.0,2925.0,9862.0,33.0,798.0
2021-04-01 12:00:00+02:00,710.0,248.0,10113.0,915.0,43.0,637.0,1.0,3054.0,303.0,2934.0,10529.0,35.0,1022.0
2021-04-01 13:00:00+02:00,713.0,246.0,9040.0,913.0,45.0,629.0,0.0,2829.0,286.0,2895.0,10677.0,38.0,1169.0
2021-04-01 14:00:00+02:00,722.0,244.0,10001.0,916.0,50.0,636.0,0.0,2849.0,320.0,3098.0,10165.0,37.0,1179.0
2021-04-01 15:00:00+02:00,721.0,243.0,10682.0,913.0,57.0,637.0,0.0,2932.0,354.0,3143.0,8850.0,37.0,1276.0
2021-04-01 16:00:00+02:00,716.0,243.0,11324.0,855.0,68.0,637.0,0.0,3255.0,466.0,3102.0,7021.0,37.0,1210.0
2021-04-01 17:00:00+02:00,724.0,249.0,12968.0,834.0,114.0,637.0,48.0,3778.0,600.0,2972.0,4298.0,36.0,1013.0
2021-04-01 18:00:00+02:00,724.0,252.0,13953.0,843.0,148.0,638.0,386.0,4390.0,821.0,2871.0,1443.0,38.0,883.0
2021-04-01 19:00:00+02:00,725.0,253.0,14498.0,1022.0,157.0,639.0,2014.0,5259.0,1185.0,2933.0,85.0,37.0,849.0
2021-04-01 20:00:00+02:00,726.0,254.0,14954.0,1236.0,169.0,641.0,2102.0,5695.0,1425.0,2838.0,0.0,37.0,1013.0
2021-04-01 21:00:00+02:00,728.0,256.0,14075.0,1212.0,169.0,640.0,948.0,4883.0,874.0,2609.0,0.0,36.0,1246.0
2021-04-01 22:00:00+02:00,729.0,256.0,13503.0,919.0,157.0,642.0,325.0,3888.0,481.0,2275.0,0.0,37.0,1345.0
2021-04-01 23:00:00+02:00,734.0,257.0,12013.0,837.0,160.0,641.0,271.0,3349.0,428.0,2132.0,0.0,37.0,1604.0
2021-04-02 00:00:00+02:00,732.0,248.0,9591.0,864.0,169.0,642.0,281.0,3506.0,303.0,1931.0,0.0,38.0,1661.0
2021-04-02 01:00:00+02:00,732.0,247.0,8407.0,837.0,169.0,643.0,160.0,3278.0,254.0,1766.0,0.0,38.0,1876.0
2021-04-02 02:00:00+02:00,733.0,249.0,7475.0,840.0,157.0,644.0,160.0,3037.0,207.0,1758.0,0.0,39.0,1972.0
2021-04-02 03:00:00+02:00,729.0,248.0,8473.0,829.0,157.0,642.0,0.0,3012.0,228.0,1730.0,0.0,37.0,1973.0
