,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2021-04-01 00:00:00+02:00,11.0,6747.0,2822.0,0.0,480.0,2445.0,0.0,422.0,18.0,46.0
2021-04-01 00:15:00+02:00,11.0,6530.0,2585.0,0.0,480.0,2431.0,0.0,415.0,25.0,73.0
2021-04-01 00:30:00+02:00,10.0,6365.0,2595.0,0.0,480.0,2367.0,0.0,417.0,44.0,80.0
2021-04-01 00:45:00+02:00,11.0,5953.0,2531.0,0.0,480.0,2238.0,0.0,416.0,75.0,83.0
2021-04-01 01:00:00+02:00,11.0,5195.0,2368.0,0.0,480.0,1954.0,0.0,410.0,103.0,84.0
2021-04-01 01:15:00+02:00,11.0,5235.0,2209.0,0.0,480.0,1994.0,0.0,402.0,126.0,89.0
2021-04-01 01:30:00+02:00,11.0,5082.0,2164.0,0.0,480.0,2007.0,0.0,405.0,99.0,92.0
2021-04-01 01:45:00+02:00,11.0,4864.0,2138.0,0.0,480.0,1976.0,0.0,413.0,118.0,93.0
2021-04-01 02:00:00+02:00,11.0,4750.0,1972.0,0.0,480.0,1926.0,0.0,416.0,186.0,92.0
2021-04-01 02:15:00+02:00,11.0,4731.0,1860.0,0.0,480.0,2012.0,0.0,406.0,161.0,93.0
2021-04-01 02:30:00+02:00,11.0,4713.0,1818.0,0.0,480.0,2011.0,0.0,412.0,204.0,110.0
2021-04-01 02:45:00+02:00,11.0,4678.0,1824.0,0.0,480.0,2034.0,0.0,415.0,255.0,110.0
2021-04-01 03:00:00+02:00,11.0,4558.0,1810.0,0.0,480.0,2059.0,0.0,414.0,322.0,115.0
2021-04-01 03:15:00+02:00,11.0,4447.0,1809.0,0.0,480.0,2047.0,0.0,405.0,481.0,135.0
2021-04-01 03:30:00+02:00,11.0,4387.0,1797.0,0.0,480.0,2050.0,0.0,409.0,528.0,151.0
2021-04-01 03:45:00+02:00,11.0,4291.0,1764.0,0.0,480.0,2002.0,0.0,405.0,557.0,149.0
