,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore
2021-04-01 00:00:00+02:00,80.0,451.0,1332.0,13729.0,0.0,34.0,33.0,992.0
2021-04-01 01:00:00+02:00,80.0,453.0,1331.0,13392.0,0.0,32.0,32.0,963.0
2021-04-01 02:00:00+02:00,80.0,450.0,1323.0,13238.0,0.0,28.0,33.0,897.0
2021-04-01 03:00:00+02:00,80.0,454.0,1324.0,13012.0,0.0,27.0,34.0,924.0
2021-04-01 04:00:00+02:00,80.0,458.0,1321.0,12892.0,0.0,27.0,34.0,873.0
2021-04-01 05:00:00+02:00,80.0,454.0,1316.0,13376.0,0.0,31.0,33.0,880.0
2021-04-01 06:00:00+02:00,81.0,625.0,1314.0,15001.0,0.0,33.0,32.0,848.0
2021-04-01 07:00:00+02:00,80.0,850.0,1291.0,16024.0,0.0,33.0,31.0,802.0
2021-04-01 08:00:00+02:00,80.0,883.0,1270.0,16790.0,0.0,31.0,31.0,784.0
2021-04-01 09:00:00+02:00,80.0,893.0,1267.0,16969.0,0.0,32.0,33.0,948.0
2021-04-01 10:00:00+02:00,80.0,805.0,1292.0,16604.0,0.0,31.0,30.0,1036.0
2021-04-01 11:00:00+02:00,80.0,701.0,1295.0,15875.0,0.0,33.0,31.0,1126.0
2021-04-01 12:00:00+02:00,82.0,567.0,1279.0,14079.0,0.0,30.0,33.0,1248.0
2021-04-01 13:00:00+02:00,81.0,517.0,1276.0,12088.0,0.0,33.0,31.0,1354.0
2021-04-01 14:00:00+02:00,81.0,394.0,1274.0,10745.0,0.0,29.0,36.0,1542.0
2021-04-01 15:00:00+02:00,81.0,472.0,1275.0,11367.0,0.0,28.0,33.0,1631.0
2021-04-01 16:00:00+02:00,82.0,550.0,1265.0,12916.0,0.0,31.0,33.0,1654.0
2021-04-01 17:00:00+02:00,81.0,547.0,1262.0,13502.0,0.0,31.0,33.0,1647.0
2021-04-01 18:00:00+02:00,84.0,544.0,1259.0,13862.0,0.0,28.0,34.0,1769.0
2021-04-01 19:00:00+02:00,84.0,544.0,1254.0,14056.0,0.0,36.0,35.0,1789.0
2021-04-01 20:00:00+02:00,83.0,636.0,1257.0,13700.0,0.0,33.0,33.0,1790.0
2021-04-01 21:00:00+02:00,85.0,660.0,1255.0,12871.0,0.0,34.0,33.0,1735.0
2021-04-01 22:00:00+02:00,81.0,622.0,1256.0,12548.0,0.0,34.0,33.0,1793.0
2021-04-01 23:00:00+02:00,81.0,617.0,1251.0,12321.0,0.0,36.0,34.0,1814.0
2021-04-02 00:00:00+02:00,80.0,530.0,1243.0,12287.0,0.0,34.0,34.0,1947.0
2021-04-02 01:00:00+02:00,82.0,458.0,1238.0,12333.0,0.0,34.0,34.0,1766.0
2021-04-02 02:00:00+02:00,83.0,458.0,1233.0,12318.0,0.0,35.0,32.0,1667.0
2021-04-02 03:00:00+02:00,81.0,458.0,1232.0,12104.0,0.0,34.0,33.0,1438.0
2021-04-02 04:00:00+02:00,83.0,504.0,1226.0,12007.0,0.0,34.0,36.0,1304.0
2021-04-02 05:00:00+02:00,82.0,565.0,1227.0,12455.0,0.0,34.0,36.0,1526.0
2021-04-02 06:00:00+02:00,80.0,559.0,1223.0,12845.0,0.0,24.0,36.0,1803.0
2021-04-02 07:00:00+02:00,80.0,518.0,1222.0,12618.0,0.0,21.0,30.0,1965.0
2021-04-02 08:00:00+02:00,80.0,573.0,1220.0,12313.0,0.0,22.0,30.0,1940.0
2021-04-02 09:00:00+02:00,81.0,545.0,1216.0,12114.0,0.0,26.0,34.0,2134.0
2021-04-02 10:00:00+02:00,80.0,591.0,1208.0,11138.0,0.0,28.0,33.0,2141.0
2021-04-02 11:00:00+02:00,80.0,376.0,1204.0,10188.0,0.0,39.0,34.0,2165.0
2021-04-02 12:00:00+02:00,80.0,217.0,1205.0,9331.0,0.0,33.0,34.0,2130.0
2021-04-02 13:00:00+02:00,80.0,215.0,1198.0,8518.0,0.0,35.0,35.0,2204.0
2021-04-02 14:00:00+02:00,80.0,268.0,1194.0,7768.0,0.0,35.0,34.0,1998.0
2021-04-02 15:00:00+02:00,80.0,338.0,1185.0,7568.0,0.0,34.0,35.0,2099.0
2021-04-02 16:00:00+02:00,80.0,315.0,1182.0,7725.0,0.0,36.0,36.0,2166.0
2021-04-02 17:00:00+02:00,80.0,243.0,1192.0,8608.0,0.0,35.0,36.0,2217.0
2021-04-02 18:00:00+02:00,80.0,244.0,1187.0,9360.0,0.0,38.0,33.0,2167.0
2021-04-02 19:00:00+02:00,80.0,375.0,1182.0,10333.0,0.0,34.0,32.0,2030.0
2021-04-02 20:00:00+02:00,80.0,483.0,1182.0,11391.0,0.0,31.0,32.0,1905.0
2021-04-02 21:00:00+02:00,80.0,534.0,1185.0,11824.0,0.0,33.0,35.0,1745.0
2021-04-02 22:00:00+02:00,80.0,461.0,1183.0,11505.0,0.0,37.0,34.0,1511.0
2021-04-02 23:00:00+02:00,80.0,464.0,1184.0,11274.0,0.0,38.0,33.0,1325.0
2021-04-03 00:00:00+02:00,80.0,535.0,1158.0,11367.0,0.0,35.0,35.0,1372.0
2021-04-03 01:00:00+02:00,80.0,459.0,1147.0,10971.0,0.0,38.0,35.0,1425.0
2021-04-03 02:00:00+02:00,80.0,463.0,1146.0,10787.0,0.0,38.0,31.0,1237.0
2021-04-03 03:00:00+02:00,80.0,458.0,1141.0,10839.0,0.0,38.0,34.0,1241.0
2021-04-03 04:00:00+02:00,80.0,460.0,1141.0,10753.0,0.0,38.0,31.0,1440.0
2021-04-03 05:00:00+02:00,80.0,466.0,1141.0,11245.0,0.0,41.0,30.0,1543.0
2021-04-03 06:00:00+02:00,80.0,570.0,1136.0,12322.0,0.0,37.0,35.0,1605.0
2021-04-03 07:00:00+02:00,81.0,616.0,1138.0,13384.0,0.0,38.0,32.0,1774.0
2021-04-03 08:00:00+02:00,82.0,623.0,1139.0,14076.0,0.0,40.0,32.0,1845.0
2021-04-03 09:00:00+02:00,80.0,610.0,1145.0,14270.0,0.0,38.0,30.0,1731.0
2021-04-03 10:00:00+02:00,80.0,478.0,1147.0,13211.0,0.0,43.0,33.0,1601.0
2021-04-03 11:00:00+02:00,80.0,391.0,1150.0,11317.0,0.0,43.0,31.0,1563.0
2021-04-03 12:00:00+02:00,80.0,274.0,1133.0,9480.0,0.0,41.0,31.0,1559.0
2021-04-03 13:00:00+02:00,81.0,430.0,1133.0,8354.0,0.0,38.0,30.0,1600.0
2021-04-03 14:00:00+02:00,80.0,377.0,1132.0,7501.0,0.0,38.0,34.0,1575.0
2021-04-03 15:00:00+02:00,83.0,432.0,1129.0,7622.0,0.0,39.0,33.0,1463.0
2021-04-03 16:00:00+02:00,83.0,425.0,1138.0,8146.0,0.0,36.0,34.0,1832.0
2021-04-03 17:00:00+02:00,82.0,481.0,1136.0,9096.0,0.0,35.0,34.0,2038.0
2021-04-03 18:00:00+02:00,80.0,481.0,1141.0,10792.0,0.0,40.0,35.0,2038.0
2021-04-03 19:00:00+02:00,80.0,480.0,1146.0,13148.0,0.0,35.0,34.0,2092.0
2021-04-03 20:00:00+02:00,80.0,479.0,1139.0,13947.0,0.0,38.0,34.0,2089.0
2021-04-03 21:00:00+02:00,80.0,470.0,1136.0,13523.0,0.0,35.0,35.0,2317.0
2021-04-03 22:00:00+02:00,80.0,470.0,1130.0,13066.0,0.0,41.0,34.0,2311.0
2021-04-03 23:00:00+02:00,80.0,466.0,1118.0,12569.0,0.0,35.0,36.0,2228.0
2021-04-04 00:00:00+02:00,80.0,448.0,1098.0,12776.0,0.0,37.0,35.0,2276.0
2021-04-04 01:00:00+02:00,80.0,453.0,1103.0,11442.0,0.0,39.0,33.0,2201.0
2021-04-04 02:00:00+02:00,80.0,449.0,1099.0,10429.0,0.0,37.0,35.0,2094.0
2021-04-04 03:00:00+02:00,80.0,458.0,1098.0,10396.0,0.0,38.0,33.0,1766.0
2021-04-04 04:00:00+02:00,80.0,456.0,1096.0,10092.0,0.0,32.0,33.0,1685.0
2021-04-04 05:00:00+02:00,79.0,435.0,1098.0,9959.0,0.0,31.0,36.0,1584.0
2021-04-04 06:00:00+02:00,73.0,407.0,1092.0,9769.0,0.0,32.0,36.0,1556.0
2021-04-04 07:00:00+02:00,73.0,409.0,1095.0,9541.0,0.0,36.0,35.0,1635.0
2021-04-04 08:00:00+02:00,73.0,301.0,1100.0,9958.0,0.0,37.0,35.0,1611.0
2021-04-04 09:00:00+02:00,73.0,301.0,1104.0,9927.0,0.0,42.0,35.0,1484.0
2021-04-04 10:00:00+02:00,73.0,226.0,1100.0,9159.0,0.0,37.0,38.0,1548.0
2021-04-04 11:00:00+02:00,73.0,224.0,1101.0,8365.0,0.0,36.0,37.0,1890.0
2021-04-04 12:00:00+02:00,73.0,230.0,1100.0,8119.0,0.0,41.0,34.0,2150.0
2021-04-04 13:00:00+02:00,73.0,270.0,1116.0,7244.0,0.0,40.0,34.0,2296.0
2021-04-04 14:00:00+02:00,73.0,290.0,1132.0,6837.0,0.0,37.0,33.0,2233.0
