,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore
2021-04-01 00:00:00+02:00,224.0,4502.0,67.0,1369.0,7639.0,269.0,17.0,235.0,5.0,0.0,300.0
2021-04-01 01:00:00+02:00,231.0,4246.0,69.0,1352.0,7517.0,260.0,0.0,234.0,0.0,0.0,350.0
2021-04-01 02:00:00+02:00,237.0,4378.0,69.0,1327.0,7466.0,260.0,0.0,234.0,0.0,0.0,406.0
2021-04-01 03:00:00+02:00,235.0,4422.0,68.0,1322.0,7409.0,261.0,0.0,235.0,0.0,0.0,512.0
2021-04-01 04:00:00+02:00,242.0,4310.0,66.0,1329.0,7483.0,263.0,0.0,235.0,0.0,0.0,557.0
2021-04-01 05:00:00+02:00,246.0,4295.0,67.0,1416.0,7780.0,264.0,0.0,234.0,0.0,0.0,549.0
2021-04-01 06:00:00+02:00,245.0,5028.0,66.0,1453.0,8108.0,252.0,0.0,247.0,38.0,24.0,557.0
2021-04-01 07:00:00+02:00,243.0,5279.0,67.0,1437.0,8989.0,258.0,0.0,262.0,43.0,217.0,700.0
2021-04-01 08:00:00+02:00,247.0,5373.0,68.0,1434.0,8844.0,264.0,0.0,296.0,43.0,634.0,766.0
2021-04-01 09:00:00+02:00,248.0,5201.0,67.0,1440.0,8281.0,253.0,58.0,292.0,43.0,1125.0,505.0
2021-04-01 10:00:00+02:00,248.0,5071.0,66.0,1397.0,8149.0,268.0,229.0,274.0,43.0,1560.0,363.0
2021-04-01 11:00:00+02:00,249.0,4961.0,64.0,1310.0,8391.0,273.0,69.0,272.0,43.0,1801.0,630.0
2021-04-01 12:00:00+02:00,246.0,4784.0,64.0,1315.0,7704.0,272.0,267.0,263.0,5.0,1925.0,1187.0
2021-04-01 13:00:00+02:00,245.0,4595.0,65.0,1310.0,7416.0,269.0,223.0,258.0,0.0,1945.0,1570.0
2021-04-01 14:00:00+02:00,248.0,4468.0,64.0,1310.0,7680.0,269.0,0.0,258.0,0.0,1538.0,1853.0
2021-04-01 15:00:00+02:00,247.0,4509.0,65.0,1326.0,7816.0,262.0,17.0,255.0,0.0,1096.0,1873.0
2021-04-01 16:00:00+02:00,245.0,4601.0,66.0,1312.0,7562.0,257.0,52.0,254.0,0.0,695.0,2449.0
