,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore
2021-03-31 23:00:00+01:00,388.0,814.0,0.0,0.0,789.0,43.0,37.0,0.0,0.0,3677.0
2021-04-01 00:00:00+01:00,385.0,661.0,0.0,0.0,564.0,13.0,37.0,0.0,0.0,3644.0
2021-04-01 01:00:00+01:00,393.0,659.0,0.0,0.0,405.0,13.0,37.0,0.0,0.0,3627.0
2021-04-01 02:00:00+01:00,390.0,662.0,0.0,0.0,436.0,13.0,37.0,0.0,0.0,3378.0
2021-04-01 03:00:00+01:00,379.0,662.0,0.0,0.0,438.0,13.0,36.0,0.0,0.0,2816.0
2021-04-01 04:00:00+01:00,380.0,660.0,0.0,0.0,501.0,13.0,35.0,0.0,0.0,2467.0
2021-04-01 05:00:00+01:00,378.0,758.0,0.0,0.0,744.0,13.0,35.0,0.0,0.0,2307.0
2021-04-01 06:00:00+01:00,383.0,1018.0,0.0,41.0,1074.0,78.0,36.0,0.0,0.0,2072.0
2021-04-01 07:00:00+01:00,381.0,1212.0,0.0,840.0,1267.0,326.0,35.0,8.0,0.0,1777.0
2021-04-01 08:00:00+01:00,382.0,1252.0,0.0,1206.0,1311.0,472.0,35.0,101.0,0.0,1578.0
2021-04-01 09:00:00+01:00,387.0,1261.0,0.0,785.0,1272.0,358.0,36.0,198.0,0.0,1419.0
2021-04-01 10:00:00+01:00,390.0,1250.0,0.0,740.0,1149.0,384.0,36.0,240.0,0.0,1428.0
2021-04-01 11:00:00+01:00,374.0,1234.0,0.0,112.0,988.0,180.0,36.0,316.0,0.0,1440.0
2021-04-01 12:00:00+01:00,378.0,1236.0,0.0,290.0,819.0,224.0,36.0,353.0,0.0,1424.0
2021-04-01 13:00:00+01:00,382.0,1232.0,0.0,12.0,606.0,120.0,36.0,372.0,0.0,1439.0
2021-04-01 14:00:00+01:00,387.0,1234.0,0.0,0.0,571.0,8.0,35.0,423.0,0.0,1463.0
2021-04-01 15:00:00+01:00,388.0,1240.0,0.0,94.0,599.0,8.0,36.0,380.0,0.0,1256.0
2021-04-01 16:00:00+01:00,376.0,1470.0,0.0,94.0,594.0,8.0,35.0,265.0,0.0,946.0
2021-04-01 17:00:00+01:00,382.0,1526.0,0.0,403.0,428.0,11.0,36.0,190.0,0.0,650.0
2021-04-01 18:00:00+01:00,396.0,1541.0,0.0,744.0,592.0,244.0,37.0,130.0,0.0,437.0
2021-04-01 19:00:00+01:00,400.0,1576.0,0.0,1407.0,843.0,702.0,37.0,22.0,0.0,298.0
2021-04-01 20:00:00+01:00,398.0,1578.0,0.0,1783.0,1038.0,871.0,36.0,0.0,0.0,222.0
2021-04-01 21:00:00+01:00,405.0,1573.0,0.0,1353.0,1203.0,262.0,36.0,0.0,0.0,148.0
2021-04-01 22:00:00+01:00,401.0,1565.0,0.0,764.0,1169.0,66.0,35.0,0.0,0.0,159.0
2021-04-01 23:00:00+01:00,399.0,1180.0,0.0,398.0,1200.0,64.0,35.0,0.0,0.0,168.0
