,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
2021-04-01 00:00:00+02:00,6973.0,6947.0,864.0,4588.0
2021-04-01 01:00:00+02:00,6553.0,6947.0,858.0,4663.0
2021-04-01 02:00:00+02:00,6413.0,6947.0,868.0,4655.0
2021-04-01 03:00:00+02:00,6484.0,6945.0,888.0,4653.0
2021-04-01 04:00:00+02:00,6896.0,6944.0,918.0,4737.0
2021-04-01 05:00:00+02:00,8425.0,6944.0,981.0,4778.0
2021-04-01 06:00:00+02:00,9000.0,6943.0,1068.0,4647.0
2021-04-01 07:00:00+02:00,9488.0,6946.0,1092.0,4364.0
2021-04-01 08:00:00+02:00,9845.0,6947.0,1158.0,3784.0
2021-04-01 09:00:00+02:00,9872.0,6948.0,1221.0,3398.0
2021-04-01 10:00:00+02:00,9833.0,6950.0,1282.0,3085.0
2021-04-01 11:00:00+02:00,9780.0,6949.0,1336.0,3111.0
2021-04-01 12:00:00+02:00,9589.0,6949.0,1332.0,3118.0
2021-04-01 13:00:00+02:00,9385.0,6948.0,1325.0,3391.0
2021-04-01 14:00:00+02:00,9226.0,6945.0,1333.0,3422.0
2021-04-01 15:00:00+02:00,9110.0,6937.0,1295.0,3576.0
2021-04-01 16:00:00+02:00,9153.0,6933.0,1238.0,3613.0
2021-04-01 17:00:00+02:00,9668.0,6931.0,1170.0,3533.0
2021-04-01 18:00:00+02:00,9801.0,6936.0,1119.0,3664.0
2021-04-01 19:00:00+02:00,9778.0,6938.0,1089.0,3811.0
2021-04-01 20:00:00+02:00,9689.0,6950.0,1061.0,4107.0
2021-04-01 21:00:00+02:00,9253.0,6959.0,994.0,4414.0
2021-04-01 22:00:00+02:00,8899.0,6959.0,957.0,4503.0
2021-04-01 23:00:00+02:00,8068.0,6961.0,919.0,4497.0
2021-04-02 00:00:00+02:00,7564.0,6962.0,922.0,4387.0
2021-04-02 01:00:00+02:00,7283.0,6962.0,907.0,4501.0
2021-04-02 02:00:00+02:00,7012.0,6963.0,902.0,4499.0
2021-04-02 03:00:00+02:00,7157.0,6963.0,917.0,4558.0
2021-04-02 04:00:00+02:00,7574.0,6962.0,946.0,4649.0
2021-04-02 05:00:00+02:00,8044.0,6962.0,985.0,4673.0
2021-04-02 06:00:00+02:00,8322.0,6959.0,1054.0,4521.0
2021-04-02 07:00:00+02:00,8724.0,6956.0,1113.0,4439.0
2021-04-02 08:00:00+02:00,9058.0,6953.0,1201.0,4329.0
2021-04-02 09:00:00+02:00,8918.0,6955.0,1265.0,4481.0
