,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore
2022-01-01 00:00:00+01:00,156.4,247.45,3334.45,1283.3000000000002,131.94,24.282,1.104,59.160000000000004,1129.96,0.0,32.2777,20.735
2022-01-01 01:00:00+01:00,155.71,253.32999999999998,3051.72,1201.3000000000002,148.066,24.282,0.024,50.76,1119.3000000000002,0.0,33.19992,22.264
2022-01-01 02:00:00+01:00,157.09,260.68,2736.65,1125.0400000000002,196.444,24.32,0.0,46.824,1139.8000000000002,0.0,33.19992,23.54
2022-01-01 03:00:00+01:00,154.1,267.05,2556.82,1058.6200000000001,212.57,24.282,0.0,43.944,1094.7,0.0,33.19992,24.563
2022-01-01 04:00:00+01:00,150.88,270.96999999999997,2294.18,1052.88,137.071,24.624,0.0,44.208,1084.8600000000001,0.0,32.2777,26.048
2022-01-01 05:00:00+01:00,149.27,271.95,2287.81,1062.72,123.877,24.624,0.0,43.632,1146.3600000000001,0.0,34.12214,23.671999999999997
2022-01-01 06:00:00+01:00,148.12,270.96999999999997,2405.41,1070.92,123.877,24.662,0.0,46.32,1110.28,0.0,33.19992,20.02
2022-01-01 07:00:00+01:00,147.66,270.96999999999997,2358.37,1069.28,131.94,24.624,0.0,52.608000000000004,1062.72,1.7630000000000001,31.35548,19.723
2022-01-01 08:00:00+01:00,148.12,271.95,2093.77,1061.9,21.256999999999998,24.624,0.0,59.616,1090.6000000000001,36.49,32.2777,19.349
2022-01-01 09:00:00+01:00,149.27,271.95,2002.1399999999999,1025.8200000000002,21.256999999999998,24.586,0.0,52.896,1029.1000000000001,98.482,31.35548,20.317
2022-01-01 10:00:00+01:00,148.81,271.95,2174.62,949.5600000000001,21.256999999999998,24.586,2.112,49.344,1028.28,155.472,30.43326,18.128
2022-01-01 11:00:00+01:00,149.27,272.44,2646.49,934.8000000000001,27.854,24.662,1.248,49.992000000000004,1038.94,177.489,30.43326,18.535
2022-01-01 12:00:00+01:00,152.03,272.44,2597.0,961.8600000000001,57.174,24.7,1.464,49.656,1105.3600000000001,189.215,32.2777,21.461
2022-01-01 13:00:00+01:00,150.88,272.44,2462.74,906.1,64.504,24.13,0.384,48.0,1097.16,181.958,33.19992,25.256
2022-01-01 14:00:00+01:00,148.58,274.4,2281.93,961.0400000000001,66.703,24.13,0.0,45.048,1097.16,143.62300000000002,33.19992,28.171
2022-01-01 15:00:00+01:00,149.04000000000002,295.46999999999997,2585.73,969.2400000000001,76.232,24.092,0.0,51.528,1108.64,64.247,33.19992,27.235999999999997
2022-01-01 16:00:00+01:00,147.66,293.51,3303.58,979.08,83.562,24.092,2.904,64.176,1113.5600000000002,6.191,31.35548,26.444
2022-01-01 17:00:00+01:00,158.01000000000002,317.52,4039.56,997.1200000000001,120.945,24.509999999999998,30.72,77.08800000000001,1161.1200000000001,0.0,34.12214,24.442
2022-01-01 18:00:00+01:00,161.46,308.7,4301.71,1001.22,175.18699999999998,24.776,42.912,80.928,1132.42,0.0,32.2777,21.813
2022-01-01 19:00:00+01:00,162.61,282.73,4435.97,997.94,214.769,24.776,54.384,80.568,1181.6200000000001,0.0,33.19992,19.162
2022-01-01 20:00:00+01:00,160.31,271.95,4509.47,1003.6800000000001,216.23499999999999,24.814,48.072,70.296,1176.7,0.0,34.12214,16.39
2022-01-01 21:00:00+01:00,160.54000000000002,272.44,4494.28,992.2,218.434,24.814,31.44,63.672000000000004,1164.4,0.0,34.12214,14.949
2022-01-01 22:00:00+01:00,150.42000000000002,271.46,4199.79,988.9200000000001,187.648,24.814,5.832,58.392,1171.7800000000002,0.0,35.044360000000005,15.300999999999998
2022-01-01 23:00:00+01:00,145.36,271.95,3675.0,977.44,159.061,24.814,0.336,49.416000000000004,1129.96,0.0,35.044360000000005,14.927
2022-01-02 00:00:00+01:00,152.03,267.05,2839.5499999999997,922.5000000000001,113.615,24.776,0.432,49.176,1094.7,0.0,34.12214,15.081
2022-01-02 01:00:00+01:00,151.8,266.56,2737.63,911.0200000000001,107.018,24.738,0.504,41.352000000000004,1056.98,0.0,35.044360000000005,15.575999999999999
2022-01-02 02:00:00+01:00,149.27,266.56,2741.06,892.1600000000001,107.018,24.738,,38.928,1016.8000000000001,0.0,34.12214,15.014999999999999
2022-01-02 03:00:00+01:00,147.89000000000001,267.05,2800.35,921.6800000000001,113.615,24.738,,38.424,984.82,0.0,32.2777,14.773
2022-01-02 04:00:00+01:00,147.66,267.05,2936.57,926.6,115.814,24.738,,39.312,993.84,0.0,31.35548,13.596
2022-01-02 05:00:00+01:00,147.20000000000002,266.56,2989.49,967.6,118.01299999999999,24.738,0.0,39.552,1021.72,0.0,30.43326,13.408999999999999
2022-01-02 06:00:00+01:00,147.66,266.56,3250.17,954.48,118.01299999999999,24.738,0.0,43.272,1020.08,0.0,32.2777,11.780999999999999
2022-01-02 07:00:00+01:00,145.59,279.3,3281.5299999999997,1009.4200000000001,125.343,24.738,0.0,48.792,1067.64,1.8860000000000001,34.12214,10.571
2022-01-02 08:00:00+01:00,147.89000000000001,284.69,3126.2,1033.2,118.01299999999999,24.776,3.7920000000000003,55.608000000000004,1071.74,31.119,33.19992,9.613999999999999
2022-01-02 09:00:00+01:00,152.26000000000002,290.57,3334.94,1032.38,120.212,24.776,5.688,55.800000000000004,967.6,82.902,33.19992,8.777999999999999
2022-01-02 10:00:00+01:00,151.11,313.6,3436.86,1041.4,138.537,24.738,3.696,59.976,957.7600000000001,133.291,34.12214,9.086
2022-01-02 11:00:00+01:00,153.64000000000001,314.09,3568.18,1032.38,104.819,24.738,1.6320000000000001,60.096000000000004,1006.1400000000001,168.797,33.19992,11.120999999999999
2022-01-02 12:00:00+01:00,150.88,313.6,3578.47,1049.6000000000001,130.474,24.738,1.968,59.808,1039.76,183.51600000000002,32.2777,15.136
2022-01-02 13:00:00+01:00,149.5,315.07,3594.15,1027.46,167.857,24.738,1.32,56.784,1019.2600000000001,165.92700000000002,33.19992,20.24
2022-01-02 14:00:00+01:00,147.20000000000002,335.65,3382.47,997.1200000000001,205.24,24.776,0.0,47.304,1085.68,113.89800000000001,31.35548,24.046
2022-01-02 15:00:00+01:00,147.20000000000002,311.15,3722.04,991.3800000000001,168.59,24.814,0.0,48.936,1116.02,50.061,25.82216,26.619999999999997
2022-01-02 16:00:00+01:00,149.5,268.52,4037.11,1003.6800000000001,178.852,24.814,5.4,57.336,1194.74,4.838,27.666600000000003,28.776
2022-01-02 17:00:00+01:00,152.72,267.54,4410.49,970.8800000000001,208.172,24.738,40.272,72.384,1308.72,0.164,33.19992,31.955
2022-01-02 18:00:00+01:00,156.86,267.54,4769.66,1039.76,210.371,24.738,39.288000000000004,76.968,1339.88,0.0,33.19992,34.562
2022-01-02 19:00:00+01:00,157.32,268.03,4865.21,1043.0400000000002,329.117,24.738,38.64,78.264,1325.94,0.0,34.12214,35.387
2022-01-02 20:00:00+01:00,157.32,268.03,4589.34,1021.72,364.301,24.738,28.824,70.224,1311.18,0.0,31.35548,39.522999999999996
2022-01-02 21:00:00+01:00,149.73000000000002,268.03,4535.44,1019.2600000000001,214.036,24.738,2.712,57.048,1138.98,0.0,33.19992,38.72
2022-01-02 22:00:00+01:00,142.83,268.03,3678.92,956.94,211.10399999999998,24.738,1.296,48.216,1171.7800000000002,0.0,33.19992,38.951
2022-01-02 23:00:00+01:00,135.47,268.03,3028.2,888.0600000000001,205.24,24.738,0.0,44.568,1177.52,0.0,31.35548,38.324
2022-01-03 00:00:00+01:00,141.45000000000002,268.03,2925.2999999999997,947.9200000000001,74.766,24.738,0.0,42.0,1160.3000000000002,0.0,34.12214,40.513
2022-01-03 01:00:00+01:00,140.99,268.52,2854.74,924.1400000000001,123.877,24.738,0.504,39.168,1152.92,0.0,33.19992,40.909
2022-01-03 02:00:00+01:00,142.14000000000001,268.52,2765.07,872.48,77.698,24.738,0.40800000000000003,38.016,1268.5400000000002,0.0,35.044360000000005,41.282999999999994
2022-01-03 03:00:00+01:00,138.69,268.52,2680.79,901.1800000000001,65.237,24.738,0.312,37.584,1240.66,0.0,32.2777,40.864999999999995
2022-01-03 04:00:00+01:00,138.0,268.03,2832.2,947.1,64.504,24.738,0.312,38.952,1289.0400000000002,0.0,31.35548,40.854
2022-01-03 05:00:00+01:00,137.54,268.52,3055.15,1011.8800000000001,63.771,24.738,0.312,39.192,1310.3600000000001,0.0,30.43326,39.193
2022-01-03 06:00:00+01:00,139.61,268.03,4141.97,1154.5600000000002,83.562,24.738,0.312,40.56,1229.18,0.0,29.51104,36.992999999999995
2022-01-03 07:00:00+01:00,144.9,267.05,5309.15,1334.14,120.212,24.7,0.12,52.44,1316.92,1.927,29.51104,37.092
2022-01-03 08:00:00+01:00,145.59,266.56,5956.93,1451.4,175.92,24.7,4.224,80.04,1381.7,34.604,25.82216,34.881
2022-01-03 09:00:00+01:00,149.27,267.05,6394.5,1462.88,204.507,24.7,4.32,82.296,1502.24,93.849,29.51104,30.36
2022-01-03 10:00:00+01:00,150.19,266.56,6300.91,1496.5,210.371,24.548,2.688,62.592,1493.22,143.008,31.35548,30.569
2022-01-03 11:00:00+01:00,145.59,266.07,6424.88,1467.8000000000002,209.638,24.396,2.712,53.544000000000004,1415.3200000000002,156.292,30.43326,34.65
2022-01-03 12:00:00+01:00,143.29,266.07,6475.84,1464.5200000000002,208.905,24.624,1.416,48.072,1311.18,155.103,32.2777,35.958999999999996
2022-01-03 13:00:00+01:00,142.6,266.07,6346.48,1461.24,208.905,24.738,0.624,48.264,1234.1000000000001,136.243,32.2777,38.247
2022-01-03 14:00:00+01:00,145.36,266.07,6564.53,1464.5200000000002,208.905,24.776,0.6,49.368,1311.18,97.17,32.2777,38.698
2022-01-03 15:00:00+01:00,148.58,265.58,6695.36,1462.88,209.638,24.776,4.464,56.544000000000004,1482.5600000000002,51.209,35.044360000000005,34.891999999999996
2022-01-03 16:00:00+01:00,149.27,266.07,7394.59,1493.22,228.696,24.738,4.488,75.24,1580.14,7.7490000000000006,34.12214,32.791
2022-01-03 17:00:00+01:00,149.27,265.58,7599.9,1451.4,242.623,24.738,6.696,105.84,1763.8200000000002,0.984,35.044360000000005,30.546999999999997
2022-01-03 18:00:00+01:00,149.27,266.07,7319.13,1420.24,355.505,24.776,4.368,106.944,1747.42,0.0,35.96658,30.877
2022-01-03 19:00:00+01:00,149.04000000000002,266.56,7560.21,1464.5200000000002,361.36899999999997,24.776,2.472,96.48,1755.6200000000001,0.0,35.044360000000005,29.325999999999997
2022-01-03 20:00:00+01:00,150.42000000000002,266.56,7347.0599999999995,1471.9,369.432,24.738,5.04,69.24,1504.7,0.0,34.12214,30.118
2022-01-03 21:00:00+01:00,150.88,267.54,6229.86,1479.2800000000002,369.432,24.509999999999998,0.192,56.376,1412.8600000000001,0.0,34.12214,29.006999999999998
2022-01-03 22:00:00+01:00,146.74,267.05,5692.82,1348.9,366.5,24.396,0.0,45.96,1348.9,0.0,36.8888,31.581
2022-01-03 23:00:00+01:00,138.0,266.56,4705.47,1248.8600000000001,263.147,24.509999999999998,0.0,41.616,1305.44,0.0,35.044360000000005,33.571999999999996
2022-01-04 00:00:00+01:00,143.98000000000002,266.56,3689.7,1194.74,208.905,24.738,0.14400000000000002,41.592,1291.5,0.0,35.96658,32.714
2022-01-04 01:00:00+01:00,143.75,266.56,3039.96,1131.6000000000001,208.905,24.738,0.096,37.776,1353.0,0.0,36.8888,33.483999999999995
2022-01-04 02:00:00+01:00,143.75,266.56,3058.09,1061.9,209.638,24.738,0.0,37.368,1310.3600000000001,0.0,36.8888,34.012
2022-01-04 03:00:00+01:00,143.75,267.05,3124.73,1052.0600000000002,208.905,24.738,,37.056,1309.5400000000002,0.0,36.8888,38.665
