,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore
2022-01-01 00:00:00+01:00,78.2,123.725,1667.225,641.6500000000001,65.97,12.141,0.552,29.580000000000002,564.98,0.0,16.13885,10.3675
2022-01-01 01:00:00+01:00,77.855,126.66499999999999,1525.86,600.6500000000001,74.033,12.141,0.012,25.38,559.6500000000001,0.0,16.59996,11.132
2022-01-01 02:00:00+01:00,78.545,130.34,1368.325,562.5200000000001,98.222,12.16,0.0,23.412,569.9000000000001,0.0,16.59996,11.77
2022-01-01 03:00:00+01:00,77.05,133.525,1278.41,529.3100000000001,106.285,12.141,0.0,21.972,547.35,0.0,16.59996,12.2815
2022-01-01 04:00:00+01:00,75.44,135.48499999999999,1147.09,526.44,68.5355,12.312,0.0,22.104,542.4300000000001,0.0,16.13885,13.024
2022-01-01 05:00:00+01:00,74.635,135.975,1143.905,531.36,61.9385,12.312,0.0,21.816,573.1800000000001,0.0,17.06107,11.835999999999999
2022-01-01 06:00:00+01:00,74.06,135.48499999999999,1202.705,535.46,61.9385,12.331,0.0,23.16,555.14,0.0,16.59996,10.01
2022-01-01 07:00:00+01:00,73.83,135.48499999999999,1179.185,534.64,65.97,12.312,0.0,26.304000000000002,531.36,0.8815000000000001,15.67774,9.8615
2022-01-01 08:00:00+01:00,74.06,135.975,1046.885,530.95,10.628499999999999,12.312,0.0,29.808,545.3000000000001,18.245,16.13885,9.6745
2022-01-01 09:00:00+01:00,74.635,135.975,1001.0699999999999,512.9100000000001,10.628499999999999,12.293,0.0,26.448,514.5500000000001,49.241,15.67774,10.1585
2022-01-01 10:00:00+01:00,74.405,135.975,1087.31,474.78000000000003,10.628499999999999,12.293,1.056,24.672,514.14,77.736,15.21663,9.064
2022-01-01 11:00:00+01:00,74.635,136.22,1323.245,467.40000000000003,13.927,12.331,0.624,24.996000000000002,519.47,88.7445,15.21663,9.2675
2022-01-01 12:00:00+01:00,76.015,136.22,1298.5,480.93000000000006,28.587,12.35,0.732,24.828,552.6800000000001,94.6075,16.13885,10.7305
2022-01-01 13:00:00+01:00,75.44,136.22,1231.37,453.05,32.252,12.065,0.192,24.0,548.58,90.979,16.59996,12.628
2022-01-01 14:00:00+01:00,74.29,137.2,1140.965,480.52000000000004,33.3515,12.065,0.0,22.524,548.58,71.81150000000001,16.59996,14.0855
2022-01-01 15:00:00+01:00,74.52000000000001,147.73499999999999,1292.865,484.62000000000006,38.116,12.046,0.0,25.764,554.32,32.1235,16.59996,13.617999999999999
2022-01-01 16:00:00+01:00,73.83,146.755,1651.79,489.54,41.781,12.046,1.452,32.088,556.7800000000001,3.0955,15.67774,13.222
2022-01-01 17:00:00+01:00,79.00500000000001,158.76,2019.78,498.56000000000006,60.4725,12.254999999999999,15.36,38.544000000000004,580.5600000000001,0.0,17.06107,12.221
2022-01-01 18:00:00+01:00,80.73,154.35,2150.855,500.61,87.59349999999999,12.388,21.456,40.464,566.21,0.0,16.13885,10.9065
