,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Water Reservoir,Solar,Wind Onshore
2022-01-01 01:00:00+02:00,283.72,625.24,0.0,0.0,19.752,0.0,11.142999999999999
2022-01-01 02:00:00+02:00,277.98,412.09,0.0,0.0,17.952,0.0,9.899999999999999
2022-01-01 03:00:00+02:00,288.64000000000004,332.71,0.0,0.0,16.224,0.0,8.591
2022-01-01 04:00:00+02:00,287.82000000000005,376.81,0.0,0.0,16.32,0.0,5.598999999999999
2022-01-01 05:00:00+02:00,287.82000000000005,436.59,0.0,0.0,16.752,0.0,3.8169999999999997
2022-01-01 06:00:00+02:00,287.0,398.86,0.0,0.0,18.072,0.0,3.96
2022-01-01 07:00:00+02:00,284.54,398.86,0.0,0.312,26.112000000000002,0.0,4.6419999999999995
2022-01-01 08:00:00+02:00,289.46000000000004,413.56,0.0,6.792,33.72,10.209,5.005
2022-01-01 09:00:00+02:00,289.46000000000004,497.84,0.0,8.904,33.552,32.759,4.388999999999999
2022-01-01 10:00:00+02:00,292.74,480.2,0.0,10.008000000000001,34.968,52.152,3.8169999999999997
2022-01-01 11:00:00+02:00,295.20000000000005,400.33,0.0,4.92,32.304,62.976,3.6409999999999996
2022-01-01 12:00:00+02:00,296.84000000000003,467.95,0.0,0.07200000000000001,30.024,67.44500000000001,3.872
2022-01-01 13:00:00+02:00,303.40000000000003,490.98,0.0,0.0,26.04,64.903,3.839
2022-01-01 14:00:00+02:00,298.48,437.57,0.0,0.0,25.992,55.514,4.345
2022-01-01 15:00:00+02:00,290.28000000000003,438.55,0.0,0.0,29.832,36.941,4.411
2022-01-01 16:00:00+02:00,288.64000000000004,454.71999999999997,0.0,0.36,32.664,12.546000000000001,5.1259999999999994
2022-01-01 17:00:00+02:00,284.54,544.88,0.0,9.096,32.352000000000004,0.28700000000000003,6.534
2022-01-01 18:00:00+02:00,281.26000000000005,508.13,0.0,9.648,32.976,0.0,9.713
2022-01-01 19:00:00+02:00,279.62,501.76,0.0,9.792,30.384,0.0,13.277
2022-01-01 20:00:00+02:00,278.8,501.76,0.0,9.816,26.328,0.0,15.18
2022-01-01 21:00:00+02:00,277.16,504.21,0.0,5.04,25.872,0.0,16.730999999999998
2022-01-01 22:00:00+02:00,273.88,498.33,0.0,0.048,27.672,0.0,16.973
2022-01-01 23:00:00+02:00,281.26000000000005,418.46,0.0,0.0,23.16,0.0,17.578
2022-01-02 00:00:00+02:00,291.1,281.75,0.0,0.0,18.144000000000002,0.0,17.962999999999997
2022-01-02 01:00:00+02:00,288.64000000000004,261.65999999999997,0.0,0.0,6.888,0.0,17.544999999999998
2022-01-02 02:00:00+02:00,295.20000000000005,277.34,0.0,0.0,6.336,0.0,17.666
2022-01-02 03:00:00+02:00,295.20000000000005,251.85999999999999,0.0,0.0,4.992,0.0,18.249
2022-01-02 04:00:00+02:00,298.48,247.45,0.0,0.0,7.344,0.0,17.578
2022-01-02 05:00:00+02:00,304.22,325.84999999999997,0.0,0.0,13.032,0.0,16.808
2022-01-02 06:00:00+02:00,303.40000000000003,337.12,0.0,0.0,20.568,0.0,16.477999999999998
2022-01-02 07:00:00+02:00,303.40000000000003,346.92,0.0,2.376,22.080000000000002,0.0,16.676
2022-01-02 08:00:00+02:00,306.68,357.7,0.0,2.904,21.672,10.783000000000001,16.093
2022-01-02 09:00:00+02:00,294.38,333.69,0.0,7.416,13.704,36.531,14.465
2022-01-02 10:00:00+02:00,293.56,334.67,0.0,7.44,12.816,58.712,11.318999999999999
2022-01-02 11:00:00+02:00,292.74,331.73,0.0,4.896,10.248,70.397,9.415999999999999
2022-01-02 12:00:00+02:00,286.18,332.71,0.0,5.016,11.28,73.923,9.042
2022-01-02 13:00:00+02:00,287.82000000000005,351.33,0.0,5.064,13.272,72.16,7.843
2022-01-02 14:00:00+02:00,303.40000000000003,381.21999999999997,0.0,5.28,13.848,60.762,6.204
2022-01-02 15:00:00+02:00,305.04,400.33,0.0,4.8,19.656,39.852000000000004,5.423
2022-01-02 16:00:00+02:00,296.02000000000004,586.04,0.0,2.496,32.568,13.448,4.026
2022-01-02 17:00:00+02:00,295.20000000000005,847.6999999999999,0.0,6.96,34.728,0.28700000000000003,3.597
2022-01-02 18:00:00+02:00,295.20000000000005,1109.85,0.0,8.352,37.848,0.0,3.179
2022-01-02 19:00:00+02:00,318.98,1108.3799999999999,0.0,7.5360000000000005,37.104,0.0,2.981
2022-01-02 20:00:00+02:00,323.90000000000003,1109.36,0.0,7.5360000000000005,35.688,0.0,2.75
2022-01-02 21:00:00+02:00,323.90000000000003,1088.78,0.0,2.52,34.896,0.0,2.552
2022-01-02 22:00:00+02:00,323.08000000000004,1043.7,0.0,2.448,31.224,0.0,2.1559999999999997
2022-01-02 23:00:00+02:00,300.94,918.26,0.0,0.0,30.36,0.0,2.673
2022-01-03 00:00:00+02:00,315.70000000000005,882.49,0.0,0.0,14.64,0.0,3.718
2022-01-03 01:00:00+02:00,302.58000000000004,741.37,0.0,0.0,5.28,0.0,4.686
2022-01-03 02:00:00+02:00,298.48,616.91,0.0,0.0,4.944,0.0,5.609999999999999
2022-01-03 03:00:00+02:00,291.1,444.43,0.0,0.0,5.28,0.0,6.633
2022-01-03 04:00:00+02:00,293.56,307.71999999999997,0.0,0.0,11.592,0.0,7.952999999999999
2022-01-03 05:00:00+02:00,287.82000000000005,255.29,0.0,0.0,13.944,0.0,9.24
2022-01-03 06:00:00+02:00,289.46000000000004,286.65,0.0,0.0,27.048000000000002,0.0,10.075999999999999
2022-01-03 07:00:00+02:00,287.0,339.08,0.0,0.024,33.264,0.0,10.504999999999999
2022-01-03 08:00:00+02:00,293.56,443.45,0.0,4.848,35.208,10.496,11.318999999999999
2022-01-03 09:00:00+02:00,295.20000000000005,485.09999999999997,0.0,5.472,35.184,35.178000000000004,11.638
2022-01-03 10:00:00+02:00,294.38,471.38,0.0,5.424,36.432,56.867000000000004,11.934999999999999
2022-01-03 11:00:00+02:00,288.64000000000004,425.32,0.0,5.4,33.336,68.552,12.110999999999999
2022-01-03 12:00:00+02:00,287.82000000000005,420.42,0.0,2.64,30.168,72.898,12.517999999999999
2022-01-03 13:00:00+02:00,288.64000000000004,460.11,0.0,0.0,27.048000000000002,70.643,12.276
2022-01-03 14:00:00+02:00,281.26000000000005,441.0,0.0,0.0,26.712,59.409000000000006,13.145
2022-01-03 15:00:00+02:00,286.18,714.42,0.0,0.0,28.080000000000002,38.95,13.2
2022-01-03 16:00:00+02:00,291.92,935.9,0.0,2.376,35.160000000000004,13.448,13.232999999999999
2022-01-03 17:00:00+02:00,291.92,1072.12,0.0,6.6240000000000006,37.800000000000004,0.369,14.465
2022-01-03 18:00:00+02:00,291.92,1129.94,0.0,10.224,41.568,0.0,15.223999999999998
2022-01-03 19:00:00+02:00,309.96000000000004,1106.42,0.0,11.088000000000001,42.432,0.0,14.927
2022-01-03 20:00:00+02:00,320.62,1073.59,0.0,10.776,41.208,0.0,14.135
2022-01-03 21:00:00+02:00,306.68,952.0699999999999,0.0,7.776,39.624,0.0,13.078999999999999
2022-01-03 22:00:00+02:00,307.5,923.65,0.0,2.424,33.84,0.0,11.66
2022-01-03 23:00:00+02:00,271.42,933.4499999999999,0.0,0.0,22.92,0.0,10.020999999999999
2022-01-04 00:00:00+02:00,157.44,882.0,0.0,0.0,13.272,0.0,8.514
2022-01-04 01:00:00+02:00,149.24,761.9499999999999,0.0,0.0,4.464,0.0,7.733
2022-01-04 02:00:00+02:00,144.32000000000002,753.13,0.0,0.0,4.296,0.0,6.435
