,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore
2022-01-01 01:00:00+02:00,12.42,18.13,0.0,0.5760000000000001,11.48,0.0,17.522180000000002,2.431
2022-01-01 02:00:00+02:00,12.42,18.13,0.0,0.5760000000000001,11.48,0.0,17.522180000000002,2.7169999999999996
2022-01-01 03:00:00+02:00,12.42,18.13,0.84,0.5760000000000001,11.48,0.0,17.522180000000002,2.893
2022-01-01 04:00:00+02:00,12.42,18.13,0.0,0.5760000000000001,11.48,0.0,17.522180000000002,2.7609999999999997
2022-01-01 05:00:00+02:00,12.42,18.13,0.0,0.5760000000000001,11.48,0.0,17.522180000000002,2.915
2022-01-01 06:00:00+02:00,12.65,18.13,0.0,0.5760000000000001,11.48,0.0,17.522180000000002,2.948
2022-01-01 07:00:00+02:00,12.65,18.13,0.0,0.5760000000000001,10.66,0.0,17.522180000000002,3.4869999999999997
2022-01-01 08:00:00+02:00,12.65,18.13,2.64,0.5760000000000001,10.66,0.041,16.59996,3.784
2022-01-01 09:00:00+02:00,12.65,18.13,2.7600000000000002,0.5760000000000001,10.66,0.123,16.59996,3.7729999999999997
2022-01-01 10:00:00+02:00,12.65,18.13,1.08,0.5760000000000001,10.66,0.20500000000000002,16.59996,3.674
2022-01-01 11:00:00+02:00,12.65,18.13,0.0,0.5760000000000001,10.66,0.20500000000000002,16.59996,3.1679999999999997
2022-01-01 12:00:00+02:00,12.65,18.13,0.024,0.5760000000000001,10.66,0.164,16.59996,3.113
2022-01-01 13:00:00+02:00,12.88,18.13,3.888,0.5760000000000001,10.66,0.123,16.59996,2.541
2022-01-01 14:00:00+02:00,12.88,18.13,4.6080000000000005,0.5760000000000001,10.66,0.041,16.59996,2.09
2022-01-01 15:00:00+02:00,12.88,18.13,4.6080000000000005,0.5760000000000001,10.66,0.0,16.59996,2.024
2022-01-01 16:00:00+02:00,12.88,18.13,5.712,0.5760000000000001,10.66,0.0,16.59996,1.386
2022-01-01 17:00:00+02:00,13.110000000000001,18.13,10.152000000000001,0.5760000000000001,10.66,0.0,16.59996,1.034
2022-01-01 18:00:00+02:00,12.88,18.13,9.648,0.5760000000000001,10.66,0.0,16.59996,0.8029999999999999
2022-01-01 19:00:00+02:00,12.88,18.13,9.168000000000001,0.5760000000000001,10.66,0.0,16.59996,0.495
2022-01-01 20:00:00+02:00,13.110000000000001,18.13,9.792,0.5760000000000001,10.66,0.0,16.59996,0.21999999999999997
2022-01-01 21:00:00+02:00,13.110000000000001,18.13,7.32,0.5760000000000001,10.66,0.0,16.59996,0.09899999999999999
2022-01-01 22:00:00+02:00,12.88,18.13,7.968,0.5760000000000001,10.66,0.0,16.59996,0.066
2022-01-01 23:00:00+02:00,12.88,18.13,3.528,0.5760000000000001,10.66,0.0,16.59996,0.10999999999999999
