,Fossil Brown coal/Lignite,Hydro Run-of-river and poundage,Wind Onshore
2022-01-04 00:00:00+01:00,284.54,6.288,0.38499999999999995
2022-01-04 01:00:00+01:00,290.28000000000003,4.152,0.374
2022-01-04 02:00:00+01:00,296.02000000000004,2.424,0.38499999999999995
2022-01-04 03:00:00+01:00,296.84000000000003,0.984,0.38499999999999995
2022-01-04 04:00:00+01:00,296.02000000000004,0.768,0.39599999999999996
2022-01-04 05:00:00+01:00,300.12,0.8160000000000001,0.374
2022-01-04 06:00:00+01:00,378.84000000000003,2.448,0.27499999999999997
2022-01-04 07:00:00+01:00,461.66,2.472,0.143
2022-01-04 08:00:00+01:00,464.94000000000005,2.952,0.05499999999999999
2022-01-04 09:00:00+01:00,460.02000000000004,4.032,0.0
2022-01-04 10:00:00+01:00,466.58000000000004,4.056,0.0
2022-01-04 11:00:00+01:00,470.68000000000006,4.08,0.0
2022-01-04 12:00:00+01:00,476.42,3.888,0.011
2022-01-04 13:00:00+01:00,498.56000000000006,3.12,0.033
2022-01-04 14:00:00+01:00,496.1,3.624,0.066
2022-01-04 15:00:00+01:00,502.66,3.888,0.05499999999999999
2022-01-04 16:00:00+01:00,492.82000000000005,5.328,0.05499999999999999
2022-01-04 17:00:00+01:00,496.1,5.5680000000000005,0.044
2022-01-04 18:00:00+01:00,473.96000000000004,5.688,0.022
2022-01-04 19:00:00+01:00,466.58000000000004,6.048,0.022
2022-01-04 20:00:00+01:00,432.96000000000004,5.328,0.022
2022-01-04 21:00:00+01:00,297.66,5.328,0.011
2022-01-04 22:00:00+01:00,305.86,7.656000000000001,0.0
2022-01-04 23:00:00+01:00,305.86,7.8,0.0
2022-01-05 00:00:00+01:00,305.86,6.5040000000000004,0.0
2022-01-05 01:00:00+01:00,294.38,4.464,0.0
2022-01-05 02:00:00+01:00,294.38,2.544,0.0
2022-01-05 03:00:00+01:00,294.38,1.248,0.0
2022-01-05 04:00:00+01:00,294.38,1.2,0.0
2022-01-05 05:00:00+01:00,295.20000000000005,1.3920000000000001,0.0
2022-01-05 06:00:00+01:00,375.56,2.856,0.0
2022-01-05 07:00:00+01:00,460.02000000000004,3.024,0.0
2022-01-05 08:00:00+01:00,460.84000000000003,4.368,0.0
2022-01-05 09:00:00+01:00,460.84000000000003,4.992,0.0
2022-01-05 10:00:00+01:00,473.14000000000004,5.4,0.011
2022-01-05 11:00:00+01:00,481.34000000000003,5.232,0.011
2022-01-05 12:00:00+01:00,486.26000000000005,5.112,0.022
2022-01-05 13:00:00+01:00,476.42,4.5360000000000005,0.05499999999999999
2022-01-05 14:00:00+01:00,483.8,4.704,0.066
2022-01-05 15:00:00+01:00,482.16,5.352,0.077
2022-01-05 16:00:00+01:00,475.6,6.6000000000000005,0.09899999999999999
2022-01-05 17:00:00+01:00,470.68000000000006,7.152,0.077
2022-01-05 18:00:00+01:00,464.12000000000006,7.008,0.077
2022-01-05 19:00:00+01:00,458.38000000000005,6.984,0.088
2022-01-05 20:00:00+01:00,430.50000000000006,6.192,0.088
2022-01-05 21:00:00+01:00,296.02000000000004,6.288,0.066
2022-01-05 22:00:00+01:00,301.76000000000005,8.568,0.09899999999999999
2022-01-05 23:00:00+01:00,294.38,8.64,0.077
2022-01-06 00:00:00+01:00,290.28000000000003,7.056,0.05499999999999999
2022-01-06 01:00:00+01:00,284.54,4.8,0.044
2022-01-06 02:00:00+01:00,282.08000000000004,2.328,0.066
2022-01-06 03:00:00+01:00,282.90000000000003,1.008,0.066
2022-01-06 04:00:00+01:00,284.54,0.768,0.033
2022-01-06 05:00:00+01:00,286.18,0.768,0.011
2022-01-06 06:00:00+01:00,364.90000000000003,2.496,0.011
2022-01-06 07:00:00+01:00,449.36,2.496,0.011
2022-01-06 08:00:00+01:00,450.18,4.152,0.0
2022-01-06 09:00:00+01:00,454.28000000000003,5.04,0.0
2022-01-06 10:00:00+01:00,473.96000000000004,5.856,0.0
2022-01-06 11:00:00+01:00,469.86,6.6000000000000005,0.011
2022-01-06 12:00:00+01:00,466.58000000000004,6.792,0.022
2022-01-06 13:00:00+01:00,468.22,6.984,0.033
2022-01-06 14:00:00+01:00,475.6,7.5600000000000005,0.033
2022-01-06 15:00:00+01:00,476.42,7.704,0.033
2022-01-06 16:00:00+01:00,479.70000000000005,8.376,0.022
2022-01-06 17:00:00+01:00,483.8,8.472,0.022
2022-01-06 18:00:00+01:00,479.70000000000005,7.368,0.011
2022-01-06 19:00:00+01:00,471.50000000000006,6.096,0.011
2022-01-06 20:00:00+01:00,446.90000000000003,4.848,0.022
2022-01-06 21:00:00+01:00,305.86,4.392,0.0
2022-01-06 22:00:00+01:00,301.76000000000005,6.264,0.0
2022-01-06 23:00:00+01:00,309.96000000000004,6.984,0.022
2022-01-07 00:00:00+01:00,307.5,5.304,0.21999999999999997
2022-01-07 01:00:00+01:00,303.40000000000003,3.24,0.38499999999999995
2022-01-07 02:00:00+01:00,299.3,1.512,0.39599999999999996
2022-01-07 03:00:00+01:00,298.48,1.464,0.39599999999999996
2022-01-07 04:00:00+01:00,294.38,0.48,0.39599999999999996
2022-01-07 05:00:00+01:00,296.02000000000004,0.48,0.39599999999999996
2022-01-07 06:00:00+01:00,377.20000000000005,1.248,0.39599999999999996
2022-01-07 07:00:00+01:00,454.28000000000003,0.888,0.39599999999999996
2022-01-07 08:00:00+01:00,449.36,2.184,0.39599999999999996
2022-01-07 09:00:00+01:00,440.34000000000003,3.528,0.39599999999999996
2022-01-07 10:00:00+01:00,440.34000000000003,4.6080000000000005,0.39599999999999996
2022-01-07 11:00:00+01:00,445.26000000000005,5.496,0.39599999999999996
2022-01-07 12:00:00+01:00,460.02000000000004,5.688,0.39599999999999996
2022-01-07 13:00:00+01:00,461.66,5.64,0.39599999999999996
