,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2022-01-01 01:00:00+02:00,13.110000000000001,751.94,577.71,38.540000000000006,35.736000000000004,3.192,17.016000000000002,0.0,12.661
2022-01-01 01:30:00+02:00,13.110000000000001,810.98,594.86,38.540000000000006,33.312,4.176,17.004,0.0,11.681999999999999
2022-01-01 01:45:00+02:00,13.110000000000001,810.98,594.37,38.540000000000006,33.144,4.392,17.004,0.0,11.373999999999999
2022-01-01 02:00:00+02:00,13.110000000000001,824.9200000000001,606.62,38.540000000000006,34.488,4.848,17.004,0.0,10.769
2022-01-01 02:15:00+02:00,13.110000000000001,830.6600000000001,608.09,38.540000000000006,34.632,4.896,17.028,0.0,9.866999999999999
2022-01-01 02:30:00+02:00,13.110000000000001,829.84,606.62,37.720000000000006,34.512,4.896,17.052,0.0,9.636
2022-01-01 02:45:00+02:00,13.110000000000001,824.1,601.72,37.720000000000006,34.08,4.8,17.064,0.0,9.658
2022-01-01 03:00:00+02:00,13.34,829.84,615.4399999999999,38.540000000000006,35.376,5.16,17.064,0.0,8.833
2022-01-01 03:15:00+02:00,13.110000000000001,838.0400000000001,617.89,38.540000000000006,35.808,5.256,17.064,0.0,7.92
2022-01-01 03:30:00+02:00,13.110000000000001,838.86,620.34,37.720000000000006,37.392,6.072,17.052,0.0,7.029
2022-01-01 03:45:00+02:00,12.88,824.9200000000001,614.46,37.720000000000006,36.912,5.928,17.052,0.0,6.8309999999999995
2022-01-01 04:00:00+02:00,13.110000000000001,812.6200000000001,603.68,37.720000000000006,35.688,6.096,17.052,0.0,8.03
2022-01-01 04:15:00+02:00,13.110000000000001,798.6800000000001,595.35,37.720000000000006,34.896,5.88,17.064,0.0,9.229
2022-01-01 04:30:00+02:00,13.57,801.1400000000001,594.86,37.720000000000006,34.968,4.32,17.052,0.0,9.449
2022-01-01 04:45:00+02:00,13.57,801.1400000000001,592.41,37.720000000000006,33.912,4.152,17.064,0.0,9.79
2022-01-01 05:00:00+02:00,13.57,787.2,584.08,38.540000000000006,33.168,3.936,17.052,0.0,10.504999999999999
2022-01-01 05:15:00+02:00,13.8,792.12,586.53,39.36,33.456,4.008,17.052,0.0,9.933
2022-01-01 05:30:00+02:00,13.8,788.84,585.55,37.720000000000006,33.336,3.96,17.052,0.0,10.097999999999999
2022-01-01 05:45:00+02:00,13.8,776.5400000000001,577.71,37.720000000000006,32.664,3.8160000000000003,17.052,0.0,10.504999999999999
2022-01-01 06:00:00+02:00,13.34,769.98,573.3,37.720000000000006,31.272000000000002,4.392,17.052,0.0,9.745999999999999
2022-01-01 06:15:00+02:00,13.110000000000001,769.1600000000001,574.28,37.720000000000006,31.104,4.416,17.064,0.0,9.306
2022-01-01 06:30:00+02:00,13.34,728.98,578.6899999999999,37.720000000000006,31.728,4.416,17.064,0.0,9.437999999999999
2022-01-01 06:45:00+02:00,14.030000000000001,714.22,586.04,37.720000000000006,33.0,4.416,17.064,0.0,8.712
2022-01-01 07:00:00+02:00,13.57,733.9000000000001,585.55,37.720000000000006,33.408,5.5440000000000005,17.052,0.0,7.8759999999999994
2022-01-01 07:15:00+02:00,13.57,742.9200000000001,587.02,37.720000000000006,33.864,5.6160000000000005,17.052,0.0,7.534999999999999
2022-01-01 07:30:00+02:00,13.34,747.0200000000001,586.04,37.720000000000006,33.864,5.664,17.064,0.0,7.787999999999999
2022-01-01 07:45:00+02:00,13.57,783.1,568.89,37.720000000000006,31.464000000000002,5.784,17.052,0.0,9.042
2022-01-01 08:00:00+02:00,13.8,776.5400000000001,559.09,37.720000000000006,30.312,6.984,17.052,0.0,9.35
2022-01-01 08:15:00+02:00,13.8,733.9000000000001,556.64,37.720000000000006,30.84,7.032,17.052,0.041,9.097
2022-01-01 08:30:00+02:00,13.8,697.0,561.54,37.720000000000006,31.632,6.984,17.052,0.246,9.152
2022-01-01 08:45:00+02:00,13.8,671.58,562.03,37.720000000000006,31.848,7.032,17.064,0.5740000000000001,9.57
2022-01-01 09:00:00+02:00,14.030000000000001,644.5200000000001,530.18,37.720000000000006,30.408,7.032,17.064,1.107,11.088
2022-01-01 09:15:00+02:00,14.26,652.72,532.14,37.720000000000006,31.464000000000002,5.352,17.064,1.8860000000000001,10.703
2022-01-01 09:30:00+02:00,14.26,660.9200000000001,536.06,37.720000000000006,32.016,4.992,17.064,2.952,10.306999999999999
2022-01-01 09:45:00+02:00,13.8,660.9200000000001,538.02,37.720000000000006,32.208,4.944,17.064,4.428,10.043
2022-01-01 10:00:00+02:00,13.8,672.4000000000001,545.37,37.720000000000006,34.272,3.12,17.064,5.617,9.493
2022-01-01 10:15:00+02:00,13.8,678.96,549.78,37.720000000000006,34.968,3.096,17.064,6.601,8.965
2022-01-01 10:30:00+02:00,13.57,670.7600000000001,544.88,37.720000000000006,34.344,4.752,17.064,7.462000000000001,8.975999999999999
2022-01-01 10:45:00+02:00,13.57,658.46,561.05,37.720000000000006,33.144,5.184,17.064,8.200000000000001,9.097
2022-01-01 11:00:00+02:00,13.34,651.9000000000001,558.6,37.720000000000006,32.52,4.344,17.064,9.43,9.548
2022-01-01 11:15:00+02:00,13.34,659.2800000000001,564.48,37.720000000000006,33.432,4.248,17.064,9.922,9.042
2022-01-01 11:30:00+02:00,13.57,663.38,566.93,37.720000000000006,34.368,4.224,17.064,9.799000000000001,8.722999999999999
2022-01-01 11:45:00+02:00,13.34,668.3000000000001,570.85,37.720000000000006,34.896,4.296,17.052,10.045,8.679
2022-01-01 12:00:00+02:00,13.57,663.38,566.93,37.720000000000006,33.768,4.5120000000000005,17.052,11.644,8.58
