,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other
2022-01-01 00:00:00+01:00,6.21,1689.2,49.49,0.0,27.336000000000002,0.0,24.6
2022-01-01 01:00:00+01:00,6.21,1676.0800000000002,49.49,0.0,29.496000000000002,0.0,24.6
2022-01-01 02:00:00+01:00,6.21,1660.5000000000002,49.98,0.0,25.224,0.0,24.6
2022-01-01 03:00:00+01:00,6.21,1680.18,49.98,0.0,19.896,0.0,24.6
2022-01-01 04:00:00+01:00,6.21,1725.2800000000002,49.49,0.0,20.04,0.0,24.6
2022-01-01 05:00:00+01:00,6.21,1712.98,46.55,0.0,21.6,0.0,24.6
2022-01-01 06:00:00+01:00,6.21,1721.18,47.04,0.0,28.32,0.0,24.6
2022-01-01 07:00:00+01:00,6.21,1722.0000000000002,46.55,0.0,24.144000000000002,0.0,24.6
2022-01-01 08:00:00+01:00,6.21,1703.14,47.53,0.0,27.432000000000002,0.0,24.6
2022-01-01 09:00:00+01:00,6.21,1730.2,48.51,0.0,33.024,0.336,24.6
2022-01-01 10:00:00+01:00,6.21,1759.72,49.49,0.0,36.72,0.48,24.6
2022-01-01 11:00:00+01:00,6.21,1743.3200000000002,49.0,0.0,39.0,0.456,24.6
2022-01-01 12:00:00+01:00,6.21,1720.3600000000001,49.0,0.0,39.12,0.0,24.6
2022-01-01 13:00:00+01:00,6.21,1712.98,49.49,0.0,38.256,0.0,24.6
2022-01-01 14:00:00+01:00,6.21,1742.5000000000002,49.49,0.0,37.248,0.0,24.6
2022-01-01 15:00:00+01:00,6.21,1736.7600000000002,48.51,0.0,36.672000000000004,0.0,24.6
2022-01-01 16:00:00+01:00,6.21,1740.0400000000002,48.51,0.0,40.104,2.088,24.6
2022-01-01 17:00:00+01:00,6.21,1713.8000000000002,48.019999999999996,0.0,44.328,2.232,24.6
2022-01-01 18:00:00+01:00,6.21,1740.8600000000001,48.019999999999996,0.0,43.272,2.16,24.6
2022-01-01 19:00:00+01:00,6.21,1729.38,48.51,0.0,42.552,2.64,24.6
2022-01-01 20:00:00+01:00,6.21,1668.7,48.51,0.0,39.576,2.688,24.6
2022-01-01 21:00:00+01:00,6.21,1605.5600000000002,48.51,0.0,37.992,3.3120000000000003,24.6
2022-01-01 22:00:00+01:00,6.21,1587.5200000000002,48.51,0.0,34.944,3.216,24.6
2022-01-01 23:00:00+01:00,6.21,1604.74,48.019999999999996,0.0,33.528,3.12,24.6
2022-01-02 00:00:00+01:00,6.21,1593.2600000000002,50.47,0.0,32.304,0.192,24.6
2022-01-02 01:00:00+01:00,6.21,1577.68,49.98,0.0,27.168,0.0,24.6
2022-01-02 02:00:00+01:00,6.21,1585.0600000000002,50.47,0.0,21.48,0.0,24.6
2022-01-02 03:00:00+01:00,6.21,1592.44,50.47,0.0,18.144000000000002,0.0,24.6
2022-01-02 04:00:00+01:00,6.21,1594.0800000000002,49.98,0.0,18.408,0.0,24.6
2022-01-02 05:00:00+01:00,6.21,1598.18,46.06,0.0,18.168,0.0,24.6
2022-01-02 06:00:00+01:00,6.21,1609.66,45.57,0.0,25.464000000000002,2.16,24.6
2022-01-02 07:00:00+01:00,6.21,1621.14,46.55,0.0,26.448,2.64,24.6
2022-01-02 08:00:00+01:00,6.21,1623.6000000000001,47.04,0.0,31.8,3.168,24.6
2022-01-02 09:00:00+01:00,6.21,1611.3000000000002,48.51,0.0,36.384,3.048,24.6
2022-01-02 10:00:00+01:00,6.21,1608.8400000000001,49.0,0.0,34.056,1.584,24.6
2022-01-02 11:00:00+01:00,6.21,1612.1200000000001,49.0,0.0,35.160000000000004,0.312,24.6
2022-01-02 12:00:00+01:00,6.21,1601.46,48.51,0.0,32.904,0.0,24.6
2022-01-02 13:00:00+01:00,6.21,1608.8400000000001,48.51,0.0,31.176000000000002,0.0,24.6
2022-01-02 14:00:00+01:00,6.21,1602.2800000000002,48.51,0.0,28.368000000000002,0.0,24.6
2022-01-02 15:00:00+01:00,6.21,1611.3000000000002,46.55,0.0,30.072,0.0,24.6
2022-01-02 16:00:00+01:00,6.21,1595.72,46.55,0.0,33.048,0.0,24.6
2022-01-02 17:00:00+01:00,6.21,1603.92,46.55,0.0,36.096000000000004,0.0,24.6
2022-01-02 18:00:00+01:00,6.21,1575.22,47.53,0.0,36.096000000000004,0.0,24.6
2022-01-02 19:00:00+01:00,6.21,1572.7600000000002,45.57,0.0,34.2,0.192,24.6
2022-01-02 20:00:00+01:00,6.21,1583.42,48.51,0.0,31.224,0.528,24.6
2022-01-02 21:00:00+01:00,6.21,1583.42,48.019999999999996,0.0,33.36,0.5760000000000001,24.6
2022-01-02 22:00:00+01:00,6.21,1580.14,48.51,0.0,35.784,0.552,24.6
2022-01-02 23:00:00+01:00,6.21,1589.98,48.51,0.0,37.68,0.504,24.6
2022-01-03 00:00:00+01:00,6.21,1589.98,48.51,0.0,38.256,0.0,24.6
2022-01-03 01:00:00+01:00,6.21,1586.7,48.51,0.0,32.808,0.0,24.6
2022-01-03 02:00:00+01:00,6.21,1582.6000000000001,48.51,0.0,26.592000000000002,0.0,24.6
2022-01-03 03:00:00+01:00,6.21,1616.22,48.51,0.0,21.288,0.0,24.6
2022-01-03 04:00:00+01:00,6.21,1660.5000000000002,47.04,0.0,18.528,0.0,24.6
2022-01-03 05:00:00+01:00,6.21,1645.7400000000002,46.06,0.0,19.416,0.0,24.6
2022-01-03 06:00:00+01:00,6.21,1645.7400000000002,47.53,0.0,26.568,0.0,24.6
2022-01-03 07:00:00+01:00,6.21,1658.8600000000001,47.53,0.0,28.632,0.216,24.6
2022-01-03 08:00:00+01:00,6.21,1666.2400000000002,48.019999999999996,0.0,35.208,0.624,24.6
