,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore
2022-01-01 00:00:00+01:00,1.61,173.84,25.48,0.0,0.0,2.616,8.316,0.0,10.14442,0.0
2022-01-01 01:00:00+01:00,1.61,169.74,27.439999999999998,0.0,0.0,2.3040000000000003,8.316,0.0,10.14442,0.0
2022-01-01 02:00:00+01:00,1.61,169.74,26.95,0.0,0.0,2.2560000000000002,8.316,0.0,10.14442,0.0
2022-01-01 03:00:00+01:00,1.61,169.74,26.95,0.0,0.0,2.2560000000000002,8.316,0.0,10.14442,0.0
2022-01-01 04:00:00+01:00,1.61,168.10000000000002,28.419999999999998,0.0,0.0,2.2560000000000002,8.316,0.0,10.14442,0.0
2022-01-01 05:00:00+01:00,1.3800000000000001,168.92000000000002,29.4,0.0,0.0,2.472,8.316,0.0,10.14442,0.0
2022-01-01 06:00:00+01:00,1.61,168.92000000000002,27.93,0.0,0.0,2.328,8.316,0.0,10.14442,0.0
2022-01-01 07:00:00+01:00,1.3800000000000001,167.28,27.93,0.0,0.0,3.24,8.316,0.0,9.2222,0.0
2022-01-01 08:00:00+01:00,1.3800000000000001,153.34,27.439999999999998,0.0,0.0,5.5920000000000005,8.316,0.20500000000000002,10.14442,0.0
2022-01-01 09:00:00+01:00,1.3800000000000001,154.98000000000002,27.439999999999998,0.0,0.0,5.736,8.316,0.738,10.14442,0.0
2022-01-01 10:00:00+01:00,1.3800000000000001,154.16000000000003,28.419999999999998,0.0,0.0,5.5200000000000005,8.316,1.23,10.14442,0.0
2022-01-01 11:00:00+01:00,1.3800000000000001,154.16000000000003,27.93,0.0,0.0,5.76,8.328,1.558,10.14442,0.0
2022-01-01 12:00:00+01:00,1.3800000000000001,154.16000000000003,27.93,0.0,0.0,6.6240000000000006,8.328,1.6400000000000001,9.2222,0.0
2022-01-01 13:00:00+01:00,1.3800000000000001,154.16000000000003,27.439999999999998,0.0,0.0,6.312,8.328,1.476,9.2222,0.0
2022-01-01 14:00:00+01:00,1.3800000000000001,154.16000000000003,27.439999999999998,0.0,0.0,7.344,8.328,0.902,10.14442,0.0
2022-01-01 15:00:00+01:00,1.3800000000000001,154.16000000000003,27.439999999999998,0.0,4.176,7.32,8.328,0.28700000000000003,10.14442,0.0
2022-01-01 16:00:00+01:00,1.3800000000000001,154.16000000000003,27.93,0.0,4.272,13.104000000000001,8.328,0.0,10.14442,0.0
2022-01-01 17:00:00+01:00,1.61,154.16000000000003,29.4,0.0,4.224,14.976,8.328,0.0,10.14442,0.0
2022-01-01 18:00:00+01:00,1.61,154.16000000000003,28.91,0.0,4.152,15.312000000000001,8.316,0.0,10.14442,0.0
2022-01-01 19:00:00+01:00,1.61,154.16000000000003,27.93,0.0,4.152,15.288,8.316,0.0,10.14442,0.0
2022-01-01 20:00:00+01:00,1.61,154.16000000000003,27.93,0.0,4.104,11.856,8.316,0.0,10.14442,0.0
2022-01-01 21:00:00+01:00,1.61,154.16000000000003,27.93,0.0,0.0,8.736,8.328,0.0,10.14442,0.0
2022-01-01 22:00:00+01:00,1.61,154.98000000000002,27.93,0.0,0.0,6.768,8.316,0.0,10.14442,0.0
2022-01-01 23:00:00+01:00,1.61,167.28,26.46,0.0,0.0,4.44,8.316,0.0,11.06664,0.0
2022-01-02 00:00:00+01:00,1.61,167.28,25.48,0.0,0.0,2.568,8.328,0.0,11.06664,0.0
2022-01-02 01:00:00+01:00,1.61,168.92000000000002,26.95,0.0,0.0,2.568,8.316,0.0,10.14442,0.0
2022-01-02 02:00:00+01:00,1.61,170.56,26.46,0.0,0.0,2.568,8.316,0.0,10.14442,0.0
2022-01-02 03:00:00+01:00,1.61,169.74,26.46,0.0,0.0,2.568,8.316,0.0,10.14442,0.0
2022-01-02 04:00:00+01:00,1.61,164.0,27.439999999999998,0.0,0.0,2.544,8.316,0.0,10.14442,0.0
2022-01-02 05:00:00+01:00,1.61,169.74,28.419999999999998,0.0,0.0,2.52,8.316,0.0,10.14442,0.0
2022-01-02 06:00:00+01:00,1.61,171.38000000000002,27.93,0.0,0.0,2.52,8.316,0.0,10.14442,0.0
2022-01-02 07:00:00+01:00,1.61,168.10000000000002,27.93,0.0,0.0,3.504,8.316,0.0,11.06664,0.0
2022-01-02 08:00:00+01:00,1.61,150.88000000000002,27.93,0.0,0.0,5.952,8.316,0.246,10.14442,0.0
2022-01-02 09:00:00+01:00,1.61,151.70000000000002,27.93,0.0,0.0,6.936,8.316,0.861,10.14442,0.0
2022-01-02 10:00:00+01:00,1.61,149.24,28.419999999999998,0.0,0.0,7.968,8.316,1.5170000000000001,10.14442,0.0
2022-01-02 11:00:00+01:00,1.3800000000000001,149.24,28.419999999999998,0.0,0.0,7.296,8.304,2.0500000000000003,10.14442,0.0
2022-01-02 12:00:00+01:00,1.61,149.24,28.419999999999998,0.0,0.0,6.864,8.316,2.0500000000000003,10.14442,0.0
2022-01-02 13:00:00+01:00,1.61,145.96,27.439999999999998,0.0,0.0,6.408,8.328,1.681,9.2222,0.0
2022-01-02 14:00:00+01:00,1.61,150.06,27.439999999999998,0.0,2.16,8.28,8.328,0.984,9.2222,0.0
2022-01-02 15:00:00+01:00,1.61,147.60000000000002,27.439999999999998,0.0,2.16,9.792,8.328,0.28700000000000003,10.14442,0.0
2022-01-02 16:00:00+01:00,1.61,153.34,27.93,0.0,4.2,15.792,8.328,0.041,10.14442,0.0
2022-01-02 17:00:00+01:00,1.61,155.8,28.91,0.0,3.672,16.8,8.328,0.0,10.14442,0.0
2022-01-02 18:00:00+01:00,1.61,176.3,28.91,0.0,4.2,17.544,8.316,0.0,10.14442,0.0
2022-01-02 19:00:00+01:00,1.61,169.74,28.419999999999998,0.0,3.864,15.672,8.328,0.0,10.14442,0.0
2022-01-02 20:00:00+01:00,1.61,164.82000000000002,27.93,0.0,0.024,12.168000000000001,8.328,0.0,10.14442,0.0
2022-01-02 21:00:00+01:00,1.61,164.82000000000002,27.93,0.0,0.0,9.624,8.316,0.0,10.14442,0.0
2022-01-02 22:00:00+01:00,1.61,211.56,28.419999999999998,0.0,0.0,6.84,8.316,0.0,11.06664,0.0
2022-01-02 23:00:00+01:00,1.61,236.98000000000002,26.95,0.0,0.0,4.5840000000000005,8.328,0.0,10.14442,0.0
2022-01-03 00:00:00+01:00,1.61,232.88000000000002,24.99,0.0,0.0,2.448,8.328,0.0,11.06664,0.0
2022-01-03 01:00:00+01:00,1.61,231.24,26.95,0.0,0.0,2.3040000000000003,8.316,0.0,10.14442,0.0
2022-01-03 02:00:00+01:00,1.61,230.42000000000002,25.97,0.0,0.0,2.376,8.316,0.0,10.14442,0.0
2022-01-03 03:00:00+01:00,1.61,218.94000000000003,26.46,0.0,0.0,2.4,8.316,0.0,10.14442,0.0
2022-01-03 04:00:00+01:00,1.61,220.58,27.439999999999998,0.0,0.0,2.3040000000000003,8.316,0.0,10.14442,0.0
2022-01-03 05:00:00+01:00,1.61,305.04,28.419999999999998,0.0,0.0,2.2560000000000002,8.316,0.0,10.14442,0.0
2022-01-03 06:00:00+01:00,1.61,385.40000000000003,27.439999999999998,0.0,0.0,2.592,8.316,0.0,10.14442,0.0
2022-01-03 07:00:00+01:00,1.61,378.84000000000003,27.439999999999998,0.0,0.0,4.248,8.316,0.0,11.06664,0.0
2022-01-03 08:00:00+01:00,1.61,348.5,27.439999999999998,0.0,0.0,7.8,8.316,0.328,10.14442,0.0
