,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Wind Onshore
2022-01-01 00:00:00+01:00,20.93,79.54,98.49,41.0,38.849,,16.56,0.168,23.568,154.98000000000002,,0.0,0.022
2022-01-01 01:00:00+01:00,21.62,79.54,98.0,41.0,38.849,,16.632,0.048,23.508,157.44,,0.041,0.022
2022-01-01 02:00:00+01:00,22.080000000000002,79.54,98.0,41.0,38.116,,16.416,0.048,23.52,154.98000000000002,,0.0,0.022
2022-01-01 03:00:00+01:00,22.080000000000002,79.54,98.49,40.18,38.116,,16.152,0.048,23.484,155.8,,0.0,0.022
2022-01-01 04:00:00+01:00,21.85,80.36,98.98,41.0,38.116,,16.344,0.048,23.436,156.62,,0.0,0.022
2022-01-01 05:00:00+01:00,22.080000000000002,80.36,100.45,40.18,38.116,,16.584,0.07200000000000001,23.424,156.62,,0.0,0.022
2022-01-01 06:00:00+01:00,21.85,79.54,98.0,40.18,38.116,,16.104,0.768,23.448,154.98000000000002,,0.0,0.022
2022-01-01 07:00:00+01:00,21.85,79.54,95.06,40.18,38.849,0.0,17.928,0.8160000000000001,23.472,151.70000000000002,,0.041,0.011
2022-01-01 08:00:00+01:00,21.62,79.54,90.64999999999999,40.18,38.849,,18.504,0.552,23.52,146.78,,0.902,0.011
2022-01-01 09:00:00+01:00,22.080000000000002,79.54,94.57,41.82,38.849,,18.72,0.552,23.436,153.34,,2.7880000000000003,0.011
2022-01-01 10:00:00+01:00,22.77,79.54,91.63,40.18,38.849,,18.672,0.5760000000000001,23.448,151.70000000000002,,4.3870000000000005,0.011
2022-01-01 11:00:00+01:00,22.540000000000003,79.54,98.0,41.0,38.849,,18.696,0.5760000000000001,23.388,155.8,,3.567,0.011
2022-01-01 12:00:00+01:00,22.77,80.36,99.96,41.0,38.116,,19.512,0.96,23.364,155.8,,2.46,0.011
2022-01-01 13:00:00+01:00,23.0,79.54,99.96,41.0,38.116,0.0,19.488,1.44,23.352,155.8,,1.2710000000000001,0.011
2022-01-01 14:00:00+01:00,22.77,79.54,100.45,41.0,38.116,2.496,19.608,1.968,23.352,157.44,,0.615,0.011
2022-01-01 15:00:00+01:00,22.540000000000003,80.36,99.47,41.82,38.116,4.176,20.256,2.544,23.34,155.8,,0.123,0.011
2022-01-01 16:00:00+01:00,22.540000000000003,79.54,99.47,41.0,38.116,3.936,20.568,4.992,23.364,154.98000000000002,,0.041,0.011
2022-01-01 17:00:00+01:00,23.0,79.54,98.49,38.540000000000006,38.116,6.144,21.336000000000002,3.048,23.388,154.16000000000003,,0.0,0.011
2022-01-01 18:00:00+01:00,22.080000000000002,80.36,98.0,38.540000000000006,38.116,6.12,21.648,1.968,23.436,153.34,,0.0,0.011
2022-01-01 19:00:00+01:00,21.62,80.36,95.55,36.900000000000006,38.116,1.848,21.264,2.472,23.448,150.88000000000002,,0.041,0.011
2022-01-01 20:00:00+01:00,21.62,79.54,98.49,41.0,38.116,0.0,21.024,1.872,23.46,151.70000000000002,,0.041,0.011
2022-01-01 21:00:00+01:00,20.93,78.72,96.53,40.18,37.383,0.0,20.808,1.464,23.484,150.06,,0.041,0.011
2022-01-01 22:00:00+01:00,20.93,77.08000000000001,99.96,41.0,38.116,0.0,20.832,1.272,23.484,152.52,,0.0,0.0
2022-01-01 23:00:00+01:00,21.39,77.08000000000001,100.94,41.0,38.116,,20.856,1.1280000000000001,23.472,152.52,,0.041,0.0
2022-01-02 00:00:00+01:00,21.39,77.9,101.42999999999999,40.18,38.116,,20.52,0.504,23.52,153.34,,0.041,0.0
2022-01-02 01:00:00+01:00,21.16,78.72,102.41,41.0,38.116,,20.424,0.432,23.556,154.98000000000002,,0.0,0.0
2022-01-02 02:00:00+01:00,21.39,78.72,101.92,41.0,38.116,,20.304000000000002,0.432,23.568,155.8,,0.0,0.0
2022-01-02 03:00:00+01:00,21.16,77.9,99.47,40.18,38.116,,20.232,0.84,23.616,152.52,,0.0,0.0
2022-01-02 04:00:00+01:00,21.39,81.18,100.94,40.18,38.116,,19.776,0.72,23.580000000000002,153.34,,0.0,0.0
2022-01-02 05:00:00+01:00,21.39,81.18,104.37,40.18,38.116,,19.68,0.6,23.580000000000002,154.98000000000002,,0.0,0.0
2022-01-02 06:00:00+01:00,21.39,81.18,103.39,40.18,38.116,,18.408,0.744,23.628,154.98000000000002,,0.041,0.0
2022-01-02 07:00:00+01:00,21.39,81.18,104.86,40.18,38.849,0.0,18.96,0.744,23.64,154.98000000000002,,0.041,0.011
2022-01-02 08:00:00+01:00,21.39,81.18,104.86,40.18,38.849,,19.464,1.008,23.7,154.16000000000003,,0.779,0.011
2022-01-02 09:00:00+01:00,21.16,81.18,105.84,40.18,38.849,0.0,19.512,0.96,23.664,155.8,,2.337,0.011
2022-01-02 10:00:00+01:00,21.39,81.18,103.39,40.18,40.315,0.0,19.536,2.328,23.688,152.52,,3.813,0.011
2022-01-02 11:00:00+01:00,20.93,81.18,103.39,41.0,40.315,0.0,18.696,1.6320000000000001,23.664,154.16000000000003,,4.838,0.0
2022-01-02 12:00:00+01:00,20.7,80.36,103.88,41.0,40.315,0.0,18.672,1.296,23.64,155.8,,5.002,0.0
