,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Water Reservoir,Nuclear,Other,Solar,Wind Onshore
2022-01-01 01:00:00+02:00,199.92,2803.5800000000004,0.0,2.016,149.892,26.240000000000002,0.123,8.084999999999999
2022-01-01 02:00:00+02:00,198.94,2715.84,0.0,4.344,149.256,26.240000000000002,0.123,9.668999999999999
2022-01-01 03:00:00+02:00,198.94,2681.4,0.0,1.512,148.104,26.240000000000002,0.123,7.007
2022-01-01 04:00:00+02:00,198.94,2665.82,0.0,1.512,146.76,24.6,0.123,7.457999999999999
2022-01-01 05:00:00+02:00,198.45,2706.0,0.0,1.512,146.28,22.96,0.123,4.960999999999999
2022-01-01 06:00:00+02:00,196.98,2687.96,0.0,1.56,146.424,22.96,0.123,4.917
2022-01-01 07:00:00+02:00,198.94,2695.34,0.0,1.6320000000000001,145.88400000000001,23.78,0.164,0.308
2022-01-01 08:00:00+02:00,197.47,2826.5400000000004,0.0,3.72,143.712,19.68,0.861,0.32999999999999996
2022-01-01 09:00:00+02:00,197.96,2830.6400000000003,0.0,6.888,144.18,18.040000000000003,1.681,2.9699999999999998
2022-01-01 10:00:00+02:00,198.45,2842.94,0.0,7.632000000000001,143.916,14.760000000000002,3.9770000000000003,8.745
2022-01-01 11:00:00+02:00,197.96,2856.88,0.0,10.896,144.156,16.400000000000002,8.077,9.394
2022-01-01 12:00:00+02:00,197.96,2898.7000000000003,0.0,6.84,144.144,14.760000000000002,13.366000000000001,10.713999999999999
2022-01-01 13:00:00+02:00,197.96,3014.32,0.0,2.976,144.324,9.84,11.316,8.844
2022-01-01 14:00:00+02:00,197.47,2984.8,0.0,2.088,144.012,9.84,5.781000000000001,10.109
2022-01-01 15:00:00+02:00,198.94,3125.0200000000004,0.0,12.72,143.952,20.5,0.656,9.119
2022-01-01 16:00:00+02:00,197.47,3410.38,13.296000000000001,15.024000000000001,144.264,8.200000000000001,0.123,9.009
2022-01-01 17:00:00+02:00,197.47,3389.88,3.624,16.464,144.228,18.860000000000003,0.123,9.372
2022-01-01 18:00:00+02:00,197.47,3370.2000000000003,3.624,20.472,144.276,23.78,0.123,10.131
2022-01-01 19:00:00+02:00,199.43,3191.44,0.0,18.456,144.108,22.14,0.123,9.273
2022-01-01 20:00:00+02:00,197.47,2928.2200000000003,7.8,20.424,144.288,16.400000000000002,0.123,9.24
2022-01-01 21:00:00+02:00,197.47,2908.5400000000004,7.8,9.816,144.216,14.760000000000002,0.123,8.469999999999999
2022-01-01 22:00:00+02:00,197.96,2968.4,0.0,2.16,144.516,4.92,0.123,10.032
2022-01-01 23:00:00+02:00,198.94,2892.96,0.0,4.44,144.036,4.92,0.123,9.745999999999999
2022-01-02 00:00:00+02:00,197.96,2724.0400000000004,0.0,1.536,144.3,2.46,0.123,4.191
2022-01-02 01:00:00+02:00,198.94,2781.44,0.0,1.584,144.24,0.0,0.123,1.144
2022-01-02 02:00:00+02:00,199.43,2652.7000000000003,0.0,1.584,144.228,0.0,0.123,0.21999999999999997
2022-01-02 03:00:00+02:00,197.47,2683.0400000000004,0.0,1.584,144.372,0.8200000000000001,0.123,0.23099999999999998
2022-01-02 04:00:00+02:00,199.43,2710.1000000000004,0.0,1.584,144.228,1.6400000000000001,0.123,0.23099999999999998
2022-01-02 05:00:00+02:00,198.94,2741.26,0.0,1.584,144.3,0.0,0.123,0.242
2022-01-02 06:00:00+02:00,198.94,2744.5400000000004,0.0,1.6320000000000001,144.156,0.8200000000000001,0.123,0.242
2022-01-02 07:00:00+02:00,198.94,2765.0400000000004,0.0,2.064,141.648,1.6400000000000001,0.28700000000000003,0.21999999999999997
2022-01-02 08:00:00+02:00,199.92,2827.36,0.0,7.704,140.556,1.6400000000000001,13.571,5.83
2022-01-02 09:00:00+02:00,198.94,2871.6400000000003,0.0,11.952,140.544,9.84,31.242,6.204
2022-01-02 10:00:00+02:00,198.94,2911.0,0.0,8.52,140.58,12.3,54.940000000000005,6.314
2022-01-02 11:00:00+02:00,198.94,2868.36,0.0,5.76,140.712,13.940000000000001,51.701,5.840999999999999
2022-01-02 12:00:00+02:00,198.45,2867.5400000000004,0.0,7.32,140.65200000000002,22.96,48.175000000000004,5.566
2022-01-02 13:00:00+02:00,198.94,2881.48,0.0,8.688,140.508,19.68,42.927,5.17
2022-01-02 14:00:00+02:00,199.43,2887.2200000000003,0.0,18.624,140.65200000000002,26.240000000000002,24.354000000000003,9.878
2022-01-02 15:00:00+02:00,269.5,2961.84,9.624,39.672000000000004,140.424,27.060000000000002,2.665,7.986
2022-01-02 16:00:00+02:00,291.06,3576.0200000000004,28.824,24.912,140.832,27.060000000000002,0.123,5.521999999999999
2022-01-02 17:00:00+02:00,292.53,3756.42,28.824,27.672,140.712,27.060000000000002,0.123,4.18
2022-01-02 18:00:00+02:00,292.04,3806.4400000000005,28.8,21.816,140.964,19.68,0.123,3.179
2022-01-02 19:00:00+02:00,291.55,3701.4800000000005,25.152,15.408,140.62800000000001,22.14,0.123,2.101
2022-01-02 20:00:00+02:00,266.07,3653.1000000000004,17.376,25.272000000000002,140.712,24.6,0.123,1.067
2022-01-02 21:00:00+02:00,235.69,3398.0800000000004,20.136,19.392,140.66400000000002,24.6,0.123,1.155
2022-01-02 22:00:00+02:00,206.29,3332.4800000000005,15.432,18.528,140.532,24.6,0.123,1.331
2022-01-02 23:00:00+02:00,196.98,3257.86,7.824,10.896,140.292,24.6,0.123,1.8259999999999998
2022-01-03 00:00:00+02:00,197.96,3179.96,0.0,5.016,140.292,27.060000000000002,0.123,2.893
2022-01-03 01:00:00+02:00,197.47,3134.86,0.0,4.2,140.64000000000001,13.120000000000001,0.123,3.8169999999999997
2022-01-03 02:00:00+02:00,197.47,3118.46,0.0,4.224,140.58,18.040000000000003,0.123,5.279999999999999
2022-01-03 03:00:00+02:00,196.98,3067.6200000000003,0.0,2.184,140.67600000000002,12.3,0.123,6.314
2022-01-03 04:00:00+02:00,197.47,3084.0200000000004,0.0,2.184,140.748,9.84,0.123,7.491
2022-01-03 05:00:00+02:00,197.47,3111.9,0.0,4.224,140.556,10.66,0.123,7.952999999999999
2022-01-03 06:00:00+02:00,197.96,3145.5200000000004,0.0,2.208,140.556,16.400000000000002,0.123,9.668999999999999
2022-01-03 07:00:00+02:00,196.98,3393.9800000000005,0.0,10.608,140.916,18.860000000000003,0.164,10.054
