,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2015-01-01 00:00:00+01:00,15.64,0.0,0.0,1242.6399999999999,356.70000000000005,0.0,8.040000000000001,0.864,0.0,34.5,482.98,,0.0,246.23274,6.0840000000000005,1.9469999999999998
2015-01-01 01:00:00+01:00,15.870000000000001,0.0,0.0,1229.41,355.88000000000005,0.0,3.672,0.864,0.0,34.5,546.12,,0.0,248.07718,5.892,2.255
2015-01-01 02:00:00+01:00,15.870000000000001,0.0,0.0,1206.87,356.70000000000005,0.0,0.168,0.864,0.0,34.488,542.84,,0.0,249.92162000000002,6.228,2.376
2015-01-01 03:00:00+01:00,15.64,0.0,0.0,1099.07,357.52000000000004,0.0,0.216,0.864,0.0,34.476,520.7,,0.0,245.31052,6.348,2.6069999999999998
2015-01-01 04:00:00+01:00,15.41,0.0,0.0,1045.66,357.52000000000004,0.0,9.912,0.888,0.0,34.488,489.54,,0.0,247.15496000000002,4.884,3.586
2015-01-01 05:00:00+01:00,15.64,0.0,0.0,1061.34,357.52000000000004,0.0,12.888,0.888,0.0,34.476,489.54,,0.0,248.07718,4.956,3.4869999999999997
2015-01-01 06:00:00+01:00,16.1,0.0,0.0,996.66,355.88000000000005,0.0,12.792,0.888,0.0,34.488,500.20000000000005,,0.0,243.46608,6.6000000000000005,2.981
2015-01-01 07:00:00+01:00,15.870000000000001,0.0,0.0,975.1,357.52000000000004,0.0,12.408,0.864,0.0,34.488,501.84000000000003,,0.0,242.54386000000002,7.392,3.5639999999999996
2015-01-01 08:00:00+01:00,15.64,0.0,0.0,955.01,340.3,0.0,0.216,0.864,0.0,34.488,496.92,,0.0,246.23274,7.5360000000000005,5.06
2015-01-01 09:00:00+01:00,17.71,0.0,0.0,904.05,271.42,0.0,0.216,0.888,0.0,34.476,484.62000000000006,,3.813,242.54386000000002,7.74,5.521999999999999
2015-01-01 10:00:00+01:00,19.55,0.0,0.0,917.28,207.46,0.0,0.216,0.888,0.0,34.488,469.04,,15.375,246.23274,7.872,5.269
2015-01-01 11:00:00+01:00,19.78,0.0,0.0,938.84,179.58,0.0,0.216,0.912,0.0,34.488,470.68000000000006,,30.34,248.07718,7.596,4.763
2015-01-01 12:00:00+01:00,18.630000000000003,0.0,0.0,980.49,130.38000000000002,0.0,1.008,0.984,0.0,34.488,469.04,,38.458,247.15496000000002,7.272,4.5649999999999995
2015-01-01 13:00:00+01:00,20.93,0.0,0.0,1009.89,117.26,0.0,1.1280000000000001,1.032,0.0,34.488,452.64000000000004,,34.809000000000005,238.85498,7.272,5.401
2015-01-01 14:00:00+01:00,23.92,0.0,0.0,975.59,181.22000000000003,0.0,0.216,1.032,0.0,34.488,456.74,,22.017,246.23274,7.008,5.654
