,Biomass
2015-03-01 00:00:00+01:00,75.44
2015-03-01 01:00:00+01:00,74.29
2015-03-01 02:00:00+01:00,76.59
2015-03-01 03:00:00+01:00,77.05
2015-03-01 04:00:00+01:00,76.82000000000001
2015-03-01 05:00:00+01:00,76.59
2015-03-01 06:00:00+01:00,72.68
2015-03-01 07:00:00+01:00,75.44
2015-03-01 08:00:00+01:00,77.05
2015-03-01 09:00:00+01:00,76.82000000000001
2015-03-01 10:00:00+01:00,76.13000000000001
2015-03-01 11:00:00+01:00,76.36
2015-03-01 12:00:00+01:00,77.28
2015-03-01 13:00:00+01:00,76.59
2015-03-01 14:00:00+01:00,73.60000000000001
2015-03-01 15:00:00+01:00,73.83
2015-03-01 16:00:00+01:00,73.14
2015-03-01 17:00:00+01:00,73.83
2015-03-01 18:00:00+01:00,74.29
2015-03-01 19:00:00+01:00,73.60000000000001
2015-03-01 20:00:00+01:00,73.60000000000001
2015-03-01 21:00:00+01:00,73.60000000000001
2015-03-01 22:00:00+01:00,73.83
2015-03-01 23:00:00+01:00,73.37
2015-03-03 00:00:00+01:00,70.38000000000001
2015-03-03 01:00:00+01:00,69.69
2015-03-03 02:00:00+01:00,69.23
2015-03-03 03:00:00+01:00,67.85000000000001
2015-03-03 04:00:00+01:00,69.0
2015-03-03 05:00:00+01:00,69.69
2015-03-03 06:00:00+01:00,70.38000000000001
2015-03-03 07:00:00+01:00,69.23
2015-03-03 08:00:00+01:00,70.15
2015-03-03 09:00:00+01:00,70.15
2015-03-03 10:00:00+01:00,70.15
2015-03-03 11:00:00+01:00,70.15
2015-03-03 12:00:00+01:00,69.46000000000001
2015-03-03 13:00:00+01:00,69.92
2015-03-03 14:00:00+01:00,69.92
2015-03-03 15:00:00+01:00,69.69
2015-03-03 16:00:00+01:00,69.92
2015-03-03 17:00:00+01:00,69.92
2015-03-03 18:00:00+01:00,69.69
2015-03-03 19:00:00+01:00,69.46000000000001
2015-03-03 20:00:00+01:00,70.84
2015-03-03 21:00:00+01:00,71.99000000000001
2015-03-03 22:00:00+01:00,72.45
2015-03-03 23:00:00+01:00,71.53
2015-03-06 00:00:00+01:00,69.69
2015-03-06 01:00:00+01:00,69.92
2015-03-06 02:00:00+01:00,70.38000000000001
2015-03-06 03:00:00+01:00,69.23
2015-03-06 04:00:00+01:00,69.46000000000001
2015-03-06 05:00:00+01:00,66.93
2015-03-06 06:00:00+01:00,63.71
2015-03-06 07:00:00+01:00,64.86
2015-03-06 08:00:00+01:00,66.01
2015-03-06 09:00:00+01:00,63.25
2015-03-06 10:00:00+01:00,66.93
2015-03-06 11:00:00+01:00,69.23
2015-03-06 12:00:00+01:00,68.77
2015-03-06 13:00:00+01:00,69.23
2015-03-06 14:00:00+01:00,68.77
2015-03-06 15:00:00+01:00,69.23
2015-03-06 16:00:00+01:00,69.23
2015-03-06 17:00:00+01:00,72.22
2015-03-06 18:00:00+01:00,72.22
2015-03-06 19:00:00+01:00,71.76
2015-03-06 20:00:00+01:00,73.83
2015-03-06 21:00:00+01:00,73.60000000000001
