,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2015-05-01 00:00:00+02:00,13.34,196.0,661.74,6.5969999999999995,0.0,163.23294,0.66,1.672
2015-05-01 01:00:00+02:00,13.57,197.47,714.22,6.5969999999999995,0.0,164.15516,0.624,1.265
2015-05-01 02:00:00+02:00,13.57,197.47,734.72,6.5969999999999995,0.0,162.31072,0.492,1.001
2015-05-01 03:00:00+02:00,13.34,203.35,738.82,9.529,0.0,164.15516,0.336,0.6489999999999999
2015-05-01 04:00:00+02:00,13.110000000000001,198.94,647.8000000000001,7.33,0.0,163.23294,0.156,0.308
2015-05-01 05:00:00+02:00,13.110000000000001,200.41,592.0400000000001,8.063,0.0,163.23294,0.048,0.21999999999999997
2015-05-01 06:00:00+02:00,13.57,203.84,670.7600000000001,8.796,0.656,163.23294,0.156,0.21999999999999997
2015-05-01 07:00:00+02:00,14.72,215.10999999999999,640.4200000000001,12.461,2.583,166.92182,0.66,0.10999999999999999
2015-05-01 08:00:00+02:00,16.330000000000002,223.44,758.5000000000001,16.858999999999998,4.92,169.68848,0.468,0.077
2015-05-01 09:00:00+02:00,16.330000000000002,233.73,732.2600000000001,26.387999999999998,7.995,171.53292000000002,0.3,0.16499999999999998
2015-05-01 10:00:00+02:00,16.560000000000002,267.54,760.96,32.985,10.291,179.8329,0.324,0.374
2015-05-01 11:00:00+02:00,16.330000000000002,269.5,619.9200000000001,32.252,10.086,178.91068,0.744,0.814
2015-05-01 12:00:00+02:00,16.1,287.14,624.84,35.184,10.906,176.14402,0.48,0.7809999999999999
2015-05-01 13:00:00+02:00,16.560000000000002,295.96,722.4200000000001,36.65,12.751000000000001,177.98846,0.18,1.056
2015-05-01 14:00:00+02:00,17.02,290.08,720.7800000000001,34.451,11.439,177.06624,0.156,1.628
2015-05-01 15:00:00+02:00,17.02,287.63,706.84,33.717999999999996,11.234,176.14402,0.504,2.387
2015-05-01 16:00:00+02:00,16.79,284.2,714.22,32.252,9.922,176.14402,1.1280000000000001,2.86
2015-05-01 17:00:00+02:00,16.560000000000002,273.42,672.4000000000001,27.854,7.585,172.45514,1.68,3.113
2015-05-01 18:00:00+02:00,14.950000000000001,261.65999999999997,658.46,21.99,4.428,167.84404,1.8,3.19
2015-05-01 19:00:00+02:00,13.57,248.92,546.12,16.858999999999998,1.804,166.92182,1.812,2.8489999999999998
2015-05-01 20:00:00+02:00,13.110000000000001,245.49,426.40000000000003,9.529,0.328,165.99960000000002,1.968,2.101
2015-05-01 21:00:00+02:00,13.57,249.41,455.1,10.995,0.0,164.15516,2.16,1.837
2015-05-01 22:00:00+02:00,13.110000000000001,240.59,483.8,6.5969999999999995,0.0,160.46628,2.988,2.167
2015-05-01 23:00:00+02:00,12.65,240.59,361.62,6.5969999999999995,0.0,157.69962,3.3120000000000003,2.651
2015-05-02 00:00:00+02:00,10.81,224.91,341.94,6.5969999999999995,0.0,155.85518000000002,2.592,3.388
2015-05-02 01:00:00+02:00,10.81,224.42,290.28000000000003,6.5969999999999995,0.0,158.62184000000002,3.192,3.597
2015-05-02 02:00:00+02:00,10.81,220.5,260.76000000000005,6.5969999999999995,0.0,159.54406,3.948,4.29
2015-05-02 03:00:00+02:00,11.040000000000001,219.51999999999998,264.04,6.5969999999999995,0.0,162.31072,4.392,4.763
2015-05-02 04:00:00+02:00,10.81,224.42,271.42,7.33,0.0,162.31072,4.332,4.6419999999999995
2015-05-02 05:00:00+02:00,11.040000000000001,226.38,267.32,6.5969999999999995,0.041,164.15516,4.572,5.0489999999999995
2015-05-02 06:00:00+02:00,11.270000000000001,246.96,324.72,8.063,0.9430000000000001,164.15516,5.016,4.917
2015-05-02 07:00:00+02:00,12.190000000000001,258.71999999999997,472.32000000000005,12.461,3.567,166.92182,5.7,4.048
