,date,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
0,2015-10-01 00:00:00+02:00,3836,17991,,767,14763,195,18,391,1306,38,9332,3302,61,0,358,106,6369
1,2015-10-01 00:15:00+02:00,3834,17957,,764,14446,189,18,39,1304,30,9334,3231,55,0,352,98,6253
2,2015-10-01 00:30:00+02:00,3827,17985,,761,14272,187,18,345,1299,87,9329,3066,54,0,354,87,6048
3,2015-10-01 00:45:00+02:00,3827,18065,,760,14193,189,18,36,1304,77,9318,2866,54,0,358,82,5984
4,2015-10-01 01:00:00+02:00,3824,18302,,766,14132,188,18,36,1300,103,9361,3092,53,0,356,88,5748
5,2015-10-01 01:15:00+02:00,3820,18290,,768,14100,189,18,367,1298,63,9340,3021,54,0,335,91,5577
6,2015-10-01 01:30:00+02:00,3818,18275,,768,14035,189,18,367,1299,60,9342,3191,54,0,336,94,5405
7,2015-10-01 01:45:00+02:00,3817,18256,,766,13904,188,18,369,1297,54,9342,3042,54,0,355,96,5261
8,2015-10-01 02:00:00+02:00,3815,18288,,764,13800,188,18,34,1287,112,9363,3066,54,0,344,100,5142
9,2015-10-01 02:15:00+02:00,3817,18257,,764,13930,187,18,365,1284,66,9348,3016,54,0,351,108,5005
10,2015-10-01 02:30:00+02:00,3820,18275,,764,14045,188,18,341,1282,93,9362,3055,53,0,356,102,4939
11,2015-10-01 02:45:00+02:00,3823,18286,,795,14215,187,19,367,1278,62,9344,3154,54,0,356,102,4833
12,2015-10-01 03:00:00+02:00,3834,18334,,815,14196,188,19,391,1275,65,9361,3170,54,0,351,107,4730
13,2015-10-01 03:15:00+02:00,3844,18340,,848,14268,188,19,39,1268,61,9353,3291,54,0,353,105,4613
14,2015-10-01 03:30:00+02:00,3846,18343,,870,14260,187,19,39,1262,68,9362,3385,60,0,349,88,4569
15,2015-10-01 03:45:00+02:00,3843,18341,,871,14285,185,18,38,1259,74,9365,3444,64,0,341,72,4564
16,2015-10-01 04:00:00+02:00,3839,18257,,886,14423,186,18,38,1262,67,9355,3245,64,0,345,71,4582
17,2015-10-01 04:15:00+02:00,3839,18256,,928,14575,185,18,38,1259,75,9359,3231,66,0,342,76,4596
18,2015-10-01 04:30:00+02:00,3838,18272,,943,14732,184,18,38,1255,98,9362,3103,73,0,332,68,4653
19,2015-10-01 04:45:00+02:00,3842,18176,,950,15022,184,18,38,1251,93,9355,3387,75,0,336,69,4659
20,2015-10-01 05:00:00+02:00,3851,18045,,952,15457,184,18,38,1246,110,9346,3734,75,0,339,80,4640
21,2015-10-01 05:15:00+02:00,3871,18044,,1026,15818,184,18,38,1241,112,9352,3799,75,0,332,94,4648
22,2015-10-01 05:30:00+02:00,3874,18084,,1031,16072,184,18,38,1239,117,9365,3987,75,0,334,111,4718
23,2015-10-01 05:45:00+02:00,3876,18170,,1040,16618,183,18,260,1236,159,9370,4468,75,0,330,130,4751
24,2015-10-01 06:00:00+02:00,3888,18348,,1085,17099,182,18,465,1227,148,9377,4844,75,0,338,141,4801
25,2015-10-01 06:15:00+02:00,3892,18404,,1147,17307,182,18,954,1226,117,9381,4829,75,0,337,128,4877
26,2015-10-01 06:30:00+02:00,3880,18425,,1152,17475,183,16,2148,1218,167,9390,5121,75,1,338,115,4932
27,2015-10-01 06:45:00+02:00,3879,18413,,1153,17620,182,13,2982,1213,172,9395,5338,75,1,346,117,4913
28,2015-10-01 07:00:00+02:00,3876,18298,,1156,17610,182,13,3355,1195,146,9385,5208,75,18,344,154,4813
29,2015-10-01 07:15:00+02:00,3876,18257,,1163,17623,182,13,3647,1192,146,9393,5360,75,127,344,174,4821
30,2015-10-01 07:30:00+02:00,3867,18195,,1175,17609,182,13,3656,1185,139,9389,5472,75,562,339,177,4826
31,2015-10-01 07:45:00+02:00,3864,18190,,1182,17603,182,13,3572,1184,158,9393,5472,75,1407,346,157,4806
32,2015-10-01 08:00:00+02:00,3836,18216,,1208,17560,182,13,4065,1182,247,9390,5438,75,2654,354,152,4640
33,2015-10-01 08:15:00+02:00,3838,18185,,1192,17551,183,13,3526,1185,263,9399,5381,75,4130,345,174,4455
34,2015-10-01 08:30:00+02:00,3833,18192,,1176,17564,185,12,2449,1184,219,9397,5213,71,5749,348,163,4338
35,2015-10-01 08:45:00+02:00,3834,18141,,1200,17485,185,12,1378,1188,95,9400,5062,72,7435,348,183,4151
36,2015-10-01 09:00:00+02:00,3841,17807,,1175,17323,185,12,1761,1193,204,9399,5124,75,9118,349,201,3899
37,2015-10-01 09:15:00+02:00,3830,17747,,1177,17223,184,11,1252,1195,103,9392,5111,75,10913,362,227,3683
38,2015-10-01 09:30:00+02:00,3812,17708,,1136,17019,184,11,552,1189,93,9381,5138,75,12639,358,211,3415
39,2015-10-01 09:45:00+02:00,3811,17676,,1103,16559,185,11,157,1189,81,9352,4932,75,14429,348,227,3166
40,2015-10-01 10:00:00+02:00,3816,17531,,1037,16394,184,11,1481,1192,193,9383,4782,74,16006,354,260,2918
41,2015-10-01 10:15:00+02:00,3817,17408,,1028,16141,183,11,710,1194,84,9380,4696,73,17517,365,243,2890
42,2015-10-01 10:30:00+02:00,3813,17389,,1029,15729,183,10,127,1191,69,9364,4651,73,18826,363,246,2905
43,2015-10-01 10:45:00+02:00,3815,17386,,1026,15324,183,10,608,1191,65,9347,4388,73,20033,360,231,3082
44,2015-10-01 11:00:00+02:00,3794,17092,,1022,14682,184,11,910,1187,83,9363,4421,73,21085,364,227,3266
45,2015-10-01 11:15:00+02:00,3791,17008,,1019,14340,183,11,816,1194,53,9342,4299,73,22056,364,247,3503
46,2015-10-01 11:30:00+02:00,3814,16992,,1018,13831,183,10,279,1200,50,9300,4188,73,22770,359,260,3735
47,2015-10-01 11:45:00+02:00,3825,16969,,1021,13521,186,10,96,1210,47,9270,4034,73,23392,354,247,4058
48,2015-10-01 12:00:00+02:00,3828,16778,,1018,12799,186,10,427,1211,52,9204,3578,75,23920,356,251,4250
49,2015-10-01 12:15:00+02:00,3830,16823,,1005,12021,187,10,43,1212,62,9202,3376,77,24210,369,251,4534
50,2015-10-01 12:30:00+02:00,3831,16691,,962,11583,188,10,429,1218,56,9145,3474,77,24511,374,260,4706
51,2015-10-01 12:45:00+02:00,3830,16818,,939,11222,187,10,431,1222,61,9199,3409,75,24813,374,242,4851
52,2015-10-01 13:00:00+02:00,3828,17058,,928,10854,187,10,422,1225,112,9258,3317,74,24873,368,230,5045
53,2015-10-01 13:15:00+02:00,3836,17055,,928,10756,187,10,532,1228,102,9244,3429,74,24844,368,220,5033
54,2015-10-01 13:30:00+02:00,3842,17053,,927,10678,187,10,361,1239,134,9286,3472,74,24660,368,219,4958
55,2015-10-01 13:45:00+02:00,3851,17017,,927,10547,187,9,59,1243,72,9242,3488,74,24361,369,226,4865
56,2015-10-01 14:00:00+02:00,3838,17206,,920,10569,187,9,515,1242,140,9292,3603,74,23893,363,252,4788
57,2015-10-01 14:15:00+02:00,3846,17228,,920,10840,187,9,465,1245,128,9315,3707,74,23466,364,269,4720
58,2015-10-01 14:30:00+02:00,3826,17267,,920,11112,186,9,576,1239,158,9299,3703,74,22779,353,271,4723
59,2015-10-01 14:45:00+02:00,3828,17201,,920,11135,184,9,500,1231,108,9265,3697,74,21913,355,283,4591
60,2015-10-01 15:00:00+02:00,3841,17243,,922,11921,183,9,675,1234,76,9256,3549,74,20993,359,249,4517
61,2015-10-01 15:15:00+02:00,3849,17203,,922,12694,181,9,507,1238,65,9248,3315,74,19861,368,225,4490
62,2015-10-01 15:30:00+02:00,3838,17205,,921,13324,181,9,623,1239,89,9265,3443,74,18621,364,219,4367
63,2015-10-01 15:45:00+02:00,3844,17304,,920,13625,182,9,517,1238,77,9258,3683,74,17312,368,212,4379
64,2015-10-01 16:00:00+02:00,3860,17574,,951,13922,181,9,403,1238,55,9241,3436,75,15803,363,223,4399
65,2015-10-01 16:15:00+02:00,3863,17644,,951,14186,182,9,553,1240,77,9255,3723,76,14232,365,219,4275
66,2015-10-01 16:30:00+02:00,3868,17644,,952,14780,184,9,770,1238,125,9247,4039,77,12482,369,219,4272
67,2015-10-01 16:45:00+02:00,3867,17646,,1011,15043,184,9,1036,1235,126,9249,4182,77,10748,378,213,4162
68,2015-10-01 17:00:00+02:00,3866,17153,,1038,15358,184,9,231,1228,28,9144,3836,77,8944,372,215,4009
69,2015-10-01 17:15:00+02:00,3877,17158,,1080,15725,184,9,502,1232,66,9216,4566,77,7201,371,225,3835
70,2015-10-01 17:30:00+02:00,3881,17238,,1173,16243,184,9,1357,1228,115,9259,4724,77,5504,371,234,3578
71,2015-10-01 17:45:00+02:00,3881,17245,,1450,16390,184,9,1930,1224,43,9283,4940,77,3928,369,219,3468
72,2015-10-01 18:00:00+02:00,3895,17466,,1743,16273,184,9,1854,1231,36,9237,5417,77,2483,366,207,3231
73,2015-10-01 18:15:00+02:00,3904,17724,,1902,16304,184,10,2289,1234,68,9288,5446,77,1317,365,215,3073
74,2015-10-01 18:30:00+02:00,3909,17748,,1914,16351,184,10,2864,1235,68,9294,5672,77,534,368,206,3046
75,2015-10-01 18:45:00+02:00,3911,17728,,1926,16480,184,10,3366,1232,88,9291,5672,77,126,369,196,3147
76,2015-10-01 19:00:00+02:00,3914,17602,,1921,16477,184,10,3167,1227,99,9259,5597,77,32,369,185,3302
77,2015-10-01 19:15:00+02:00,3904,17672,,1937,16582,185,10,3810,1226,200,9316,5772,77,0,369,173,3433
