date,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2016-01-01 00:00:00+01:00,4661,14685,1929,5302,198,16,309,966,36,10683,2645,166,0,359,2284,6594
2016-01-01 00:15:00+01:00,4671,14732,1926,4977,198,16,253,967,56,10694,2707,166,0,350,2278,6409
2016-01-01 00:30:00+01:00,4672,14721,1937,4650,198,16,284,966,84,10720,2759,166,0,351,2278,6276
2016-01-01 00:45:00+01:00,4660,14742,1933,4464,198,16,274,965,105,10725,2842,166,0,347,2261,6209
2016-01-01 01:00:00+01:00,4655,14776,1934,4248,199,16,716,966,95,10739,2625,166,0,343,2271,6252
2016-01-01 01:15:00+01:00,4659,14771,1937,4172,199,16,35,971,47,10729,2754,166,0,341,2291,6250
2016-01-01 01:30:00+01:00,4662,14771,1936,4075,199,16,195,973,54,10723,2684,166,0,340,2306,6313
2016-01-01 01:45:00+01:00,4659,14853,1932,4016,199,16,34,972,46,10616,2574,166,0,341,2274,6360
2016-01-01 02:00:00+01:00,4642,14863,1925,3938,199,16,168,969,103,10579,2430,166,0,341,2250,6316
2016-01-01 02:15:00+01:00,4646,14838,1938,3902,199,16,212,968,57,10645,2385,166,0,350,2243,6300
2016-01-01 02:30:00+01:00,4655,14831,1939,3870,199,16,189,968,45,10664,2420,166,0,345,2221,6301
2016-01-01 02:45:00+01:00,4654,14889,1934,3819,199,16,210,966,41,10529,2389,166,0,346,2201,6335
2016-01-01 03:00:00+01:00,4651,14960,1925,3719,199,16,32,962,95,10576,2344,166,0,342,2080,6401
2016-01-01 03:15:00+01:00,4652,14975,1924,3657,199,16,34,954,66,10718,2247,166,0,337,2037,6469
2016-01-01 03:30:00+01:00,4662,14960,1929,3649,199,16,188,951,44,10718,2301,166,0,340,1997,6433
2016-01-01 03:45:00+01:00,4659,14918,1922,3655,199,16,79,951,44,10718,2233,166,0,352,1932,6421
2016-01-01 04:00:00+01:00,4640,14942,1935,3677,199,16,144,951,56,10725,2112,166,0,344,1934,6441
2016-01-01 04:15:00+01:00,4641,14948,1944,3661,199,16,50,948,45,10688,2046,166,0,345,2012,6437
2016-01-01 04:30:00+01:00,4645,14933,1944,3660,199,16,494,948,43,10600,2050,166,0,348,1963,6358
2016-01-01 04:45:00+01:00,4641,14899,1946,3632,199,16,64,949,51,10421,1997,166,0,352,1862,6173
2016-01-01 05:00:00+01:00,4629,14963,1948,3680,199,16,472,948,63,10445,2070,166,0,354,1722,5961
2016-01-01 05:15:00+01:00,4632,14959,1952,3670,199,16,495,942,58,10476,1861,166,0,350,1578,5774
2016-01-01 05:30:00+01:00,4631,14972,1950,3682,199,16,486,939,49,10498,1872,166,0,350,1574,5625
2016-01-01 05:45:00+01:00,4622,14964,1943,3714,199,16,62,937,45,10454,1706,166,0,349,1456,5588
2016-01-01 06:00:00+01:00,4625,14774,1930,3796,199,16,63,935,69,10425,1607,166,0,354,1370,5480
2016-01-01 06:15:00+01:00,4636,14733,1937,3804,199,16,54,933,64,10423,1425,166,0,349,1365,5330
2016-01-01 06:30:00+01:00,4637,14740,1928,3849,199,16,47,938,77,10425,1693,166,0,350,1292,5159
2016-01-01 06:45:00+01:00,4636,14794,1936,3906,199,16,467,940,56,10414,1728,166,0,360,1291,5011
2016-01-01 07:00:00+01:00,4645,14922,1935,3917,200,16,185,942,93,10321,1743,166,0,349,1134,4876
2016-01-01 07:15:00+01:00,4652,14932,1937,3935,200,16,248,943,79,10304,1794,166,0,340,921,4757
2016-01-01 07:30:00+01:00,4656,14956,1944,3950,200,16,790,942,38,10265,1811,166,0,347,949,4596
2016-01-01 07:45:00+01:00,4662,14964,1945,4013,200,16,1175,939,27,10292,2042,166,0,346,803,4459
2016-01-01 08:00:00+01:00,4683,15024,1959,4045,200,16,730,948,28,10388,1909,166,8,338,690,4229
2016-01-01 08:15:00+01:00,4682,15027,1966,4161,200,16,230,951,33,10366,2012,166,42,338,683,4066
2016-01-01 08:30:00+01:00,4684,14895,1968,4273,200,16,250,952,29,10285,2026,166,147,337,634,3908
2016-01-01 08:45:00+01:00,4686,14866,1958,4260,199,16,162,980,82,10272,2085,166,351,336,597,3769
2016-01-01 09:00:00+01:00,4688,14825,1964,4108,199,16,418,1010,63,10256,2230,166,583,340,497,3597
2016-01-01 09:15:00+01:00,4686,14705,1967,4106,199,16,638,1013,57,10359,2505,166,775,338,432,3370
2016-01-01 09:30:00+01:00,4682,14719,1975,4260,199,16,290,1011,31,10368,2679,166,1013,339,425,3174
2016-01-01 09:45:00+01:00,4686,14754,1996,4380,199,16,204,1010,24,10285,2697,166,1487,338,420,3020
2016-01-01 10:00:00+01:00,4688,14621,2022,4548,199,16,288,1004,23,10182,2714,166,1896,332,388,2837
2016-01-01 10:15:00+01:00,4684,14632,2027,4732,199,16,155,1001,44,10239,2770,166,2330,331,343,2587
2016-01-01 10:30:00+01:00,4679,14602,2033,4755,199,16,119,1002,43,10259,2816,166,2720,336,280,2357
2016-01-01 10:45:00+01:00,4669,14762,2038,5028,199,16,131,1003,60,10248,2877,166,3144,338,223,2087
2016-01-01 11:00:00+01:00,4681,14936,2020,5331,198,16,466,993,43,10137,2655,166,3468,334,175,1923
2016-01-01 11:15:00+01:00,4686,14954,2031,5400,198,16,441,994,43,10149,2919,166,3697,341,174,1749
2016-01-01 11:30:00+01:00,4682,14977,2025,5445,198,16,407,995,34,10234,2928,166,3859,348,182,1568
2016-01-01 11:45:00+01:00,4675,14968,2015,5530,198,16,299,991,57,10254,3051,166,4046,357,166,1385
2016-01-01 12:00:00+01:00,4681,14990,2013,5650,198,16,417,994,49,10350,2910,166,4123,356,154,1291
2016-01-01 12:15:00+01:00,4689,15036,2008,5675,198,16,785,991,31,10390,2898,166,4141,348,140,1216
2016-01-01 12:30:00+01:00,4695,15174,2015,5665,198,16,860,992,17,10458,2867,166,4085,348,130,1112
2016-01-01 12:45:00+01:00,4692,15158,2003,5670,198,16,536,995,10,10506,2653,166,4135,341,107,1000
2016-01-01 13:00:00+01:00,4687,15157,2008,5894,199,16,405,1002,9,10478,2152,166,3978,347,83,885
2016-01-01 13:15:00+01:00,4685,15147,2006,5815,199,16,1107,1004,46,10507,2138,166,3881,341,89,746
2016-01-01 13:30:00+01:00,4683,15166,2016,5744,198,16,272,1004,74,10564,2226,166,3637,342,85,628
2016-01-01 13:45:00+01:00,4683,15208,2010,5752,198,16,472,1008,62,10602,2356,166,3372,338,77,565
2016-01-01 14:00:00+01:00,4672,15244,2014,5723,199,16,419,1020,28,10670,2674,166,3037,338,69,525
2016-01-01 14:15:00+01:00,4675,15370,2019,5701,199,16,450,1023,64,10693,2731,166,2629,338,59,453
2016-01-01 14:30:00+01:00,4686,15432,2033,5735,199,16,545,1027,45,10705,2525,166,2248,338,41,416
2016-01-01 14:45:00+01:00,4679,15426,2017,5800,198,16,861,1024,73,10664,2348,166,1854,332,25,394
2016-01-01 15:00:00+01:00,4681,15411,1992,5745,198,16,672,1034,17,10676,2141,166,1407,338,15,378
2016-01-01 15:15:00+01:00,4682,15410,1986,5748,198,16,1107,1038,20,10674,2192,166,983,338,5,381
2016-01-01 15:30:00+01:00,4683,15412,1992,5771,198,16,1430,1041,49,10678,2295,166,632,335,4,401
2016-01-01 15:45:00+01:00,4680,15424,1979,5806,198,16,1647,1046,93,10687,2373,166,341,334,2,432
2016-01-01 16:00:00+01:00,4673,15426,1990,5809,199,16,1073,1032,22,10681,2405,166,136,333,2,489
2016-01-01 16:15:00+01:00,4665,15434,2002,5984,200,16,1651,1037,25,10685,2504,166,41,338,2,577
2016-01-01 16:30:00+01:00,4667,15458,2010,6166,200,16,2368,1035,54,10686,2704,166,18,336,2,713
2016-01-01 16:45:00+01:00,4662,15457,2008,6370,199,16,2832,1033,49,10693,2944,166,7,336,2,872
2016-01-01 17:00:00+01:00,4687,15400,2058,6631,198,16,3081,1029,31,10559,3131,166,0,336,2,997
2016-01-01 17:15:00+01:00,4693,15465,2057,6678,199,16,3231,1026,40,10555,3237,166,0,340,2,1168
2016-01-01 17:30:00+01:00,4697,15458,2072,6693,198,16,3582,1023,30,10559,3289,167,0,335,3,1404
2016-01-01 17:45:00+01:00,4694,15452,2085,6812,199,16,3263,1026,24,10636,3286,168,0,336,13,1605
2016-01-01 18:00:00+01:00,4692,15419,2089,6813,199,16,2314,1027,15,10658,3436,169,0,333,48,1788
2016-01-01 18:15:00+01:00,4674,15448,2077,6819,199,16,1967,1023,47,10676,3235,169,0,340,80,1963
2016-01-01 18:30:00+01:00,4662,15436,2090,6827,199,16,1851,1019,20,10679,3276,169,0,335,107,2107
2016-01-01 18:45:00+01:00,4680,15405,2086,6836,199,16,1679,1018,17,10639,3196,169,0,345,141,2352
2016-01-01 19:00:00+01:00,4684,15443,2090,6766,199,16,2024,1021,28,10666,3146,169,0,348,180,2671
2016-01-01 19:15:00+01:00,4696,15443,2083,6688,199,16,1560,1021,24,10664,2996,169,0,346,237,2940
2016-01-01 19:30:00+01:00,4686,15448,2086,6641,199,16,1368,1009,7,10601,2639,168,0,333,290,3303
2016-01-01 19:45:00+01:00,4691,15489,2078,6480,199,16,1167,969,19,10527,2404,167,0,338,358,3507
2016-01-01 20:00:00+01:00,4690,15475,2022,6347,199,16,2328,969,74,10556,2641,167,0,338,447,3666
2016-01-01 20:15:00+01:00,4685,15478,2027,6186,199,16,1825,969,14,10533,2567,167,0,342,578,3712
2016-01-01 20:30:00+01:00,4687,15476,2025,6045,199,16,1671,970,25,10571,2359,167,0,341,684,3773
2016-01-01 20:45:00+01:00,4682,15451,2015,5930,199,16,1556,969,5,10592,2184,167,0,341,734,3937
2016-01-01 21:00:00+01:00,4690,15447,2017,5669,200,16,1595,969,43,10681,2027,167,0,347,815,4172
2016-01-01 21:15:00+01:00,4694,15364,1994,5404,200,16,1380,971,19,10675,2256,167,0,350,873,4408
2016-01-01 21:30:00+01:00,4697,15312,1977,5199,199,16,1419,972,16,10656,2104,167,0,345,917,4652
2016-01-01 21:45:00+01:00,4692,15344,1962,5201,199,17,1301,975,7,10606,2211,167,0,348,1024,4774
2016-01-01 22:00:00+01:00,4684,15369,1946,5197,199,17,1628,975,69,10680,2275,167,0,351,1132,4807
2016-01-01 22:15:00+01:00,4675,15288,1944,5110,199,17,1085,973,83,10673,2350,167,0,346,1162,4937
2016-01-01 22:30:00+01:00,4671,15237,1945,4921,199,17,1078,972,55,10672,2324,167,0,341,1163,5073
2016-01-01 22:45:00+01:00,4656,15054,1943,4699,199,17,1069,970,43,10614,2441,167,0,341,1306,5141
2016-01-01 23:00:00+01:00,4657,14907,1948,4337,198,17,1596,972,135,10656,2316,167,0,341,1391,5318
2016-01-01 23:15:00+01:00,4653,14867,1948,4260,199,17,938,971,71,10645,2238,167,0,343,1438,5492
2016-01-01 23:30:00+01:00,4657,14841,1953,4124,199,17,615,975,40,10634,2183,167,0,347,1500,5626
2016-01-01 23:45:00+01:00,4673,14830,1932,4000,199,17,531,975,67,10628,2405,167,0,350,1476,5591
2016-01-02 00:00:00+01:00,4656,14683,1916,3784,198,17,478,972,24,10636,2180,167,0,340,1488,5574
2016-01-02 00:15:00+01:00,4633,14435,1925,3689,198,17,471,967,25,10634,1883,167,0,334,1618,5703
2016-01-02 00:30:00+01:00,4633,14118,1922,3557,199,17,80,966,17,10625,1984,167,0,336,1695,5886
2016-01-02 00:45:00+01:00,4641,13655,1910,3476,199,17,746,967,22,10582,2176,167,0,345,1825,6057
2016-01-02 01:00:00+01:00,4655,13446,1914,3283,199,17,864,968,72,10614,2258,167,0,345,1968,6188
2016-01-02 01:15:00+01:00,4653,13374,1924,2969,199,17,518,968,33,10655,2329,167,0,345,2123,6387
2016-01-02 01:30:00+01:00,4676,13269,1933,3000,199,17,43,972,23,10676,2312,167,0,341,2189,6725
2016-01-02 01:45:00+01:00,4665,12908,1928,2991,198,17,398,975,19,10661,2204,167,0,343,2361,7110
2016-01-02 02:00:00+01:00,4662,12193,1880,3079,199,17,8,973,33,10608,2219,167,0,347,2433,7512
2016-01-02 02:15:00+01:00,4656,11963,1801,2975,200,17,101,971,18,10466,2452,160,0,347,2485,7985
2016-01-02 02:30:00+01:00,4659,11745,1728,2978,198,17,893,969,23,10456,2249,146,0,354,2532,8518
2016-01-02 02:45:00+01:00,4654,11489,1706,2962,198,17,103,967,23,10379,2221,134,0,356,2589,8807
2016-01-02 03:00:00+01:00,4624,10703,1675,2891,198,17,333,962,39,10247,2402,133,0,346,2672,8758
2016-01-02 03:15:00+01:00,4622,10266,1647,2850,198,17,195,963,22,10227,2418,133,0,345,2719,8983
2016-01-02 03:30:00+01:00,4634,10141,1642,2840,197,17,61,965,21,10254,2358,133,0,341,2751,9396
2016-01-02 03:45:00+01:00,4632,10086,1641,2837,197,17,657,966,33,10361,2438,133,0,340,2771,9746
2016-01-02 04:00:00+01:00,4623,9893,1650,2873,197,17,100,969,49,10363,2312,133,0,340,2778,10138
2016-01-02 04:15:00+01:00,4624,9800,1647,2897,197,17,955,971,44,10288,2106,132,0,340,2779,10484
2016-01-02 04:30:00+01:00,4612,9764,1577,2899,197,17,941,971,49,10298,2021,133,0,347,2784,10857
2016-01-02 04:45:00+01:00,4605,9778,1621,2897,197,17,94,971,52,10356,2031,132,0,350,2788,11198
2016-01-02 05:00:00+01:00,4620,9949,1654,2912,197,17,919,970,24,10355,2217,132,0,349,2800,11430
2016-01-02 05:15:00+01:00,4631,9952,1666,2921,198,17,94,971,24,10314,1937,132,0,351,2812,11663
