,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2016-02-01 00:00:00+01:00,3.2880000000000003,2.352,8.232,35.808,0.0,0.23099999999999998
2016-02-01 01:00:00+01:00,2.856,2.352,7.5840000000000005,35.736000000000004,0.0,0.23099999999999998
2016-02-01 02:00:00+01:00,2.7600000000000002,2.352,7.056,35.772,0.0,0.242
2016-02-01 03:00:00+01:00,2.424,2.352,6.84,35.76,0.0,0.242
2016-02-01 04:00:00+01:00,2.832,2.352,7.68,35.34,0.0,0.242
2016-02-01 05:00:00+01:00,3.24,2.352,9.264,35.28,0.0,0.242
2016-02-01 06:00:00+01:00,4.992,2.352,10.944,35.436,0.0,0.242
2016-02-01 07:00:00+01:00,12.96,2.328,19.272000000000002,35.7,0.0,0.21999999999999997
2016-02-01 08:00:00+01:00,21.504,2.3040000000000003,26.376,35.772,0.20500000000000002,0.176
2016-02-01 09:00:00+01:00,20.352,2.2800000000000002,20.784,35.784,1.0250000000000001,0.187
2016-02-01 10:00:00+01:00,17.208000000000002,2.2800000000000002,18.144000000000002,35.796,2.0500000000000003,0.16499999999999998
2016-02-01 11:00:00+01:00,9.864,2.2560000000000002,17.136,35.76,3.0340000000000003,0.209
2016-02-01 12:00:00+01:00,7.272,2.232,6.696,35.784,3.116,0.242
2016-02-01 13:00:00+01:00,9.264,2.232,6.456,35.82,2.9930000000000003,0.21999999999999997
2016-02-01 14:00:00+01:00,6.6000000000000005,2.2800000000000002,14.832,35.808,2.173,0.19799999999999998
2016-02-01 15:00:00+01:00,11.28,2.3040000000000003,15.912,35.844,1.189,0.209
2016-02-01 16:00:00+01:00,17.712,2.3040000000000003,17.016000000000002,35.844,0.41000000000000003,0.19799999999999998
2016-02-01 17:00:00+01:00,24.192,2.3040000000000003,18.672,35.892,0.041,0.16499999999999998
2016-02-01 18:00:00+01:00,31.704,2.3040000000000003,26.784,35.928,0.0,0.187
2016-02-01 19:00:00+01:00,24.648,2.328,24.864,35.964,0.0,0.187
2016-02-01 20:00:00+01:00,16.032,2.328,7.176,35.916000000000004,0.0,0.187
2016-02-01 21:00:00+01:00,7.176,2.352,6.792,35.952,0.0,0.21999999999999997
2016-02-01 22:00:00+01:00,5.5920000000000005,2.376,7.296,35.94,0.0,0.19799999999999998
2016-02-01 23:00:00+01:00,5.064,2.376,6.288,35.964,0.0,0.19799999999999998
2016-02-02 00:00:00+01:00,2.568,2.4,9.816,35.988,0.0,0.187
