,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
2016-03-31 23:00:00+01:00,3557.1549999999997,1050.01,0.0,0.492,5.964,46.824,858.5400000000001,0.0,2.766,5.7364999999999995
2016-03-31 23:30:00+01:00,3340.82,843.7800000000001,0.0,0.684,5.796,46.746,858.1300000000001,0.0,3.168,5.7364999999999995
2016-04-01 00:00:00+01:00,3204.6,713.8100000000001,0.0,0.0,4.6080000000000005,46.752,857.72,0.0,3.06,6.247999999999999
2016-04-01 00:30:00+01:00,3087.0,615.0,0.0,0.0,4.6080000000000005,46.878,858.5400000000001,0.0,3.396,7.1225
2016-04-01 01:00:00+01:00,3136.98,616.23,0.0,0.0,4.272,46.776,858.1300000000001,0.0,3.168,8.469999999999999
2016-04-01 01:30:00+01:00,3303.825,617.87,0.0,0.0,4.224,46.872,858.5400000000001,0.0,3.234,8.921
2016-04-01 02:00:00+01:00,3328.08,616.6400000000001,0.0,0.0,4.188,46.818,858.1300000000001,0.0,3.096,10.219
2016-04-01 02:30:00+01:00,3102.68,596.96,0.0,0.0,4.152,46.866,857.72,0.0,2.898,11.539
2016-04-01 03:00:00+01:00,2944.9,616.6400000000001,0.0,0.0,4.128,46.806000000000004,858.1300000000001,0.0,2.652,13.078999999999999
2016-04-01 03:30:00+01:00,2809.66,613.36,0.0,0.0,3.996,46.878,859.36,0.0,2.562,14.151499999999999
2016-04-01 04:00:00+01:00,2647.96,613.7700000000001,0.0,0.0,3.912,46.842,859.7700000000001,0.0,2.46,16.125999999999998
2016-04-01 04:30:00+01:00,2608.27,613.36,0.0,0.0,3.8040000000000003,46.806000000000004,858.1300000000001,0.0,2.838,15.686
2016-04-01 05:00:00+01:00,2606.555,614.59,0.0,0.0,3.96,46.818,858.95,0.0,2.982,16.813499999999998
2016-04-01 05:30:00+01:00,2730.035,647.3900000000001,0.0,0.0,3.948,46.812,859.36,0.0,3.36,17.0335
2016-04-01 06:00:00+01:00,3044.37,709.71,0.0,0.0,3.948,46.584,858.5400000000001,0.0,3.942,18.073
2016-04-01 06:30:00+01:00,3135.755,761.37,0.0,0.0,4.0680000000000005,46.602000000000004,859.36,0.0,4.656,19.101499999999998
2016-04-01 07:00:00+01:00,3320.73,1045.0900000000001,0.0,2.2800000000000002,7.26,46.476,858.1300000000001,1.6195000000000002,4.926,18.865
2016-04-01 07:30:00+01:00,3753.89,1189.0,0.0,3.96,7.8,46.524,858.5400000000001,5.453,5.454,18.942
2016-04-01 08:00:00+01:00,4059.895,1199.25,0.0,4.668,5.784,46.434,858.5400000000001,12.8535,5.718,20.163
2016-04-01 08:30:00+01:00,4046.1749999999997,1287.4,0.0,7.488,5.676,46.518,858.95,21.935000000000002,6.702,20.701999999999998
2016-04-01 09:00:00+01:00,4018.49,1267.3100000000002,0.0,4.056,5.976,46.518,858.5400000000001,32.595,7.692,23.386
2016-04-01 09:30:00+01:00,3982.965,1248.0400000000002,0.0,5.508,6.1080000000000005,46.434,857.3100000000001,42.845,8.196,23.000999999999998
2016-04-01 10:00:00+01:00,3925.145,1281.25,0.0,3.72,5.928,46.572,835.1700000000001,53.71,8.334,23.869999999999997
2016-04-01 10:30:00+01:00,3813.18,1207.8600000000001,0.0,4.572,6.132000000000001,46.464,857.72,60.475,8.508000000000001,22.2915
2016-04-01 11:00:00+01:00,3832.535,905.2800000000001,0.0,3.684,5.412,46.5,858.5400000000001,68.265,9.024000000000001,23.595
2016-04-01 11:30:00+01:00,3846.745,698.23,0.0,4.32,5.628,46.53,857.72,72.36500000000001,9.138,24.095499999999998
2016-04-01 12:00:00+01:00,3761.73,838.86,0.0,3.924,5.628,46.554,857.3100000000001,69.905,9.192,25.828
2016-04-01 12:30:00+01:00,3687.495,772.85,0.0,3.96,5.556,46.524,857.72,72.98,9.18,26.817999999999998
2016-04-01 13:00:00+01:00,3546.375,686.34,0.0,4.104,5.1000000000000005,46.5,856.49,75.44,9.456,27.697999999999997
2016-04-01 13:30:00+01:00,3386.145,678.1400000000001,0.0,4.392,5.0760000000000005,46.53,857.72,69.08500000000001,10.038,28.385499999999997
2016-04-01 14:00:00+01:00,3339.595,635.5,0.0,3.852,5.0040000000000004,46.53,857.72,63.755,10.584,28.220499999999998
2016-04-01 14:30:00+01:00,3336.6549999999997,537.9200000000001,0.0,3.648,4.944,46.53,857.72,61.5,11.034,28.544999999999998
2016-04-01 15:00:00+01:00,3321.955,547.35,0.0,3.96,4.884,46.512,856.9000000000001,55.555,11.082,27.950999999999997
2016-04-01 15:30:00+01:00,3284.96,603.11,0.0,3.624,4.908,46.512,858.5400000000001,51.660000000000004,11.466000000000001,27.907
2016-04-01 16:00:00+01:00,3280.5499999999997,664.61,0.0,5.22,5.0280000000000005,46.482,851.1600000000001,42.435,11.52,27.741999999999997
2016-04-01 16:30:00+01:00,3503.99,697.82,0.0,3.66,5.016,46.542,845.83,32.39,11.49,28.148999999999997
2016-04-01 17:00:00+01:00,3754.625,728.98,0.0,3.648,6.5760000000000005,46.578,856.49,23.78,11.466000000000001,28.544999999999998
2016-04-01 17:30:00+01:00,3803.38,822.46,0.0,3.624,6.348,46.59,856.08,16.728,11.922,28.456999999999997
2016-04-01 18:00:00+01:00,3790.64,792.94,0.0,5.892,6.264,46.56,858.1300000000001,9.922,12.252,27.863
2016-04-01 18:30:00+01:00,3849.685,810.57,0.0,4.236,6.324,46.53,858.1300000000001,4.838,12.522,27.642999999999997
2016-04-01 19:00:00+01:00,3849.93,832.3000000000001,0.0,4.26,6.792,46.566,858.5400000000001,1.722,12.534,26.653
2016-04-01 19:30:00+01:00,3859.485,946.2800000000001,0.0,6.492,6.696,46.542,858.1300000000001,0.0,12.462,25.750999999999998
2016-04-01 20:00:00+01:00,4013.1,965.96,0.0,7.5360000000000005,6.792,46.578,858.95,0.0,12.306000000000001,25.256
2016-04-01 20:30:00+01:00,3868.305,961.0400000000001,0.0,4.224,6.828,46.524,857.72,0.0,12.198,25.734499999999997
2016-04-01 21:00:00+01:00,3676.715,821.6400000000001,0.0,5.484,6.048,45.966,857.3100000000001,0.0,12.372,25.173499999999997
2016-04-01 21:30:00+01:00,3348.66,679.7800000000001,0.0,5.916,6.228,45.936,858.1300000000001,0.0,12.348,24.717
2016-04-01 22:00:00+01:00,3111.99,678.5500000000001,0.0,4.968,6.54,45.894,822.0500000000001,0.0,12.294,23.462999999999997
2016-04-01 22:30:00+01:00,2907.17,673.22,0.0,3.936,6.36,45.93,857.72,0.0,12.336,23.127499999999998
2016-04-01 23:00:00+01:00,2522.275,595.73,0.0,0.0,5.172,45.972,806.0600000000001,0.0,12.126,21.889999999999997
2016-04-01 23:30:00+01:00,2187.605,473.55,0.0,0.0,4.992,45.942,858.5400000000001,0.0,12.39,20.9605
2016-04-02 00:00:00+01:00,2084.705,382.12,0.0,0.0,4.956,45.942,781.0500000000001,0.0,12.558,18.7055
2016-04-02 00:30:00+01:00,2175.845,363.26000000000005,0.0,0.0,4.98,45.936,781.0500000000001,0.0,12.102,17.572499999999998
2016-04-02 01:00:00+01:00,2101.855,363.67,0.0,0.0,4.452,45.966,813.0300000000001,0.0,11.61,15.29
2016-04-02 01:30:00+01:00,2270.17,386.63000000000005,0.0,0.0,4.368,45.954,817.95,0.0,10.884,14.465
2016-04-02 02:00:00+01:00,2350.285,385.81,0.0,0.0,4.332,45.99,821.23,0.0,10.782,13.485999999999999
2016-04-02 02:30:00+01:00,2367.19,386.22,0.0,0.0,4.296,45.966,835.99,0.0,10.548,12.798499999999999
2016-04-02 03:00:00+01:00,2386.545,384.58000000000004,0.0,0.0,3.84,46.050000000000004,858.1300000000001,0.0,10.188,11.7975
2016-04-02 03:30:00+01:00,2356.165,385.40000000000003,0.0,0.0,3.912,45.96,858.5400000000001,0.0,9.99,11.022
2016-04-02 04:00:00+01:00,2345.63,386.22,0.0,0.0,3.876,45.984,859.7700000000001,0.0,9.438,9.459999999999999
2016-04-02 04:30:00+01:00,2320.64,386.22,0.0,0.0,3.864,45.966,858.1300000000001,0.0,9.018,8.975999999999999
2016-04-02 05:00:00+01:00,2342.2,385.40000000000003,0.0,0.0,3.936,45.906,858.1300000000001,0.0,8.208,7.430499999999999
2016-04-02 05:30:00+01:00,2421.58,385.81,0.0,0.0,3.948,45.894,854.0300000000001,0.0,7.728,7.1884999999999994
2016-04-02 06:00:00+01:00,2456.615,396.06,0.0,0.0,3.948,45.918,857.72,0.0,7.41,6.204
2016-04-02 06:30:00+01:00,2642.325,453.46000000000004,0.0,0.0,3.948,45.972,859.36,1.804,6.78,6.1819999999999995
2016-04-02 07:00:00+01:00,2828.2799999999997,505.94000000000005,0.0,1.068,6.5280000000000005,45.912,847.8800000000001,4.1000000000000005,6.498,5.675999999999999
2016-04-02 07:30:00+01:00,3177.4049999999997,558.83,0.0,1.812,7.128,46.008,856.08,9.2455,7.356,5.7475
2016-04-02 08:00:00+01:00,3355.0299999999997,683.47,0.0,6.492,8.496,45.984,793.7600000000001,17.63,7.122,5.598999999999999
2016-04-02 08:30:00+01:00,3586.065,809.7500000000001,0.0,7.176,9.912,45.96,799.5000000000001,25.830000000000002,6.0840000000000005,5.4505
2016-04-02 09:00:00+01:00,3674.755,867.97,0.0,10.788,10.392,45.816,799.9100000000001,37.72,6.072,5.3735
2016-04-02 09:30:00+01:00,3693.62,984.0000000000001,0.0,10.812,10.464,45.198,799.5000000000001,49.405,6.0600000000000005,5.335
2016-04-02 10:00:00+01:00,3666.67,1018.0300000000001,0.0,14.388,10.476,45.12,799.09,59.245000000000005,6.15,5.412
2016-04-02 10:30:00+01:00,3615.955,1027.8700000000001,0.0,12.972,10.896,45.126,799.9100000000001,71.75,6.696,5.5275
