,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore
2016-03-31 23:00:00+01:00,74.06,321.93,961.8600000000001,12.0,24.744,4.6080000000000005,37.720000000000006,0.0,14.706999999999999
2016-04-01 00:00:00+01:00,72.68,217.07,961.8600000000001,0.048,23.832,3.8160000000000003,36.080000000000005,0.0,13.673
2016-04-01 01:00:00+01:00,72.91,212.66,961.8600000000001,0.0,20.856,5.496,36.900000000000006,0.0,12.144
2016-04-01 02:00:00+01:00,73.14,212.66,961.8600000000001,0.0,20.088,3.936,36.900000000000006,0.0,10.472
2016-04-01 03:00:00+01:00,72.22,211.19,1001.22,0.0,27.576,3.936,36.080000000000005,0.0,9.921999999999999
2016-04-01 04:00:00+01:00,72.91,211.19,1047.96,0.024,28.416,4.5840000000000005,36.080000000000005,0.0,8.448
2016-04-01 05:00:00+01:00,72.45,230.29999999999998,1141.44,10.632,24.72,14.712,35.260000000000005,0.0,6.457
2016-04-01 06:00:00+01:00,72.91,255.78,1198.8400000000001,28.152,43.248,25.704,36.900000000000006,0.0,6.039
2016-04-01 07:00:00+01:00,73.37,396.9,1184.9,30.288,41.496,25.080000000000002,36.080000000000005,0.369,5.335
2016-04-01 08:00:00+01:00,73.60000000000001,455.21,1120.94,29.544,43.32,27.36,36.900000000000006,4.551,4.465999999999999
2016-04-01 09:00:00+01:00,73.14,474.32,1152.92,31.272000000000002,43.56,29.400000000000002,36.900000000000006,9.225,2.651
2016-04-01 10:00:00+01:00,71.76,525.77,1149.64,30.72,43.176,28.464000000000002,36.900000000000006,12.382,1.5399999999999998
2016-04-01 11:00:00+01:00,69.0,526.75,1134.88,29.784,44.208,25.536,37.720000000000006,14.104000000000001,1.21
2016-04-01 12:00:00+01:00,72.68,521.36,1043.0400000000002,20.496,43.68,17.28,36.900000000000006,15.006,1.4189999999999998
2016-04-01 13:00:00+01:00,72.22,523.3199999999999,991.3800000000001,8.664,39.6,7.5120000000000005,37.720000000000006,15.006,2.343
2016-04-01 14:00:00+01:00,73.14,524.3,990.5600000000001,7.992,37.56,6.336,36.900000000000006,14.924000000000001,3.036
2016-04-01 15:00:00+01:00,71.76,523.81,991.3800000000001,9.504,35.64,6.384,36.080000000000005,14.104000000000001,3.465
2016-04-01 16:00:00+01:00,72.22,522.83,995.4800000000001,9.024000000000001,40.656,7.296,36.080000000000005,12.505,4.3999999999999995
2016-04-01 17:00:00+01:00,72.22,522.83,1022.5400000000001,13.584,43.848,10.08,37.720000000000006,9.594000000000001,4.62
2016-04-01 18:00:00+01:00,71.53,522.83,1003.6800000000001,26.928,48.648,26.088,36.900000000000006,5.125,4.895
2016-04-01 19:00:00+01:00,71.53,555.66,1166.8600000000001,23.304000000000002,48.312,19.104,36.080000000000005,0.6970000000000001,4.388999999999999
2016-04-01 20:00:00+01:00,71.76,646.8,1198.8400000000001,19.032,47.04,24.96,35.260000000000005,0.0,4.092
2016-04-01 21:00:00+01:00,71.07000000000001,647.78,1199.66,28.008,46.968,28.224,36.900000000000006,0.0,4.301
2016-04-01 22:00:00+01:00,70.61,614.95,1197.2,24.288,45.480000000000004,25.896,36.900000000000006,0.0,4.763
2016-04-01 23:00:00+01:00,70.61,486.57,1029.1000000000001,19.608,39.264,19.776,36.900000000000006,0.0,4.906
2016-04-02 00:00:00+01:00,68.08,260.68,1011.8800000000001,5.256,36.216,10.848,36.900000000000006,0.0,4.994
2016-04-02 01:00:00+01:00,68.77,200.41,975.8000000000001,0.168,29.352,4.152,37.720000000000006,0.0,5.137
2016-04-02 02:00:00+01:00,70.38000000000001,200.41,906.1,0.0,31.728,4.056,36.900000000000006,0.0,6.523
2016-04-02 03:00:00+01:00,70.61,200.41,947.1,0.0,36.816,4.032,35.260000000000005,0.0,6.1819999999999995
2016-04-02 04:00:00+01:00,71.76,200.9,1029.92,0.024,46.608000000000004,4.008,36.080000000000005,0.0,5.709
2016-04-02 05:00:00+01:00,71.07000000000001,199.92,1034.8400000000001,1.416,46.44,3.984,35.260000000000005,0.0,6.061
2016-04-02 06:00:00+01:00,72.22,198.45,896.2600000000001,0.0,43.224000000000004,3.864,36.080000000000005,0.0,6.864
2016-04-02 07:00:00+01:00,71.99000000000001,198.94,757.6800000000001,6.5040000000000004,45.864000000000004,5.832,35.260000000000005,0.41000000000000003,7.755
2016-04-02 08:00:00+01:00,71.76,202.85999999999999,725.7,12.48,48.552,7.776,35.260000000000005,2.829,8.216999999999999
2016-04-02 09:00:00+01:00,72.68,270.48,725.7,13.728,48.984,10.776,35.260000000000005,3.7720000000000002,7.853999999999999
2016-04-02 10:00:00+01:00,73.14,280.77,725.7,15.6,45.936,10.56,36.080000000000005,5.699,8.096
2016-04-02 11:00:00+01:00,72.68,280.77,725.7,13.176,45.504,6.456,36.080000000000005,7.503,9.57
2016-04-02 12:00:00+01:00,73.60000000000001,279.79,725.7,2.016,43.176,6.048,36.080000000000005,8.651,10.802
2016-04-02 13:00:00+01:00,71.3,274.89,719.1400000000001,1.8,43.2,3.984,35.260000000000005,10.619,14.024999999999999
2016-04-02 14:00:00+01:00,71.53,199.92,541.2,0.0,43.704,3.6,35.260000000000005,11.89,17.633
2016-04-02 15:00:00+01:00,72.91,196.49,344.40000000000003,0.0,42.576,3.624,36.080000000000005,11.726,21.317999999999998
2016-04-02 16:00:00+01:00,72.22,197.47,466.58000000000004,0.0,42.672000000000004,3.6,35.260000000000005,9.922,25.256
2016-04-02 17:00:00+01:00,73.60000000000001,198.94,725.7,7.8,42.288000000000004,3.744,36.080000000000005,6.724,29.875999999999998
2016-04-02 18:00:00+01:00,72.68,199.92,725.7,15.408,42.696,5.16,35.260000000000005,3.4850000000000003,30.942999999999998
2016-04-02 19:00:00+01:00,73.37,203.84,725.7,28.272000000000002,48.696,10.944,35.260000000000005,0.492,31.394
2016-04-02 20:00:00+01:00,72.68,243.04,725.7,29.184,48.384,20.808,35.260000000000005,0.0,31.921999999999997
2016-04-02 21:00:00+01:00,73.14,242.54999999999998,712.58,22.176000000000002,46.728,19.272000000000002,35.260000000000005,0.0,31.877999999999997
2016-04-02 22:00:00+01:00,72.45,199.92,504.3,9.576,46.584,5.16,35.260000000000005,0.0,31.845
2016-04-02 23:00:00+01:00,72.68,197.96,108.24000000000001,15.936,45.192,3.528,33.620000000000005,0.0,31.383
2016-04-03 00:00:00+01:00,71.76,191.59,73.80000000000001,10.752,47.328,4.224,30.340000000000003,0.0,29.799
2016-04-03 01:00:00+01:00,69.69,190.12,73.80000000000001,0.384,47.76,3.48,28.700000000000003,0.0,25.607999999999997
2016-04-03 02:00:00+01:00,70.84,191.1,55.760000000000005,0.024,44.928000000000004,2.424,28.700000000000003,0.0,23.375
2016-04-03 03:00:00+01:00,70.84,191.59,0.0,2.136,48.264,4.92,27.060000000000002,0.0,22.418
2016-04-03 04:00:00+01:00,71.07000000000001,191.1,0.0,0.24,45.576,3.888,27.060000000000002,0.0,24.683999999999997
2016-04-03 05:00:00+01:00,70.15,190.60999999999999,0.0,1.2,47.784,4.632,27.060000000000002,0.0,27.576999999999998
2016-04-03 06:00:00+01:00,70.84,190.60999999999999,0.0,0.0,46.464,3.864,26.240000000000002,0.0,26.543
2016-04-03 07:00:00+01:00,70.84,190.60999999999999,0.0,0.0,44.232,3.96,26.240000000000002,0.246,26.862
2016-04-03 08:00:00+01:00,71.76,190.60999999999999,0.0,6.36,40.008,3.96,27.060000000000002,2.378,28.544999999999998
2016-04-03 09:00:00+01:00,72.22,190.60999999999999,0.0,8.472,39.528,5.136,27.060000000000002,5.002,30.194999999999997
2016-04-03 10:00:00+01:00,72.22,190.12,0.0,9.192,38.544000000000004,6.216,27.880000000000003,6.683000000000001,32.065
2016-04-03 11:00:00+01:00,73.60000000000001,189.14,0.0,7.08,40.536,7.704,27.880000000000003,7.5440000000000005,33.428999999999995
2016-04-03 12:00:00+01:00,75.67,182.77,0.0,3.072,38.88,11.088000000000001,27.880000000000003,7.954000000000001,33.352
2016-04-03 13:00:00+01:00,75.44,177.87,0.0,3.072,40.536,3.96,27.060000000000002,7.011,31.119
2016-04-03 14:00:00+01:00,74.75,180.81,0.0,3.072,34.56,2.592,29.520000000000003,7.093,31.592
2016-04-03 15:00:00+01:00,74.75,235.69,0.0,1.776,27.912,2.592,28.700000000000003,6.642,30.843999999999998
2016-04-03 16:00:00+01:00,74.98,329.28,0.0,1.536,34.488,2.688,29.520000000000003,4.5920000000000005,28.973999999999997
2016-04-03 17:00:00+01:00,75.21000000000001,325.84999999999997,0.0,1.68,44.04,2.736,28.700000000000003,2.624,26.509999999999998
2016-04-03 18:00:00+01:00,75.44,341.04,0.0,13.632,40.728,6.48,28.700000000000003,1.107,23.011999999999997
2016-04-03 19:00:00+01:00,76.59,343.49,0.0,30.912,44.4,27.864,29.520000000000003,0.164,20.052999999999997
2016-04-03 20:00:00+01:00,76.13000000000001,370.93,0.0,38.904,53.856,33.456,28.700000000000003,0.0,20.305999999999997
2016-04-03 21:00:00+01:00,74.98,442.46999999999997,0.0,32.016,50.04,29.04,27.880000000000003,0.0,22.791999999999998
2016-04-03 22:00:00+01:00,73.83,457.17,0.0,27.96,50.088,18.792,28.700000000000003,0.0,27.412
2016-04-03 23:00:00+01:00,73.83,428.26,10.66,17.976,41.808,5.016,28.700000000000003,0.0,29.721999999999998
2016-04-04 00:00:00+01:00,72.91,304.29,116.44000000000001,3.096,39.792,3.8160000000000003,28.700000000000003,0.0,30.679
2016-04-04 01:00:00+01:00,72.45,293.02,173.84,0.0,40.56,3.864,28.700000000000003,0.0,30.932
2016-04-04 02:00:00+01:00,71.76,280.77,211.56,0.0,43.272,5.04,27.060000000000002,0.0,29.688999999999997
2016-04-04 03:00:00+01:00,72.22,306.74,371.46000000000004,0.048,40.512,5.352,28.700000000000003,0.0,27.302
2016-04-04 04:00:00+01:00,71.07000000000001,318.5,653.5400000000001,5.5200000000000005,39.096000000000004,5.256,27.060000000000002,0.0,24.288
2016-04-04 05:00:00+01:00,70.38000000000001,332.21999999999997,847.0600000000001,12.384,40.704,8.976,27.060000000000002,0.0,27.851999999999997
2016-04-04 06:00:00+01:00,70.61,358.68,933.98,11.856,39.744,9.384,27.060000000000002,0.0,31.834
2016-04-04 07:00:00+01:00,70.38000000000001,461.09,917.58,10.92,45.072,12.096,26.240000000000002,0.0,31.955
2016-04-04 08:00:00+01:00,70.61,549.29,973.34,26.136,46.632,22.56,27.060000000000002,0.164,25.134999999999998
2016-04-04 09:00:00+01:00,70.84,593.88,1164.4,34.416000000000004,45.048,19.848,27.880000000000003,0.8200000000000001,24.2
2016-04-04 10:00:00+01:00,71.07000000000001,599.76,1198.02,32.448,47.160000000000004,22.728,27.880000000000003,1.23,22.076999999999998
2016-04-04 11:00:00+01:00,70.38000000000001,606.62,1198.02,30.144000000000002,49.152,26.592000000000002,29.520000000000003,1.7630000000000001,20.756999999999998
2016-04-04 12:00:00+01:00,69.23,681.59,1198.02,28.032,46.248,24.648,31.160000000000004,2.132,22.924
2016-04-04 13:00:00+01:00,65.78,678.16,1198.02,20.04,45.696,20.712,29.520000000000003,2.9930000000000003,27.467
2016-04-04 14:00:00+01:00,66.93,650.23,1198.8400000000001,23.784,46.128,21.864,29.520000000000003,3.5260000000000002,27.808
2016-04-04 15:00:00+01:00,66.7,611.52,1141.44,18.84,43.800000000000004,17.448,30.340000000000003,4.92,29.15
2016-04-04 16:00:00+01:00,66.24000000000001,607.6,930.7,18.912,45.12,20.472,29.520000000000003,5.002,30.822
2016-04-04 17:00:00+01:00,65.78,607.6,889.7,18.696,45.576,21.456,30.340000000000003,4.264,33.077
2016-04-04 18:00:00+01:00,66.47,607.11,889.7,18.744,45.480000000000004,22.32,29.520000000000003,2.46,33.275
2016-04-04 19:00:00+01:00,66.7,607.11,889.7,21.408,48.528,21.72,28.700000000000003,0.328,33.230999999999995
2016-04-04 20:00:00+01:00,66.7,597.8,891.34,29.448,49.416000000000004,22.152,28.700000000000003,0.0,33.373999999999995
2016-04-04 21:00:00+01:00,67.16,412.58,902.82,27.384,50.856,21.696,29.520000000000003,0.0,34.727
2016-04-04 22:00:00+01:00,66.93,305.76,926.6,9.288,49.512,19.272000000000002,28.700000000000003,0.0,35.783
2016-04-04 23:00:00+01:00,66.7,299.88,743.74,10.128,50.016,6.936,28.700000000000003,0.0,34.693999999999996
2016-04-05 00:00:00+01:00,66.7,196.49,624.84,0.024,46.272,4.728,28.700000000000003,0.0,34.661
2016-04-05 01:00:00+01:00,66.7,191.59,651.08,0.0,36.72,3.936,28.700000000000003,0.0,34.452
2016-04-05 02:00:00+01:00,67.16,192.07999999999998,663.38,0.0,36.984,3.936,29.520000000000003,0.0,33.605
2016-04-05 03:00:00+01:00,67.62,192.07999999999998,567.44,0.0,34.800000000000004,3.984,29.520000000000003,0.0,33.528
2016-04-05 04:00:00+01:00,66.01,193.06,553.5,0.0,35.928,3.96,25.42,0.0,33.616
2016-04-05 05:00:00+01:00,64.4,192.07999999999998,738.82,6.792,37.344,3.984,23.78,0.0,33.132
2016-04-05 06:00:00+01:00,63.71,199.92,974.98,8.184000000000001,44.424,7.128,22.96,0.0,32.241
