,Biomass,Fossil Brown coal/Lignite,Hydro Pumped Storage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2016-08-01 01:00:00+03:00,6.44,1849.1000000000001,0.0,2.112,24.228,0.0,0.143
2016-08-01 02:00:00+03:00,6.44,1766.2800000000002,0.0,2.088,24.252,0.0,0.09899999999999999
2016-08-01 03:00:00+03:00,6.21,1800.72,0.0,2.088,24.252,0.0,0.088
2016-08-01 04:00:00+03:00,6.21,1800.72,0.0,2.112,24.264,0.0,0.05499999999999999
2016-08-01 05:00:00+03:00,6.21,1753.9800000000002,0.0,2.16,24.264,0.0,0.033
2016-08-01 06:00:00+03:00,6.21,1738.4,0.0,2.376,24.264,0.369,0.022
2016-08-01 07:00:00+03:00,5.98,1885.18,0.0,5.832,24.264,2.952,0.011
2016-08-01 08:00:00+03:00,6.44,2207.44,0.0,6.84,24.252,9.102,0.0
2016-08-01 09:00:00+03:00,6.44,2182.02,0.0,7.248,24.3,16.359,0.0
2016-08-01 10:00:00+03:00,5.98,2132.82,0.0,7.056,24.3,22.55,0.044
2016-08-01 11:00:00+03:00,6.21,2202.52,0.0,3.72,24.276,26.814,0.23099999999999998
2016-08-01 12:00:00+03:00,5.5200000000000005,2201.7000000000003,0.0,4.392,24.252,29.315,0.286
2016-08-01 13:00:00+03:00,5.75,2168.9,0.0,5.448,24.240000000000002,29.93,0.32999999999999996
2016-08-01 14:00:00+03:00,5.75,2128.7200000000003,0.0,7.08,24.240000000000002,28.331,0.34099999999999997
2016-08-01 15:00:00+03:00,5.29,2214.0,0.0,6.912,24.216,24.887,0.352
2016-08-01 16:00:00+03:00,5.0600000000000005,2351.76,0.0,7.44,24.192,20.336000000000002,0.38499999999999995
2016-08-01 17:00:00+03:00,5.29,2335.36,4.176,8.088000000000001,24.204,14.268,0.264
2016-08-01 18:00:00+03:00,5.5200000000000005,2355.04,5.208,12.264000000000001,24.192,6.929,0.253
2016-08-01 19:00:00+03:00,5.98,2350.94,6.312,14.424,24.192,1.845,0.19799999999999998
2016-08-01 20:00:00+03:00,5.98,2322.2400000000002,5.5440000000000005,14.736,24.18,0.082,0.21999999999999997
2016-08-01 21:00:00+03:00,5.98,2341.1000000000004,6.888,15.912,24.192,0.0,0.21999999999999997
2016-08-01 22:00:00+03:00,6.21,2255.0,6.168,13.968,24.204,0.0,0.16499999999999998
2016-08-01 23:00:00+03:00,5.98,2216.46,1.824,11.304,24.18,0.0,0.176
2016-08-02 00:00:00+03:00,5.75,1969.64,0.0,8.16,24.216,0.0,0.187
2016-08-02 01:00:00+03:00,5.98,1831.0600000000002,0.0,3.072,24.216,0.0,0.594
2016-08-02 02:00:00+03:00,5.98,1835.16,0.0,2.208,24.252,0.0,0.5609999999999999
2016-08-02 03:00:00+03:00,6.21,1847.46,0.0,2.592,24.252,0.0,0.319
2016-08-02 04:00:00+03:00,5.98,1813.0200000000002,0.0,2.616,24.264,0.0,0.23099999999999998
2016-08-02 05:00:00+03:00,6.21,1817.94,0.0,2.616,24.264,0.0,0.46199999999999997
2016-08-02 06:00:00+03:00,5.98,1673.6200000000001,0.0,2.8080000000000003,24.276,0.328,2.09
2016-08-02 07:00:00+03:00,5.98,1690.8400000000001,2.112,8.784,24.276,2.911,1.7819999999999998
2016-08-02 08:00:00+03:00,5.98,1936.8400000000001,3.7920000000000003,11.016,24.288,7.667000000000001,0.9129999999999999
2016-08-02 09:00:00+03:00,6.67,1965.5400000000002,2.592,11.232000000000001,24.276,13.817,0.6599999999999999
2016-08-02 10:00:00+03:00,6.44,2003.2600000000002,0.96,10.464,24.288,19.762,0.583
2016-08-02 11:00:00+03:00,6.67,1990.14,0.0,10.608,24.312,24.149,0.5389999999999999
2016-08-02 12:00:00+03:00,6.44,2001.6200000000001,0.0,10.728,24.288,26.691000000000003,0.517
2016-08-02 13:00:00+03:00,6.67,1999.16,0.0,10.728,24.276,27.224,0.5609999999999999
2016-08-02 14:00:00+03:00,6.44,2034.42,0.0,10.776,24.240000000000002,24.846,0.572
2016-08-02 15:00:00+03:00,6.44,2034.42,1.8960000000000001,10.968,24.240000000000002,21.238,0.6489999999999999
2016-08-02 16:00:00+03:00,6.44,1961.44,4.368,12.048,24.204,16.154,0.7919999999999999
2016-08-02 17:00:00+03:00,6.21,1996.7,7.032,13.200000000000001,24.192,10.127,0.957
2016-08-02 18:00:00+03:00,6.21,1997.5200000000002,7.848,16.944,24.192,4.469,0.726
2016-08-02 19:00:00+03:00,6.21,1972.1000000000001,8.928,20.136,24.192,1.681,0.352
2016-08-02 20:00:00+03:00,6.44,1939.3000000000002,11.712,17.28,24.228,0.164,0.726
2016-08-02 21:00:00+03:00,6.44,1902.4,13.248000000000001,18.408,24.216,0.0,1.276
2016-08-02 22:00:00+03:00,6.44,1845.0000000000002,8.28,20.616,24.240000000000002,0.0,0.8909999999999999
2016-08-02 23:00:00+03:00,6.44,1854.0200000000002,5.6160000000000005,16.464,24.240000000000002,0.0,1.3199999999999998
2016-08-03 00:00:00+03:00,6.44,1960.6200000000001,3.096,7.704,24.252,0.0,2.662
2016-08-03 01:00:00+03:00,6.44,1923.7200000000003,0.0,2.88,24.384,0.0,3.179
2016-08-03 02:00:00+03:00,6.44,1802.3600000000001,0.0,2.352,24.276,0.0,3.8829999999999996
2016-08-03 03:00:00+03:00,6.44,1722.8200000000002,0.0,2.352,24.264,0.0,4.213
2016-08-03 04:00:00+03:00,6.44,1812.2,0.0,2.592,24.288,0.0,4.444
2016-08-03 05:00:00+03:00,6.44,1841.72,0.0,2.8080000000000003,24.276,0.0,4.532
2016-08-03 06:00:00+03:00,6.44,1813.8400000000001,0.0,3.0,24.264,0.246,4.015
2016-08-03 07:00:00+03:00,6.67,1754.8000000000002,0.0,6.672,24.276,2.378,3.113
2016-08-03 08:00:00+03:00,6.44,1906.5000000000002,0.0,9.48,24.276,7.7490000000000006,3.3329999999999997
2016-08-03 09:00:00+03:00,6.21,1901.5800000000002,0.0,9.576,24.288,14.227,2.431
2016-08-03 10:00:00+03:00,6.44,1876.9800000000002,0.0,8.448,24.276,20.828,1.9909999999999999
2016-08-03 11:00:00+03:00,6.44,1851.5600000000002,0.912,7.128,24.276,25.256,2.145
2016-08-03 12:00:00+03:00,6.44,1765.46,0.912,8.352,24.264,27.183,2.1559999999999997
2016-08-03 13:00:00+03:00,6.21,1768.7400000000002,0.888,8.736,24.288,27.060000000000002,2.541
2016-08-03 14:00:00+03:00,6.44,1774.4800000000002,0.912,9.264,24.264,24.436,2.508
2016-08-03 15:00:00+03:00,6.21,1841.72,0.912,10.848,24.228,20.746000000000002,2.178
2016-08-03 16:00:00+03:00,6.67,1863.0400000000002,2.2560000000000002,13.272,24.216,16.523,1.738
2016-08-03 17:00:00+03:00,6.67,1918.8000000000002,4.008,14.328000000000001,24.204,11.849,1.155
2016-08-03 18:00:00+03:00,6.44,2000.8000000000002,9.576,13.56,24.204,6.355,0.8909999999999999
2016-08-03 19:00:00+03:00,6.67,1957.3400000000001,10.992,14.328000000000001,24.204,1.722,1.155
2016-08-03 20:00:00+03:00,6.67,1937.66,11.736,14.928,24.192,0.082,1.353
2016-08-03 21:00:00+03:00,6.9,2012.2800000000002,12.120000000000001,16.728,24.204,0.0,1.7049999999999998
2016-08-03 22:00:00+03:00,6.9,1961.44,9.792,14.592,24.216,0.0,2.255
2016-08-03 23:00:00+03:00,6.44,1969.64,5.04,12.144,24.228,0.0,2.4749999999999996
2016-08-04 00:00:00+03:00,6.67,1955.7,0.0,7.5840000000000005,24.240000000000002,0.0,2.695
2016-08-04 01:00:00+03:00,6.9,1676.0800000000002,0.0,2.352,24.252,0.0,2.5189999999999997
2016-08-04 02:00:00+03:00,6.67,1672.8000000000002,0.0,2.328,24.264,0.0,2.3209999999999997
2016-08-04 03:00:00+03:00,6.9,1703.96,0.0,2.3040000000000003,24.252,0.0,2.2769999999999997
2016-08-04 04:00:00+03:00,6.9,1741.68,0.0,2.328,24.276,0.0,2.783
2016-08-04 05:00:00+03:00,6.67,1772.8400000000001,0.0,2.424,24.276,0.0,2.794
2016-08-04 06:00:00+03:00,6.67,1766.2800000000002,0.0,2.616,24.252,0.246,2.6069999999999998
2016-08-04 07:00:00+03:00,6.9,1866.3200000000002,0.0,5.856,24.276,2.706,2.024
2016-08-04 08:00:00+03:00,6.67,2112.32,0.0,7.248,24.288,8.897,1.8479999999999999
2016-08-04 09:00:00+03:00,6.67,2058.2000000000003,0.0,7.488,24.276,16.687,1.859
2016-08-04 10:00:00+03:00,6.67,1977.8400000000001,0.0,7.368,24.240000000000002,23.37,1.639
2016-08-04 11:00:00+03:00,6.67,1980.3000000000002,0.0,7.32,24.252,28.044,1.0999999999999999
2016-08-04 12:00:00+03:00,6.67,2011.4600000000003,0.624,6.744,24.276,29.766000000000002,0.968
2016-08-04 13:00:00+03:00,6.67,2005.7200000000003,1.488,5.88,24.252,30.545,1.1989999999999998
2016-08-04 14:00:00+03:00,6.44,2005.7200000000003,0.912,6.408,24.228,28.618000000000002,1.5399999999999998
2016-08-04 15:00:00+03:00,6.67,2036.0600000000002,0.0,7.848,24.204,25.051000000000002,1.617
2016-08-04 16:00:00+03:00,6.9,2172.1800000000003,0.0,7.896,24.18,20.582,1.8479999999999999
2016-08-04 17:00:00+03:00,6.44,2209.9,1.8,9.384,24.168,14.022,1.936
2016-08-04 18:00:00+03:00,6.67,2198.42,4.632,12.912,24.192,10.291,2.046
2016-08-04 19:00:00+03:00,6.9,2167.26,10.056000000000001,12.696,24.204,1.681,1.65
2016-08-04 20:00:00+03:00,6.9,2148.4,11.28,13.728,24.192,0.082,1.0999999999999999
2016-08-04 21:00:00+03:00,6.9,2286.98,11.4,13.68,24.18,0.0,0.968
2016-08-04 22:00:00+03:00,7.13,2312.4,9.864,11.28,24.204,0.0,0.8909999999999999
2016-08-04 23:00:00+03:00,7.13,2257.46,6.816,7.896,24.204,0.0,0.616
2016-08-05 00:00:00+03:00,3.45,2171.36,0.024,6.408,24.240000000000002,0.0,0.715
2016-08-05 01:00:00+03:00,3.45,1973.7400000000002,0.0,1.3920000000000001,24.228,0.0,0.8029999999999999
2016-08-05 02:00:00+03:00,3.68,1822.0400000000002,0.0,1.44,24.264,0.0,0.979
2016-08-05 03:00:00+03:00,3.45,1825.3200000000002,0.0,1.3920000000000001,24.276,0.0,1.1219999999999999
2016-08-05 04:00:00+03:00,3.22,1820.4,0.0,1.44,24.276,0.0,1.3199999999999998
2016-08-05 05:00:00+03:00,3.45,1790.88,0.0,1.488,24.240000000000002,0.0,1.287
2016-08-05 06:00:00+03:00,3.68,1914.7,0.0,1.824,24.264,0.246,1.3199999999999998
2016-08-05 07:00:00+03:00,3.68,2071.32,0.0,1.872,24.276,2.7470000000000003,1.001
2016-08-05 08:00:00+03:00,3.45,2093.46,0.0,8.016,24.264,9.307,0.5389999999999999
2016-08-05 09:00:00+03:00,3.22,2206.6200000000003,0.0,6.48,24.240000000000002,17.056,0.484
2016-08-05 10:00:00+03:00,3.45,2140.2000000000003,0.0,6.384,24.252,23.534000000000002,0.46199999999999997
2016-08-05 11:00:00+03:00,3.45,2113.1400000000003,0.0,6.288,24.240000000000002,28.044,0.594
2016-08-05 12:00:00+03:00,3.45,2075.42,0.624,6.024,24.252,29.889000000000003,0.737
2016-08-05 13:00:00+03:00,3.68,2054.1000000000004,1.488,5.5200000000000005,24.252,29.93,0.99
2016-08-05 14:00:00+03:00,3.68,2080.34,0.0,6.408,24.228,28.167,1.408
