,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore
2017-03-01 00:00:00+01:00,44.39,3843.34,41.16,279.79,6637.900000000001,191.313,0.0,7.08,0.0,19.833
2017-03-01 01:00:00+01:00,44.39,3832.6800000000003,41.65,279.3,6668.240000000001,190.57999999999998,0.0,6.984,0.0,22.241999999999997
2017-03-01 02:00:00+01:00,44.39,3992.5800000000004,41.65,279.3,6634.620000000001,190.57999999999998,0.0,6.5280000000000005,0.0,22.285999999999998
2017-03-01 03:00:00+01:00,44.39,3894.1800000000003,41.16,279.3,6565.740000000001,190.57999999999998,0.0,6.792,0.0,23.441
2017-03-01 04:00:00+01:00,44.39,4317.3,41.16,279.3,6559.18,189.847,0.0,6.816,0.0,24.936999999999998
2017-03-01 05:00:00+01:00,44.39,4193.4800000000005,41.65,279.3,6637.900000000001,189.114,0.0,6.864,0.0,25.575
2017-03-01 06:00:00+01:00,44.620000000000005,4777.320000000001,42.14,279.79,7223.38,189.847,0.0,6.912,0.0,26.235
2017-03-01 07:00:00+01:00,44.39,5305.400000000001,41.65,284.2,7929.400000000001,189.847,0.0,6.792,0.0,26.653
2017-03-01 08:00:00+01:00,44.39,5471.860000000001,41.65,282.24,8272.16,190.57999999999998,0.84,7.248,0.0,24.772
2017-03-01 09:00:00+01:00,44.39,5334.1,41.65,270.48,8003.200000000001,192.046,3.48,7.5600000000000005,1.2,25.872
2017-03-01 10:00:00+01:00,44.39,5086.46,41.65,269.01,7892.500000000001,192.779,0.912,7.68,1.3920000000000001,28.083
2017-03-01 11:00:00+01:00,44.160000000000004,5083.18,43.12,269.5,7986.8,192.046,0.48,7.68,1.3920000000000001,27.026999999999997
2017-03-01 12:00:00+01:00,44.39,5073.34,42.14,269.01,7927.76,190.57999999999998,0.792,7.752,1.3920000000000001,24.485999999999997
2017-03-01 13:00:00+01:00,44.39,5165.18,41.16,269.01,7835.920000000001,191.313,1.536,7.752,1.3920000000000001,25.465
2017-03-01 14:00:00+01:00,44.620000000000005,4907.700000000001,41.16,266.56,7840.02,189.114,0.0,7.728,1.3920000000000001,23.814999999999998
2017-03-01 15:00:00+01:00,44.39,4810.9400000000005,40.67,267.05,7956.460000000001,189.114,0.0,7.824,1.3920000000000001,21.549
2017-03-01 16:00:00+01:00,44.39,5291.46,39.2,271.46,8149.160000000001,189.114,3.2880000000000003,7.872,1.3920000000000001,16.643
2017-03-01 17:00:00+01:00,44.39,5508.76,40.18,274.4,8483.720000000001,190.57999999999998,3.912,7.872,1.3920000000000001,15.213
2017-03-01 18:00:00+01:00,44.39,5583.38,41.16,274.89,8959.320000000002,191.313,5.208,8.040000000000001,1.3920000000000001,18.006999999999998
2017-03-01 19:00:00+01:00,44.39,5610.4400000000005,40.67,276.85,8879.78,194.978,3.648,8.016,1.3920000000000001,21.526999999999997
2017-03-01 20:00:00+01:00,44.39,5602.240000000001,40.18,277.34,8665.76,194.978,0.84,7.92,1.3920000000000001,23.099999999999998
2017-03-01 21:00:00+01:00,44.39,5360.34,39.69,277.34,8042.56,195.71099999999998,0.07200000000000001,7.704,0.168,24.166999999999998
2017-03-01 22:00:00+01:00,44.39,4805.200000000001,40.18,273.90999999999997,7272.580000000001,195.71099999999998,0.0,7.32,0.0,24.464
2017-03-01 23:00:00+01:00,44.620000000000005,4512.46,39.69,273.42,6825.68,196.444,0.0,7.32,0.0,25.541999999999998
2017-03-02 00:00:00+01:00,44.39,4014.7200000000003,39.69,273.90999999999997,6622.320000000001,195.71099999999998,0.0,7.08,0.0,24.573999999999998
2017-03-02 01:00:00+01:00,44.39,3922.0600000000004,40.18,273.90999999999997,6573.9400000000005,195.71099999999998,0.0,7.056,0.0,24.474999999999998
2017-03-02 02:00:00+01:00,44.39,3621.1200000000003,39.69,273.90999999999997,6519.000000000001,195.71099999999998,0.0,7.056,0.0,24.035
2017-03-02 03:00:00+01:00,44.39,3580.94,39.69,273.42,6441.1,195.71099999999998,0.0,7.056,0.0,23.331
2017-03-02 04:00:00+01:00,44.39,3753.1400000000003,39.69,273.90999999999997,6518.18,195.71099999999998,0.0,7.056,0.0,23.122
2017-03-02 05:00:00+01:00,44.39,4179.54,39.69,273.42,6666.6,195.71099999999998,0.0,7.032,0.0,23.221
