,date,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
0,2017-06-01 00:00:00+02:00,4436,14902,2481,7650,230,14,390,2115,98,0,7680,3755,161,0,240,1485,6698
1,2017-06-01 00:15:00+02:00,4444,14893,2500,7398,224,14,10,2122,57,0,7674,3507,161,0,245,1435,6603
2,2017-06-01 00:30:00+02:00,4444,14912,2499,7275,215,14,10,2122,55,0,7672,3317,160,0,245,1428,6405
3,2017-06-01 00:45:00+02:00,4443,14894,2493,7152,214,15,103,2119,34,0,7671,3277,161,0,237,1392,6161
4,2017-06-01 01:00:00+02:00,4442,14932,2502,6846,218,15,11,2119,94,0,7690,3228,161,0,241,1332,6080
5,2017-06-01 01:15:00+02:00,4440,14943,2503,6730,221,15,10,2120,55,0,7693,3104,161,0,247,1277,6030
6,2017-06-01 01:30:00+02:00,4429,14933,2493,6553,226,15,103,2121,95,0,7694,3288,161,0,248,1186,5998
7,2017-06-01 01:45:00+02:00,4435,14865,2436,6398,226,15,9,2120,62,0,7676,3272,160,0,239,1159,5869
8,2017-06-01 02:00:00+02:00,4437,14986,2404,6124,225,15,5,2118,67,0,7693,3450,161,0,238,1157,5699
9,2017-06-01 02:15:00+02:00,4435,14971,2410,5990,222,15,5,2117,31,0,7688,3441,161,0,237,1094,5663
10,2017-06-01 02:30:00+02:00,4434,14945,2402,5954,219,15,5,2116,74,0,7685,3447,161,0,238,1062,5541
11,2017-06-01 02:45:00+02:00,4436,14951,2400,5864,218,15,5,2118,85,0,7695,3446,161,0,247,1067,5287
12,2017-06-01 03:00:00+02:00,4444,14966,2401,5497,205,15,5,2122,71,0,7698,3237,161,0,244,1052,5155
13,2017-06-01 03:15:00+02:00,4429,14953,2408,5405,198,15,5,2120,42,0,7701,2971,160,0,240,1031,5128
14,2017-06-01 03:30:00+02:00,4435,14960,2414,5387,197,15,5,2120,39,0,7702,2915,161,0,247,1003,5152
15,2017-06-01 03:45:00+02:00,4437,14959,2426,5384,198,15,5,2120,46,0,7697,2675,161,0,234,1003,5174
